# 4.3758e-08 0 2 : grain size, compostion index, size index
# This grain was stochastically heated: Yes
# Heating and cooling timescale: 1.13329e+06 1.2199
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scales:  0.5 1 2 5 10
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEm1 StEm1 EqEm2 StEm2 EqEm3 StEm3 EqEm4 StEm4 EqEm5 StEm5
0.05 3.56095e-16 3.56072e-16 2.28093e-20 6.4054e-05 0.000418448 0 0 0 0 0 0 0 0 0 0
0.0525665 4.12395e-16 4.1237e-16 2.44539e-20 5.92973e-05 0.000372744 0 0 0 0 0 0 0 0 0 0
0.0552647 4.75876e-16 4.7585e-16 2.61952e-20 5.50462e-05 0.000331921 0 0 0 0 0 0 0 0 0 0
0.0581015 5.59042e-16 5.59014e-16 2.76305e-20 4.94248e-05 0.000295412 0 0 0 0 0 0 0 0 0 0
0.0610839 7.75757e-16 7.75728e-16 2.93728e-20 3.78634e-05 0.000260175 0 0 0 0 0 0 0 0 0 0
0.0642193 9.80398e-16 9.80366e-16 3.27172e-20 3.33713e-05 0.000225026 0 0 0 0 0 0 0 0 0 0
0.0675157 1.17271e-15 1.17267e-15 3.84316e-20 3.27716e-05 0.00018961 0 0 0 0 0 0 0 0 0 1.4013e-45
0.0709813 1.34738e-15 1.34734e-15 3.96482e-20 2.94262e-05 0.000158967 0 0 0 0 0 1.4013e-45 0 1.26117e-44 0 5.1848e-44
0.0746248 1.25881e-15 1.25878e-15 3.46e-20 2.74862e-05 0.000137131 0 2.8026e-45 0 1.12104e-44 0 4.62428e-44 0 2.99878e-43 0 1.19951e-42
0.0784553 9.89197e-16 9.8917e-16 2.68289e-20 2.71219e-05 0.000122607 0 4.48416e-44 0 1.86373e-43 0 7.59504e-43 0 4.92276e-42 0 1.96896e-41
0.0824824 7.85187e-16 7.85168e-16 1.88699e-20 2.40324e-05 0.000114627 0 6.474e-43 0 2.67228e-42 0 1.08587e-41 0 7.00817e-41 0 2.80333e-40
0.0867162 6.57749e-16 6.57734e-16 1.45424e-20 2.21093e-05 0.000110079 0 8.49187e-42 0 3.49035e-41 0 1.41577e-40 0 9.1081e-40 0 3.64314e-39
0.0911674 5.73931e-16 5.73919e-16 1.21992e-20 2.12555e-05 0.000106902 0 1.01312e-40 0 4.14351e-40 0 1.67662e-39 0 1.07483e-38 0 4.29835e-38
0.095847 5.13635e-16 5.13625e-16 9.67926e-21 1.88446e-05 0.00011272 0 1.09962e-39 0 4.45097e-39 0 1.79185e-38 0 1.143e-37 0 4.56768e-37
0.100767 4.50896e-16 4.5089e-16 6.6049e-21 1.46484e-05 0.000131469 0 1.07203e-38 0 4.21988e-38 0 1.6751e-37 0 1.05757e-36 0 4.21559e-36
0.105939 3.93119e-16 3.93114e-16 4.57654e-21 1.16416e-05 0.000141825 0 1.01955e-37 0 3.72966e-37 0 1.42274e-36 0 8.74463e-36 0 3.45731e-35
