# 5.39371e-08 0 4 : grain size, compostion index, size index
# This grain was stochastically heated: Yes
# Heating and cooling timescale: 566144 2.37013
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scales:  0.5 1 2 5 10
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEm1 StEm1 EqEm2 StEm2 EqEm3 StEm3 EqEm4 StEm4 EqEm5 StEm5
0.05 6.66416e-16 6.66336e-16 7.98887e-20 0.000119878 0.000636019 0 0 0 0 0 0 0 0 0 0
0.0525665 7.7179e-16 7.71704e-16 8.56546e-20 0.000110982 0.000566543 0 0 0 0 0 0 0 0 0 0
0.0552647 8.90615e-16 8.90523e-16 9.17599e-20 0.00010303 0.000504487 0 0 0 0 0 0 0 0 0 0
0.0581015 1.04662e-15 1.04652e-15 9.67938e-20 9.24826e-05 0.000448989 0 0 0 0 0 0 0 0 0 0
0.0610839 1.45288e-15 1.45278e-15 1.02907e-19 7.08297e-05 0.000395429 0 0 0 0 0 0 0 0 0 0
0.0642193 1.83614e-15 1.83603e-15 1.14641e-19 6.24356e-05 0.000342006 0 0 0 0 0 0 0 0 0 0
0.0675157 2.19631e-15 2.19618e-15 1.34695e-19 6.1328e-05 0.000288173 0 0 0 0 0 0 0 0 0 0
0.0709813 2.52343e-15 2.52329e-15 1.39008e-19 5.50872e-05 0.000241585 0 0 0 0 0 0 0 0 0 0
0.0746248 2.35755e-15 2.35743e-15 1.21351e-19 5.14735e-05 0.000208381 0 0 0 0 0 0 0 0 0 0
0.0784553 1.85261e-15 1.85251e-15 9.41177e-20 5.08028e-05 0.000186295 0 0 0 0 0 0 0 0 0 0
0.0824824 1.47052e-15 1.47046e-15 6.62023e-20 4.50195e-05 0.000174156 0 0 0 0 0 0 0 0 0 0
0.0867162 1.23185e-15 1.2318e-15 5.10181e-20 4.14157e-05 0.000167234 0 0 0 0 0 0 0 0 0 0
0.0911674 1.07488e-15 1.07484e-15 4.27983e-20 3.98169e-05 0.000162396 0 0 0 0 0 0 0 0 0 0
0.095847 9.61949e-16 9.61915e-16 3.39594e-20 3.53027e-05 0.000171225 0 0 0 0 0 0 0 0 0 0
0.100767 8.44447e-16 8.44424e-16 2.31729e-20 2.74415e-05 0.000199708 0 0 0 0 0 0 0 0 0 0
0.105939 7.36239e-16 7.36223e-16 1.60561e-20 2.18083e-05 0.00021545 0 0 0 0 0 1.4013e-45 0 0 0 0
0.111377 6.31838e-16 6.31829e-16 9.82207e-21 1.55452e-05 0.000246578 0 1.4013e-45 0 5.60519e-45 0 2.10195e-44 0 0 0 0
0.117094 5.35543e-16 5.35536e-16 6.12432e-21 1.14357e-05 0.000225805 0 2.66247e-44 0 1.079e-43 0 4.316e-43 0 0 0 0
0.123105 4.50181e-16 4.50177e-16 3.99074e-21 8.86475e-06 0.000193724 0 4.70836e-43 0 1.88054e-42 0 7.52217e-42 0 0 0 0
0.129424 3.78688e-16 3.78685e-16 2.56726e-21 6.77936e-06 0.000162926 0 7.04293e-42 0 2.81703e-41 0 1.12684e-40 0 1.4013e-45 0 4.2039e-45
0.136067 3.43435e-16 3.43434e-16 1.66333e-21 4.8432e-06 0.000137849 0 9.85197e-41 0 3.94066e-40 0 1.57629e-39 0 1.10703e-43 0 2.24208e-43
0.143051 3.11708e-16 3.11707e-16 1.09254e-21 3.505e-06 0.000117589 0 1.20379e-39 0 4.81418e-39 0 1.92554e-38 0 5.37538e-42 0 1.08839e-41
0.150394 2.94446e-16 2.94445e-16 7.44314e-22 2.52785e-06 0.000100378 0 1.34615e-38 0 5.38022e-38 0 2.15128e-37 0 2.22895e-40 0 4.50124e-40
0.158114 2.91031e-16 2.91031e-16 5.62907e-22 1.93418e-06 8.59566e-05 0 1.39703e-37 0 5.57215e-37 0 2.22573e-36 0 7.99193e-39 0 1.61079e-38
0.16623 3.02594e-16 3.02593e-16 5.19963e-22 1.71835e-06 7.38942e-05 0 1.36918e-36 0 5.42624e-36 0 2.16046e-35 0 2.51417e-37 0 5.05987e-37
0.174762 3.31515e-16 3.31515e-16 6.26499e-22 1.8898e-06 6.35372e-05 0 1.29706e-35 0 5.04726e-35 0 1.99077e-34 0 7.0129e-36 0 1.40977e-35
0.183733 3.83034e-16 3.83034e-16 8.94607e-22 2.33558e-06 5.41144e-05 0 1.23883e-34 0 4.60336e-34 0 1.771e-33 0 1.75053e-34 0 3.51591e-34
0.193164 4.7413e-16 4.74128e-16 1.42102e-21 2.99711e-06 4.5031e-05 0 1.29553e-33 0 4.37717e-33 0 1.58991e-32 0 4.00411e-33 0 8.03666e-33
0.203079 6.21024e-16 6.21022e-16 2.16864e-21 3.49205e-06 3.61106e-05 0 1.56178e-32 0 4.56825e-32 0 1.49155e-31 0 8.35282e-32 0 1.67558e-31
0.213503 7.65049e-16 7.65047e-16 2.66092e-21 3.4781e-06 2.77726e-05 0 1.93183e-31 0 4.86834e-31 0 1.37556e-30 0 1.42269e-30 0 2.85269e-30
0.224463 7.34698e-16 7.34696e-16 2.21043e-21 3.00862e-06 2.05622e-05 0 1.90882e-30 0 4.31785e-30 0 1.06366e-29 0 1.65116e-29 0 3.30965e-29
0.235984 5.67728e-16 5.67727e-16 1.49932e-21 2.64091e-06 1.46754e-05 0 1.45508e-29 0 3.09505e-29 0 6.9296e-29 0 1.35672e-28 0 2.71868e-28
0.248097 4.28796e-16 4.28795e-16 9.70408e-22 2.2631e-06 1.12417e-05 0 9.99649e-29 0 2.06118e-28 0 4.36986e-28 0 9.64682e-28 0 1.93264e-27
0.260832 3.43182e-16 3.43181e-16 6.66421e-22 1.94189e-06 1.16977e-05 0 6.6013e-28 0 1.34068e-27 0 2.76304e-27 0 6.47338e-27 0 1.29663e-26
0.274221 2.9192e-16 2.91919e-16 4.80666e-22 1.64657e-06 1.56419e-05 0 4.18425e-27 0 8.43544e-27 0 1.71385e-26 0 4.13503e-26 0 8.28119e-26
0.288297 2.59924e-16 2.59924e-16 3.58261e-22 1.37833e-06 2.09857e-05 0 2.50951e-26 0 5.04058e-26 0 1.01673e-25 0 2.48968e-25 0 4.98538e-25
0.303095 2.35455e-16 2.35455e-16 2.76072e-22 1.1725e-06 2.35297e-05 0 1.38842e-25 0 2.78349e-25 0 5.59356e-25 0 1.38029e-24 0 2.7636e-24
0.318653 2.05702e-16 2.05702e-16 2.14968e-22 1.04505e-06 2.45506e-05 0 6.74385e-25 0 1.35065e-24 0 2.70878e-24 0 6.71219e-24 0 1.34377e-23
0.335009 1.80695e-16 1.80695e-16 1.6932e-22 9.37049e-07 2.41425e-05 0 3.01075e-24 0 6.02657e-24 0 1.20733e-23 0 2.99872e-23 0 6.00289e-23
0.352205 1.57662e-16 1.57662e-16 1.3501e-22 8.56327e-07 2.2908e-05 0 1.22556e-23 0 2.45241e-23 0 4.90998e-23 0 1.22121e-22 0 2.44446e-22
0.370284 1.3655e-16 1.36549e-16 1.08605e-22 7.95353e-07 2.14163e-05 0 4.56412e-23 0 9.13141e-23 0 1.82754e-22 0 4.54938e-22 0 9.10578e-22
0.389291 1.17317e-16 1.17317e-16 8.80365e-23 7.50414e-07 1.99667e-05 0 1.56017e-22 0 3.12108e-22 0 6.24509e-22 0 1.5555e-21 0 3.11323e-21
0.409273 9.99342e-17 9.99341e-17 7.15765e-23 7.16236e-07 1.85595e-05 0 4.91108e-22 0 9.82381e-22 0 1.96541e-21 0 4.89733e-21 0 9.80114e-21
0.430281 8.4241e-17 8.42409e-17 5.82516e-23 6.91487e-07 1.72226e-05 0 1.42593e-21 0 2.85222e-21 0 5.70582e-21 0 1.42217e-20 0 2.84609e-20
0.452368 7.0015e-17 7.00149e-17 4.74003e-23 6.77002e-07 1.58419e-05 0 3.81783e-21 0 7.63638e-21 0 1.52756e-20 0 3.80828e-20 0 7.62096e-20
