# 3.9811e-08 1 2 : grain size, compostion index, size index
# Heating and cooling timescale: 3.7697e+06 0.0180421
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scales: 0.25 0.5 1 1.5 2 2.5 3 3.5 4 4.5 5 5.5 6 6.5 7 7.5 8 8.5 9 9.5 10
# StochasticallyHeated: 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEm1 StEm1 EqEm2 StEm2 EqEm3 StEm3 EqEm4 StEm4 EqEm5 StEm5 EqEm6 StEm6 EqEm7 StEm7 EqEm8 StEm8 EqEm9 StEm9 EqEm10 StEm10 EqEm11 StEm11 EqEm12 StEm12 EqEm13 StEm13 EqEm14 StEm14 EqEm15 StEm15 EqEm16 StEm16 EqEm17 StEm17 EqEm18 StEm18 EqEm19 StEm19 EqEm20 StEm20 EqEm21 StEm21
0.05 4.63553e-17 4.6355e-17 3.41275e-22 7.36216e-06 2.76655e-05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0525665 5.12363e-17 5.12359e-17 3.7721e-22 7.36216e-06 3.05785e-05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.2039e-45 0 4.2039e-45 0 5.60519e-45
0.0552647 5.66312e-17 5.66308e-17 4.16928e-22 7.36216e-06 3.37983e-05 0 0 0 0 0 0 0 0 0 1.4013e-45 0 1.4013e-45 0 2.8026e-45 0 4.2039e-45 0 5.60519e-45 0 8.40779e-45 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7.84727e-44 0 8.68805e-44 0 9.52883e-44
0.0581015 6.25942e-17 6.25938e-17 4.60829e-22 7.36216e-06 3.73571e-05 0 0 0 0 0 0 0 1.82169e-44 0 2.8026e-44 0 4.2039e-44 0 6.16571e-44 0 8.96831e-44 0 1.27518e-43 0 1.76564e-43 0 1.4013e-45 0 1.4013e-45 0 2.8026e-45 0 2.8026e-45 0 4.2039e-45 0 4.2039e-45 0 5.60519e-45 0 7.00649e-45 0 1.28219e-42 0 1.42232e-42 0 1.56945e-42
0.0610839 6.91851e-17 6.91846e-17 5.09352e-22 7.36216e-06 4.12906e-05 0 0 0 0 0 0 0 7.56701e-43 0 1.06078e-42 0 1.42512e-42 0 1.87774e-42 0 2.44386e-42 0 3.14592e-42 0 4.00491e-42 0 7.00649e-44 0 9.66896e-44 0 1.26117e-43 0 1.61149e-43 0 2.01787e-43 0 2.50832e-43 0 3.01279e-43 0 3.60134e-43 0 2.03805e-41 0 2.24488e-41 0 2.4618e-41
0.0642193 7.64699e-17 7.64694e-17 5.62984e-22 7.36216e-06 4.56383e-05 0 0 0 0 0 4.2039e-45 0 2.64887e-41 0 3.6019e-41 0 4.63157e-41 0 5.77181e-41 0 7.04951e-41 0 8.49047e-41 0 1.01174e-40 0 3.18795e-42 0 4.35243e-42 0 5.59398e-42 0 7.11719e-42 0 8.79455e-42 0 1.08194e-41 0 1.29354e-41 0 1.53666e-41 0 3.47155e-40 0 3.77594e-40 0 4.09209e-40
0.0675157 8.45219e-17 8.45212e-17 6.22264e-22 7.36216e-06 5.04438e-05 0 0 0 2.8026e-45 0 2.0459e-43 0 7.87533e-40 0 1.05844e-39 0 1.33806e-39 0 1.62968e-39 0 1.93613e-39 0 2.25979e-39 0 2.60288e-39 0 1.20229e-40 0 1.61986e-40 0 2.06125e-40 0 2.59654e-40 0 3.18142e-40 0 3.88034e-40 0 4.60659e-40 0 5.43466e-40 0 6.7042e-39 0 7.19398e-39 0 7.69612e-39
0.0709813 9.34216e-17 9.34209e-17 6.87785e-22 7.36216e-06 5.57553e-05 0 1.4013e-45 0 1.54143e-43 0 8.6362e-42 0 1.99207e-38 0 2.66513e-38 0 3.34713e-38 0 4.04052e-38 0 4.74823e-38 0 5.47195e-38 0 6.21381e-38 0 3.78547e-39 0 5.03667e-39 0 6.34822e-39 0 7.92213e-39 0 9.62893e-39 0 1.16496e-38 0 1.37376e-38 0 1.61009e-38 0 1.38079e-37 0 1.46848e-37 0 1.55732e-37
0.0746248 1.03258e-16 1.03258e-16 7.60205e-22 7.36216e-06 6.16261e-05 0 3.92364e-44 0 6.53145e-42 0 3.0234e-40 0 4.31006e-37 0 5.7557e-37 0 7.20977e-37 0 8.67329e-37 0 1.01494e-36 0 1.16386e-36 0 1.31432e-36 0 1.00397e-37 0 1.32004e-37 0 1.6488e-37 0 2.03939e-37 0 2.45996e-37 0 2.95345e-37 0 3.46079e-37 0 4.03105e-37 0 2.74267e-36 0 2.90423e-36 0 3.06676e-36
0.0784553 1.14131e-16 1.1413e-16 8.40251e-22 7.36216e-06 6.8115e-05 0 1.76844e-42 0 2.28804e-40 0 8.8616e-39 0 8.02898e-36 0 1.07137e-35 0 1.34061e-35 0 1.61051e-35 0 1.88144e-35 0 2.15333e-35 0 2.4264e-35 0 2.26191e-36 0 2.94072e-36 0 3.64179e-36 0 4.46679e-36 0 5.34925e-36 0 6.37594e-36 0 7.42647e-36 0 8.59943e-36 0 4.93807e-35 0 5.21932e-35 0 5.50131e-35
0.0824824 1.26148e-16 1.26148e-16 9.28725e-22 7.36216e-06 7.52872e-05 0 6.51632e-41 0 6.70899e-39 0 2.1936e-37 0 1.29667e-34 0 1.72968e-34 0 2.16336e-34 0 2.59742e-34 0 3.03229e-34 0 3.46776e-34 0 3.9041e-34 0 4.36391e-35 0 5.61346e-35 0 6.8956e-35 0 8.39069e-35 0 9.98003e-35 0 1.18141e-34 0 1.36827e-34 0 1.57559e-34 0 7.86661e-34 0 8.30836e-34 0 8.75062e-34
0.0867162 1.39431e-16 1.3943e-16 1.02652e-21 7.36216e-06 8.32146e-05 0 2.00485e-39 0 1.66103e-37 0 4.62419e-36 0 1.82788e-33 0 2.43791e-33 0 3.04853e-33 0 3.65929e-33 0 4.27069e-33 0 4.88241e-33 0 5.49473e-33 0 7.26529e-34 0 9.25193e-34 0 1.12783e-33 0 1.36208e-33 0 1.60966e-33 0 1.89315e-33 0 2.18084e-33 0 2.4981e-33 0 1.10268e-32 0 1.16423e-32 0 1.22581e-32
0.0911674 1.54113e-16 1.54112e-16 1.1346e-21 7.36216e-06 9.19767e-05 0 5.19487e-38 0 3.50115e-36 0 8.36674e-35 0 2.26386e-32 0 3.01916e-32 0 3.77499e-32 0 4.53079e-32 0 5.28711e-32 0 6.04354e-32 0 6.8004e-32 0 1.05136e-32 0 1.32615e-32 0 1.60494e-32 0 1.92453e-32 0 2.26052e-32 0 2.64238e-32 0 3.02852e-32 0 3.45191e-32 0 1.36236e-31 0 1.43821e-31 0 1.51408e-31
0.095847 1.7034e-16 1.70339e-16 1.25407e-21 7.36216e-06 0.000101661 0 1.14324e-36 0 6.33274e-35 0 1.30914e-33 0 2.47897e-31 0 3.30592e-31 0 4.13332e-31 0 4.9606e-31 0 5.7883e-31 0 6.616e-31 0 7.44401e-31 0 1.33164e-31 0 1.66464e-31 0 2.00082e-31 0 2.38318e-31 0 2.78316e-31 0 3.23451e-31 0 3.68946e-31 0 4.18556e-31 0 1.49017e-30 0 1.57305e-30 0 1.65593e-30
0.100767 1.82613e-16 1.82612e-16 1.32972e-21 7.2816e-06 0.000110353 0 2.08918e-35 0 9.60522e-34 0 1.73045e-32 0 2.34181e-30 0 3.12294e-30 0 3.90442e-30 0 4.68578e-30 0 5.46744e-30 0 6.24907e-30 0 7.0309e-30 0 1.44129e-30 0 1.78645e-30 0 2.1334e-30 0 2.52501e-30 0 2.93281e-30 0 3.38983e-30 0 3.84919e-30 0 4.34746e-30 0 1.40699e-29 0 1.48519e-29 0 1.5634e-29
0.105939 1.64045e-16 1.64044e-16 1.11781e-21 6.81403e-06 0.000108808 0 2.75984e-34 0 1.06304e-32 0 1.68078e-31 0 1.65831e-29 0 2.21143e-29 0 2.76476e-29 0 3.31799e-29 0 3.87142e-29 0 4.42481e-29 0 4.97831e-29 0 1.15893e-29 0 1.42499e-29 0 1.69138e-29 0 1.98991e-29 0 2.29945e-29 0 2.6441e-29 0 2.98962e-29 0 3.36256e-29 0 9.96066e-29 0 1.05142e-28 0 1.10677e-28
0.111377 1.44963e-16 1.44962e-16 9.30651e-22 6.41991e-06 0.00010405 0 3.11631e-33 0 1.01463e-31 0 1.41739e-30 0 1.03901e-28 0 1.38555e-28 0 1.73221e-28 0 2.07882e-28 0 2.42553e-28 0 2.77221e-28 0 3.11895e-28 0 8.17579e-29 0 9.97698e-29 0 1.17741e-28 0 1.37743e-28 0 1.58401e-28 0 1.8126e-28 0 2.04124e-28 0 2.28685e-28 0 6.2399e-28 0 6.58661e-28 0 6.93333e-28
0.117094 1.26334e-16 1.26333e-16 7.72977e-22 6.11854e-06 9.8203e-05 0 3.03627e-32 0 8.42736e-31 0 1.0468e-29 0 5.80461e-28 0 7.74054e-28 0 9.67709e-28 0 1.16133e-27 0 1.35502e-27 0 1.54868e-27 0 1.74237e-27 0 5.10197e-28 0 6.18173e-28 0 7.25579e-28 0 8.44333e-28 0 9.66554e-28 0 1.10098e-27 0 1.23517e-27 0 1.37868e-27 0 3.48569e-27 0 3.67936e-27 0 3.87302e-27
0.123105 1.07226e-16 1.07226e-16 6.3276e-22 5.90117e-06 9.2117e-05 0 2.53737e-31 0 6.05233e-30 0 6.72567e-29 0 2.8696e-27 0 3.82664e-27 0 4.78395e-27 0 5.74113e-27 0 6.69856e-27 0 7.6559e-27 0 8.61339e-27 0 2.79627e-27 0 3.36538e-27 0 3.92999e-27 0 4.55036e-27 0 5.18676e-27 0 5.88271e-27 0 6.57627e-27 0 7.31479e-27 0 1.7231e-26 0 1.81883e-26 0 1.91456e-26
0.129424 8.97125e-17 8.9712e-17 5.1087e-22 5.69452e-06 8.62062e-05 0 1.85234e-30 0 3.82637e-29 0 3.82614e-28 0 1.27659e-26 0 1.70234e-26 0 2.1282e-26 0 2.554e-26 0 2.97991e-26 0 3.40578e-26 0 3.83171e-26 0 1.36939e-26 0 1.63771e-26 0 1.9033e-26 0 2.1934e-26 0 2.4901e-26 0 2.8128e-26 0 3.13391e-26 0 3.47445e-26 0 7.66513e-26 0 8.09098e-26 0 8.51684e-26
