# 3.94133e-08 1 1 : grain size, compostion index, size index
# Heating and cooling timescale: 1.22447e+06 0.0498951
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scales: 0.25 0.5 1 1.5 2 2.5 3 3.5 4 4.5 5 5.5 6 6.5 7 7.5 8 8.5 9 9.5 10
# StochasticallyHeated: 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEm1 StEm1 EqEm2 StEm2 EqEm3 StEm3 EqEm4 StEm4 EqEm5 StEm5 EqEm6 StEm6 EqEm7 StEm7 EqEm8 StEm8 EqEm9 StEm9 EqEm10 StEm10 EqEm11 StEm11 EqEm12 StEm12 EqEm13 StEm13 EqEm14 StEm14 EqEm15 StEm15 EqEm16 StEm16 EqEm17 StEm17 EqEm18 StEm18 EqEm19 StEm19 EqEm20 StEm20 EqEm21 StEm21
0.05 2.60276e-16 2.60264e-16 1.21855e-20 4.68175e-05 0.000339431 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0525665 3.01425e-16 3.01412e-16 1.30638e-20 4.334e-05 0.000302358 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0552647 3.47822e-16 3.47808e-16 1.39937e-20 4.02323e-05 0.000269245 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0581015 3.94673e-16 3.94658e-16 1.47601e-20 3.73982e-05 0.000239632 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0610839 4.47366e-16 4.4735e-16 1.56902e-20 3.50724e-05 0.00021105 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0642193 5.22384e-16 5.22366e-16 1.74758e-20 3.3454e-05 0.000182537 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 2.8026e-45 0 2.8026e-45 0 2.8026e-45
0.0675157 6.36049e-16 6.36029e-16 2.05264e-20 3.22718e-05 0.00015381 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.12104e-44 0 1.4013e-44 0 1.82169e-44 0 2.24208e-44 0 2.66247e-44 0 3.22299e-44 0 3.78351e-44 0 4.34403e-44 0 5.04467e-44 0 5.74532e-44 0 6.44597e-44
0.0709813 7.05363e-16 7.05341e-16 2.11735e-20 3.00179e-05 0.000128956 0 0 0 0 0 0 0 0 0 0 0 1.4013e-45 0 1.4013e-45 0 2.8026e-45 0 4.2039e-45 0 5.60519e-45 0 1.97583e-43 0 2.49431e-43 0 3.09687e-43 0 3.79752e-43 0 4.54021e-43 0 5.36697e-43 0 6.29183e-43 0 7.20267e-43 0 8.32371e-43 0 9.40271e-43 0 1.05798e-42
0.0746248 6.70162e-16 6.70144e-16 1.84752e-20 2.75683e-05 0.000111247 0 0 0 0 0 2.8026e-45 0 1.12104e-44 0 2.94273e-44 0 5.88545e-44 0 9.3887e-44 0 1.37327e-43 0 1.84971e-43 0 2.42425e-43 0 2.92451e-42 0 3.60134e-42 0 4.37345e-42 0 5.26188e-42 0 6.19794e-42 0 7.23631e-42 0 8.39518e-42 0 9.53163e-42 0 1.09175e-41 0 1.22487e-41 0 1.36921e-41
0.0784553 5.71331e-16 5.71317e-16 1.43246e-20 2.50723e-05 9.94657e-05 0 0 0 4.2039e-45 0 1.38729e-43 0 4.44212e-43 0 1.15047e-42 0 2.18042e-42 0 3.46541e-42 0 4.99703e-42 0 6.64356e-42 0 8.65302e-42 0 4.38116e-41 0 5.18214e-41 0 6.07099e-41 0 7.06731e-41 0 8.11001e-41 0 9.24507e-41 0 1.04905e-40 0 1.17205e-40 0 1.31746e-40 0 1.45826e-40 0 1.60942e-40
0.0824824 4.5912e-16 4.5911e-16 1.00748e-20 2.19437e-05 9.29952e-05 0 1.4013e-45 0 1.70958e-43 0 4.56963e-42 0 1.37551e-41 0 3.43136e-41 0 6.35054e-41 0 9.92932e-41 0 1.41481e-40 0 1.86447e-40 0 2.40817e-40 0 7.43131e-40 0 8.46068e-40 0 9.55672e-40 0 1.0736e-39 0 1.19519e-39 0 1.32376e-39 0 1.4609e-39 0 1.59716e-39 0 1.75011e-39 0 1.89994e-39 0 2.05768e-39
0.0867162 4.0114e-16 4.01133e-16 7.76435e-21 1.93557e-05 8.9308e-05 0 5.60519e-44 0 5.86724e-42 0 1.35138e-40 0 3.83957e-40 0 9.24748e-40 0 1.6738e-39 0 2.57777e-39 0 3.63112e-39 0 4.74605e-39 0 6.08133e-39 0 1.47655e-38 0 1.64612e-38 0 1.82046e-38 0 2.00118e-38 0 2.18463e-38 0 2.37308e-38 0 2.56815e-38 0 2.7628e-38 0 2.96936e-38 0 3.17388e-38 0 3.38424e-38
0.0911674 3.53357e-16 3.5335e-16 6.51331e-21 1.84327e-05 8.67327e-05 0 1.99965e-42 0 1.68321e-40 0 3.36303e-39 0 9.04948e-39 0 2.1081e-38 0 3.73611e-38 0 5.67219e-38 0 7.90373e-38 0 1.02507e-37 0 1.3036e-37 0 2.7995e-37 0 3.09475e-37 0 3.39283e-37 0 3.6956e-37 0 4.00007e-37 0 4.30756e-37 0 4.62002e-37 0 4.93228e-37 0 5.25211e-37 0 5.57065e-37 0 5.89307e-37
0.095847 2.77235e-16 2.7723e-16 5.16776e-21 1.86404e-05 9.14548e-05 0 5.25711e-41 0 3.59578e-39 0 6.27708e-38 0 1.60483e-37 0 3.62237e-37 0 6.29306e-37 0 9.42582e-37 0 1.3e-36 0 1.67371e-36 0 2.11337e-36 0 4.20238e-36 0 4.63138e-36 0 5.0614e-36 0 5.49451e-36 0 5.9283e-36 0 6.36326e-36 0 6.80166e-36 0 7.2399e-36 0 7.68182e-36 0 8.12298e-36 0 8.56619e-36
0.100767 1.91086e-16 1.91082e-16 3.52639e-21 1.84545e-05 0.000106665 0 1.01306e-39 0 5.69098e-38 0 8.74067e-37 0 2.12972e-36 0 4.66566e-36 0 7.95406e-36 0 1.17623e-35 0 1.60659e-35 0 2.05416e-35 0 2.57634e-35 0 4.83332e-35 0 5.32084e-35 0 5.80827e-35 0 6.29761e-35 0 6.78698e-35 0 7.27639e-35 0 7.76805e-35 0 8.25955e-35 0 8.75229e-35 0 9.24455e-35 0 9.73766e-35
0.105939 1.25287e-16 1.25285e-16 2.44345e-21 1.95028e-05 0.000115066 0 1.56379e-38 0 7.28645e-37 0 9.91152e-36 0 2.30829e-35 0 4.91591e-35 0 8.2325e-35 0 1.20278e-34 0 1.62787e-34 0 2.06778e-34 0 2.57699e-34 0 4.60312e-34 0 5.06531e-34 0 5.52703e-34 0 5.98996e-34 0 6.45267e-34 0 6.91499e-34 0 7.37882e-34 0 7.84249e-34 0 8.30635e-34 0 8.76989e-34 0 9.23372e-34
0.111377 7.58338e-17 7.58323e-17 1.49487e-21 1.97125e-05 0.000131687 0 1.89235e-37 0 7.38242e-36 0 8.95012e-35 0 1.99782e-34 0 4.14244e-34 0 6.82119e-34 0 9.85267e-34 0 1.32199e-33 0 1.6689e-33 0 2.06744e-33 0 3.53603e-33 0 3.89043e-33 0 4.2444e-33 0 4.59907e-33 0 4.95352e-33 0 5.30757e-33 0 5.66257e-33 0 6.01743e-33 0 6.37217e-33 0 6.7267e-33 0 7.08132e-33
0.117094 5.81191e-17 5.81181e-17 9.32169e-22 1.60389e-05 0.00012058 0 2.48202e-36 0 8.17981e-35 0 8.89177e-34 0 1.90741e-33 0 3.85621e-33 0 6.24946e-33 0 8.92999e-33 0 1.18844e-32 0 1.49157e-32 0 1.83733e-32 0 3.02164e-32 0 3.32425e-32 0 3.62649e-32 0 3.92923e-32 0 4.23177e-32 0 4.53396e-32 0 4.83684e-32 0 5.13962e-32 0 5.44221e-32 0 5.74465e-32 0 6.04711e-32
0.123105 4.55827e-17 4.55821e-17 6.07457e-22 1.33265e-05 0.000103446 0 2.87357e-35 0 8.06852e-34 0 7.90934e-33 0 1.63463e-32 0 3.22666e-32 0 5.15105e-32 0 7.28587e-32 0 9.62181e-32 0 1.20098e-31 0 1.4715e-31 0 2.33513e-31 0 2.5689e-31 0 2.8024e-31 0 3.03624e-31 0 3.26993e-31 0 3.50335e-31 0 3.73726e-31 0 3.97109e-31 0 4.20476e-31 0 4.43832e-31 0 4.67188e-31
0.129424 3.82791e-17 3.82787e-17 3.90795e-22 1.02091e-05 8.69992e-05 0 3.09494e-34 0 7.46403e-33 0 6.63424e-32 0 1.32415e-31 0 2.55541e-31 0 4.02187e-31 0 5.63427e-31 0 7.38675e-31 0 9.17232e-31 0 1.11819e-30 0 1.71756e-30 0 1.88947e-30 0 2.06119e-30 0 2.23314e-30 0 2.405e-30 0 2.57665e-30 0 2.74864e-30 0 2.92057e-30 0 3.09238e-30 0 3.26412e-30 0 3.43587e-30
0.136067 3.62815e-17 3.62812e-17 2.53203e-22 6.97886e-06 7.36083e-05 0 3.29137e-33 0 6.8706e-32 0 5.56596e-31 0 1.07534e-30 0 2.03143e-30 0 3.15457e-30 0 4.37937e-30 0 5.70226e-30 0 7.04609e-30 0 8.54919e-30 0 1.27462e-29 0 1.40219e-29 0 1.52962e-29 0 1.65721e-29 0 1.78473e-29 0 1.91211e-29 0 2.03972e-29 0 2.16729e-29 0 2.29477e-29 0 2.42221e-29 0 2.54965e-29
0.143051 3.7651e-17 3.76508e-17 1.66318e-22 4.41735e-06 6.27894e-05 0 3.37479e-32 0 6.14253e-31 0 4.55798e-30 0 8.54251e-30 0 1.58157e-29 0 2.42508e-29 0 3.33798e-29 0 4.31828e-29 0 5.31141e-29 0 6.41571e-29 0 9.30844e-29 0 1.02399e-28 0 1.11706e-28 0 1.21022e-28 0 1.30334e-28 0 1.39637e-28 0 1.48955e-28 0 1.5827e-28 0 1.67579e-28 0 1.76886e-28 0 1.86192e-28
0.150394 4.34571e-17 4.3457e-17 1.1331e-22 2.6074e-06 5.35989e-05 0 3.41034e-31 0 5.45023e-30 0 3.72193e-29 0 6.7809e-29 0 1.23177e-28 0 1.8663e-28 0 2.54821e-28 0 3.27654e-28 0 4.01263e-28 0 4.82655e-28 0 6.8307e-28 0 7.51419e-28 0 8.19712e-28 0 8.88072e-28 0 9.56404e-28 0 1.02467e-27 0 1.09304e-27 0 1.16139e-27 0 1.2297e-27 0 1.29799e-27 0 1.36628e-27
0.158114 5.27589e-17 5.27588e-17 8.56956e-23 1.62429e-06 4.5898e-05 0 3.23123e-30 0 4.56447e-29 0 2.88154e-28 0 5.11332e-28 0 9.12328e-28 0 1.36682e-27 0 1.85212e-27 0 2.36786e-27 0 2.88797e-27 0 3.46003e-27 0 4.78677e-27 0 5.26572e-27 0 5.74431e-27 0 6.22333e-27 0 6.70217e-27 0 7.18056e-27 0 7.65966e-27 0 8.13865e-27 0 8.61731e-27 0 9.09588e-27 0 9.57445e-27
0.16623 6.60929e-17 6.60928e-17 7.91606e-23 1.19772e-06 3.94569e-05 0 2.83192e-29 0 3.55844e-28 0 2.08561e-27 0 3.61146e-27 0 6.33551e-27 0 9.39148e-27 0 1.26352e-26 0 1.60666e-26 0 1.95204e-26 0 2.33e-26 0 3.15732e-26 0 3.47321e-26 0 3.78889e-26 0 4.10483e-26 0 4.42066e-26 0 4.73622e-26 0 5.0522e-26 0 5.36813e-26 0 5.68385e-26 0 5.99951e-26 0 6.31518e-26
0.174762 8.65288e-17 8.65287e-17 9.53831e-23 1.10233e-06 3.39264e-05 0 2.33773e-28 0 2.62875e-27 0 1.43626e-26 0 2.43123e-26 0 4.19754e-26 0 6.16037e-26 0 8.23246e-26 0 1.04151e-25 0 1.26083e-25 0 1.49968e-25 0 1.99412e-25 0 2.19363e-25 0 2.39301e-25 0 2.59255e-25 0 2.79202e-25 0 2.99133e-25 0 3.19089e-25 0 3.39042e-25 0 3.58982e-25 0 3.78919e-25 0 3.98857e-25
0.183733 1.16176e-16 1.16176e-16 1.36206e-22 1.17241e-06 2.88949e-05 0 1.79282e-27 0 1.81452e-26 0 9.27776e-26 0 1.53783e-25 0 2.61546e-25 0 3.80252e-25 0 5.04943e-25 0 6.35764e-25 0 7.67029e-25 0 9.09334e-25 0 1.18849e-24 0 1.30739e-24 0 1.42622e-24 0 1.54514e-24 0 1.66402e-24 0 1.78281e-24 0 1.90175e-24 0 2.02066e-24 0 2.1395e-24 0 2.25833e-24 0 2.37716e-24
0.193164 1.61269e-16 1.61268e-16 2.16356e-22 1.34159e-06 2.40446e-05 0 1.29404e-26 0 1.18526e-25 0 5.69243e-25 0 9.25394e-25 0 1.55173e-24 0 2.23611e-24 0 2.95172e-24 0 3.69977e-24 0 4.44939e-24 0 5.25856e-24 0 6.76592e-24 0 7.44278e-24 0 8.1193e-24 0 8.79624e-24 0 9.47302e-24 0 1.01493e-23 0 1.08263e-23 0 1.15033e-23 0 1.21798e-23 0 1.28563e-23 0 1.35328e-23
0.203079 2.13114e-16 2.13114e-16 3.30167e-22 1.54925e-06 1.92815e-05 0 8.13177e-26 0 6.77575e-25 0 3.06742e-24 0 4.89801e-24 0 8.10437e-24 0 1.15819e-23 0 1.52028e-23 0 1.89753e-23 0 2.27514e-23 0 2.68108e-23 0 3.40072e-23 0 3.74091e-23 0 4.08095e-23 0 4.42119e-23 0 4.76135e-23 0 5.10127e-23 0 5.44156e-23 0 5.7818e-23 0 6.12184e-23 0 6.46186e-23 0 6.80189e-23
0.213503 2.30052e-16 2.30051e-16 4.05074e-22 1.7608e-06 1.48294e-05 0 3.83435e-25 0 2.92093e-24 0 1.25061e-23 0 1.9643e-23 0 3.20965e-23 0 4.55106e-23 0 5.9425e-23 0 7.38769e-23 0 8.83286e-23 0 1.03804e-22 0 1.29969e-22 0 1.4297e-22 0 1.55966e-22 0 1.68969e-22 0 1.81969e-22 0 1.94961e-22 0 2.07965e-22 0 2.20968e-22 0 2.33964e-22 0 2.46959e-22 0 2.59955e-22
0.224463 1.76669e-16 1.76669e-16 3.36471e-22 1.90453e-06 1.09793e-05 0 1.18648e-24 0 8.30224e-24 0 3.3726e-23 0 5.21762e-23 0 8.42549e-23 0 1.18591e-22 0 1.54084e-22 0 1.90843e-22 0 2.27571e-22 0 2.66758e-22 0 3.3008e-22 0 3.63098e-22 0 3.96104e-22 0 4.29126e-22 0 4.62142e-22 0 4.95137e-22 0 5.28163e-22 0 5.61186e-22 0 5.94191e-22 0 6.27195e-22 0 6.602e-22
0.235984 1.2043e-16 1.2043e-16 2.28226e-22 1.8951e-06 7.83593e-06 0 3.01813e-24 0 1.94864e-23 0 7.53333e-23 0 1.14939e-22 0 1.83556e-22 0 2.56577e-22 0 3.31822e-22 0 4.09546e-22 0 4.87149e-22 0 5.6966e-22 0 6.97376e-22 0 7.67134e-22 0 8.36867e-22 0 9.06632e-22 0 9.76386e-22 0 1.0461e-21 0 1.11587e-21 0 1.18564e-21 0 1.25537e-21 0 1.3251e-21 0 1.39483e-21
0.248097 8.54775e-17 8.54774e-17 1.47719e-22 1.72816e-06 6.00262e-06 0 7.43167e-24 0 4.44628e-23 0 1.64054e-22 0 2.47151e-22 0 3.90597e-22 0 5.42442e-22 0 6.98464e-22 0 8.59239e-22 0 1.01967e-21 0 1.18968e-21 0 1.44232e-21 0 1.58659e-21 0 1.73081e-21 0 1.8751e-21 0 2.01936e-21 0 2.16355e-21 0 2.30785e-21 0 2.45214e-21 0 2.59636e-21 0 2.74057e-21 0 2.88479e-21
0.260832 6.7546e-17 6.75459e-17 1.01447e-22 1.5019e-06 6.24662e-06 0 1.90092e-23 0 1.05817e-22 0 3.73656e-22 0 5.56454e-22 0 8.70831e-22 0 1.20201e-21 0 1.54141e-21 0 1.89037e-21 0 2.23841e-21 0 2.60611e-21 0 3.13181e-21 0 3.44506e-21 0 3.75823e-21 0 4.07152e-21 0 4.38477e-21 0 4.69784e-21 0 5.01117e-21 0 5.32447e-21 0 5.63762e-21 0 5.95077e-21 0 6.26393e-21
