# 5.98828e-08 1 5 : grain size, compostion index, size index
# Heating and cooling timescale: 349073 0.547432
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scales: 0.25 0.5 1 1.5 2 2.5 3 3.5 4 4.5 5 5.5 6 6.5 7 7.5 8 8.5 9 9.5 10
# StochasticallyHeated: 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEm1 StEm1 EqEm2 StEm2 EqEm3 StEm3 EqEm4 StEm4 EqEm5 StEm5 EqEm6 StEm6 EqEm7 StEm7 EqEm8 StEm8 EqEm9 StEm9 EqEm10 StEm10 EqEm11 StEm11 EqEm12 StEm12 EqEm13 StEm13 EqEm14 StEm14 EqEm15 StEm15 EqEm16 StEm16 EqEm17 StEm17 EqEm18 StEm18 EqEm19 StEm19 EqEm20 StEm20 EqEm21 StEm21
0.05 9.11547e-16 9.11398e-16 1.49472e-19 0.000163976 0.000784179 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0525665 1.05569e-15 1.05553e-15 1.60267e-19 0.000151813 0.000698515 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0552647 1.21824e-15 1.21807e-15 1.71698e-19 0.000140939 0.000621997 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0581015 1.38239e-15 1.3822e-15 1.81126e-19 0.000131024 0.000553563 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0610839 1.56704e-15 1.56685e-15 1.92579e-19 0.000122893 0.000487525 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0642193 1.83008e-15 1.82987e-15 2.14556e-19 0.000117238 0.000421658 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0675157 2.22907e-15 2.22882e-15 2.52128e-19 0.000113109 0.000355283 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0709813 2.47358e-15 2.47332e-15 2.60265e-19 0.000105218 0.000297832 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0746248 2.35165e-15 2.35142e-15 2.27259e-19 9.66381e-05 0.000256882 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0784553 2.00566e-15 2.00548e-15 1.76287e-19 8.78948e-05 0.000229642 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0824824 1.61191e-15 1.61179e-15 1.24007e-19 7.69315e-05 0.000214667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0867162 1.40828e-15 1.40818e-15 9.5562e-20 6.78573e-05 0.000206124 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0911674 1.24061e-15 1.24053e-15 8.01666e-20 6.46186e-05 0.000200151 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.095847 9.73506e-16 9.73442e-16 6.36122e-20 6.53434e-05 0.000211025 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.100767 6.71025e-16 6.70982e-16 4.3407e-20 6.46876e-05 0.000246132 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.105939 4.39967e-16 4.39937e-16 3.00756e-20 6.83588e-05 0.000265542 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.111377 2.6629e-16 2.66271e-16 1.83975e-20 6.90882e-05 0.000303911 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.117094 2.04018e-16 2.04006e-16 1.14708e-20 5.62246e-05 0.000278323 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.123105 1.59976e-16 1.59969e-16 7.47443e-21 4.67222e-05 0.000238783 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.129424 1.34321e-16 1.34316e-16 4.80823e-21 3.57966e-05 0.000200823 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.136067 1.27295e-16 1.27292e-16 3.11519e-21 2.44722e-05 0.000169913 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.143051 1.32087e-16 1.32085e-16 2.04616e-21 1.5491e-05 0.000144941 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.150394 1.52443e-16 1.52441e-16 1.39398e-21 9.14427e-06 0.000123727 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 2.8026e-45 0 2.8026e-45 0 2.8026e-45 0 2.8026e-45 0 4.2039e-45 0 4.2039e-45 0 4.2039e-45 0 5.60519e-45 0 5.60519e-45
0.158114 1.85061e-16 1.8506e-16 1.05422e-21 5.6966e-06 0.000105952 0 0 0 0 0 1.4013e-45 0 2.8026e-45 0 5.60519e-45 0 8.40779e-45 0 1.12104e-44 0 1.54143e-44 0 2.10195e-44 0 2.66247e-44 0 3.22299e-44 0 3.92364e-44 0 4.76441e-44 0 5.60519e-44 0 6.44597e-44 0 7.42688e-44 0 8.40779e-44 0 9.52883e-44 0 1.06499e-43 0 1.17709e-43 0 1.31722e-43
0.16623 2.3182e-16 2.31819e-16 9.73775e-22 4.20057e-06 9.10834e-05 0 1.4013e-45 0 5.60519e-45 0 2.52234e-44 0 5.60519e-44 0 1.00893e-43 0 1.58347e-43 0 2.28412e-43 0 3.09687e-43 0 4.04975e-43 0 5.19882e-43 0 6.41795e-43 0 7.76319e-43 0 9.23456e-43 0 1.08461e-42 0 1.25696e-42 0 1.44334e-42 0 1.64232e-42 0 1.85392e-42 0 2.07813e-42 0 2.31495e-42 0 2.56438e-42
0.174762 3.03485e-16 3.03483e-16 1.17327e-21 3.866e-06 7.83173e-05 0 3.08286e-44 0 1.16308e-43 0 4.59626e-43 0 1.02295e-42 0 1.8315e-42 0 2.85304e-42 0 4.1002e-42 0 5.57296e-42 0 7.27134e-42 0 9.30742e-42 0 1.14822e-41 0 1.38869e-41 0 1.65185e-41 0 1.93786e-41 0 2.2467e-41 0 2.57839e-41 0 2.93292e-41 0 3.31029e-41 0 3.7105e-41 0 4.13355e-41 0 4.57944e-41
0.183733 4.07455e-16 4.07453e-16 1.67534e-21 4.11173e-06 6.67028e-05 0 6.34788e-43 0 2.17482e-42 0 7.97899e-42 0 1.73495e-41 0 3.061e-41 0 4.73261e-41 0 6.76645e-41 0 9.16295e-41 0 1.1922e-40 0 1.51995e-40 0 1.87199e-40 0 2.26069e-40 0 2.68601e-40 0 3.14797e-40 0 3.64657e-40 0 4.1818e-40 0 4.75367e-40 0 5.36217e-40 0 6.0073e-40 0 6.68907e-40 0 7.40749e-40
0.193164 5.65601e-16 5.65598e-16 2.66117e-21 4.70502e-06 5.55065e-05 0 1.65956e-41 0 4.64951e-41 0 1.46325e-40 0 2.98639e-40 0 5.07615e-40 0 7.67655e-40 0 1.08095e-39 0 1.4475e-39 0 1.86731e-39 0 2.36032e-39 0 2.89132e-39 0 3.47607e-39 0 4.11457e-39 0 4.80681e-39 0 5.5528e-39 0 6.35255e-39 0 7.20605e-39 0 8.11329e-39 0 9.07427e-39 0 1.0089e-38 0 1.11575e-38
0.203079 7.47484e-16 7.4748e-16 4.06135e-21 5.43337e-06 4.4511e-05 0 4.89713e-40 0 1.14505e-39 0 2.95383e-39 0 5.41712e-39 0 8.57986e-39 0 1.23819e-38 0 1.68467e-38 0 2.19743e-38 0 2.77648e-38 0 3.44332e-38 0 4.15999e-38 0 4.94346e-38 0 5.79375e-38 0 6.71084e-38 0 7.69476e-38 0 8.7455e-38 0 9.86305e-38 0 1.10474e-37 0 1.22986e-37 0 1.36166e-37 0 1.50014e-37
0.213503 8.07001e-16 8.06996e-16 4.9835e-21 6.17533e-06 3.42333e-05 0 1.20422e-38 0 2.55927e-38 0 5.72269e-38 0 9.48295e-38 0 1.38754e-37 0 1.88526e-37 0 2.44333e-37 0 3.06173e-37 0 3.74047e-37 0 4.49647e-37 0 5.29986e-37 0 6.164e-37 0 7.0889e-37 0 8.07455e-37 0 9.12096e-37 0 1.02281e-36 0 1.13961e-36 0 1.26247e-36 0 1.39142e-36 0 1.52644e-36 0 1.66753e-36
0.224463 6.19802e-16 6.19798e-16 4.13995e-21 6.67947e-06 2.53457e-05 0 1.92722e-37 0 3.94251e-37 0 8.23736e-37 0 1.28809e-36 0 1.78908e-36 0 2.32433e-36 0 2.89478e-36 0 3.50042e-36 0 4.14126e-36 0 4.82579e-36 0 5.53901e-36 0 6.28762e-36 0 7.07165e-36 0 7.89106e-36 0 8.74588e-36 0 9.63612e-36 0 1.05618e-35 0 1.15228e-35 0 1.25192e-35 0 1.35511e-35 0 1.46183e-35
0.235984 4.22498e-16 4.22496e-16 2.80811e-21 6.64643e-06 1.80895e-05 0 2.40285e-36 0 4.8471e-36 0 9.85944e-36 0 1.50355e-35 0 2.03826e-35 0 2.58908e-35 0 3.15642e-35 0 3.74025e-35 0 4.3406e-35 0 4.9609e-35 0 5.59506e-35 0 6.24581e-35 0 6.91315e-35 0 7.59706e-35 0 8.29758e-35 0 9.01469e-35 0 9.74838e-35 0 1.04987e-34 0 1.12655e-34 0 1.2049e-34 0 1.2849e-34
0.248097 2.99868e-16 2.99866e-16 1.81747e-21 6.06091e-06 1.38567e-05 0 2.71182e-35 0 5.44215e-35 0 1.09578e-34 0 1.65464e-34 0 2.22109e-34 0 2.79472e-34 0 3.37569e-34 0 3.96401e-34 0 4.55967e-34 0 5.16403e-34 0 5.77469e-34 0 6.39272e-34 0 7.01813e-34 0 7.6509e-34 0 8.29106e-34 0 8.9386e-34 0 9.5935e-34 0 1.02558e-33 0 1.09254e-33 0 1.16025e-33 0 1.22869e-33
0.260832 2.36959e-16 2.36958e-16 1.24812e-21 5.26723e-06 1.44184e-05 0 2.96657e-34 0 5.94164e-34 0 1.19167e-33 0 1.79248e-33 0 2.39675e-33 0 3.00426e-33 0 3.61512e-33 0 4.2293e-33 0 4.84682e-33 0 5.46824e-33 0 6.09256e-33 0 6.72021e-33 0 7.35122e-33 0 7.98555e-33 0 8.62324e-33 0 9.26428e-33 0 9.90866e-33 0 1.05564e-32 0 1.12074e-32 0 1.18619e-32 0 1.25196e-32
0.274221 1.95508e-16 1.95507e-16 9.00219e-22 4.60452e-06 1.92793e-05 0 2.9644e-33 0 5.93261e-33 0 1.18798e-32 0 1.78415e-32 0 2.38184e-32 0 2.98094e-32 0 3.5815e-32 0 4.1835e-32 0 4.78698e-32 0 5.39216e-32 0 5.9986e-32 0 6.60649e-32 0 7.21584e-32 0 7.82664e-32 0 8.43892e-32 0 9.05266e-32 0 9.66785e-32 0 1.02845e-31 0 1.09026e-31 0 1.15222e-31 0 1.21432e-31
0.288297 1.68966e-16 1.68966e-16 6.70967e-22 3.97101e-06 2.58662e-05 0 2.73049e-32 0 5.46268e-32 0 1.09316e-31 0 1.64066e-31 0 2.18882e-31 0 2.73757e-31 0 3.28694e-31 0 3.83692e-31 0 4.38753e-31 0 4.93889e-31 0 5.49075e-31 0 6.04323e-31 0 6.59634e-31 0 7.15005e-31 0 7.70438e-31 0 8.25935e-31 0 8.81492e-31 0 9.37111e-31 0 9.92791e-31 0 1.04854e-30 0 1.10434e-30
0.303095 1.48618e-16 1.48617e-16 5.17038e-22 3.47898e-06 2.90022e-05 0 2.26588e-31 0 4.5325e-31 0 9.06754e-31 0 1.3605e-30 0 1.81453e-30 0 2.26878e-30 0 2.72329e-30 0 3.17804e-30 0 3.63304e-30 0 4.08838e-30 0 4.54389e-30 0 4.99965e-30 0 5.45566e-30 0 5.91191e-30 0 6.36842e-30 0 6.82519e-30 0 7.28219e-30 0 7.73944e-30 0 8.19694e-30 0 8.6547e-30 0 9.1127e-30
