# 0.00480947 1 113 : grain size, compostion index, size index
# Heating and cooling timescale: 1.5771e-07 inf
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scales: 0.5 1 2 5 10
# StochasticallyHeated: 0 0 0 0 0
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEm1 StEm1 EqEm2 StEm2 EqEm3 StEm3 EqEm4 StEm4 EqEm5 StEm5
0.05 0.000145746 5.15226e-05 9.42234e-05 0.64649 0.853901 0 0 0 0 0 0 0 0 0 0
0.0525665 0.000145763 5.06849e-05 9.50783e-05 0.652279 0.841405 0 0 0 0 0 0 0 0 0 0
0.0552647 0.000145781 5.0051e-05 9.57303e-05 0.656671 0.831031 0 0 0 0 0 0 0 0 0 0
0.0581015 0.0001458 4.97645e-05 9.60352e-05 0.658679 0.824665 0 0 0 0 0 0 0 0 0 0
0.0610839 0.000145818 4.90597e-05 9.67582e-05 0.663555 0.815894 0 0 0 0 0 0 0 0 0 0
0.0642193 0.000145839 4.73008e-05 9.85384e-05 0.675665 0.797598 0 0 0 0 0 0 0 0 0 0
0.0675157 0.000145864 4.55525e-05 0.000100311 0.687705 0.777614 0 0 0 0 0 0 0 0 0 0
0.0709813 0.00014589 4.53765e-05 0.000100513 0.688967 0.770491 0 0 0 0 0 0 0 0 0 0
0.0746248 0.000145915 4.60659e-05 9.98495e-05 0.684297 0.771846 0 0 0 0 0 0 0 0 0 0
0.0784553 0.000145941 4.7027e-05 9.89137e-05 0.677766 0.776756 0 0 0 0 0 0 0 0 0 0
0.0824824 0.000145966 4.8125e-05 9.7841e-05 0.6703 0.782642 0 0 0 0 0 0 0 0 0 0
0.0867162 0.000145992 4.83809e-05 9.76113e-05 0.668606 0.781519 0 0 0 0 0 0 0 0 0 0
0.0911674 0.000146021 4.81558e-05 9.78648e-05 0.670212 0.776367 0 0 0 0 0 0 0 0 0 0
0.095847 0.000146051 4.83591e-05 9.76917e-05 0.668889 0.774619 0 0 0 0 0 0 0 0 0 0
0.100767 0.000146075 5.00596e-05 9.60158e-05 0.657303 0.786096 0 0 0 0 0 0 0 0 0 0
0.105939 0.000146097 5.17706e-05 9.43262e-05 0.645642 0.800764 0 0 0 0 0 0 0 0 0 0
0.111377 0.00014611 5.48922e-05 9.12183e-05 0.62431 0.828804 0 0 0 0 0 0 0 0 0 0
0.117094 0.00014612 5.81147e-05 8.80057e-05 0.602282 0.861158 0 0 0 0 0 0 0 0 0 0
0.123105 0.000146138 6.01926e-05 8.59456e-05 0.588112 0.883807 0 0 0 0 0 0 0 0 0 0
0.129424 0.00014616 6.19552e-05 8.42045e-05 0.576113 0.903792 0 0 0 0 0 0 0 0 0 0
0.136067 0.000146182 6.33628e-05 8.28195e-05 0.566549 0.920005 0 0 0 0 0 0 0 0 0 0
0.143051 0.000146202 6.44549e-05 8.1747e-05 0.559138 0.932656 0 0 0 0 0 0 0 0 0 0
0.150394 0.000146217 6.50767e-05 8.11399e-05 0.554929 0.940813 0 0 0 0 0 0 0 0 0 0
0.158114 0.000146231 6.48613e-05 8.13696e-05 0.556446 0.941699 0 0 0 0 0 0 0 0 0 0
0.16623 0.000146256 6.33326e-05 8.29238e-05 0.566976 0.930885 0 0 0 0 0 0 0 0 0 0
0.174762 0.000146299 6.03026e-05 8.59965e-05 0.587813 0.90435 0 0 0 0 0 0 0 0 0 0
0.183733 0.000146349 5.64783e-05 8.98705e-05 0.614084 0.868506 0 0 0 0 0 0 0 0 0 0
0.193164 0.000146404 5.2502e-05 9.39019e-05 0.641389 0.831612 0 0 0 0 0 0 0 0 0 0
0.203079 0.000146461 4.90454e-05 9.74161e-05 0.665131 0.801118 0 0 0 0 0 0 0 0 0 0
0.213503 0.000146524 4.60773e-05 0.000100446 0.68553 0.776297 0 0 0 0 0 0 0 0 0 0
0.224463 0.000146593 4.40964e-05 0.000102496 0.699191 0.75912 0 0 0 0 0 0 0 0 0 0
0.235984 0.000146668 4.297e-05 0.000103698 0.707026 0.747541 0 0 0 0 0 0 0 0 0 0
0.248097 0.000146749 4.31561e-05 0.000103593 0.705919 0.743766 0 0 0 0 0 0 0 0 0 0
0.260832 0.000146821 4.4191e-05 0.00010263 0.699015 0.745911 0 0 0 0 0 0 0 0 0 0
0.274221 0.000146884 4.5451e-05 0.000101433 0.690565 0.750139 0 0 0 0 0 0 0 0 0 0
0.288297 0.000146924 4.71244e-05 9.97995e-05 0.67926 0.759629 0 0 0 0 0 0 0 0 0 0
0.303095 0.000146964 4.82723e-05 9.86919e-05 0.671537 0.766856 0 0 0 0 0 0 0 0 0 0
0.318653 0.000147006 4.92072e-05 9.77984e-05 0.66527 0.773208 0 0 0 0 0 0 0 0 0 0
0.335009 0.00014705 4.99474e-05 9.71026e-05 0.660337 0.778661 0 0 0 0 0 0 0 0 0 0
0.352205 0.0001471 5.04547e-05 9.66453e-05 0.657004 0.782504 0 0 0 0 0 0 0 0 0 0
0.370284 0.000147155 5.07803e-05 9.63743e-05 0.654919 0.784872 0 0 0 0 0 0 0 0 0 0
0.389291 0.000147213 5.09477e-05 9.62656e-05 0.653919 0.785773 0 0 0 0 0 0 0 0 0 0
0.409273 0.000147273 5.10687e-05 9.62047e-05 0.653239 0.786309 0 0 0 0 0 0 0 0 0 0
0.430281 0.000147336 5.11685e-05 9.61676e-05 0.652709 0.786682 0 0 0 0 0 0 0 0 0 0
0.452368 0.000147402 5.12696e-05 9.6132e-05 0.652177 0.78724 0 0 0 0 0 0 0 0 0 0
0.475588 0.00014747 5.13584e-05 9.61111e-05 0.651735 0.787743 0 0 0 0 0 0 0 0 0 0
0.5 0.000147541 5.1413e-05 9.61285e-05 0.651535 0.787981 0 0 0 0 0 0 0 0 0 0
0.525665 0.000147617 5.1445e-05 9.61719e-05 0.651496 0.788055 0 0 0 0 0 0 0 0 0 0
0.552647 0.000147695 5.1465e-05 9.62304e-05 0.651546 0.788008 0 0 0 0 0 0 0 0 0 0
0.581015 0.000147779 5.13963e-05 9.63827e-05 0.652208 0.787156 0 0 0 0 0 0 0 0 0 0
0.610839 0.000147866 5.13238e-05 9.6542e-05 0.652903 0.786265 0 0 0 0 0 0 0 0 0 0
0.642193 0.000147956 5.12471e-05 9.67088e-05 0.653633 0.785333 0 0 0 0 0 0 0 0 0 0
0.675157 0.00014805 5.11365e-05 9.69136e-05 0.6546 0.784081 0 0 0 0 0 0 0 0 0 0
0.709813 0.000148149 5.09947e-05 9.71545e-05 0.655788 0.782531 0 0 0 0 0 0 0 0 0 0
0.746248 0.000148251 5.08381e-05 9.74134e-05 0.657082 0.780826 0 0 0 0 0 0 0 0 0 0
0.784553 0.000148358 5.06766e-05 9.76813e-05 0.658417 0.779081 0 0 0 0 0 0 0 0 0 0
0.824824 0.000148468 5.05114e-05 9.79564e-05 0.659782 0.777285 0 0 0 0 0 0 0 0 0 0
0.867162 0.000148581 5.03421e-05 9.82389e-05 0.661181 0.775445 0 0 0 0 0 0 0 0 0 0
0.911674 0.000148698 5.01727e-05 9.85255e-05 0.662587 0.773598 0 0 0 0 0 0 0 0 0 0
0.95847 0.000148818 5.0012e-05 9.88064e-05 0.66394 0.771803 0 0 0 0 0 0 0 0 0 0
1.00767 0.000148942 4.98504e-05 9.90918e-05 0.665304 0.769998 0 0 0 0 0 0 0 0 0 0
1.05939 0.000149069 4.9704e-05 9.93648e-05 0.66657 0.768305 0 0 0 0 0 0 0 0 0 0
1.11377 0.000149199 4.95529e-05 9.96464e-05 0.667874 0.766574 0 0 0 0 0 0 0 0 0 0
1.17094 0.000149334 4.94149e-05 9.99191e-05 0.669098 0.764947 0 0 0 0 0 0 0 0 0 0
1.23105 0.000149472 4.92778e-05 0.000100194 0.670321 0.763326 0 0 0 0 0 0 0 0 0 0
1.29424 0.000149616 4.91249e-05 0.000100491 0.671659 0.761577 0 0 0 0 0 0 0 0 0 0
1.36067 0.000149762 4.89786e-05 0.000100784 0.672958 0.759876 0 0 0 0 0 0 0 0 0 0
1.43051 0.000149912 4.88427e-05 0.00010107 0.674192 0.758253 0 0 0 0 0 0 0 0 0 0
1.50394 0.000150067 4.87137e-05 0.000101353 0.675387 0.756681 0 0 0 0 0 0 0 0 0 0
1.58114 0.000150226 4.85787e-05 0.000101648 0.67663 0.755064 0 0 0 0 0 0 0 0 0 0
1.6623 0.000150392 4.843e-05 0.000101961 0.677974 0.753347 0 0 0 0 0 0 0 0 0 0
1.74762 0.00015056 4.8279e-05 0.000102281 0.679337 0.751609 0 0 0 0 0 0 0 0 0 0
1.83733 0.000150732 4.81348e-05 0.000102597 0.68066 0.749923 0 0 0 0 0 0 0 0 0 0
1.93164 0.000150908 4.79912e-05 0.000102917 0.681984 0.748248 0 0 0 0 0 0 0 0 0 0
2.03079 0.000151089 4.78473e-05 0.000103241 0.683317 0.746575 0 0 0 0 0 0 0 0 0 0
2.13503 0.000151274 4.76938e-05 0.000103581 0.68472 0.744827 0 0 0 0 0 0 0 0 0 0
2.24463 0.000151464 4.75426e-05 0.000103921 0.686112 0.743112 0 0 0 0 0 0 0 0 0 0
2.35984 0.000151656 4.73971e-05 0.000104259 0.68747 0.741435 0 0 0 0 0 0 0 0 0 0
2.48097 0.000151854 4.7254e-05 0.0001046 0.688819 0.739793 0 0 0 0 0 0 0 0 0 0
2.60832 0.000152056 4.709e-05 0.000104966 0.690311 0.738007 0 0 0 0 0 0 0 0 0 0
2.74221 0.000152261 4.69194e-05 0.000105342 0.691849 0.736191 0 0 0 0 0 0 0 0 0 0
2.88297 0.000152466 4.67635e-05 0.000105702 0.693285 0.734486 0 0 0 0 0 0 0 0 0 0
3.03095 0.000152679 4.66035e-05 0.000106075 0.694761 0.732777 0 0 0 0 0 0 0 0 0 0
3.18653 0.000152892 4.64378e-05 0.000106454 0.696271 0.731038 0 0 0 0 0 0 0 0 0 0
3.35009 0.000153112 4.62694e-05 0.000106842 0.697807 0.729299 0 0 0 0 0 0 0 0 0 0
3.52205 0.000153349 4.61028e-05 0.000107247 0.699361 0.727611 0 0 0 0 0 0 0 0 0 0
3.70284 0.000153543 4.59365e-05 0.000107606 0.700822 0.725881 0 0 0 0 0 0 0 0 0 0
