# 0.00533964 1 114 : grain size, compostion index, size index
# Heating and cooling timescale: 1.28449e-07 inf
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scales: 0.5 1 2 5 10
StochasticallyHeated: 0 0 0 0 0
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEm1 StEm1 EqEm2 StEm2 EqEm3 StEm3 EqEm4 StEm4 EqEm5 StEm5
0.05 0.000179616 6.35052e-05 0.000116111 0.64644 0.853861 0 0 0 0 0 0 0 0 0 0
0.0525665 0.000179636 6.24722e-05 0.000117164 0.65223 0.841362 0 0 0 0 0 0 0 0 0 0
0.0552647 0.000179657 6.16902e-05 0.000117967 0.656623 0.830984 0 0 0 0 0 0 0 0 0 0
0.0581015 0.000179678 6.13364e-05 0.000118342 0.658632 0.824615 0 0 0 0 0 0 0 0 0 0
0.0610839 0.000179699 6.04673e-05 0.000119232 0.663509 0.815841 0 0 0 0 0 0 0 0 0 0
0.0642193 0.000179724 5.8299e-05 0.000121425 0.675619 0.797538 0 0 0 0 0 0 0 0 0 0
0.0675157 0.000179751 5.61433e-05 0.000123608 0.687661 0.777546 0 0 0 0 0 0 0 0 0 0
0.0709813 0.000179781 5.59251e-05 0.000123856 0.688926 0.77042 0 0 0 0 0 0 0 0 0 0
0.0746248 0.00017981 5.67734e-05 0.000123036 0.684258 0.771774 0 0 0 0 0 0 0 0 0 0
0.0784553 0.000179839 5.79566e-05 0.000121882 0.67773 0.776683 0 0 0 0 0 0 0 0 0 0
0.0824824 0.000179867 5.93083e-05 0.000120559 0.670267 0.78257 0 0 0 0 0 0 0 0 0 0
0.0867162 0.000179898 5.96223e-05 0.000120276 0.668577 0.781444 0 0 0 0 0 0 0 0 0 0
0.0911674 0.00017993 5.9343e-05 0.000120587 0.670189 0.77629 0 0 0 0 0 0 0 0 0 0
0.095847 0.000179964 5.95912e-05 0.000120373 0.668872 0.774541 0 0 0 0 0 0 0 0 0 0
0.100767 0.000179993 6.16847e-05 0.000118308 0.657294 0.786022 0 0 0 0 0 0 0 0 0 0
0.105939 0.000180017 6.37918e-05 0.000116225 0.645635 0.800694 0 0 0 0 0 0 0 0 0 0
0.111377 0.000180033 6.76378e-05 0.000112395 0.624304 0.828745 0 0 0 0 0 0 0 0 0 0
0.117094 0.000180046 7.16098e-05 0.000108436 0.602269 0.86111 0 0 0 0 0 0 0 0 0 0
0.123105 0.000180067 7.41705e-05 0.000105896 0.588094 0.883766 0 0 0 0 0 0 0 0 0 0
0.129424 0.000180092 7.63423e-05 0.000103749 0.576092 0.903758 0 0 0 0 0 0 0 0 0 0
0.136067 0.000180117 7.80764e-05 0.000102041 0.566525 0.919976 0 0 0 0 0 0 0 0 0 0
0.143051 0.000180141 7.94215e-05 0.000100719 0.559114 0.932634 0 0 0 0 0 0 0 0 0 0
0.150394 0.000180158 8.01878e-05 9.997e-05 0.554902 0.940794 0 0 0 0 0 0 0 0 0 0
0.158114 0.000180175 7.99234e-05 0.000100251 0.556412 0.941679 0 0 0 0 0 0 0 0 0 0
0.16623 0.000180205 7.80411e-05 0.000102164 0.566931 0.930858 0 0 0 0 0 0 0 0 0 0
0.174762 0.000180253 7.43075e-05 0.000105946 0.58776 0.904306 0 0 0 0 0 0 0 0 0 0
0.183733 0.00018031 6.95937e-05 0.000110716 0.614033 0.868439 0 0 0 0 0 0 0 0 0 0
0.193164 0.000180372 6.46917e-05 0.00011568 0.641343 0.831523 0 0 0 0 0 0 0 0 0 0
