# 0.01 1 120 : grain size, compostion index, size index
# This grain was stochastically heated: No
# Heating and cooling timescale: 3.73406e-08 inf
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scales:  0.5 1 2 5 10
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEm1 StEm1 EqEm2 StEm2 EqEm3 StEm3 EqEm4 StEm4 EqEm5 StEm5
0.05 0.00062942 0.000222694 0.000406726 0.646192 0.853674 0 0 0 0 0 0 0 0 0 0
0.0525665 0.000629466 0.000219063 0.000410402 0.651985 0.841155 0 0 0 0 0 0 0 0 0 0
0.0552647 0.000629513 0.000216312 0.000413201 0.656382 0.830758 0 0 0 0 0 0 0 0 0 0
0.0581015 0.000629559 0.000215063 0.000414496 0.658391 0.824377 0 0 0 0 0 0 0 0 0 0
0.0610839 0.000629607 0.000212009 0.000417598 0.663267 0.815584 0 0 0 0 0 0 0 0 0 0
0.0642193 0.00062966 0.000204399 0.000425261 0.675382 0.797249 0 0 0 0 0 0 0 0 0 0
0.0675157 0.000629721 0.000196828 0.000432893 0.687437 0.777221 0 0 0 0 0 0 0 0 0 0
0.0709813 0.000629785 0.000196044 0.000433741 0.688713 0.770076 0 0 0 0 0 0 0 0 0 0
0.0746248 0.00062985 0.000198997 0.000430853 0.684056 0.771423 0 0 0 0 0 0 0 0 0 0
0.0784553 0.000629913 0.000203124 0.000426789 0.677536 0.776331 0 0 0 0 0 0 0 0 0 0
0.0824824 0.000629978 0.00020784 0.000422138 0.670084 0.782218 0 0 0 0 0 0 0 0 0 0
0.0867162 0.000630044 0.000208918 0.000421126 0.668407 0.781082 0 0 0 0 0 0 0 0 0 0
0.0911674 0.000630118 0.000207911 0.000422207 0.670044 0.775912 0 0 0 0 0 0 0 0 0 0
0.095847 0.000630192 0.000208746 0.000421447 0.668759 0.774157 0 0 0 0 0 0 0 0 0 0
0.100767 0.000630256 0.000216048 0.000414208 0.657206 0.785654 0 0 0 0 0 0 0 0 0 0
0.105939 0.000630314 0.000223408 0.000406906 0.645561 0.80035 0 0 0 0 0 0 0 0 0 0
0.111377 0.000630358 0.000236867 0.000393491 0.624234 0.828453 0 0 0 0 0 0 0 0 0 0
0.117094 0.000630393 0.000250798 0.000379596 0.602157 0.860866 0 0 0 0 0 0 0 0 0 0
0.123105 0.000630444 0.000259772 0.000370672 0.587954 0.883557 0 0 0 0 0 0 0 0 0 0
0.129424 0.000630505 0.000267377 0.000363128 0.575932 0.903583 0 0 0 0 0 0 0 0 0 0
0.136067 0.000630566 0.000273443 0.000357123 0.566353 0.919831 0 0 0 0 0 0 0 0 0 0
0.143051 0.000630624 0.000278145 0.000352479 0.558937 0.932511 0 0 0 0 0 0 0 0 0 0
0.150394 0.000630674 0.00028083 0.000349843 0.554714 0.940686 0 0 0 0 0 0 0 0 0 0
0.158114 0.000630721 0.000279921 0.000350801 0.55619 0.941568 0 0 0 0 0 0 0 0 0 0
0.16623 0.000630793 0.00027335 0.000357442 0.566656 0.930713 0 0 0 0 0 0 0 0 0 0
0.174762 0.000630898 0.000260275 0.000370623 0.587453 0.90408 0 0 0 0 0 0 0 0 0 0
0.183733 0.000631022 0.000243744 0.000387278 0.613731 0.868107 0 0 0 0 0 0 0 0 0 0
0.193164 0.000631156 0.00022654 0.000404615 0.641071 0.831082 0 0 0 0 0 0 0 0 0 0
0.203079 0.000631297 0.000211572 0.000419726 0.664862 0.800477 0 0 0 0 0 0 0 0 0 0
0.213503 0.000631448 0.000198708 0.00043274 0.685313 0.77556 0 0 0 0 0 0 0 0 0 0
0.224463 0.000631612 0.000190091 0.000441521 0.699038 0.758305 0 0 0 0 0 0 0 0 0 0
0.235984 0.000631793 0.000185146 0.000446647 0.706951 0.746662 0 0 0 0 0 0 0 0 0 0
0.248097 0.000631982 0.000185831 0.000446151 0.705955 0.742854 0 0 0 0 0 0 0 0 0 0
0.260832 0.000632157 0.000190169 0.000441988 0.699175 0.744999 0 0 0 0 0 0 0 0 0 0
0.274221 0.000632315 0.000195484 0.00043683 0.690843 0.749246 0 0 0 0 0 0 0 0 0 0
0.288297 0.00063243 0.000202633 0.000429797 0.679595 0.758774 0 0 0 0 0 0 0 0 0 0
0.303095 0.000632546 0.000207533 0.000425013 0.671908 0.766022 0 0 0 0 0 0 0 0 0 0
0.318653 0.000632664 0.000211521 0.000421143 0.665667 0.772391 0 0 0 0 0 0 0 0 0 0
0.335009 0.000632787 0.00021467 0.000418117 0.660755 0.777854 0 0 0 0 0 0 0 0 0 0
0.352205 0.000632922 0.000216811 0.000416111 0.657444 0.781697 0 0 0 0 0 0 0 0 0 0
0.370284 0.00063307 0.000218163 0.000414907 0.655389 0.784059 0 0 0 0 0 0 0 0 0 0
0.389291 0.000633224 0.000218827 0.000414397 0.654424 0.78495 0 0 0 0 0 0 0 0 0 0
0.409273 0.000633386 0.000219287 0.000414099 0.653786 0.785473 0 0 0 0 0 0 0 0 0 0
0.430281 0.000633553 0.000219654 0.000413899 0.653298 0.785834 0 0 0 0 0 0 0 0 0 0
0.452368 0.000633728 0.000220024 0.000413704 0.65281 0.78638 0 0 0 0 0 0 0 0 0 0
0.475588 0.000633909 0.000220339 0.00041357 0.652412 0.786869 0 0 0 0 0 0 0 0 0 0
