# 1.53474e-07 1 14 : grain size, compostion index, size index
# This grain was stochastically heated: Yes
# Heating and cooling timescale: 20711 4.94735
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scales:  0.5 1 2 5 10
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEm1 StEm1 EqEm2 StEm2 EqEm3 StEm3 EqEm4 StEm4 EqEm5 StEm5
0.05 1.51329e-14 1.50917e-14 4.11486e-17 0.00271915 0.00519355 0 0 0 0 0 0 0 0 0 0
0.0525665 1.75272e-14 1.7483e-14 4.41747e-17 0.00252035 0.00462541 0 0 0 0 0 0 0 0 0 0
0.0552647 2.02314e-14 2.0184e-14 4.73817e-17 0.00234199 0.00411762 0 0 0 0 0 0 0 0 0 0
0.0581015 2.29614e-14 2.29114e-14 5.0041e-17 0.00217935 0.00366323 0 0 0 0 0 0 0 0 0 0
0.0610839 2.60381e-14 2.59848e-14 5.33002e-17 0.00204701 0.00322555 0 0 0 0 0 0 0 0 0 0
0.0642193 3.04437e-14 3.03841e-14 5.95384e-17 0.00195569 0.00278971 0 0 0 0 0 0 0 0 0 0
0.0675157 3.71977e-14 3.71274e-14 7.02721e-17 0.00188915 0.00234995 0 0 0 0 0 0 0 0 0 0
0.0709813 4.15334e-14 4.14604e-14 7.30554e-17 0.00175895 0.00196733 0 0 0 0 0 0 0 0 0 0
0.0746248 3.97425e-14 3.96783e-14 6.42524e-17 0.00161672 0.00169373 0 0 0 0 0 0 0 0 0 0
0.0784553 3.4042e-14 3.39919e-14 5.00955e-17 0.00147158 0.00151165 0 0 0 0 0 0 0 0 0 0
0.0824824 2.73965e-14 2.73611e-14 3.53095e-17 0.00128884 0.00141058 0 0 0 0 0 0 0 0 0 0
0.0867162 2.39256e-14 2.38984e-14 2.71998e-17 0.00113685 0.00135232 0 0 0 0 0 0 0 0 0 0
0.0911674 2.10934e-14 2.10706e-14 2.28274e-17 0.0010822 0.00131122 0 0 0 0 0 0 0 0 0 0
0.095847 1.65806e-14 1.65625e-14 1.81353e-17 0.00109377 0.00138082 0 0 0 0 0 0 0 0 0 0
0.100767 1.14359e-14 1.14235e-14 1.23746e-17 0.00108209 0.00161089 0 0 0 0 0 0 0 0 0 0
0.105939 7.49971e-15 7.49114e-15 8.57122e-18 0.00114287 0.00173934 0 0 0 0 0 0 0 0 0 0
0.111377 4.53764e-15 4.5324e-15 5.23695e-18 0.00115411 0.00199116 0 0 0 0 0 0 0 0 0 0
0.117094 3.4649e-15 3.46164e-15 3.26129e-18 0.000941237 0.00182655 0 0 0 0 0 0 0 0 0 0
0.123105 2.71098e-15 2.70886e-15 2.1234e-18 0.000783258 0.0015676 0 0 0 0 0 0 0 0 0 0
0.129424 2.27238e-15 2.27102e-15 1.3651e-18 0.000600736 0.0013185 0 0 0 0 0 0 0 0 0 0
0.136067 2.15065e-15 2.14976e-15 8.84031e-19 0.000411054 0.00111565 0 0 0 0 0 0 0 0 0 0
0.143051 2.22913e-15 2.22855e-15 5.8047e-19 0.000260402 0.000951766 0 0 0 0 0 0 0 0 0 0
0.150394 2.57034e-15 2.56995e-15 3.95328e-19 0.000153804 0.000812536 0 0 0 0 0 0 0 0 0 0
0.158114 3.11829e-15 3.118e-15 2.98865e-19 9.58424e-05 0.000695862 0 0 0 0 0 0 0 0 0 0
0.16623 3.90414e-15 3.90386e-15 2.75936e-19 7.06778e-05 0.000598266 0 0 0 0 0 0 0 0 0 0
0.174762 5.10873e-15 5.1084e-15 3.32283e-19 6.50421e-05 0.000514461 0 0 0 0 0 0 0 0 0 0
0.183733 6.85658e-15 6.85611e-15 4.74256e-19 6.9168e-05 0.000438205 0 0 0 0 0 0 0 0 0 0
0.193164 9.51741e-15 9.51666e-15 7.5325e-19 7.91444e-05 0.000364674 0 0 0 0 0 0 0 0 0 0
0.203079 1.25863e-14 1.25851e-14 1.15039e-18 9.14001e-05 0.000292434 0 0 0 0 0 0 0 0 0 0
0.213503 1.36067e-14 1.36052e-14 1.41362e-18 0.000103892 0.000224905 0 0 0 0 0 0 0 0 0 0
0.224463 1.04609e-14 1.04598e-14 1.17562e-18 0.000112382 0.000166529 0 0 0 0 0 0 0 0 0 0
0.235984 7.13095e-15 7.13015e-15 7.97448e-19 0.000111829 0.000118873 0 0 0 0 0 0 0 0 0 0
