# 3.94133e-08 1 1 : grain size, compostion index, size index
# Heating and cooling timescale: 1.22447e+06 0.0498951
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scales: 0.5 1 2 5 10
# StochasticallyHeated: 1 1 1 1 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEm1 StEm1 EqEm2 StEm2 EqEm3 StEm3 EqEm4 StEm4 EqEm5 StEm5
0.05 2.60276e-16 2.60264e-16 1.21855e-20 4.68175e-05 0.000339431 0 0 0 0 0 0 0 0 0 0
0.0525665 3.01425e-16 3.01412e-16 1.30638e-20 4.334e-05 0.000302358 0 0 0 0 0 0 0 0 0 0
0.0552647 3.47822e-16 3.47808e-16 1.39937e-20 4.02323e-05 0.000269245 0 0 0 0 0 0 0 0 0 0
0.0581015 3.94673e-16 3.94658e-16 1.47601e-20 3.73982e-05 0.000239632 0 0 0 0 0 0 0 0 0 0
0.0610839 4.47366e-16 4.4735e-16 1.56902e-20 3.50724e-05 0.00021105 0 0 0 0 0 0 0 0 0 0
0.0642193 5.22384e-16 5.22366e-16 1.74758e-20 3.3454e-05 0.000182537 0 0 0 0 0 0 0 0 0 2.8026e-45
0.0675157 6.36049e-16 6.36029e-16 2.05264e-20 3.22718e-05 0.00015381 0 0 0 0 0 0 0 1.12104e-44 0 6.44597e-44
0.0709813 7.05363e-16 7.05341e-16 2.11735e-20 3.00179e-05 0.000128956 0 0 0 0 0 0 0 1.97583e-43 0 1.05798e-42
0.0746248 6.70162e-16 6.70144e-16 1.84752e-20 2.75683e-05 0.000111247 0 0 0 2.8026e-45 0 2.94273e-44 0 2.92451e-42 0 1.36921e-41
0.0784553 5.71331e-16 5.71317e-16 1.43246e-20 2.50723e-05 9.94657e-05 0 4.2039e-45 0 1.38729e-43 0 1.15047e-42 0 4.38116e-41 0 1.60942e-40
0.0824824 4.5912e-16 4.5911e-16 1.00748e-20 2.19437e-05 9.29951e-05 0 1.70958e-43 0 4.56963e-42 0 3.43136e-41 0 7.43145e-40 0 2.05772e-39
0.0867162 4.01141e-16 4.01133e-16 7.76436e-21 1.93557e-05 8.9308e-05 0 5.86724e-42 0 1.35136e-40 0 9.24727e-40 0 1.47653e-38 0 3.38421e-38
0.0911674 3.53357e-16 3.5335e-16 6.51331e-21 1.84327e-05 8.67327e-05 0 1.68321e-40 0 3.36303e-39 0 2.10809e-38 0 2.79952e-37 0 5.89312e-37
0.095847 2.77235e-16 2.7723e-16 5.16777e-21 1.86404e-05 9.14547e-05 0 3.5957e-39 0 6.27696e-38 0 3.6223e-37 0 4.20233e-36 0 8.5661e-36
0.100767 1.91085e-16 1.91082e-16 3.52638e-21 1.84545e-05 0.000106665 0 5.69104e-38 0 8.74076e-37 0 4.6657e-36 0 4.83339e-35 0 9.73782e-35
0.105939 1.25287e-16 1.25285e-16 2.44345e-21 1.95028e-05 0.000115066 0 7.28651e-37 0 9.91161e-36 0 4.91594e-35 0 4.60318e-34 0 9.23385e-34
0.111377 7.58338e-17 7.58323e-17 1.49487e-21 1.97125e-05 0.000131687 0 7.38243e-36 0 8.95013e-35 0 4.14244e-34 0 3.53605e-33 0 7.08136e-33
0.117094 5.81191e-17 5.81181e-17 9.32169e-22 1.60389e-05 0.00012058 0 8.17981e-35 0 8.89178e-34 0 3.85621e-33 0 3.02166e-32 0 6.04715e-32
0.123105 4.55827e-17 4.55821e-17 6.07457e-22 1.33265e-05 0.000103446 0 8.06852e-34 0 7.90935e-33 0 3.22666e-32 0 2.33515e-31 0 4.67191e-31
0.129424 3.82791e-17 3.82787e-17 3.90795e-22 1.02091e-05 8.69992e-05 0 7.46404e-33 0 6.63425e-32 0 2.55541e-31 0 1.71757e-30 0 3.43588e-30
0.136067 3.62815e-17 3.62812e-17 2.53203e-22 6.97886e-06 7.36083e-05 0 6.8706e-32 0 5.56597e-31 0 2.03143e-30 0 1.27463e-29 0 2.54966e-29
