# 3.19109e-07 1 21 : grain size, compostion index, size index
# This grain was stochastically heated: Yes
# Heating and cooling timescale: 2293.85 17.7187
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scales:  0.5 1 2 5 10
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEm1 StEm1 EqEm2 StEm2 EqEm3 StEm3 EqEm4 StEm4 EqEm5 StEm5
0.05 1.29543e-13 1.2659e-13 2.95226e-15 0.0227899 0.023226 0 0 0 0 0 0 0 0 0 0
0.0525665 1.49835e-13 1.46653e-13 3.18152e-15 0.0212336 0.0206827 0 0 0 0 0 0 0 0 0 0
0.0552647 1.72844e-13 1.6942e-13 3.42461e-15 0.0198133 0.0184033 0 0 0 0 0 0 0 0 0 0
0.0581015 1.9598e-13 1.92352e-13 3.62795e-15 0.0185118 0.0163573 0 0 0 0 0 0 0 0 0 0
0.0610839 2.22086e-13 2.18202e-13 3.88348e-15 0.0174864 0.0143968 0 0 0 0 0 0 0 0 0 0
0.0642193 2.60185e-13 2.55812e-13 4.37305e-15 0.0168075 0.0124579 0 0 0 0 0 0 0 0 0 0
0.0675157 3.20703e-13 3.15469e-13 5.23429e-15 0.0163213 0.0104943 0 0 0 0 0 0 0 0 0 0
0.0709813 3.65816e-13 3.60232e-13 5.58366e-15 0.0152636 0.00874921 0 0 0 0 0 0 0 0 0 0
0.0746248 3.59133e-13 3.54077e-13 5.05683e-15 0.0140807 0.00748017 0 0 0 0 0 0 0 0 0 0
0.0784553 3.13723e-13 3.09687e-13 4.03587e-15 0.0128645 0.00663128 0 0 0 0 0 0 0 0 0 0
0.0824824 2.54662e-13 2.51782e-13 2.87951e-15 0.0113072 0.00614297 0 0 0 0 0 0 0 0 0 0
0.0867162 2.2234e-13 2.2012e-13 2.22001e-15 0.00998476 0.00585015 0 0 0 0 0 0 0 0 0 0
0.0911674 1.96754e-13 1.94885e-13 1.86821e-15 0.00949518 0.00563676 0 0 0 0 0 0 0 0 0 0
0.095847 1.55933e-13 1.54439e-13 1.4933e-15 0.00957659 0.00590299 0 0 0 0 0 0 0 0 0 0
0.100767 1.07992e-13 1.06971e-13 1.02065e-15 0.00945122 0.0068838 0 0 0 0 0 0 0 0 0 0
0.105939 7.09726e-14 7.02657e-14 7.06812e-16 0.00995895 0.00745118 0 0 0 0 0 0 0 0 0 0
0.111377 4.29283e-14 4.24981e-14 4.30242e-16 0.0100223 0.00853015 0 0 0 0 0 0 0 0 0 0
0.117094 3.23432e-14 3.20764e-14 2.66726e-16 0.00824675 0.0078739 0 0 0 0 0 0 0 0 0 0
0.123105 2.50793e-14 2.49062e-14 1.73156e-16 0.00690432 0.00676535 0 0 0 0 0 0 0 0 0 0
0.129424 2.08696e-14 2.07585e-14 1.11054e-16 0.00532135 0.00569158 0 0 0 0 0 0 0 0 0 0
0.136067 1.96343e-14 1.95625e-14 7.17946e-17 0.00365659 0.00481702 0 0 0 0 0 0 0 0 0 0
