# 2.09606e-06 1 39 : grain size, compostion index, size index
# Heating and cooling timescale: 7.42528 6642.06
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scales: 0.5 1 2 5 10
# StochasticallyHeated: 1 1 0 0 0
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEm1 StEm1 EqEm2 StEm2 EqEm3 StEm3 EqEm4 StEm4 EqEm5 StEm5
0.05 2.29861e-11 1.15936e-11 1.13925e-11 0.495626 0.686163 0 0 0 0 0 0 0 0 0 0
0.0525665 2.43257e-11 1.24598e-11 1.18659e-11 0.487793 0.663485 0 0 0 0 0 0 0 0 0 0
0.0552647 2.57406e-11 1.34283e-11 1.23123e-11 0.478322 0.64314 0 0 0 0 0 0 0 0 0 0
0.0581015 2.69441e-11 1.4363e-11 1.2581e-11 0.466931 0.625023 0 0 0 0 0 0 0 0 0 0
0.0610839 2.8115e-11 1.51333e-11 1.29817e-11 0.461736 0.603912 0 0 0 0 0 0 0 0 0 0
0.0642193 3.01655e-11 1.61129e-11 1.40526e-11 0.46585 0.579055 0 0 0 0 0 0 0 0 0 0
0.0675157 3.35472e-11 1.78678e-11 1.56794e-11 0.467383 0.558713 0 0 0 0 0 0 0 0 0 0
0.0709813 3.69719e-11 2.00544e-11 1.69175e-11 0.457578 0.546105 0 0 0 0 0 0 0 0 0 0
0.0746248 3.92546e-11 2.17159e-11 1.75387e-11 0.446794 0.533091 0 0 0 0 0 0 0 0 0 0
0.0784553 4.02887e-11 2.26557e-11 1.76331e-11 0.437667 0.514191 0 0 0 0 0 0 0 0 0 0
0.0824824 4.02836e-11 2.29864e-11 1.72971e-11 0.429384 0.485337 0 0 0 0 0 0 0 0 0 0
0.0867162 4.05441e-11 2.31987e-11 1.73454e-11 0.427816 0.44839 0 0 0 0 0 0 0 0 0 0
0.0911674 4.14137e-11 2.3361e-11 1.80528e-11 0.435913 0.406372 0 0 0 0 0 0 0 0 0 0
0.095847 4.21756e-11 2.31731e-11 1.90025e-11 0.450556 0.361243 0 0 0 0 0 0 0 0 0 0
0.100767 4.23828e-11 2.29193e-11 1.94635e-11 0.459231 0.327098 0 0 0 0 0 0 0 0 0 0
0.105939 4.3419e-11 2.27368e-11 2.06821e-11 0.476339 0.319212 0 0 0 0 0 0 0 0 0 0
0.111377 4.01957e-11 2.12166e-11 1.89791e-11 0.472168 0.33346 0 0 0 0 0 0 0 0 0 0
0.117094 3.48101e-11 1.86546e-11 1.61555e-11 0.464104 0.331488 0 0 0 0 0 0 0 0 0 0
0.123105 2.82626e-11 1.52614e-11 1.30012e-11 0.460014 0.318374 0 0 0 0 0 0 0 0 0 0
0.129424 1.97751e-11 1.09608e-11 8.81426e-12 0.445725 0.279518 0 0 0 0 0 0 0 0 0 0
0.136067 1.42753e-11 8.56798e-12 5.70731e-12 0.399803 0.229926 0 0 0 0 0 0 0 0 0 0
0.143051 1.13077e-11 7.5611e-12 3.74661e-12 0.331332 0.191405 0 0 0 0 0 0 0 0 0 0
0.150394 1.00666e-11 7.56071e-12 2.50584e-12 0.248927 0.161447 0 0 0 0 0 0 0 0 0 0
0.158114 1.00265e-11 8.22059e-12 1.80589e-12 0.180112 0.138164 0 0 0 0 0 0 0 0 0 0
0.16623 1.0893e-11 9.35393e-12 1.53911e-12 0.141293 0.119794 0 0 0 0 0 0 0 0 0 0
0.174762 1.26741e-11 1.1035e-11 1.63911e-12 0.129328 0.104521 0 0 0 0 0 0 0 0 0 0
0.183733 1.53571e-11 1.33259e-11 2.03112e-12 0.13226 0.0907642 0 0 0 0 0 0 0 0 0 0
0.193164 1.96899e-11 1.68342e-11 2.85563e-12 0.145031 0.0774027 0 0 0 0 0 0 0 0 0 0
0.203079 2.60378e-11 2.17813e-11 4.25655e-12 0.163476 0.0632785 0 0 0 0 0 0 0 0 0 0
0.213503 3.30296e-11 2.69159e-11 6.1137e-12 0.185098 0.0488798 0 0 0 0 0 0 0 0 0 0
0.224463 3.49093e-11 2.78609e-11 7.04848e-12 0.201908 0.0367353 0 0 0 0 0 0 0 0 0 0
0.235984 2.89916e-11 2.30648e-11 5.92684e-12 0.204433 0.0276435 0 0 0 0 0 0 0 0 0 0
