# 1.2401e-05 1 56 : grain size, compostion index, size index
# Heating and cooling timescale: 0.0262391 324305
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scales: 0.5 1 2 5 10
# StochasticallyHeated: 0 0 0 0 0
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEm1 StEm1 EqEm2 StEm2 EqEm3 StEm3 EqEm4 StEm4 EqEm5 StEm5
0.05 1.03621e-09 3.75407e-10 6.60802e-10 0.637711 0.850973 0 0 0 0 0 0 0 0 0 0
0.0525665 1.04777e-09 3.7799e-10 6.69777e-10 0.639242 0.838751 0 0 0 0 0 0 0 0 0 0
0.0552647 1.06e-09 3.82625e-10 6.77371e-10 0.639032 0.828514 0 0 0 0 0 0 0 0 0 0
0.0581015 1.07094e-09 3.89177e-10 6.81763e-10 0.636602 0.821941 0 0 0 0 0 0 0 0 0 0
0.0610839 1.08197e-09 3.91219e-10 6.90755e-10 0.638421 0.813277 0 0 0 0 0 0 0 0 0 0
0.0642193 1.09956e-09 3.87679e-10 7.11879e-10 0.647423 0.796337 0 0 0 0 0 0 0 0 0 0
0.0675157 1.12568e-09 3.90245e-10 7.35433e-10 0.653325 0.778414 0 0 0 0 0 0 0 0 0 0
0.0709813 1.15353e-09 4.08272e-10 7.45255e-10 0.646066 0.772111 0 0 0 0 0 0 0 0 0 0
0.0746248 1.17654e-09 4.31109e-10 7.45433e-10 0.63358 0.773103 0 0 0 0 0 0 0 0 0 0
0.0784553 1.19277e-09 4.52036e-10 7.40735e-10 0.62102 0.776729 0 0 0 0 0 0 0 0 0 0
0.0824824 1.20194e-09 4.6971e-10 7.32234e-10 0.609208 0.780191 0 0 0 0 0 0 0 0 0 0
0.0867162 1.21129e-09 4.79448e-10 7.3184e-10 0.604183 0.777209 0 0 0 0 0 0 0 0 0 0
0.0911674 1.22419e-09 4.86766e-10 7.37429e-10 0.602379 0.77096 0 0 0 0 0 0 0 0 0 0
0.095847 1.23327e-09 4.95293e-10 7.37976e-10 0.59839 0.767123 0 0 0 0 0 0 0 0 0 0
0.100767 1.22897e-09 5.09498e-10 7.19468e-10 0.585425 0.773231 0 0 0 0 0 0 0 0 0 0
0.105939 1.224e-09 5.22956e-10 7.01048e-10 0.57275 0.782674 0 0 0 0 0 0 0 0 0 0
0.111377 1.21086e-09 5.46232e-10 6.64625e-10 0.548888 0.802844 0 0 0 0 0 0 0 0 0 0
0.117094 1.21405e-09 5.79806e-10 6.34245e-10 0.522421 0.829729 0 0 0 0 0 0 0 0 0 0
0.123105 1.22312e-09 6.07196e-10 6.15921e-10 0.503567 0.849264 0 0 0 0 0 0 0 0 0 0
0.129424 1.21797e-09 6.31783e-10 5.86189e-10 0.481283 0.855769 0 0 0 0 0 0 0 0 0 0
0.136067 1.25192e-09 6.40679e-10 6.11236e-10 0.488241 0.86315 0 0 0 0 0 0 0 0 0 0
0.143051 1.25953e-09 6.31984e-10 6.27546e-10 0.498238 0.880645 0 0 0 0 0 0 0 0 0 0
0.150394 1.16182e-09 6.21967e-10 5.3985e-10 0.46466 0.885805 0 0 0 0 0 0 0 0 0 0
0.158114 1.07212e-09 6.13315e-10 4.58809e-10 0.427944 0.8711 0 0 0 0 0 0 0 0 0 0
0.16623 1.07074e-09 6.04431e-10 4.66307e-10 0.435501 0.85209 0 0 0 0 0 0 0 0 0 0
0.174762 1.12438e-09 5.97249e-10 5.27133e-10 0.46882 0.823645 0 0 0 0 0 0 0 0 0 0
0.183733 1.19579e-09 5.8833e-10 6.07464e-10 0.508 0.789507 0 0 0 0 0 0 0 0 0 0
0.193164 1.28458e-09 5.87405e-10 6.97179e-10 0.542727 0.760517 0 0 0 0 0 0 0 0 0 0
0.203079 1.36141e-09 5.95702e-10 7.65705e-10 0.562437 0.739728 0 0 0 0 0 0 0 0 0 0
0.213503 1.42358e-09 6.05941e-10 8.17641e-10 0.574355 0.722052 0 0 0 0 0 0 0 0 0 0
0.224463 1.4691e-09 6.09891e-10 8.59213e-10 0.584855 0.706049 0 0 0 0 0 0 0 0 0 0
0.235984 1.47824e-09 6.03274e-10 8.74965e-10 0.591897 0.687624 0 0 0 0 0 0 0 0 0 0
0.248097 1.45159e-09 5.91176e-10 8.6041e-10 0.592738 0.667035 0 0 0 0 0 0 0 0 0 0
0.260832 1.43021e-09 5.93269e-10 8.36938e-10 0.585187 0.654351 0 0 0 0 0 0 0 0 0 0
0.274221 1.41949e-09 6.07167e-10 8.12326e-10 0.572265 0.646412 0 0 0 0 0 0 0 0 0 0
