# 2.86268e-05 1 64 : grain size, compostion index, size index
# Heating and cooling timescale: 0.00331208 1.12969e+06
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scales: 0.5 1 2 5 10
StochasticallyHeated: 0 0 0 0 0
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEm1 StEm1 EqEm2 StEm2 EqEm3 StEm3 EqEm4 StEm4 EqEm5 StEm5
0.05 5.4376e-09 1.91537e-09 3.52223e-09 0.647755 0.85758 0 0 0 0 0 0 0 0 0 0
0.0525665 5.46898e-09 1.9057e-09 3.56327e-09 0.651543 0.845701 0 0 0 0 0 0 0 0 0 0
0.0552647 5.50198e-09 1.90521e-09 3.59677e-09 0.653723 0.835828 0 0 0 0 0 0 0 0 0 0
0.0581015 5.53217e-09 1.91632e-09 3.61586e-09 0.653605 0.829705 0 0 0 0 0 0 0 0 0 0
0.0610839 5.56237e-09 1.90738e-09 3.65499e-09 0.657092 0.821418 0 0 0 0 0 0 0 0 0 0
0.0642193 5.60721e-09 1.86318e-09 3.74403e-09 0.667718 0.804474 0 0 0 0 0 0 0 0 0 0
0.0675157 5.67159e-09 1.83425e-09 3.83735e-09 0.676591 0.786181 0 0 0 0 0 0 0 0 0 0
0.0709813 5.74164e-09 1.8763e-09 3.86534e-09 0.673212 0.779783 0 0 0 0 0 0 0 0 0 0
0.0746248 5.80403e-09 1.95111e-09 3.85292e-09 0.663835 0.781124 0 0 0 0 0 0 0 0 0 0
0.0784553 5.85469e-09 2.03069e-09 3.824e-09 0.653152 0.785589 0 0 0 0 0 0 0 0 0 0
0.0824824 5.89258e-09 2.10882e-09 3.78376e-09 0.642123 0.790572 0 0 0 0 0 0 0 0 0 0
0.0867162 5.92729e-09 2.14784e-09 3.77944e-09 0.637634 0.788995 0 0 0 0 0 0 0 0 0 0
0.0911674 5.96962e-09 2.17181e-09 3.7978e-09 0.636189 0.783859 0 0 0 0 0 0 0 0 0 0
0.095847 6.00352e-09 2.21015e-09 3.79337e-09 0.631857 0.781563 0 0 0 0 0 0 0 0 0 0
0.100767 5.99993e-09 2.28926e-09 3.71066e-09 0.618452 0.790469 0 0 0 0 0 0 0 0 0 0
0.105939 5.98751e-09 2.3598e-09 3.62771e-09 0.60588 0.802467 0 0 0 0 0 0 0 0 0 0
0.111377 5.94071e-09 2.47172e-09 3.46899e-09 0.583935 0.825833 0 0 0 0 0 0 0 0 0 0
0.117094 5.93728e-09 2.61044e-09 3.32684e-09 0.560331 0.854658 0 0 0 0 0 0 0 0 0 0
0.123105 5.95227e-09 2.71417e-09 3.23809e-09 0.54401 0.874974 0 0 0 0 0 0 0 0 0 0
0.129424 5.97424e-09 2.81189e-09 3.16236e-09 0.529332 0.892978 0 0 0 0 0 0 0 0 0 0
0.136067 5.98778e-09 2.89514e-09 3.09264e-09 0.516492 0.907559 0 0 0 0 0 0 0 0 0 0
0.143051 5.974e-09 2.95134e-09 3.02265e-09 0.505969 0.91817 0 0 0 0 0 0 0 0 0 0
0.150394 5.89567e-09 2.94901e-09 2.94666e-09 0.499801 0.924563 0 0 0 0 0 0 0 0 0 0
0.158114 5.77642e-09 2.90309e-09 2.87333e-09 0.497424 0.923966 0 0 0 0 0 0 0 0 0 0
0.16623 5.75601e-09 2.82333e-09 2.93268e-09 0.509499 0.911915 0 0 0 0 0 0 0 0 0 0
0.174762 5.85533e-09 2.72722e-09 3.1281e-09 0.534232 0.885886 0 0 0 0 0 0 0 0 0 0
0.183733 5.99825e-09 2.63084e-09 3.36742e-09 0.5614 0.852858 0 0 0 0 0 0 0 0 0 0
0.193164 6.17492e-09 2.55318e-09 3.62174e-09 0.586524 0.82067 0 0 0 0 0 0 0 0 0 0
0.203079 6.36905e-09 2.51368e-09 3.85537e-09 0.605329 0.795091 0 0 0 0 0 0 0 0 0 0
0.213503 6.57833e-09 2.50159e-09 4.07675e-09 0.619723 0.775325 0 0 0 0 0 0 0 0 0 0
0.224463 6.7791e-09 2.52022e-09 4.25888e-09 0.628237 0.762185 0 0 0 0 0 0 0 0 0 0
0.235984 6.88353e-09 2.51752e-09 4.36601e-09 0.63427 0.751089 0 0 0 0 0 0 0 0 0 0
0.248097 6.8646e-09 2.51835e-09 4.34625e-09 0.63314 0.742951 0 0 0 0 0 0 0 0 0 0
0.260832 6.79879e-09 2.54838e-09 4.25041e-09 0.625171 0.738337 0 0 0 0 0 0 0 0 0 0
0.274221 6.7369e-09 2.59116e-09 4.14574e-09 0.615378 0.735735 0 0 0 0 0 0 0 0 0 0
0.288297 6.70829e-09 2.67468e-09 4.03361e-09 0.601288 0.738706 0 0 0 0 0 0 0 0 0 0
0.303095 6.70736e-09 2.74286e-09 3.9645e-09 0.591067 0.7404 0 0 0 0 0 0 0 0 0 0
0.318653 6.72059e-09 2.80851e-09 3.91209e-09 0.582104 0.741885 0 0 0 0 0 0 0 0 0 0
0.335009 6.74475e-09 2.87239e-09 3.87236e-09 0.574129 0.742575 0 0 0 0 0 0 0 0 0 0
0.352205 6.77447e-09 2.92649e-09 3.84799e-09 0.568013 0.741521 0 0 0 0 0 0 0 0 0 0
0.370284 6.81202e-09 2.97543e-09 3.83659e-09 0.563209 0.739353 0 0 0 0 0 0 0 0 0 0
0.389291 6.85448e-09 3.02103e-09 3.83345e-09 0.559262 0.735829 0 0 0 0 0 0 0 0 0 0
0.409273 6.8957e-09 3.06333e-09 3.83237e-09 0.555762 0.731219 0 0 0 0 0 0 0 0 0 0
0.430281 6.93923e-09 3.10201e-09 3.83722e-09 0.552975 0.726016 0 0 0 0 0 0 0 0 0 0
0.452368 6.99465e-09 3.14538e-09 3.84927e-09 0.550316 0.721739 0 0 0 0 0 0 0 0 0 0
0.475588 7.05514e-09 3.19249e-09 3.86265e-09 0.547495 0.717929 0 0 0 0 0 0 0 0 0 0
0.5 7.09553e-09 3.23548e-09 3.86005e-09 0.544011 0.71196 0 0 0 0 0 0 0 0 0 0
0.525665 7.10813e-09 3.28051e-09 3.82762e-09 0.538485 0.702769 0 0 0 0 0 0 0 0 0 0
0.552647 7.09684e-09 3.33209e-09 3.76474e-09 0.530482 0.691917 0 0 0 0 0 0 0 0 0 0
0.581015 7.01701e-09 3.33584e-09 3.68118e-09 0.524607 0.670329 0 0 0 0 0 0 0 0 0 0
0.610839 7.0093e-09 3.35606e-09 3.65324e-09 0.521199 0.635694 0 0 0 0 0 0 0 0 0 0
0.642193 7.13429e-09 3.40722e-09 3.72707e-09 0.522416 0.605889 0 0 0 0 0 0 0 0 0 0
0.675157 7.25198e-09 3.40953e-09 3.84245e-09 0.529849 0.591542 0 0 0 0 0 0 0 0 0 0
0.709813 7.30089e-09 3.35831e-09 3.94257e-09 0.540013 0.575955 0 0 0 0 0 0 0 0 0 0
0.746248 7.6352e-09 3.39793e-09 4.23727e-09 0.554965 0.547156 0 0 0 0 0 0 0 0 0 0
0.784553 7.83922e-09 3.21658e-09 4.62264e-09 0.589681 0.514623 0 0 0 0 0 0 0 0 0 0
0.824824 8.12865e-09 3.06048e-09 5.06817e-09 0.623495 0.50961 0 0 0 0 0 0 0 0 0 0
0.867162 8.54209e-09 3.06553e-09 5.47656e-09 0.641126 0.516102 0 0 0 0 0 0 0 0 0 0
0.911674 9.063e-09 3.17349e-09 5.88951e-09 0.649841 0.522636 0 0 0 0 0 0 0 0 0 0
0.95847 9.4517e-09 3.28417e-09 6.16752e-09 0.652531 0.511228 0 0 0 0 0 0 0 0 0 0
1.00767 8.98016e-09 3.04634e-09 5.93382e-09 0.66077 0.474944 0 0 0 0 0 0 0 0 0 0
1.05939 8.55293e-09 2.78995e-09 5.76298e-09 0.673802 0.4376 0 0 0 0 0 0 0 0 0 0
1.11377 8.48171e-09 2.66011e-09 5.8216e-09 0.686371 0.40309 0 0 0 0 0 0 0 0 0 0
1.17094 8.62267e-09 2.61588e-09 6.00679e-09 0.696628 0.371434 0 0 0 0 0 0 0 0 0 0
1.23105 8.90724e-09 2.6278e-09 6.27944e-09 0.704981 0.345717 0 0 0 0 0 0 0 0 0 0
