# 3.17825e-05 1 65 : grain size, compostion index, size index
# This grain was stochastically heated: No
# Heating and cooling timescale: 0.00265434 1.20794e+06
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scales:  0.5 1 2 5 10
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEm1 StEm1 EqEm2 StEm2 EqEm3 StEm3 EqEm4 StEm4 EqEm5 StEm5
0.05 6.68704e-09 2.35154e-09 4.3355e-09 0.648344 0.857863 0 0 0 0 0 0 0 0 0 0
0.0525665 6.72258e-09 2.33731e-09 4.38526e-09 0.652319 0.845985 0 0 0 0 0 0 0 0 0 0
0.0552647 6.75994e-09 2.33421e-09 4.42573e-09 0.6547 0.836118 0 0 0 0 0 0 0 0 0 0
0.0581015 6.79421e-09 2.34551e-09 4.4487e-09 0.654778 0.830013 0 0 0 0 0 0 0 0 0 0
0.0610839 6.82844e-09 2.33258e-09 4.49587e-09 0.658403 0.821733 0 0 0 0 0 0 0 0 0 0
0.0642193 6.87887e-09 2.27576e-09 4.60311e-09 0.669166 0.804758 0 0 0 0 0 0 0 0 0 0
0.0675157 6.95097e-09 2.23605e-09 4.71492e-09 0.678311 0.786401 0 0 0 0 0 0 0 0 0 0
0.0709813 7.02947e-09 2.28238e-09 4.74709e-09 0.675313 0.779977 0 0 0 0 0 0 0 0 0 0
0.0746248 7.09987e-09 2.36931e-09 4.73056e-09 0.666289 0.781331 0 0 0 0 0 0 0 0 0 0
0.0784553 7.15777e-09 2.46321e-09 4.69457e-09 0.65587 0.785842 0 0 0 0 0 0 0 0 0 0
0.0824824 7.20218e-09 2.55676e-09 4.64542e-09 0.645002 0.79092 0 0 0 0 0 0 0 0 0 0
0.0867162 7.24283e-09 2.60294e-09 4.63989e-09 0.640619 0.789426 0 0 0 0 0 0 0 0 0 0
0.0911674 7.29192e-09 2.63038e-09 4.66153e-09 0.639274 0.784344 0 0 0 0 0 0 0 0 0 0
0.095847 7.33179e-09 2.67619e-09 4.65561e-09 0.634989 0.782135 0 0 0 0 0 0 0 0 0 0
0.100767 7.3295e-09 2.77369e-09 4.55581e-09 0.621572 0.791255 0 0 0 0 0 0 0 0 0 0
0.105939 7.3164e-09 2.86072e-09 4.45568e-09 0.608999 0.80346 0 0 0 0 0 0 0 0 0 0
0.111377 7.26274e-09 2.99822e-09 4.26453e-09 0.587178 0.827116 0 0 0 0 0 0 0 0 0 0
0.117094 7.25762e-09 3.16539e-09 4.09223e-09 0.563853 0.856145 0 0 0 0 0 0 0 0 0 0
0.123105 7.27394e-09 3.28944e-09 3.9845e-09 0.547777 0.876602 0 0 0 0 0 0 0 0 0 0
0.129424 7.29764e-09 3.40593e-09 3.89171e-09 0.533283 0.894746 0 0 0 0 0 0 0 0 0 0
0.136067 7.31382e-09 3.50501e-09 3.80881e-09 0.520769 0.909382 0 0 0 0 0 0 0 0 0 0
0.143051 7.30122e-09 3.5747e-09 3.72652e-09 0.510397 0.920466 0 0 0 0 0 0 0 0 0 0
0.150394 7.21465e-09 3.579e-09 3.63565e-09 0.503926 0.926897 0 0 0 0 0 0 0 0 0 0
0.158114 7.09014e-09 3.52626e-09 3.56388e-09 0.502653 0.926458 0 0 0 0 0 0 0 0 0 0
0.16623 7.06805e-09 3.42871e-09 3.63934e-09 0.5149 0.914678 0 0 0 0 0 0 0 0 0 0
0.174762 7.18328e-09 3.30655e-09 3.87673e-09 0.539689 0.888905 0 0 0 0 0 0 0 0 0 0
0.183733 7.34303e-09 3.18133e-09 4.1617e-09 0.566755 0.85582 0 0 0 0 0 0 0 0 0 0
0.193164 7.53377e-09 3.07643e-09 4.45734e-09 0.591648 0.82325 0 0 0 0 0 0 0 0 0 0
0.203079 7.75334e-09 3.01743e-09 4.7359e-09 0.610821 0.797639 0 0 0 0 0 0 0 0 0 0
0.213503 7.99206e-09 2.9939e-09 4.99816e-09 0.62539 0.777832 0 0 0 0 0 0 0 0 0 0
0.224463 8.22565e-09 3.01429e-09 5.21136e-09 0.63355 0.764744 0 0 0 0 0 0 0 0 0 0
0.235984 8.35534e-09 3.01589e-09 5.33945e-09 0.639047 0.75405 0 0 0 0 0 0 0 0 0 0
0.248097 8.34365e-09 3.02474e-09 5.31891e-09 0.63748 0.746578 0 0 0 0 0 0 0 0 0 0
0.260832 8.26936e-09 3.06223e-09 5.20713e-09 0.62969 0.742556 0 0 0 0 0 0 0 0 0 0
0.274221 8.19981e-09 3.11736e-09 5.08245e-09 0.619825 0.740602 0 0 0 0 0 0 0 0 0 0
0.288297 8.16256e-09 3.21445e-09 4.94811e-09 0.606195 0.743936 0 0 0 0 0 0 0 0 0 0
0.303095 8.16347e-09 3.29702e-09 4.86645e-09 0.596126 0.74643 0 0 0 0 0 0 0 0 0 0
0.318653 8.17682e-09 3.37505e-09 4.80177e-09 0.587242 0.748276 0 0 0 0 0 0 0 0 0 0
0.335009 8.20152e-09 3.44663e-09 4.75489e-09 0.579757 0.74933 0 0 0 0 0 0 0 0 0 0
0.352205 8.23965e-09 3.51238e-09 4.72727e-09 0.573722 0.749251 0 0 0 0 0 0 0 0 0 0
0.370284 8.2828e-09 3.57186e-09 4.71095e-09 0.568762 0.747604 0 0 0 0 0 0 0 0 0 0
0.389291 8.32504e-09 3.61962e-09 4.70542e-09 0.565213 0.744066 0 0 0 0 0 0 0 0 0 0
