# 0.00035215 1 88 : grain size, compostion index, size index
# This grain was stochastically heated: No
# Heating and cooling timescale: 2.58865e-05 7.08072e+09
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scales:  0.5 1 2 5 10
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEm1 StEm1 EqEm2 StEm2 EqEm3 StEm3 EqEm4 StEm4 EqEm5 StEm5
0.05 7.90504e-07 2.77547e-07 5.12957e-07 0.648898 0.856031 0 0 0 0 0 0 0 0 0 0
0.0525665 7.91155e-07 2.73317e-07 5.17838e-07 0.654534 0.843763 0 0 0 0 0 0 0 0 0 0
0.0552647 7.91834e-07 2.70212e-07 5.21622e-07 0.658751 0.833589 0 0 0 0 0 0 0 0 0 0
0.0581015 7.92486e-07 2.68966e-07 5.2352e-07 0.660604 0.827366 0 0 0 0 0 0 0 0 0 0
0.0610839 7.9314e-07 2.65383e-07 5.27757e-07 0.665402 0.818802 0 0 0 0 0 0 0 0 0 0
0.0642193 7.93973e-07 2.56144e-07 5.37829e-07 0.677389 0.800905 0 0 0 0 0 0 0 0 0 0
0.0675157 7.95036e-07 2.47158e-07 5.47878e-07 0.689123 0.781358 0 0 0 0 0 0 0 0 0 0
0.0709813 7.96181e-07 2.46847e-07 5.49334e-07 0.689961 0.774439 0 0 0 0 0 0 0 0 0 0
0.0746248 7.97277e-07 2.51268e-07 5.46009e-07 0.684842 0.775837 0 0 0 0 0 0 0 0 0 0
0.0784553 7.98297e-07 2.57155e-07 5.41142e-07 0.677871 0.780714 0 0 0 0 0 0 0 0 0 0
0.0824824 7.99299e-07 2.63826e-07 5.35472e-07 0.669928 0.78653 0 0 0 0 0 0 0 0 0 0
0.0867162 8.00311e-07 2.65897e-07 5.34414e-07 0.667758 0.785471 0 0 0 0 0 0 0 0 0 0
0.0911674 8.01455e-07 2.65471e-07 5.35983e-07 0.668763 0.78046 0 0 0 0 0 0 0 0 0 0
0.095847 8.02589e-07 2.67511e-07 5.35078e-07 0.66669 0.778735 0 0 0 0 0 0 0 0 0 0
0.100767 8.03277e-07 2.77555e-07 5.25722e-07 0.654472 0.78988 0 0 0 0 0 0 0 0 0 0
0.105939 8.03703e-07 2.87386e-07 5.16317e-07 0.642423 0.804163 0 0 0 0 0 0 0 0 0 0
0.111377 8.03399e-07 3.04513e-07 4.98886e-07 0.620969 0.8314 0 0 0 0 0 0 0 0 0 0
0.117094 8.03221e-07 3.21841e-07 4.8138e-07 0.599312 0.863069 0 0 0 0 0 0 0 0 0 0
0.123105 8.03544e-07 3.33267e-07 4.70278e-07 0.585254 0.885255 0 0 0 0 0 0 0 0 0 0
0.129424 8.04052e-07 3.4315e-07 4.60902e-07 0.573224 0.904827 0 0 0 0 0 0 0 0 0 0
0.136067 8.0456e-07 3.51212e-07 4.53348e-07 0.563474 0.92069 0 0 0 0 0 0 0 0 0 0
0.143051 8.04817e-07 3.57516e-07 4.473e-07 0.555779 0.933053 0 0 0 0 0 0 0 0 0 0
0.150394 8.04586e-07 3.60914e-07 4.43671e-07 0.551428 0.941007 0 0 0 0 0 0 0 0 0 0
0.158114 8.04262e-07 3.5927e-07 4.44992e-07 0.553293 0.941841 0 0 0 0 0 0 0 0 0 0
0.16623 8.04726e-07 3.50302e-07 4.54425e-07 0.564695 0.93129 0 0 0 0 0 0 0 0 0 0
0.174762 8.06445e-07 3.33687e-07 4.72759e-07 0.586225 0.905562 0 0 0 0 0 0 0 0 0 0
0.183733 8.08707e-07 3.13312e-07 4.95395e-07 0.612576 0.870934 0 0 0 0 0 0 0 0 0 0
