# 0.000812916 1 96 : grain size, compostion index, size index
# Heating and cooling timescale: 5.08391e-06 5.10285e+15
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scales: 0.5 1 2 5 10
StochasticallyHeated: 0 0 0 0 0
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEm1 StEm1 EqEm2 StEm2 EqEm3 StEm3 EqEm4 StEm4 EqEm5 StEm5
0.05 4.18827e-06 1.47481e-06 2.71346e-06 0.647871 0.855052 0 0 0 0 0 0 0 0 0 0
0.0525665 4.19011e-06 1.45143e-06 2.73868e-06 0.653605 0.842678 0 0 0 0 0 0 0 0 0 0
0.0552647 4.19203e-06 1.43395e-06 2.75808e-06 0.657934 0.832412 0 0 0 0 0 0 0 0 0 0
0.0581015 4.19389e-06 1.42639e-06 2.7675e-06 0.659889 0.826125 0 0 0 0 0 0 0 0 0 0
0.0610839 4.19578e-06 1.40666e-06 2.78911e-06 0.664743 0.817465 0 0 0 0 0 0 0 0 0 0
0.0642193 4.19808e-06 1.35681e-06 2.84127e-06 0.676803 0.799378 0 0 0 0 0 0 0 0 0 0
0.0675157 4.20093e-06 1.30767e-06 2.89326e-06 0.688719 0.779619 0 0 0 0 0 0 0 0 0 0
0.0709813 4.20397e-06 1.30399e-06 2.89997e-06 0.689818 0.772607 0 0 0 0 0 0 0 0 0 0
0.0746248 4.2069e-06 1.32526e-06 2.88165e-06 0.68498 0.773991 0 0 0 0 0 0 0 0 0 0
0.0784553 4.2097e-06 1.35432e-06 2.85538e-06 0.678286 0.778892 0 0 0 0 0 0 0 0 0 0
0.0824824 4.21248e-06 1.38742e-06 2.82506e-06 0.67064 0.784754 0 0 0 0 0 0 0 0 0 0
0.0867162 4.21532e-06 1.39631e-06 2.819e-06 0.668752 0.783675 0 0 0 0 0 0 0 0 0 0
0.0911674 4.2185e-06 1.39168e-06 2.82682e-06 0.670101 0.778604 0 0 0 0 0 0 0 0 0 0
0.095847 4.22176e-06 1.39974e-06 2.82201e-06 0.668445 0.776879 0 0 0 0 0 0 0 0 0 0
0.100767 4.22405e-06 1.45066e-06 2.77339e-06 0.656572 0.788206 0 0 0 0 0 0 0 0 0 0
0.105939 4.22568e-06 1.50125e-06 2.72443e-06 0.644731 0.802692 0 0 0 0 0 0 0 0 0 0
0.111377 4.2258e-06 1.59174e-06 2.63406e-06 0.623328 0.830348 0 0 0 0 0 0 0 0 0 0
0.117094 4.22574e-06 1.68384e-06 2.5419e-06 0.601527 0.862365 0 0 0 0 0 0 0 0 0 0
0.123105 4.22694e-06 1.74378e-06 2.48317e-06 0.587462 0.884783 0 0 0 0 0 0 0 0 0 0
0.129424 4.22863e-06 1.79503e-06 2.4336e-06 0.575505 0.904556 0 0 0 0 0 0 0 0 0 0
0.136067 4.23037e-06 1.83637e-06 2.394e-06 0.565907 0.920586 0 0 0 0 0 0 0 0 0 0
0.143051 4.23159e-06 1.86859e-06 2.363e-06 0.558418 0.933088 0 0 0 0 0 0 0 0 0 0
0.150394 4.23176e-06 1.88654e-06 2.34522e-06 0.554195 0.941145 0 0 0 0 0 0 0 0 0 0
0.158114 4.2318e-06 1.87927e-06 2.35253e-06 0.555917 0.942023 0 0 0 0 0 0 0 0 0 0
0.16623 4.23365e-06 1.83373e-06 2.39992e-06 0.566869 0.931382 0 0 0 0 0 0 0 0 0 0
0.174762 4.23835e-06 1.74613e-06 2.49221e-06 0.588015 0.905308 0 0 0 0 0 0 0 0 0 0
0.183733 4.24429e-06 1.63699e-06 2.6073e-06 0.614307 0.870121 0 0 0 0 0 0 0 0 0 0
0.193164 4.25096e-06 1.52436e-06 2.7266e-06 0.641408 0.833922 0 0 0 0 0 0 0 0 0 0
0.203079 4.25811e-06 1.4272e-06 2.83091e-06 0.664827 0.804035 0 0 0 0 0 0 0 0 0 0
0.213503 4.26595e-06 1.34445e-06 2.9215e-06 0.684842 0.779761 0 0 0 0 0 0 0 0 0 0
0.224463 4.27513e-06 1.29123e-06 2.98389e-06 0.697966 0.76304 0 0 0 0 0 0 0 0 0 0
0.235984 4.28545e-06 1.26388e-06 3.02158e-06 0.705077 0.751835 0 0 0 0 0 0 0 0 0 0
0.248097 4.29622e-06 1.27616e-06 3.02006e-06 0.702957 0.74822 0 0 0 0 0 0 0 0 0 0
0.260832 4.30425e-06 1.31233e-06 2.99192e-06 0.695109 0.750275 0 0 0 0 0 0 0 0 0 0
0.274221 4.30889e-06 1.35319e-06 2.95571e-06 0.685955 0.754264 0 0 0 0 0 0 0 0 0 0
0.288297 4.31019e-06 1.40347e-06 2.90672e-06 0.674384 0.763407 0 0 0 0 0 0 0 0 0 0
0.303095 4.31225e-06 1.43822e-06 2.87403e-06 0.66648 0.770413 0 0 0 0 0 0 0 0 0 0
0.318653 4.31475e-06 1.46679e-06 2.84796e-06 0.660052 0.776588 0 0 0 0 0 0 0 0 0 0
0.335009 4.31794e-06 1.48986e-06 2.82809e-06 0.654961 0.781914 0 0 0 0 0 0 0 0 0 0
0.352205 4.32194e-06 1.50647e-06 2.81547e-06 0.651437 0.785679 0 0 0 0 0 0 0 0 0 0
0.370284 4.32654e-06 1.51808e-06 2.80845e-06 0.649123 0.788003 0 0 0 0 0 0 0 0 0 0
0.389291 4.33154e-06 1.52533e-06 2.80621e-06 0.647854 0.788889 0 0 0 0 0 0 0 0 0 0
0.409273 4.33674e-06 1.53133e-06 2.80541e-06 0.646894 0.789413 0 0 0 0 0 0 0 0 0 0
0.430281 4.34206e-06 1.53678e-06 2.80528e-06 0.646072 0.789773 0 0 0 0 0 0 0 0 0 0
0.452368 4.34771e-06 1.54238e-06 2.80533e-06 0.645243 0.79032 0 0 0 0 0 0 0 0 0 0
0.475588 4.35359e-06 1.54773e-06 2.80586e-06 0.644493 0.79081 0 0 0 0 0 0 0 0 0 0
0.5 4.35985e-06 1.55226e-06 2.80758e-06 0.643964 0.791043 0 0 0 0 0 0 0 0 0 0
0.525665 4.36648e-06 1.55631e-06 2.81017e-06 0.643578 0.791116 0 0 0 0 0 0 0 0 0 0
0.552647 4.37332e-06 1.56011e-06 2.81322e-06 0.643268 0.791067 0 0 0 0 0 0 0 0 0 0
0.581015 4.38074e-06 1.56158e-06 2.81915e-06 0.643534 0.790234 0 0 0 0 0 0 0 0 0 0
0.610839 4.38835e-06 1.56304e-06 2.82531e-06 0.64382 0.78936 0 0 0 0 0 0 0 0 0 0
0.642193 4.39619e-06 1.56447e-06 2.83173e-06 0.644131 0.788441 0 0 0 0 0 0 0 0 0 0
0.675157 4.40434e-06 1.56504e-06 2.8393e-06 0.644659 0.787207 0 0 0 0 0 0 0 0 0 0
0.709813 4.41278e-06 1.56482e-06 2.84796e-06 0.64539 0.785677 0 0 0 0 0 0 0 0 0 0
0.746248 4.42143e-06 1.56423e-06 2.8572e-06 0.646216 0.783991 0 0 0 0 0 0 0 0 0 0
0.784553 4.43027e-06 1.56356e-06 2.86671e-06 0.647073 0.782258 0 0 0 0 0 0 0 0 0 0
0.824824 4.43929e-06 1.56283e-06 2.87646e-06 0.647955 0.78047 0 0 0 0 0 0 0 0 0 0
0.867162 4.44847e-06 1.56201e-06 2.88646e-06 0.648866 0.77863 0 0 0 0 0 0 0 0 0 0
0.911674 4.4578e-06 1.56122e-06 2.89658e-06 0.649779 0.776774 0 0 0 0 0 0 0 0 0 0
0.95847 4.46721e-06 1.56069e-06 2.90653e-06 0.650636 0.774956 0 0 0 0 0 0 0 0 0 0
1.00767 4.47681e-06 1.56014e-06 2.91667e-06 0.651506 0.773121 0 0 0 0 0 0 0 0 0 0
1.05939 4.48652e-06 1.56006e-06 2.92647e-06 0.65228 0.771381 0 0 0 0 0 0 0 0 0 0
1.11377 4.49641e-06 1.55983e-06 2.93657e-06 0.653094 0.769591 0 0 0 0 0 0 0 0 0 0
1.17094 4.50656e-06 1.56004e-06 2.94652e-06 0.653829 0.767889 0 0 0 0 0 0 0 0 0 0
1.23105 4.51655e-06 1.56022e-06 2.95633e-06 0.654555 0.766143 0 0 0 0 0 0 0 0 0 0
1.29424 4.52609e-06 1.55978e-06 2.96631e-06 0.65538 0.764194 0 0 0 0 0 0 0 0 0 0
1.36067 4.53672e-06 1.55925e-06 2.97747e-06 0.656304 0.762276 0 0 0 0 0 0 0 0 0 0
1.43051 4.55126e-06 1.55855e-06 2.9927e-06 0.657555 0.760509 0 0 0 0 0 0 0 0 0 0
1.50394 4.56075e-06 1.55744e-06 3.00331e-06 0.658512 0.758406 0 0 0 0 0 0 0 0 0 0
1.58114 4.56523e-06 1.5554e-06 3.00983e-06 0.659294 0.755829 0 0 0 0 0 0 0 0 0 0
1.6623 4.58988e-06 1.55192e-06 3.03796e-06 0.661882 0.753983 0 0 0 0 0 0 0 0 0 0
1.74762 4.58924e-06 1.54706e-06 3.04218e-06 0.662893 0.750652 0 0 0 0 0 0 0 0 0 0
1.83733 4.60681e-06 1.54126e-06 3.06555e-06 0.665439 0.747948 0 0 0 0 0 0 0 0 0 0
1.93164 4.61976e-06 1.53447e-06 3.08529e-06 0.667846 0.744898 0 0 0 0 0 0 0 0 0 0
2.03079 4.62789e-06 1.52624e-06 3.10165e-06 0.670208 0.741187 0 0 0 0 0 0 0 0 0 0
2.13503 4.64313e-06 1.51633e-06 3.1268e-06 0.673426 0.737572 0 0 0 0 0 0 0 0 0 0
