# 0.000902528 1 97 : grain size, compostion index, size index
# Heating and cooling timescale: 4.14681e-06 6.79611e+16
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scales: 0.5 1 2 5 10
# StochasticallyHeated: 0 0 0 0 0
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEm1 StEm1 EqEm2 StEm2 EqEm3 StEm3 EqEm4 StEm4 EqEm5 StEm5
0.05 5.15974e-06 1.81748e-06 3.34226e-06 0.647758 0.854952 0 0 0 0 0 0 0 0 0 0
0.0525665 5.16186e-06 1.78858e-06 3.37328e-06 0.6535 0.842567 0 0 0 0 0 0 0 0 0 0
0.0552647 5.16404e-06 1.76694e-06 3.3971e-06 0.657837 0.832291 0 0 0 0 0 0 0 0 0 0
0.0581015 5.16617e-06 1.75753e-06 3.40864e-06 0.6598 0.825998 0 0 0 0 0 0 0 0 0 0
0.0610839 5.16831e-06 1.73316e-06 3.43515e-06 0.664657 0.817329 0 0 0 0 0 0 0 0 0 0
0.0642193 5.17092e-06 1.67164e-06 3.49928e-06 0.676722 0.799222 0 0 0 0 0 0 0 0 0 0
0.0675157 5.17415e-06 1.61096e-06 3.56319e-06 0.688652 0.779443 0 0 0 0 0 0 0 0 0 0
0.0709813 5.1776e-06 1.60623e-06 3.57136e-06 0.689772 0.772421 0 0 0 0 0 0 0 0 0 0
0.0746248 5.18093e-06 1.63222e-06 3.5487e-06 0.684955 0.773804 0 0 0 0 0 0 0 0 0 0
0.0784553 5.1841e-06 1.66782e-06 3.51628e-06 0.678282 0.778706 0 0 0 0 0 0 0 0 0 0
0.0824824 5.18724e-06 1.70838e-06 3.47886e-06 0.670657 0.784571 0 0 0 0 0 0 0 0 0 0
0.0867162 5.19048e-06 1.71912e-06 3.47136e-06 0.668793 0.78349 0 0 0 0 0 0 0 0 0 0
0.0911674 5.19411e-06 1.71316e-06 3.48095e-06 0.670172 0.778412 0 0 0 0 0 0 0 0 0 0
0.095847 5.19782e-06 1.72281e-06 3.47501e-06 0.668552 0.776686 0 0 0 0 0 0 0 0 0 0
0.100767 5.20047e-06 1.78527e-06 3.4152e-06 0.65671 0.788029 0 0 0 0 0 0 0 0 0 0
0.105939 5.20237e-06 1.84743e-06 3.35495e-06 0.644888 0.802533 0 0 0 0 0 0 0 0 0 0
0.111377 5.20263e-06 1.95883e-06 3.2438e-06 0.623492 0.830227 0 0 0 0 0 0 0 0 0 0
0.117094 5.20264e-06 2.07235e-06 3.13028e-06 0.601673 0.862276 0 0 0 0 0 0 0 0 0 0
0.123105 5.20405e-06 2.14614e-06 3.05792e-06 0.587603 0.884715 0 0 0 0 0 0 0 0 0 0
0.129424 5.20602e-06 2.20919e-06 2.99684e-06 0.575648 0.904508 0 0 0 0 0 0 0 0 0 0
0.136067 5.20805e-06 2.25998e-06 2.94807e-06 0.566059 0.920555 0 0 0 0 0 0 0 0 0 0
0.143051 5.2095e-06 2.29956e-06 2.90993e-06 0.558583 0.93307 0 0 0 0 0 0 0 0 0 0
0.150394 5.2098e-06 2.32166e-06 2.88813e-06 0.554366 0.941136 0 0 0 0 0 0 0 0 0 0
0.158114 5.20997e-06 2.31285e-06 2.89712e-06 0.556072 0.942017 0 0 0 0 0 0 0 0 0 0
0.16623 5.21215e-06 2.25695e-06 2.95519e-06 0.566982 0.931363 0 0 0 0 0 0 0 0 0 0
0.174762 5.21748e-06 2.14911e-06 3.06838e-06 0.588095 0.90525 0 0 0 0 0 0 0 0 0 0
0.183733 5.22421e-06 2.01454e-06 3.20967e-06 0.614384 0.870007 0 0 0 0 0 0 0 0 0 0
0.193164 5.23173e-06 1.87555e-06 3.35617e-06 0.641504 0.833746 0 0 0 0 0 0 0 0 0 0
0.203079 5.23979e-06 1.75556e-06 3.48423e-06 0.664957 0.803802 0 0 0 0 0 0 0 0 0 0
0.213503 5.24859e-06 1.65324e-06 3.59535e-06 0.685012 0.779477 0 0 0 0 0 0 0 0 0 0
0.224463 5.25888e-06 1.58714e-06 3.67174e-06 0.698198 0.762711 0 0 0 0 0 0 0 0 0 0
0.235984 5.27045e-06 1.55269e-06 3.71775e-06 0.705396 0.751469 0 0 0 0 0 0 0 0 0 0
0.248097 5.28256e-06 1.56686e-06 3.7157e-06 0.703389 0.74784 0 0 0 0 0 0 0 0 0 0
0.260832 5.29182e-06 1.61067e-06 3.68115e-06 0.695631 0.74991 0 0 0 0 0 0 0 0 0 0
0.274221 5.2974e-06 1.66058e-06 3.63682e-06 0.686529 0.753928 0 0 0 0 0 0 0 0 0 0
0.288297 5.29918e-06 1.72237e-06 3.57681e-06 0.674974 0.763112 0 0 0 0 0 0 0 0 0 0
0.303095 5.30172e-06 1.76503e-06 3.53669e-06 0.667084 0.770144 0 0 0 0 0 0 0 0 0 0
0.318653 5.30471e-06 1.80005e-06 3.50465e-06 0.660669 0.776341 0 0 0 0 0 0 0 0 0 0
0.335009 5.30847e-06 1.82827e-06 3.4802e-06 0.655594 0.781681 0 0 0 0 0 0 0 0 0 0
0.352205 5.31313e-06 1.8485e-06 3.46463e-06 0.652089 0.785458 0 0 0 0 0 0 0 0 0 0
0.370284 5.31847e-06 1.86254e-06 3.45593e-06 0.649798 0.787791 0 0 0 0 0 0 0 0 0 0
0.389291 5.32426e-06 1.87118e-06 3.45308e-06 0.648555 0.788683 0 0 0 0 0 0 0 0 0 0
0.409273 5.33031e-06 1.87828e-06 3.45203e-06 0.647622 0.789212 0 0 0 0 0 0 0 0 0 0
0.430281 5.3365e-06 1.8847e-06 3.4518e-06 0.646829 0.789579 0 0 0 0 0 0 0 0 0 0
