# 4.85817e-08 2 3 : grain size, compostion index, size index
# Heating and cooling timescale: 3.42052e+06 0.119443
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scales: 0.25 0.5 1 1.5 2 2.5 3 3.5 4 4.5 5 5.5 6 6.5 7 7.5 8 8.5 9 9.5 10
# StochasticallyHeated: 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEm1 StEm1 EqEm2 StEm2 EqEm3 StEm3 EqEm4 StEm4 EqEm5 StEm5 EqEm6 StEm6 EqEm7 StEm7 EqEm8 StEm8 EqEm9 StEm9 EqEm10 StEm10 EqEm11 StEm11 EqEm12 StEm12 EqEm13 StEm13 EqEm14 StEm14 EqEm15 StEm15 EqEm16 StEm16 EqEm17 StEm17 EqEm18 StEm18 EqEm19 StEm19 EqEm20 StEm20 EqEm21 StEm21
0.05 4.84169e-16 4.84147e-16 2.18189e-20 4.50647e-05 0.000549977 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0525665 5.00639e-16 5.00618e-16 2.07823e-20 4.15115e-05 0.000494413 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0552647 5.2511e-16 5.2509e-16 2.05858e-20 3.92027e-05 0.000442493 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0581015 5.75496e-16 5.75474e-16 2.21402e-20 3.84715e-05 0.000393306 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0610839 6.51879e-16 6.51854e-16 2.4867e-20 3.81466e-05 0.000348389 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0642193 7.25326e-16 7.25299e-16 2.6922e-20 3.7117e-05 0.000309323 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0675157 7.70096e-16 7.70068e-16 2.73042e-20 3.54556e-05 0.000276392 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0709813 7.72681e-16 7.72656e-16 2.58428e-20 3.34457e-05 0.000249669 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0746248 7.31954e-16 7.31931e-16 2.28892e-20 3.12714e-05 0.000229254 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0784553 6.55309e-16 6.5529e-16 1.89443e-20 2.89089e-05 0.000215433 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0824824 5.55601e-16 5.55586e-16 1.45077e-20 2.61117e-05 0.000207957 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0867162 5.09096e-16 5.09085e-16 1.14369e-20 2.24651e-05 0.000191823 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0911674 4.80496e-16 4.80486e-16 1.01016e-20 2.10233e-05 0.000175462 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.4013e-45
0.095847 4.15457e-16 4.15449e-16 8.46642e-21 2.03785e-05 0.000168724 0 0 0 0 0 0 0 0 0 0 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 2.8026e-45 0 2.8026e-45 0 4.2039e-45 0 4.2039e-45 0 5.60519e-45 0 5.60519e-45 0 7.00649e-45 0 8.40779e-45 0 9.80909e-45 0 1.12104e-44 0 1.26117e-44 0 1.4013e-44 0 1.54143e-44
0.100767 3.51205e-16 3.51198e-16 6.83981e-21 1.94753e-05 0.000164135 0 0 0 0 0 1.4013e-45 0 4.2039e-45 0 8.40779e-45 0 1.4013e-44 0 2.10195e-44 0 2.8026e-44 0 3.78351e-44 0 4.90454e-44 0 6.16571e-44 0 7.42688e-44 0 8.82818e-44 0 1.079e-43 0 1.24716e-43 0 1.42932e-43 0 1.62551e-43 0 1.8357e-43 0 2.12997e-43 0 2.36819e-43 0 2.63444e-43
0.105939 2.85008e-16 2.85002e-16 5.26444e-21 1.84712e-05 0.000161979 0 1.4013e-45 0 5.60519e-45 0 2.8026e-44 0 6.5861e-44 0 1.24716e-43 0 2.01787e-43 0 2.98477e-43 0 4.06377e-43 0 5.47908e-43 0 6.92241e-43 0 8.81417e-43 0 1.06639e-42 0 1.26818e-42 0 1.53302e-42 0 1.77825e-42 0 2.04029e-42 0 2.32195e-42 0 2.62183e-42 0 3.02821e-42 0 3.37293e-42 0 3.73726e-42
0.111377 2.3958e-16 2.39576e-16 4.03702e-21 1.68504e-05 0.000154807 0 1.54143e-44 0 7.56701e-44 0 3.60134e-43 0 8.54792e-43 0 1.60869e-42 0 2.5868e-42 0 3.82975e-42 0 5.21283e-42 0 7.00229e-42 0 8.86181e-42 0 1.1244e-41 0 1.36052e-41 0 1.6192e-41 0 1.95243e-41 0 2.26436e-41 0 2.59941e-41 0 2.95758e-41 0 3.33887e-41 0 3.84825e-41 0 4.28769e-41 0 4.75096e-41
0.117094 2.04749e-16 2.04746e-16 3.16712e-21 1.54683e-05 0.000146088 0 1.77965e-43 0 8.81417e-43 0 4.13103e-42 0 9.77546e-42 0 1.83038e-41 0 2.93698e-41 0 4.34024e-41 0 5.90731e-41 0 7.9172e-41 0 1.00198e-40 0 1.26875e-40 0 1.53515e-40 0 1.82691e-40 0 2.19848e-40 0 2.54969e-40 0 2.92691e-40 0 3.33013e-40 0 3.75938e-40 0 4.32404e-40 0 4.8178e-40 0 5.33826e-40
0.123105 1.7601e-16 1.76008e-16 2.5184e-21 1.43082e-05 0.000137032 0 1.89315e-42 0 9.09022e-42 0 4.18568e-41 0 9.85183e-41 0 1.836e-40 0 2.93885e-40 0 4.33343e-40 0 5.89687e-40 0 7.88666e-40 0 9.9802e-40 0 1.26117e-39 0 1.52589e-39 0 1.8158e-39 0 2.18077e-39 0 2.52905e-39 0 2.90312e-39 0 3.30298e-39 0 3.72862e-39 0 4.28021e-39 0 4.76887e-39 0 5.28394e-39
0.129424 1.51265e-16 1.51263e-16 2.02548e-21 1.33903e-05 0.000128227 0 1.86401e-41 0 8.44058e-41 0 3.7727e-40 0 8.80076e-40 0 1.62971e-39 0 2.59991e-39 0 3.82277e-39 0 5.19871e-39 0 6.93638e-39 0 8.77451e-39 0 1.10643e-38 0 1.33836e-38 0 1.59234e-38 0 1.90853e-38 0 2.21303e-38 0 2.54006e-38 0 2.88961e-38 0 3.26169e-38 0 3.73692e-38 0 4.16326e-38 0 4.61263e-38
0.136067 1.29114e-16 1.29113e-16 1.65133e-21 1.27897e-05 0.000120156 0 1.85081e-40 0 7.38561e-40 0 3.09278e-39 0 7.07133e-39 0 1.29384e-38 0 2.05056e-38 0 3.0001e-38 0 4.07152e-38 0 5.41344e-38 0 6.83986e-38 0 8.6005e-38 0 1.03953e-37 0 1.23601e-37 0 1.47794e-37 0 1.71296e-37 0 1.96531e-37 0 2.235e-37 0 2.52201e-37 0 2.88345e-37 0 3.21165e-37 0 3.55753e-37
0.143051 1.06349e-16 1.06348e-16 1.37302e-21 1.29105e-05 0.000113936 0 2.02339e-39 0 6.5237e-39 0 2.38234e-38 0 5.19398e-38 0 9.25003e-38 0 1.44341e-37 0 2.08859e-37 0 2.81708e-37 0 3.71986e-37 0 4.68314e-37 0 5.85948e-37 0 7.06572e-37 0 8.38474e-37 0 9.98975e-37 0 1.1562e-36 0 1.32491e-36 0 1.5051e-36 0 1.69677e-36 0 1.93466e-36 0 2.15327e-36 0 2.38357e-36
0.150394 7.57005e-17 7.56994e-17 1.09879e-21 1.45149e-05 0.000108456 0 2.22826e-38 0 5.74673e-38 0 1.70646e-37 0 3.39663e-37 0 5.72288e-37 0 8.62942e-37 0 1.21827e-36 0 1.61764e-36 0 2.10416e-36 0 2.62397e-36 0 3.24917e-36 0 3.89326e-36 0 4.59538e-36 0 5.43715e-36 0 6.26837e-36 0 7.15858e-36 0 8.10779e-36 0 9.116e-36 0 1.03468e-35 0 1.14917e-35 0 1.26966e-35
0.158114 4.99139e-17 4.99131e-17 8.37057e-22 1.677e-05 9.91803e-05 0 2.38677e-37 0 5.33485e-37 0 1.30763e-36 0 2.32257e-36 0 3.60944e-36 0 5.14564e-36 0 6.9579e-36 0 8.96424e-36 0 1.13352e-35 0 1.38579e-35 0 1.68166e-35 0 1.98708e-35 0 2.31746e-35 0 2.7049e-35 0 3.09032e-35 0 3.50107e-35 0 3.93715e-35 0 4.39857e-35 0 4.94961e-35 0 5.46904e-35 0 6.0142e-35
0.16623 3.26511e-17 3.26505e-17 6.28872e-22 1.92604e-05 8.82292e-05 0 2.39969e-36 0 5.01908e-36 0 1.09735e-35 0 1.78617e-35 0 2.57972e-35 0 3.46952e-35 0 4.46559e-35 0 5.53835e-35 0 6.74848e-35 0 8.02052e-35 0 9.45482e-35 0 1.09314e-34 0 1.25046e-34 0 1.42879e-34 0 1.60723e-34 0 1.79546e-34 0 1.99348e-34 0 2.20129e-34 0 2.44159e-34 0 2.67157e-34 0 2.91148e-34
0.174762 2.21889e-17 2.21884e-17 4.74119e-22 2.13674e-05 7.78747e-05 0 2.25522e-35 0 4.59193e-35 0 9.52829e-35 0 1.4807e-34 0 2.04687e-34 0 2.64811e-34 0 3.28824e-34 0 3.95695e-34 0 4.67473e-34 0 5.41626e-34 0 6.21493e-34 0 7.03103e-34 0 7.88252e-34 0 8.80757e-34 0 9.73588e-34 0 1.07e-33 0 1.17e-33 0 1.27358e-33 0 1.38832e-33 0 1.49993e-33 0 1.61516e-33
