# 0.0023131 2 106 : grain size, compostion index, size index
# Heating and cooling timescale: 6.60642e-07 inf
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scales: 0.5 1 2 5 10
StochasticallyHeated: 0 0 0 0 0
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEm1 StEm1 EqEm2 StEm2 EqEm3 StEm3 EqEm4 StEm4 EqEm5 StEm5
0.05 3.37691e-05 1.19229e-05 2.18462e-05 0.646928 0.854247 0 0 0 0 0 0 0 0 0 0
0.0525665 3.3776e-05 1.17302e-05 2.20458e-05 0.652707 0.841788 0 0 0 0 0 0 0 0 0 0
0.0552647 3.37832e-05 1.15847e-05 2.21985e-05 0.657087 0.831447 0 0 0 0 0 0 0 0 0 0
0.0581015 3.37899e-05 1.15192e-05 2.22707e-05 0.659093 0.825105 0 0 0 0 0 0 0 0 0 0
0.0610839 3.37963e-05 1.13562e-05 2.24401e-05 0.66398 0.816368 0 0 0 0 0 0 0 0 0 0
0.0642193 3.38045e-05 1.09498e-05 2.28547e-05 0.676085 0.798134 0 0 0 0 0 0 0 0 0 0
0.0675157 3.38142e-05 1.05466e-05 2.32676e-05 0.688102 0.778216 0 0 0 0 0 0 0 0 0 0
0.0709813 3.38246e-05 1.05081e-05 2.33165e-05 0.689335 0.771127 0 0 0 0 0 0 0 0 0 0
0.0746248 3.38352e-05 1.06706e-05 2.31646e-05 0.68463 0.772493 0 0 0 0 0 0 0 0 0 0
0.0784553 3.38456e-05 1.08963e-05 2.29493e-05 0.678059 0.777402 0 0 0 0 0 0 0 0 0 0
0.0824824 3.3856e-05 1.11538e-05 2.27022e-05 0.670552 0.783285 0 0 0 0 0 0 0 0 0 0
0.0867162 3.38666e-05 1.12162e-05 2.26504e-05 0.668812 0.782178 0 0 0 0 0 0 0 0 0 0
0.0911674 3.38783e-05 1.11677e-05 2.27106e-05 0.670357 0.777052 0 0 0 0 0 0 0 0 0 0
0.095847 3.38903e-05 1.12193e-05 2.2671e-05 0.668952 0.775314 0 0 0 0 0 0 0 0 0 0
0.100767 3.38998e-05 1.16176e-05 2.22822e-05 0.657296 0.786753 0 0 0 0 0 0 0 0 0 0
0.105939 3.39074e-05 1.20171e-05 2.18903e-05 0.645591 0.801372 0 0 0 0 0 0 0 0 0 0
0.111377 3.39113e-05 1.27425e-05 2.11688e-05 0.624241 0.829307 0 0 0 0 0 0 0 0 0 0
0.117094 3.39136e-05 1.3488e-05 2.04256e-05 0.602284 0.861567 0 0 0 0 0 0 0 0 0 0
0.123105 3.39197e-05 1.39697e-05 1.995e-05 0.588155 0.884149 0 0 0 0 0 0 0 0 0 0
