# 0.00285117 2 108 : grain size, compostion index, size index
# Heating and cooling timescale: 4.39002e-07 inf
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scales: 0.5 1 2 5 10
# StochasticallyHeated: 0 0 0 0 0
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEm1 StEm1 EqEm2 StEm2 EqEm3 StEm3 EqEm4 StEm4 EqEm5 StEm5
0.05 5.12784e-05 1.81122e-05 3.31661e-05 0.646786 0.854133 0 0 0 0 0 0 0 0 0 0
0.0525665 5.12873e-05 1.78188e-05 3.34685e-05 0.652569 0.841662 0 0 0 0 0 0 0 0 0 0
0.0552647 5.12967e-05 1.75971e-05 3.36996e-05 0.656954 0.83131 0 0 0 0 0 0 0 0 0 0
0.0581015 5.13052e-05 1.74969e-05 3.38083e-05 0.658965 0.824961 0 0 0 0 0 0 0 0 0 0
0.0610839 5.13132e-05 1.72486e-05 3.40646e-05 0.663857 0.816212 0 0 0 0 0 0 0 0 0 0
0.0642193 5.13237e-05 1.66306e-05 3.46931e-05 0.675967 0.797957 0 0 0 0 0 0 0 0 0 0
0.0675157 5.13361e-05 1.60171e-05 3.5319e-05 0.687996 0.778017 0 0 0 0 0 0 0 0 0 0
0.0709813 5.13494e-05 1.59572e-05 3.53922e-05 0.689243 0.770917 0 0 0 0 0 0 0 0 0 0
0.0746248 5.13632e-05 1.62025e-05 3.51606e-05 0.684549 0.77228 0 0 0 0 0 0 0 0 0 0
0.0784553 5.13769e-05 1.65439e-05 3.4833e-05 0.677989 0.77719 0 0 0 0 0 0 0 0 0 0
0.0824824 5.13904e-05 1.69335e-05 3.44569e-05 0.670493 0.783074 0 0 0 0 0 0 0 0 0 0
0.0867162 5.14045e-05 1.70268e-05 3.43777e-05 0.668769 0.781962 0 0 0 0 0 0 0 0 0 0
0.0911674 5.14195e-05 1.69513e-05 3.44682e-05 0.670334 0.776828 0 0 0 0 0 0 0 0 0 0
0.095847 5.14352e-05 1.70273e-05 3.4408e-05 0.668957 0.775087 0 0 0 0 0 0 0 0 0 0
0.100767 5.14479e-05 1.76298e-05 3.38181e-05 0.657327 0.786539 0 0 0 0 0 0 0 0 0 0
0.105939 5.14582e-05 1.82349e-05 3.32233e-05 0.645636 0.801175 0 0 0 0 0 0 0 0 0 0
0.111377 5.14638e-05 1.93354e-05 3.21284e-05 0.624291 0.829145 0 0 0 0 0 0 0 0 0 0
0.117094 5.14676e-05 2.04681e-05 3.09995e-05 0.602311 0.861437 0 0 0 0 0 0 0 0 0 0
0.123105 5.1476e-05 2.11994e-05 3.02766e-05 0.588169 0.884042 0 0 0 0 0 0 0 0 0 0
0.129424 5.14862e-05 2.18205e-05 2.96657e-05 0.576187 0.903985 0 0 0 0 0 0 0 0 0 0
0.136067 5.1497e-05 2.23173e-05 2.91797e-05 0.566629 0.920162 0 0 0 0 0 0 0 0 0 0
0.143051 5.15061e-05 2.27031e-05 2.8803e-05 0.559216 0.932784 0 0 0 0 0 0 0 0 0 0
0.150394 5.15118e-05 2.2922e-05 2.85898e-05 0.555014 0.940922 0 0 0 0 0 0 0 0 0 0
0.158114 5.15176e-05 2.28441e-05 2.86734e-05 0.556576 0.941809 0 0 0 0 0 0 0 0 0 0
0.16623 5.15295e-05 2.23031e-05 2.92264e-05 0.567178 0.931035 0 0 0 0 0 0 0 0 0 0
0.174762 5.15516e-05 2.12359e-05 3.03156e-05 0.588064 0.904598 0 0 0 0 0 0 0 0 0 0
0.183733 5.15779e-05 1.98918e-05 3.16862e-05 0.614335 0.868887 0 0 0 0 0 0 0 0 0 0
0.193164 5.1607e-05 1.84957e-05 3.31112e-05 0.641604 0.832129 0 0 0 0 0 0 0 0 0 0
0.203079 5.16378e-05 1.72834e-05 3.43544e-05 0.665295 0.801752 0 0 0 0 0 0 0 0 0 0
0.213503 5.16708e-05 1.62435e-05 3.54273e-05 0.685634 0.777034 0 0 0 0 0 0 0 0 0 0
0.224463 5.17086e-05 1.55531e-05 3.61555e-05 0.699216 0.759941 0 0 0 0 0 0 0 0 0 0
0.235984 5.17502e-05 1.51656e-05 3.65846e-05 0.706946 0.748431 0 0 0 0 0 0 0 0 0 0
0.248097 5.17943e-05 1.52437e-05 3.65506e-05 0.705687 0.744687 0 0 0 0 0 0 0 0 0 0
0.260832 5.18334e-05 1.56213e-05 3.62121e-05 0.698625 0.746827 0 0 0 0 0 0 0 0 0 0
0.274221 5.18646e-05 1.60765e-05 3.57881e-05 0.69003 0.751025 0 0 0 0 0 0 0 0 0 0
