# 2.33182e-07 2 18 : grain size, compostion index, size index
# Heating and cooling timescale: 6149 179.961
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scales: 0.5 1 2 5 10
StochasticallyHeated: 1 1 1 1 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEm1 StEm1 EqEm2 StEm2 EqEm3 StEm3 EqEm4 StEm4 EqEm5 StEm5
0.05 5.20096e-14 5.15263e-14 4.83268e-16 0.00929191 0.0121492 0 0 0 0 0 0 0 0 0 0
0.0525665 6.02209e-14 5.97013e-14 5.19675e-16 0.00862947 0.0108186 0 0 0 0 0 0 0 0 0 0
0.0552647 6.95125e-14 6.89542e-14 5.58276e-16 0.00803131 0.00962815 0 0 0 0 0 0 0 0 0 0
0.0581015 8.32183e-14 8.26278e-14 5.90456e-16 0.00709527 0.00856178 0 0 0 0 0 0 0 0 0 0
0.0610839 1.17732e-13 1.17102e-13 6.30349e-16 0.00535408 0.00753699 0 0 0 0 0 0 0 0 0 0
0.0642193 1.48618e-13 1.47911e-13 7.06629e-16 0.00475467 0.00651931 0 0 0 0 0 0 0 0 0 0
0.0675157 1.77797e-13 1.76957e-13 8.39107e-16 0.00471948 0.00549072 0 0 0 0 0 0 0 0 0 0
0.0709813 2.04168e-13 2.03286e-13 8.81615e-16 0.00431809 0.0045884 0 0 0 0 0 0 0 0 0 0
0.0746248 1.90756e-13 1.89972e-13 7.84334e-16 0.00411171 0.00393922 0 0 0 0 0 0 0 0 0 0
0.0784553 1.50008e-13 1.49391e-13 6.16872e-16 0.00411226 0.00350657 0 0 0 0 0 0 0 0 0 0
0.0824824 1.19034e-13 1.18598e-13 4.36587e-16 0.00366774 0.00326287 0 0 0 0 0 0 0 0 0 0
0.0867162 9.97207e-14 9.93844e-14 3.36293e-16 0.00337235 0.00312009 0 0 0 0 0 0 0 0 0 0
