# 3.94133e-08 2 1 : grain size, compostion index, size index
# Heating and cooling timescale: 1.53099e+06 0.344787
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scales: 0.5 1 2 5 10
# StochasticallyHeated: 1 1 1 1 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEm1 StEm1 EqEm2 StEm2 EqEm3 StEm3 EqEm4 StEm4 EqEm5 StEm5
0.05 2.60276e-16 2.60264e-16 1.21855e-20 4.68175e-05 0.000339431 0 0 0 0 0 0 0 0 0 0
0.0525665 3.01425e-16 3.01412e-16 1.30638e-20 4.334e-05 0.000302358 0 0 0 0 0 0 0 0 0 0
0.0552647 3.47822e-16 3.47808e-16 1.39937e-20 4.02323e-05 0.000269245 0 0 0 0 0 0 0 0 0 0
0.0581015 4.0842e-16 4.08405e-16 1.47601e-20 3.61394e-05 0.000239632 0 0 0 0 0 0 0 1.4013e-45 0 4.2039e-45
0.0610839 5.65665e-16 5.65649e-16 1.56902e-20 2.77376e-05 0.00021105 0 0 0 1.4013e-45 0 4.2039e-45 0 2.94273e-44 0 1.31722e-43
0.0642193 7.14461e-16 7.14443e-16 1.74758e-20 2.44601e-05 0.000182537 0 4.2039e-45 0 2.10195e-44 0 9.94922e-44 0 7.14662e-43 0 3.10247e-42
0.0675157 8.54719e-16 8.54698e-16 2.05264e-20 2.40154e-05 0.00015381 0 8.82818e-44 0 4.24593e-43 0 1.95481e-42 0 1.38729e-41 0 5.97051e-41
0.0709813 9.81767e-16 9.81746e-16 2.11735e-20 2.15667e-05 0.000128956 0 1.52181e-42 0 7.11019e-42 0 3.21612e-41 0 2.24816e-40 0 9.59933e-40
0.0746248 9.17347e-16 9.17329e-16 1.84752e-20 2.01398e-05 0.000111247 0 1.97737e-41 0 8.69674e-41 0 3.80991e-40 0 2.606e-39 0 1.10193e-38
0.0784553 7.21314e-16 7.213e-16 1.43246e-20 1.9859e-05 9.94657e-05 0 2.20843e-40 0 8.5154e-40 0 3.47534e-39 0 2.27395e-38 0 9.45478e-38
0.0824824 5.72608e-16 5.72598e-16 1.00748e-20 1.75946e-05 9.29951e-05 0 2.89194e-39 0 8.95504e-39 0 3.14998e-38 0 1.85782e-37 0 7.43371e-37
0.0867162 4.7984e-16 4.79832e-16 7.76436e-21 1.61812e-05 8.9308e-05 0 4.69736e-38 0 1.17065e-37 0 3.32377e-37 0 1.60002e-36 0 5.85865e-36
0.0911674 4.18725e-16 4.18718e-16 6.51331e-21 1.55551e-05 8.67327e-05 0 8.2557e-37 0 1.80882e-36 0 4.28247e-36 0 1.58811e-35 0 4.95701e-35
0.095847 3.74345e-16 3.74339e-16 5.16777e-21 1.38049e-05 9.14547e-05 0 1.38543e-35 0 2.87052e-35 0 6.15789e-35 0 1.86221e-34 0 4.83029e-34
0.100767 3.28098e-16 3.28094e-16 3.52638e-21 1.0748e-05 0.000106665 0 2.02564e-34 0 4.10754e-34 0 8.44833e-34 0 2.2917e-33 0 5.19627e-33
0.105939 2.85643e-16 2.85641e-16 2.44345e-21 8.55421e-06 0.000115066 0 2.57934e-33 0 5.1877e-33 0 1.04942e-32 0 2.71449e-32 0 5.73789e-32
0.111377 2.44822e-16 2.44821e-16 1.49487e-21 6.10596e-06 0.000131687 0 2.83383e-32 0 5.68136e-32 0 1.14177e-31 0 2.89622e-31 0 5.93362e-31
0.117094 2.0745e-16 2.07449e-16 9.32169e-22 4.49347e-06 0.00012058 0 2.70852e-31 0 5.4231e-31 0 1.08697e-30 0 2.73505e-30 0 5.52922e-30
0.123105 1.74353e-16 1.74352e-16 6.07457e-22 3.48407e-06 0.000103446 0 2.2716e-30 0 4.54575e-30 0 9.10087e-30 0 2.28213e-29 0 4.58718e-29
