# 2.87424e-07 2 20 : grain size, compostion index, size index
# Heating and cooling timescale: 3272.56 344.076
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scales: 0.5 1 2 5 10
# StochasticallyHeated: 1 1 1 1 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEm1 StEm1 EqEm2 StEm2 EqEm3 StEm3 EqEm4 StEm4 EqEm5 StEm5
0.05 9.57244e-14 9.41009e-14 1.62348e-15 0.01696 0.0186869 0 0 0 0 0 0 0 0 0 0
0.0525665 1.10775e-13 1.09027e-13 1.74812e-15 0.0157808 0.01664 0 0 0 0 0 0 0 0 0 0
0.0552647 1.27829e-13 1.25949e-13 1.88029e-15 0.0147094 0.0148067 0 0 0 0 0 0 0 0 0 0
0.0581015 1.54689e-13 1.52698e-13 1.99075e-15 0.0128694 0.0131627 0 0 0 0 0 0 0 0 0 0
0.0610839 2.21392e-13 2.19264e-13 2.12887e-15 0.00961584 0.0115857 0 0 0 0 0 0 0 0 0 0
0.0642193 2.79349e-13 2.76956e-13 2.3932e-15 0.00856705 0.0100234 0 0 0 0 0 0 0 0 0 0
0.0675157 3.34206e-13 3.3135e-13 2.85588e-15 0.00854527 0.00844241 0 0 0 0 0 0 0 0 0 0
0.0709813 3.83703e-13 3.80675e-13 3.02834e-15 0.00789241 0.00704476 0 0 0 0 0 0 0 0 0 0
0.0746248 3.58486e-13 3.55763e-13 2.72294e-15 0.00759564 0.00603294 0 0 0 0 0 0 0 0 0 0
0.0784553 2.81944e-13 2.79784e-13 2.16002e-15 0.00766118 0.00535723 0 0 0 0 0 0 0 0 0 0
0.0824824 2.23657e-13 2.22121e-13 1.53575e-15 0.00686656 0.00497174 0 0 0 0 0 0 0 0 0 0
0.0867162 1.87321e-13 1.86137e-13 1.18343e-15 0.00631768 0.00474268 0 0 0 0 0 0 0 0 0 0
0.0911674 1.63431e-13 1.62436e-13 9.95108e-16 0.00608885 0.004577 0 0 0 0 0 0 0 0 0 0
0.095847 1.46018e-13 1.45224e-13 7.94094e-16 0.00543833 0.00480024 0 0 0 0 0 0 0 0 0 0
0.100767 1.2782e-13 1.27278e-13 5.42418e-16 0.00424361 0.00559911 0 0 0 0 0 0 0 0 0 0
0.105939 1.11178e-13 1.10802e-13 3.75599e-16 0.00337836 0.00605735 0 0 0 0 0 0 0 0 0 0
0.111377 9.51911e-14 9.49623e-14 2.28817e-16 0.00240376 0.00693521 0 0 0 0 0 0 0 0 0 0
0.117094 8.06048e-14 8.04628e-14 1.42007e-16 0.00176177 0.00639204 0 0 0 0 0 0 0 0 0 0
0.123105 6.77171e-14 6.76249e-14 9.22542e-17 0.00136235 0.00549068 0 0 0 0 0 0 0 0 0 0
0.129424 5.69458e-14 5.68866e-14 5.92018e-17 0.00103962 0.00461903 0 0 0 0 0 0 0 0 0 0
0.136067 5.16388e-14 5.16005e-14 3.82887e-17 0.000741472 0.0039091 0 0 0 0 0 0 0 0 0 0
0.143051 4.68827e-14 4.68576e-14 2.51171e-17 0.000535743 0.00333562 0 0 0 0 0 0 0 0 0 0
