# 4.84839e-07 2 25 : grain size, compostion index, size index
# Heating and cooling timescale: 676.854 1761.21
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scales: 0.5 1 2 5 10
StochasticallyHeated: 1 1 1 1 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEm1 StEm1 EqEm2 StEm2 EqEm3 StEm3 EqEm4 StEm4 EqEm5 StEm5
0.05 4.25784e-13 3.961e-13 2.96842e-14 0.0697165 0.0566068 0 0 0 0 0 0 0 0 0 0
0.0525665 4.89895e-13 4.57771e-13 3.21233e-14 0.0655718 0.0504731 0 0 0 0 0 0 0 0 0 0
0.0552647 5.62778e-13 5.28075e-13 3.47026e-14 0.0616631 0.0449455 0 0 0 0 0 0 0 0 0 0
0.0581015 7.20069e-13 6.83218e-13 3.68506e-14 0.0511765 0.0399467 0 0 0 0 0 0 0 0 0 0
0.0610839 1.091e-12 1.0514e-12 3.95993e-14 0.0362963 0.0351777 0 0 0 0 0 0 0 0 0 0
0.0642193 1.37308e-12 1.32813e-12 4.49439e-14 0.0327322 0.0305089 0 0 0 0 0 0 0 0 0 0
0.0675157 1.6436e-12 1.58901e-12 5.45871e-14 0.0332119 0.0257674 0 0 0 0 0 0 0 0 0 0
0.0709813 1.88622e-12 1.82594e-12 6.02811e-14 0.0319588 0.0213963 0 0 0 0 0 0 0 0 0 0
0.0746248 1.76418e-12 1.70696e-12 5.72198e-14 0.0324342 0.0181047 0 0 0 0 0 0 0 0 0 0
0.0784553 1.39058e-12 1.34283e-12 4.77541e-14 0.0343411 0.0158689 0 0 0 0 0 0 0 0 0 0
0.0824824 1.10146e-12 1.06633e-12 3.51353e-14 0.0318988 0.0145185 0 0 0 0 0 0 0 0 0 0
0.0867162 9.20948e-13 8.93644e-13 2.73036e-14 0.0296473 0.0136651 0 0 0 0 0 0 0 0 0 0
0.0911674 8.03076e-13 7.7993e-13 2.31455e-14 0.0288211 0.0130159 0 0 0 0 0 0 0 0 0 0
0.095847 7.16119e-13 6.97366e-13 1.87532e-14 0.0261872 0.0134759 0 0 0 0 0 0 0 0 0 0
0.100767 6.24091e-13 6.1118e-13 1.29117e-14 0.0206888 0.0156628 0 0 0 0 0 0 0 0 0 0
0.105939 5.40988e-13 5.32024e-13 8.96383e-15 0.0165694 0.0170028 0 0 0 0 0 0 0 0 0 0
0.111377 4.61357e-13 4.55922e-13 5.43441e-15 0.0117792 0.0194198 0 0 0 0 0 0 0 0 0 0
0.117094 3.89618e-13 3.86273e-13 3.34524e-15 0.00858595 0.0181106 0 0 0 0 0 0 0 0 0 0
0.123105 3.26787e-13 3.24625e-13 2.16169e-15 0.00661497 0.0155857 0 0 0 0 0 0 0 0 0 0
0.129424 2.74453e-13 2.73072e-13 1.38109e-15 0.00503214 0.0131133 0 0 0 0 0 0 0 0 0 0
0.136067 2.48586e-13 2.47695e-13 8.90349e-16 0.00358166 0.0111008 0 0 0 0 0 0 0 0 0 0
0.143051 2.25513e-13 2.2493e-13 5.8269e-16 0.00258385 0.00947686 0 0 0 0 0 0 0 0 0 0
0.150394 2.13057e-13 2.12661e-13 3.95554e-16 0.00185656 0.00809733 0 0 0 0 0 0 0 0 0 0
0.158114 2.1073e-13 2.10432e-13 2.97875e-16 0.00141354 0.00694075 0 0 0 0 0 0 0 0 0 0
0.16623 2.19336e-13 2.19063e-13 2.7367e-16 0.00124772 0.00597305 0 0 0 0 0 0 0 0 0 0
0.174762 2.4065e-13 2.40323e-13 3.27502e-16 0.00136091 0.00514141 0 0 0 0 0 0 0 0 0 0
0.183733 2.78484e-13 2.78019e-13 4.64851e-16 0.00166922 0.0043837 0 0 0 0 0 0 0 0 0 0
0.193164 3.45214e-13 3.44477e-13 7.36875e-16 0.00213455 0.00365114 0 0 0 0 0 0 0 0 0 0
0.203079 4.52361e-13 4.51229e-13 1.13258e-15 0.0025037 0.00292828 0 0 0 0 0 0 0 0 0 0
0.213503 5.56741e-13 5.55328e-13 1.41294e-15 0.00253788 0.00225163 0 0 0 0 0 0 0 0 0 0
0.224463 5.33897e-13 5.32707e-13 1.19047e-15 0.00222977 0.00166887 0 0 0 0 0 0 0 0 0 0
0.235984 4.12552e-13 4.11743e-13 8.08879e-16 0.00196067 0.0011938 0 0 0 0 0 0 0 0 0 0
0.248097 3.1186e-13 3.11338e-13 5.21743e-16 0.001673 0.000911509 0 0 0 0 0 0 0 0 0 0
0.260832 2.49953e-13 2.49596e-13 3.57023e-16 0.00142836 0.000936388 0 0 0 0 0 0 0 0 0 0
