# 4.83863e-06 2 47 : grain size, compostion index, size index
# This grain was stochastically heated: No
# Heating and cooling timescale: 0.520081 60017.1
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scales:  0.5 1 2 5 10
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEm1 StEm1 EqEm2 StEm2 EqEm3 StEm3 EqEm4 StEm4 EqEm5 StEm5
0.05 1.54466e-10 6.11362e-11 9.33301e-11 0.60421 0.820994 0 0 0 0 0 0 0 0 0 0
0.0525665 1.57894e-10 6.31538e-11 9.47397e-11 0.600023 0.805814 0 0 0 0 0 0 0 0 0 0
0.0552647 1.6163e-10 6.55735e-11 9.60566e-11 0.594299 0.792783 0 0 0 0 0 0 0 0 0 0
0.0581015 1.65212e-10 6.84864e-11 9.67252e-11 0.585462 0.783385 0 0 0 0 0 0 0 0 0 0
0.0610839 1.69308e-10 7.09258e-11 9.83823e-11 0.581084 0.772215 0 0 0 0 0 0 0 0 0 0
0.0642193 1.75666e-10 7.26633e-11 1.03003e-10 0.586355 0.753716 0 0 0 0 0 0 0 0 0 0
0.0675157 1.85215e-10 7.64586e-11 1.08756e-10 0.587189 0.73499 0 0 0 0 0 0 0 0 0 0
0.0709813 1.94903e-10 8.28436e-11 1.12059e-10 0.57495 0.727248 0 0 0 0 0 0 0 0 0 0
0.0746248 2.01663e-10 8.85047e-11 1.13158e-10 0.561126 0.725249 0 0 0 0 0 0 0 0 0 0
0.0784553 2.05057e-10 9.22618e-11 1.12795e-10 0.550066 0.724054 0 0 0 0 0 0 0 0 0 0
0.0824824 2.05985e-10 9.46928e-11 1.11292e-10 0.540293 0.721356 0 0 0 0 0 0 0 0 0 0
0.0867162 2.08112e-10 9.65837e-11 1.11529e-10 0.535906 0.712922 0 0 0 0 0 0 0 0 0 0
0.0911674 2.11615e-10 9.82043e-11 1.13411e-10 0.53593 0.700544 0 0 0 0 0 0 0 0 0 0
0.095847 2.13871e-10 9.92296e-11 1.14641e-10 0.536029 0.688519 0 0 0 0 0 0 0 0 0 0
0.100767 2.12852e-10 1.00898e-10 1.11954e-10 0.525972 0.685677 0 0 0 0 0 0 0 0 0 0
0.105939 2.12932e-10 1.0378e-10 1.09152e-10 0.512615 0.687554 0 0 0 0 0 0 0 0 0 0
0.111377 2.14593e-10 1.08925e-10 1.05668e-10 0.49241 0.695393 0 0 0 0 0 0 0 0 0 0
0.117094 2.22696e-10 1.12065e-10 1.10631e-10 0.496781 0.702566 0 0 0 0 0 0 0 0 0 0
0.123105 2.28053e-10 1.10267e-10 1.17786e-10 0.516485 0.708001 0 0 0 0 0 0 0 0 0 0
0.129424 2.21953e-10 1.04754e-10 1.172e-10 0.528037 0.697364 0 0 0 0 0 0 0 0 0 0
0.136067 2.01445e-10 9.42638e-11 1.07181e-10 0.532062 0.683126 0 0 0 0 0 0 0 0 0 0
0.143051 1.84137e-10 8.98551e-11 9.4282e-11 0.512021 0.689728 0 0 0 0 0 0 0 0 0 0
0.150394 1.65918e-10 8.57867e-11 8.01313e-11 0.482957 0.673909 0 0 0 0 0 0 0 0 0 0
0.158114 1.49598e-10 8.1958e-11 6.76397e-11 0.452144 0.633203 0 0 0 0 0 0 0 0 0 0
0.16623 1.45055e-10 8.36297e-11 6.14254e-11 0.423462 0.593043 0 0 0 0 0 0 0 0 0 0
0.174762 1.51056e-10 8.75763e-11 6.348e-11 0.420241 0.555987 0 0 0 0 0 0 0 0 0 0
0.183733 1.60889e-10 9.22181e-11 6.8671e-11 0.426822 0.525335 0 0 0 0 0 0 0 0 0 0
0.193164 1.73956e-10 9.86068e-11 7.53497e-11 0.433152 0.498626 0 0 0 0 0 0 0 0 0 0
0.203079 1.92343e-10 1.07943e-10 8.43999e-11 0.4388 0.469079 0 0 0 0 0 0 0 0 0 0
0.213503 2.14327e-10 1.17259e-10 9.70677e-11 0.452896 0.431758 0 0 0 0 0 0 0 0 0 0
0.224463 2.2657e-10 1.18026e-10 1.08544e-10 0.479076 0.373487 0 0 0 0 0 0 0 0 0 0
0.235984 2.25727e-10 1.10766e-10 1.14961e-10 0.509293 0.299585 0 0 0 0 0 0 0 0 0 0
0.248097 2.23321e-10 1.06424e-10 1.16897e-10 0.523448 0.240836 0 0 0 0 0 0 0 0 0 0
0.260832 2.23428e-10 1.08049e-10 1.15379e-10 0.516404 0.203597 0 0 0 0 0 0 0 0 0 0
0.274221 2.24396e-10 1.12175e-10 1.12222e-10 0.500104 0.178683 0 0 0 0 0 0 0 0 0 0
0.288297 2.23164e-10 1.17029e-10 1.06134e-10 0.475589 0.166806 0 0 0 0 0 0 0 0 0 0
0.303095 2.19296e-10 1.19568e-10 9.97274e-11 0.454762 0.157851 0 0 0 0 0 0 0 0 0 0
0.318653 2.11428e-10 1.19552e-10 9.18763e-11 0.43455 0.151629 0 0 0 0 0 0 0 0 0 0
0.335009 1.99108e-10 1.16671e-10 8.24371e-11 0.414031 0.146458 0 0 0 0 0 0 0 0 0 0
0.352205 1.83869e-10 1.11584e-10 7.22849e-11 0.393132 0.140002 0 0 0 0 0 0 0 0 0 0
0.370284 1.67429e-10 1.05152e-10 6.22767e-11 0.371959 0.132608 0 0 0 0 0 0 0 0 0 0
0.389291 1.50811e-10 9.77545e-11 5.30565e-11 0.351808 0.125516 0 0 0 0 0 0 0 0 0 0
0.409273 1.33991e-10 8.94005e-11 4.45906e-11 0.332788 0.118898 0 0 0 0 0 0 0 0 0 0
0.430281 1.17607e-10 8.05689e-11 3.70385e-11 0.314934 0.11266 0 0 0 0 0 0 0 0 0 0
0.452368 1.02513e-10 7.20967e-11 3.04161e-11 0.296706 0.10538 0 0 0 0 0 0 0 0 0 0
0.475588 8.9004e-11 6.41937e-11 2.48103e-11 0.278755 0.0979678 0 0 0 0 0 0 0 0 0 0
0.5 7.74961e-11 5.73126e-11 2.01835e-11 0.260446 0.0903992 0 0 0 0 0 0 0 0 0 0
0.525665 6.77119e-11 5.13303e-11 1.63816e-11 0.241931 0.0829483 0 0 0 0 0 0 0 0 0 0
0.552647 5.91903e-11 4.59152e-11 1.32751e-11 0.224278 0.076075 0 0 0 0 0 0 0 0 0 0
0.581015 5.22553e-11 4.14536e-11 1.08016e-11 0.206709 0.0693885 0 0 0 0 0 0 0 0 0 0
0.610839 4.61925e-11 3.74064e-11 8.78608e-12 0.190206 0.0633058 0 0 0 0 0 0 0 0 0 0
0.642193 4.08777e-11 3.37342e-11 7.14348e-12 0.174752 0.0577579 0 0 0 0 0 0 0 0 0 0
