# 5.39371e-08 2 4 : grain size, compostion index, size index
# Heating and cooling timescale: 540148 0.923845
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scales: 0.5 1 2 5 10
# StochasticallyHeated: 1 1 1 1 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEm1 StEm1 EqEm2 StEm2 EqEm3 StEm3 EqEm4 StEm4 EqEm5 StEm5
0.05 6.66416e-16 6.66336e-16 7.98887e-20 0.000119878 0.000636019 0 0 0 0 0 0 0 0 0 0
0.0525665 7.7179e-16 7.71704e-16 8.56546e-20 0.000110982 0.000566543 0 0 0 0 0 0 0 0 0 0
0.0552647 8.90615e-16 8.90523e-16 9.17599e-20 0.00010303 0.000504487 0 0 0 0 0 0 0 0 0 0
0.0581015 1.04625e-15 1.04616e-15 9.67938e-20 9.25146e-05 0.000448989 0 0 0 0 0 0 0 0 0 0
0.0610839 1.44981e-15 1.4497e-15 1.02907e-19 7.09799e-05 0.000395429 0 0 0 0 0 0 0 0 0 0
0.0642193 1.83116e-15 1.83104e-15 1.14641e-19 6.26056e-05 0.000342006 0 0 0 0 0 0 0 0 0 0
0.0675157 2.19064e-15 2.19051e-15 1.34695e-19 6.14867e-05 0.000288173 0 0 0 0 0 0 0 0 0 0
0.0709813 2.51627e-15 2.51613e-15 1.39008e-19 5.52438e-05 0.000241585 0 0 0 0 0 0 0 0 0 0
0.0746248 2.35116e-15 2.35104e-15 1.21351e-19 5.16134e-05 0.000208381 0 0 0 0 0 0 0 0 0 0
0.0784553 1.84873e-15 1.84864e-15 9.41177e-20 5.09092e-05 0.000186295 0 0 0 0 0 0 0 0 0 0
0.0824824 1.4676e-15 1.46753e-15 6.62023e-20 4.51093e-05 0.000174156 0 0 0 0 0 0 0 0 0 0
0.0867162 1.22983e-15 1.22978e-15 5.10181e-20 4.1484e-05 0.000167234 0 0 0 0 0 0 0 0 0 0
0.0911674 1.07319e-15 1.07315e-15 4.27983e-20 3.98796e-05 0.000162396 0 0 0 0 0 0 0 0 0 0
0.095847 9.59438e-16 9.59404e-16 3.39594e-20 3.53951e-05 0.000171225 0 0 0 0 0 0 0 0 0 0
0.100767 8.40904e-16 8.40881e-16 2.31729e-20 2.75571e-05 0.000199708 0 0 0 0 0 0 0 0 0 0
0.105939 7.32091e-16 7.32075e-16 1.60561e-20 2.19319e-05 0.00021545 0 0 0 0 0 0 0 0 0 0
0.111377 6.27468e-16 6.27458e-16 9.82207e-21 1.56535e-05 0.000246578 0 0 0 0 0 1.4013e-45 0 1.12104e-44 0 0
0.117094 5.31682e-16 5.31676e-16 6.12432e-21 1.15188e-05 0.000225805 0 2.8026e-45 0 8.40779e-45 0 3.64338e-44 0 2.25609e-43 0 0
0.123105 4.46856e-16 4.46852e-16 3.99074e-21 8.93071e-06 0.000193724 0 3.78351e-44 0 1.56945e-43 0 6.24979e-43 0 3.90822e-42 0 0
0.129424 3.75896e-16 3.75894e-16 2.56726e-21 6.8297e-06 0.000162926 0 5.73131e-43 0 2.33456e-42 0 9.33965e-42 0 5.83739e-41 0 1.4013e-45
0.136067 3.40957e-16 3.40955e-16 1.66333e-21 4.87841e-06 0.000137849 0 8.02103e-42 0 3.25718e-41 0 1.30277e-40 0 8.14241e-40 0 7.00649e-44
0.143051 3.09599e-16 3.09598e-16 1.09254e-21 3.52888e-06 0.000117589 0 9.8025e-41 0 3.97085e-40 0 1.5877e-39 0 9.92127e-39 0 3.38694e-42
0.150394 2.92682e-16 2.92681e-16 7.44314e-22 2.54308e-06 0.000100378 0 1.09936e-39 0 4.43554e-39 0 1.77143e-38 0 1.10616e-37 0 1.40776e-40
0.158114 2.89572e-16 2.89571e-16 5.62907e-22 1.94393e-06 8.59566e-05 0 1.15382e-38 0 4.61166e-38 0 1.83453e-37 0 1.14284e-36 0 5.06036e-39
0.16623 3.01402e-16 3.01402e-16 5.19963e-22 1.72515e-06 7.38942e-05 0 1.17155e-37 0 4.56555e-37 0 1.79415e-36 0 1.10938e-35 0 1.59621e-37
0.174762 3.3061e-16 3.3061e-16 6.26499e-22 1.89498e-06 6.35372e-05 0 1.22023e-36 0 4.46357e-36 0 1.69567e-35 0 1.02619e-34 0 4.46515e-36
0.183733 3.82437e-16 3.82436e-16 8.94607e-22 2.33923e-06 5.41144e-05 0 1.42452e-35 0 4.59818e-35 0 1.61457e-34 0 9.24889e-34 0 1.11778e-34
0.193164 4.73849e-16 4.73848e-16 1.42102e-21 2.99889e-06 4.5031e-05 0 2.01306e-34 0 5.49289e-34 0 1.68186e-33 0 8.57963e-33 0 2.56375e-33
0.203079 6.20686e-16 6.20683e-16 2.16864e-21 3.49395e-06 3.61106e-05 0 3.27762e-33 0 7.73887e-33 0 2.01883e-32 0 8.58019e-32 0 5.35808e-32
0.213503 7.63795e-16 7.63792e-16 2.66092e-21 3.48381e-06 2.77726e-05 0 4.99416e-32 0 1.08092e-31 0 2.48873e-31 0 8.67362e-31 0 9.13312e-31
0.224463 7.32473e-16 7.3247e-16 2.21043e-21 3.01776e-06 2.05622e-05 0 5.5281e-31 0 1.14641e-30 0 2.4553e-30 0 7.35688e-30 0 1.06054e-29
0.235984 5.65826e-16 5.65825e-16 1.49932e-21 2.64978e-06 1.46754e-05 0 4.45731e-30 0 9.06542e-30 0 1.87316e-29 0 5.13345e-29 0 8.72867e-29
0.248097 4.27484e-16 4.27483e-16 9.70408e-22 2.27005e-06 1.12417e-05 0 3.14792e-29 0 6.34645e-29 0 1.28945e-28 0 3.37476e-28 0 6.22091e-28
0.260832 3.4236e-16 3.42359e-16 6.66421e-22 1.94655e-06 1.16977e-05 0 2.10927e-28 0 4.23534e-28 0 8.53751e-28 0 2.18448e-27 0 4.18602e-27
0.274221 2.91395e-16 2.91395e-16 4.80666e-22 1.64953e-06 1.56419e-05 0 1.34826e-27 0 2.70208e-27 0 5.42622e-27 0 1.37309e-26 0 2.68132e-26
0.288297 2.59605e-16 2.59605e-16 3.58261e-22 1.38002e-06 2.09857e-05 0 8.13153e-27 0 1.62812e-26 0 3.26341e-26 0 8.21231e-26 0 1.61892e-25
0.303095 2.35325e-16 2.35325e-16 2.76072e-22 1.17315e-06 2.35297e-05 0 4.51865e-26 0 9.043e-26 0 1.81085e-25 0 4.54398e-25 0 9.00196e-25
0.318653 2.05843e-16 2.05843e-16 2.14968e-22 1.04433e-06 2.45506e-05 0 2.20436e-25 0 4.41037e-25 0 8.82723e-25 0 2.21166e-24 0 4.39324e-24
0.335009 1.81047e-16 1.81047e-16 1.6932e-22 9.35225e-07 2.41425e-05 0 9.88152e-25 0 1.97676e-24 0 3.95533e-24 0 9.90178e-24 0 1.96992e-23
0.352205 1.58221e-16 1.5822e-16 1.3501e-22 8.53302e-07 2.2908e-05 0 4.03966e-24 0 8.08055e-24 0 1.61659e-23 0 4.04505e-23 0 8.05496e-23
0.370284 1.37303e-16 1.37303e-16 1.08605e-22 7.90986e-07 2.14163e-05 0 1.5114e-23 0 3.02311e-23 0 6.04745e-23 0 1.51277e-22 0 3.01421e-22
0.389291 1.18251e-16 1.18251e-16 8.80365e-23 7.4449e-07 1.99667e-05 0 5.1928e-23 0 1.03864e-22 0 2.07758e-22 0 5.19618e-22 0 1.03577e-21
0.409273 1.01041e-16 1.01041e-16 7.15765e-23 7.08389e-07 1.85595e-05 0 1.64405e-22 0 3.28827e-22 0 6.57726e-22 0 1.64485e-21 0 3.27969e-21
0.430281 8.55371e-17 8.5537e-17 5.82516e-23 6.81009e-07 1.72226e-05 0 4.80686e-22 0 9.61413e-22 0 1.92299e-21 0 4.80869e-21 0 9.59036e-21
0.452368 7.15736e-17 7.15735e-17 4.74003e-23 6.62259e-07 1.58419e-05 0 1.29929e-21 0 2.59866e-21 0 5.19769e-21 0 1.29969e-20 0 2.59256e-20
