# 1.2401e-05 2 56 : grain size, compostion index, size index
# This grain was stochastically heated: No
# Heating and cooling timescale: 0.0262397 324312
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scales:  0.5 1 2 5 10
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEm1 StEm1 EqEm2 StEm2 EqEm3 StEm3 EqEm4 StEm4 EqEm5 StEm5
0.05 1.03621e-09 3.75407e-10 6.60802e-10 0.637711 0.850973 0 0 0 0 0 0 0 0 0 0
0.0525665 1.04777e-09 3.7799e-10 6.69777e-10 0.639242 0.838751 0 0 0 0 0 0 0 0 0 0
0.0552647 1.06e-09 3.82625e-10 6.77371e-10 0.639032 0.828514 0 0 0 0 0 0 0 0 0 0
0.0581015 1.07131e-09 3.89544e-10 6.81763e-10 0.636384 0.821941 0 0 0 0 0 0 0 0 0 0
0.0610839 1.08309e-09 3.9234e-10 6.90755e-10 0.637761 0.813277 0 0 0 0 0 0 0 0 0 0
0.0642193 1.10098e-09 3.89102e-10 7.11879e-10 0.646586 0.796337 0 0 0 0 0 0 0 0 0 0
0.0675157 1.12738e-09 3.91951e-10 7.35433e-10 0.652336 0.778414 0 0 0 0 0 0 0 0 0 0
0.0709813 1.15549e-09 4.10235e-10 7.45255e-10 0.644969 0.772111 0 0 0 0 0 0 0 0 0 0
0.0746248 1.17837e-09 4.3294e-10 7.45433e-10 0.632595 0.773103 0 0 0 0 0 0 0 0 0 0
0.0784553 1.1942e-09 4.53467e-10 7.40735e-10 0.620276 0.776729 0 0 0 0 0 0 0 0 0 0
0.0824824 1.20307e-09 4.70839e-10 7.32234e-10 0.608636 0.780191 0 0 0 0 0 0 0 0 0 0
0.0867162 1.21223e-09 4.80389e-10 7.3184e-10 0.603714 0.777209 0 0 0 0 0 0 0 0 0 0
0.0911674 1.22501e-09 4.87583e-10 7.37429e-10 0.601977 0.77096 0 0 0 0 0 0 0 0 0 0
0.095847 1.23399e-09 4.96019e-10 7.37976e-10 0.598038 0.767123 0 0 0 0 0 0 0 0 0 0
0.100767 1.2296e-09 5.10131e-10 7.19468e-10 0.585124 0.773231 0 0 0 0 0 0 0 0 0 0
0.105939 1.22455e-09 5.23503e-10 7.01048e-10 0.572494 0.782674 0 0 0 0 0 0 0 0 0 0
0.111377 1.21132e-09 5.46694e-10 6.64625e-10 0.548679 0.802844 0 0 0 0 0 0 0 0 0 0
0.117094 1.21444e-09 5.8019e-10 6.34245e-10 0.522255 0.829729 0 0 0 0 0 0 0 0 0 0
0.123105 1.22343e-09 6.0751e-10 6.15921e-10 0.503438 0.849264 0 0 0 0 0 0 0 0 0 0
0.129424 1.21823e-09 6.32039e-10 5.86189e-10 0.481181 0.855769 0 0 0 0 0 0 0 0 0 0
0.136067 1.25214e-09 6.40908e-10 6.11236e-10 0.488152 0.86315 0 0 0 0 0 0 0 0 0 0
0.143051 1.25974e-09 6.3219e-10 6.27546e-10 0.498157 0.880645 0 0 0 0 0 0 0 0 0 0
0.150394 1.16201e-09 6.22159e-10 5.3985e-10 0.464583 0.885805 0 0 0 0 0 0 0 0 0 0
0.158114 1.07231e-09 6.13504e-10 4.58809e-10 0.427869 0.8711 0 0 0 0 0 0 0 0 0 0
0.16623 1.07094e-09 6.04633e-10 4.66307e-10 0.435419 0.85209 0 0 0 0 0 0 0 0 0 0
0.174762 1.1246e-09 5.9747e-10 5.27133e-10 0.468728 0.823645 0 0 0 0 0 0 0 0 0 0
0.183733 1.19606e-09 5.88593e-10 6.07464e-10 0.507889 0.789507 0 0 0 0 0 0 0 0 0 0
0.193164 1.28492e-09 5.8774e-10 6.97179e-10 0.542586 0.760517 0 0 0 0 0 0 0 0 0 0
0.203079 1.36186e-09 5.96152e-10 7.65705e-10 0.562251 0.739728 0 0 0 0 0 0 0 0 0 0
0.213503 1.42415e-09 6.06506e-10 8.17641e-10 0.574127 0.722052 0 0 0 0 0 0 0 0 0 0
0.224463 1.46964e-09 6.10431e-10 8.59213e-10 0.58464 0.706049 0 0 0 0 0 0 0 0 0 0
0.235984 1.47865e-09 6.03684e-10 8.74965e-10 0.591733 0.687624 0 0 0 0 0 0 0 0 0 0
0.248097 1.45189e-09 5.91478e-10 8.6041e-10 0.592615 0.667035 0 0 0 0 0 0 0 0 0 0
0.260832 1.43044e-09 5.93503e-10 8.36938e-10 0.585091 0.654351 0 0 0 0 0 0 0 0 0 0
0.274221 1.41969e-09 6.0736e-10 8.12326e-10 0.572187 0.646412 0 0 0 0 0 0 0 0 0 0
