# 1.69707e-05 2 59 : grain size, compostion index, size index
# Heating and cooling timescale: 0.0112133 537877
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scales: 0.5 1 2 5 10
StochasticallyHeated: 0 0 0 0 0
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEm1 StEm1 EqEm2 StEm2 EqEm3 StEm3 EqEm4 StEm4 EqEm5 StEm5
0.05 1.93179e-09 6.89949e-10 1.24184e-09 0.642844 0.854625 0 0 0 0 0 0 0 0 0 0
0.0525665 1.94862e-09 6.90963e-10 1.25766e-09 0.64541 0.842627 0 0 0 0 0 0 0 0 0 0
0.0552647 1.9664e-09 6.95549e-10 1.27085e-09 0.646284 0.832616 0 0 0 0 0 0 0 0 0 0
0.0581015 1.98282e-09 7.0434e-10 1.27848e-09 0.644778 0.826301 0 0 0 0 0 0 0 0 0 0
0.0610839 1.99969e-09 7.05664e-10 1.29402e-09 0.647113 0.817863 0 0 0 0 0 0 0 0 0 0
0.0642193 2.02495e-09 6.95083e-10 1.32986e-09 0.65674 0.800996 0 0 0 0 0 0 0 0 0 0
0.0675157 2.06189e-09 6.93124e-10 1.36876e-09 0.66384 0.78298 0 0 0 0 0 0 0 0 0 0
0.0709813 2.10162e-09 7.18496e-10 1.38313e-09 0.658123 0.776684 0 0 0 0 0 0 0 0 0 0
0.0746248 2.13521e-09 7.53993e-10 1.38122e-09 0.646876 0.777887 0 0 0 0 0 0 0 0 0 0
0.0784553 2.16008e-09 7.8832e-10 1.37176e-09 0.635051 0.781971 0 0 0 0 0 0 0 0 0 0
0.0824824 2.17592e-09 8.1925e-10 1.35667e-09 0.623493 0.786217 0 0 0 0 0 0 0 0 0 0
0.0867162 2.19111e-09 8.35582e-10 1.35553e-09 0.61865 0.78396 0 0 0 0 0 0 0 0 0 0
0.0911674 2.21112e-09 8.47082e-10 1.36404e-09 0.6169 0.778328 0 0 0 0 0 0 0 0 0 0
0.095847 2.22584e-09 8.62216e-10 1.36362e-09 0.612633 0.775302 0 0 0 0 0 0 0 0 0 0
0.100767 2.22056e-09 8.89431e-10 1.33113e-09 0.599457 0.782756 0 0 0 0 0 0 0 0 0 0
0.105939 2.21275e-09 9.14143e-10 1.29861e-09 0.586875 0.793386 0 0 0 0 0 0 0 0 0 0
0.111377 2.19071e-09 9.55199e-10 1.23551e-09 0.563977 0.815019 0 0 0 0 0 0 0 0 0 0
0.117094 2.19222e-09 1.01149e-09 1.18073e-09 0.538599 0.842586 0 0 0 0 0 0 0 0 0 0
0.123105 2.2009e-09 1.05487e-09 1.14603e-09 0.520709 0.861778 0 0 0 0 0 0 0 0 0 0
0.129424 2.22007e-09 1.09742e-09 1.12265e-09 0.505682 0.880032 0 0 0 0 0 0 0 0 0 0
0.136067 2.21401e-09 1.13032e-09 1.0837e-09 0.489472 0.888846 0 0 0 0 0 0 0 0 0 0
0.143051 2.22534e-09 1.13652e-09 1.08882e-09 0.489284 0.897191 0 0 0 0 0 0 0 0 0 0
0.150394 2.14725e-09 1.11945e-09 1.0278e-09 0.478658 0.903571 0 0 0 0 0 0 0 0 0 0
