# 5.3612e-05 2 70 : grain size, compostion index, size index
# This grain was stochastically heated: No
# Heating and cooling timescale: 0.000934381 2.28069e+06
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scales:  0.5 1 2 5 10
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEm1 StEm1 EqEm2 StEm2 EqEm3 StEm3 EqEm4 StEm4 EqEm5 StEm5
0.05 1.88166e-08 6.58551e-09 1.22311e-08 0.650016 0.858358 0 0 0 0 0 0 0 0 0 0
0.0525665 1.88829e-08 6.5202e-09 1.23627e-08 0.654704 0.846433 0 0 0 0 0 0 0 0 0 0
0.0552647 1.89523e-08 6.48432e-09 1.2468e-08 0.657862 0.83654 0 0 0 0 0 0 0 0 0 0
0.0581015 1.90172e-08 6.49088e-09 1.25263e-08 0.658683 0.830463 0 0 0 0 0 0 0 0 0 0
0.0610839 1.90823e-08 6.43446e-09 1.26478e-08 0.662804 0.82217 0 0 0 0 0 0 0 0 0 0
0.0642193 1.91738e-08 6.249e-09 1.29248e-08 0.674087 0.804989 0 0 0 0 0 0 0 0 0 0
0.0675157 1.93014e-08 6.09368e-09 1.32078e-08 0.684289 0.786312 0 0 0 0 0 0 0 0 0 0
0.0709813 1.94406e-08 6.16591e-09 1.32747e-08 0.682833 0.779753 0 0 0 0 0 0 0 0 0 0
0.0746248 1.95682e-08 6.35344e-09 1.32147e-08 0.675318 0.781142 0 0 0 0 0 0 0 0 0 0
0.0784553 1.96782e-08 6.56985e-09 1.31083e-08 0.666135 0.78581 0 0 0 0 0 0 0 0 0 0
0.0824824 1.97717e-08 6.79855e-09 1.29732e-08 0.656148 0.79122 0 0 0 0 0 0 0 0 0 0
0.0867162 1.98587e-08 6.90381e-09 1.29549e-08 0.652353 0.789996 0 0 0 0 0 0 0 0 0 0
0.0911674 1.99601e-08 6.95415e-09 1.30059e-08 0.651597 0.785051 0 0 0 0 0 0 0 0 0 0
0.095847 2.00481e-08 7.06238e-09 1.29857e-08 0.647728 0.783119 0 0 0 0 0 0 0 0 0 0
0.100767 2.00621e-08 7.33481e-09 1.27273e-08 0.634395 0.793052 0 0 0 0 0 0 0 0 0 0
0.105939 2.00503e-08 7.58227e-09 1.2468e-08 0.621838 0.806068 0 0 0 0 0 0 0 0 0 0
0.111377 1.99505e-08 7.97309e-09 1.19774e-08 0.600356 0.830958 0 0 0 0 0 0 0 0 0 0
0.117094 1.99315e-08 8.41002e-09 1.15215e-08 0.578054 0.860861 0 0 0 0 0 0 0 0 0 0
0.123105 1.99579e-08 8.72261e-09 1.12353e-08 0.562949 0.881908 0 0 0 0 0 0 0 0 0 0
0.129424 2.00003e-08 9.00986e-09 1.09905e-08 0.549514 0.900549 0 0 0 0 0 0 0 0 0 0
0.136067 2.00328e-08 9.25434e-09 1.07785e-08 0.538042 0.915641 0 0 0 0 0 0 0 0 0 0
0.143051 2.00172e-08 9.43852e-09 1.05787e-08 0.528479 0.927312 0 0 0 0 0 0 0 0 0 0
0.150394 1.98983e-08 9.501e-09 1.03973e-08 0.522521 0.934559 0 0 0 0 0 0 0 0 0 0
0.158114 1.97382e-08 9.40199e-09 1.03362e-08 0.523666 0.934687 0 0 0 0 0 0 0 0 0 0
0.16623 1.97208e-08 9.14076e-09 1.058e-08 0.536491 0.923643 0 0 0 0 0 0 0 0 0 0
0.174762 1.99187e-08 8.76205e-09 1.11567e-08 0.560109 0.898322 0 0 0 0 0 0 0 0 0 0
0.183733 2.02006e-08 8.34541e-09 1.18552e-08 0.586874 0.865221 0 0 0 0 0 0 0 0 0 0
0.193164 2.05344e-08 7.95935e-09 1.2575e-08 0.612389 0.831959 0 0 0 0 0 0 0 0 0 0
0.203079 2.09106e-08 7.68111e-09 1.32295e-08 0.632669 0.805214 0 0 0 0 0 0 0 0 0 0
0.213503 2.1341e-08 7.50226e-09 1.38388e-08 0.648458 0.784353 0 0 0 0 0 0 0 0 0 0
0.224463 2.18178e-08 7.49597e-09 1.43218e-08 0.656428 0.770831 0 0 0 0 0 0 0 0 0 0
0.235984 2.21702e-08 7.53534e-09 1.46349e-08 0.660114 0.761286 0 0 0 0 0 0 0 0 0 0
0.248097 2.22511e-08 7.63339e-09 1.46177e-08 0.656943 0.756101 0 0 0 0 0 0 0 0 0 0
0.260832 2.21509e-08 7.77664e-09 1.43743e-08 0.648925 0.754598 0 0 0 0 0 0 0 0 0 0
0.274221 2.20145e-08 7.93584e-09 1.40787e-08 0.639518 0.754676 0 0 0 0 0 0 0 0 0 0
0.288297 2.19318e-08 8.18325e-09 1.37486e-08 0.626877 0.760171 0 0 0 0 0 0 0 0 0 0
0.303095 2.19255e-08 8.38278e-09 1.35428e-08 0.617671 0.764433 0 0 0 0 0 0 0 0 0 0
0.318653 2.19457e-08 8.56276e-09 1.33829e-08 0.60982 0.768106 0 0 0 0 0 0 0 0 0 0
0.335009 2.19972e-08 8.73012e-09 1.32671e-08 0.603126 0.771189 0 0 0 0 0 0 0 0 0 0
0.352205 2.20713e-08 8.87416e-09 1.31972e-08 0.597932 0.77288 0 0 0 0 0 0 0 0 0 0
0.370284 2.21599e-08 8.99933e-09 1.31606e-08 0.593891 0.773219 0 0 0 0 0 0 0 0 0 0
0.389291 2.22536e-08 9.1023e-09 1.31513e-08 0.590974 0.772089 0 0 0 0 0 0 0 0 0 0
0.409273 2.23535e-08 9.20308e-09 1.31504e-08 0.588294 0.770541 0 0 0 0 0 0 0 0 0 0
0.430281 2.2454e-08 9.30125e-09 1.31528e-08 0.585765 0.768645 0 0 0 0 0 0 0 0 0 0
0.452368 2.25654e-08 9.40775e-09 1.31576e-08 0.583089 0.766895 0 0 0 0 0 0 0 0 0 0
0.475588 2.26815e-08 9.5166e-09 1.31649e-08 0.580425 0.764917 0 0 0 0 0 0 0 0 0 0
0.5 2.28158e-08 9.62414e-09 1.31917e-08 0.578182 0.762804 0 0 0 0 0 0 0 0 0 0
0.525665 2.2976e-08 9.73822e-09 1.32378e-08 0.576158 0.760691 0 0 0 0 0 0 0 0 0 0
0.552647 2.3116e-08 9.84784e-09 1.32682e-08 0.573982 0.757312 0 0 0 0 0 0 0 0 0 0
0.581015 2.31881e-08 9.93459e-09 1.32535e-08 0.571566 0.75116 0 0 0 0 0 0 0 0 0 0
0.610839 2.32213e-08 1.00218e-08 1.31995e-08 0.568421 0.741978 0 0 0 0 0 0 0 0 0 0
0.642193 2.3259e-08 1.00465e-08 1.32125e-08 0.568059 0.731597 0 0 0 0 0 0 0 0 0 0
0.675157 2.35798e-08 1.00729e-08 1.3507e-08 0.572819 0.722782 0 0 0 0 0 0 0 0 0 0
0.709813 2.39593e-08 1.00053e-08 1.3954e-08 0.582405 0.7204 0 0 0 0 0 0 0 0 0 0
0.746248 2.46717e-08 1.00637e-08 1.4608e-08 0.592095 0.721153 0 0 0 0 0 0 0 0 0 0
0.784553 2.48599e-08 9.89008e-09 1.49699e-08 0.602168 0.710866 0 0 0 0 0 0 0 0 0 0
0.824824 2.51201e-08 9.89878e-09 1.52213e-08 0.605942 0.71066 0 0 0 0 0 0 0 0 0 0
0.867162 2.50981e-08 1.01154e-08 1.49828e-08 0.596967 0.697611 0 0 0 0 0 0 0 0 0 0
0.911674 2.39094e-08 9.51266e-09 1.43967e-08 0.602137 0.662233 0 0 0 0 0 0 0 0 0 0
0.95847 2.41195e-08 9.96812e-09 1.41514e-08 0.58672 0.637361 0 0 0 0 0 0 0 0 0 0
1.00767 2.38166e-08 1.0037e-08 1.37796e-08 0.578572 0.598035 0 0 0 0 0 0 0 0 0 0
1.05939 2.23589e-08 9.27128e-09 1.30876e-08 0.585343 0.540675 0 0 0 0 0 0 0 0 0 0
1.11377 2.37796e-08 9.83955e-09 1.39401e-08 0.586219 0.498088 0 0 0 0 0 0 0 0 0 0
1.17094 2.41492e-08 9.34968e-09 1.47995e-08 0.612837 0.483271 0 0 0 0 0 0 0 0 0 0
1.23105 2.48095e-08 9.18209e-09 1.56274e-08 0.629896 0.502591 0 0 0 0 0 0 0 0 0 0
1.29424 2.53634e-08 9.05377e-09 1.63097e-08 0.643038 0.51625 0 0 0 0 0 0 0 0 0 0
