# 5.95219e-05 2 71 : grain size, compostion index, size index
# Heating and cooling timescale: 0.000764159 2.63103e+06
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scales: 0.5 1 2 5 10
StochasticallyHeated: 0 0 0 0 0
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEm1 StEm1 EqEm2 StEm2 EqEm3 StEm3 EqEm4 StEm4 EqEm5 StEm5
0.05 2.31457e-08 8.09732e-09 1.50484e-08 0.650158 0.858329 0 0 0 0 0 0 0 0 0 0
0.0525665 2.32208e-08 8.01228e-09 1.52085e-08 0.654952 0.846388 0 0 0 0 0 0 0 0 0 0
0.0552647 2.32994e-08 7.96308e-09 1.53363e-08 0.658228 0.836482 0 0 0 0 0 0 0 0 0 0
0.0581015 2.33729e-08 7.96628e-09 1.54066e-08 0.659166 0.830403 0 0 0 0 0 0 0 0 0 0
0.0610839 2.34468e-08 7.8929e-09 1.55539e-08 0.663369 0.822099 0 0 0 0 0 0 0 0 0 0
0.0642193 2.35499e-08 7.66e-09 1.58899e-08 0.674733 0.804873 0 0 0 0 0 0 0 0 0 0
0.0675157 2.3693e-08 7.46088e-09 1.62321e-08 0.685102 0.786133 0 0 0 0 0 0 0 0 0 0
0.0709813 2.3849e-08 7.53886e-09 1.63101e-08 0.683892 0.779549 0 0 0 0 0 0 0 0 0 0
0.0746248 2.39926e-08 7.75867e-09 1.62339e-08 0.676622 0.780941 0 0 0 0 0 0 0 0 0 0
0.0784553 2.41174e-08 8.01537e-09 1.6102e-08 0.667652 0.785631 0 0 0 0 0 0 0 0 0 0
0.0824824 2.42252e-08 8.28904e-09 1.59362e-08 0.657834 0.791088 0 0 0 0 0 0 0 0 0 0
0.0867162 2.43261e-08 8.41291e-09 1.59132e-08 0.654161 0.789896 0 0 0 0 0 0 0 0 0 0
0.0911674 2.44429e-08 8.46882e-09 1.59741e-08 0.653526 0.784962 0 0 0 0 0 0 0 0 0 0
0.095847 2.45457e-08 8.59677e-09 1.59489e-08 0.649764 0.783063 0 0 0 0 0 0 0 0 0 0
0.100767 2.45658e-08 8.93041e-09 1.56354e-08 0.63647 0.793119 0 0 0 0 0 0 0 0 0 0
0.105939 2.4556e-08 9.23497e-09 1.53211e-08 0.623923 0.806261 0 0 0 0 0 0 0 0 0 0
0.111377 2.44445e-08 9.71748e-09 1.4727e-08 0.602467 0.831359 0 0 0 0 0 0 0 0 0 0
0.117094 2.44214e-08 1.02496e-08 1.41718e-08 0.580301 0.861411 0 0 0 0 0 0 0 0 0 0
0.123105 2.44508e-08 1.06278e-08 1.3823e-08 0.56534 0.882556 0 0 0 0 0 0 0 0 0 0
