# 7.33679e-05 2 73 : grain size, compostion index, size index
# Heating and cooling timescale: 0.000512922 3.63248e+06
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scales: 0.5 1 2 5 10
# StochasticallyHeated: 0 0 0 0 0
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEm1 StEm1 EqEm2 StEm2 EqEm3 StEm3 EqEm4 StEm4 EqEm5 StEm5
0.05 3.50278e-08 1.22489e-08 2.27789e-08 0.650309 0.858191 0 0 0 0 0 0 0 0 0 0
0.0525665 3.51242e-08 1.21078e-08 2.30165e-08 0.655287 0.846212 0 0 0 0 0 0 0 0 0 0
0.0552647 3.52252e-08 1.20199e-08 2.32053e-08 0.658769 0.836278 0 0 0 0 0 0 0 0 0 0
0.0581015 3.532e-08 1.2012e-08 2.3308e-08 0.65991 0.83019 0 0 0 0 0 0 0 0 0 0
0.0610839 3.5415e-08 1.18905e-08 2.35245e-08 0.664253 0.821861 0 0 0 0 0 0 0 0 0 0
0.0642193 3.5546e-08 1.15256e-08 2.40204e-08 0.675756 0.804542 0 0 0 0 0 0 0 0 0 0
0.0675157 3.5726e-08 1.12031e-08 2.45229e-08 0.686415 0.785682 0 0 0 0 0 0 0 0 0 0
0.0709813 3.59223e-08 1.12926e-08 2.46297e-08 0.685639 0.779048 0 0 0 0 0 0 0 0 0 0
0.0746248 3.61041e-08 1.15963e-08 2.45078e-08 0.67881 0.780445 0 0 0 0 0 0 0 0 0 0
0.0784553 3.62644e-08 1.19589e-08 2.43055e-08 0.67023 0.785175 0 0 0 0 0 0 0 0 0 0
0.0824824 3.64069e-08 1.23514e-08 2.40555e-08 0.66074 0.79071 0 0 0 0 0 0 0 0 0 0
0.0867162 3.65416e-08 1.25227e-08 2.40189e-08 0.657303 0.789567 0 0 0 0 0 0 0 0 0 0
0.0911674 3.66964e-08 1.259e-08 2.41064e-08 0.656915 0.784644 0 0 0 0 0 0 0 0 0 0
0.095847 3.68355e-08 1.27681e-08 2.40674e-08 0.653375 0.782798 0 0 0 0 0 0 0 0 0 0
0.100767 3.68726e-08 1.32675e-08 2.36051e-08 0.640181 0.793072 0 0 0 0 0 0 0 0 0 0
0.105939 3.68694e-08 1.37279e-08 2.31415e-08 0.627661 0.806436 0 0 0 0 0 0 0 0 0 0
0.111377 3.67322e-08 1.44639e-08 2.22683e-08 0.606234 0.831918 0 0 0 0 0 0 0 0 0 0
0.117094 3.66988e-08 1.52564e-08 2.14425e-08 0.584282 0.862246 0 0 0 0 0 0 0 0 0 0
0.123105 3.67357e-08 1.58123e-08 2.09234e-08 0.569566 0.88357 0 0 0 0 0 0 0 0 0 0
0.129424 3.67975e-08 1.63165e-08 2.04809e-08 0.556586 0.902434 0 0 0 0 0 0 0 0 0 0
0.136067 3.68476e-08 1.6743e-08 2.01046e-08 0.545615 0.917716 0 0 0 0 0 0 0 0 0 0
0.143051 3.68349e-08 1.70707e-08 1.97642e-08 0.536563 0.929576 0 0 0 0 0 0 0 0 0 0
0.150394 3.66915e-08 1.72057e-08 1.94858e-08 0.531072 0.937052 0 0 0 0 0 0 0 0 0 0
0.158114 3.65021e-08 1.70582e-08 1.94439e-08 0.53268 0.937429 0 0 0 0 0 0 0 0 0 0
0.16623 3.64969e-08 1.65918e-08 1.99051e-08 0.54539 0.92663 0 0 0 0 0 0 0 0 0 0
0.174762 3.67769e-08 1.5869e-08 2.09078e-08 0.568505 0.901387 0 0 0 0 0 0 0 0 0 0
0.183733 3.71723e-08 1.50492e-08 2.2123e-08 0.595149 0.868091 0 0 0 0 0 0 0 0 0 0
0.193164 3.76373e-08 1.42646e-08 2.33727e-08 0.620999 0.834398 0 0 0 0 0 0 0 0 0 0
0.203079 3.81603e-08 1.36621e-08 2.44981e-08 0.64198 0.807098 0 0 0 0 0 0 0 0 0 0
0.213503 3.87618e-08 1.32312e-08 2.55306e-08 0.658653 0.785562 0 0 0 0 0 0 0 0 0 0
0.224463 3.94629e-08 1.31313e-08 2.63316e-08 0.66725 0.771474 0 0 0 0 0 0 0 0 0 0
0.235984 4.00555e-08 1.31945e-08 2.6861e-08 0.670595 0.761982 0 0 0 0 0 0 0 0 0 0
0.248097 4.02813e-08 1.34251e-08 2.68562e-08 0.666717 0.757635 0 0 0 0 0 0 0 0 0 0
