# 0.00012376 2 78 : grain size, compostion index, size index
# This grain was stochastically heated: No
# Heating and cooling timescale: 0.000191187 1.20522e+07
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scales:  0.5 1 2 5 10
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEm1 StEm1 EqEm2 StEm2 EqEm3 StEm3 EqEm4 StEm4 EqEm5 StEm5
0.05 9.88161e-08 3.4571e-08 6.42451e-08 0.650148 0.857561 0 0 0 0 0 0 0 0 0 0
0.0525665 9.89971e-08 3.41086e-08 6.48886e-08 0.655459 0.845479 0 0 0 0 0 0 0 0 0 0
0.0552647 9.91864e-08 3.37916e-08 6.53947e-08 0.659312 0.835462 0 0 0 0 0 0 0 0 0 0
0.0581015 9.93653e-08 3.37032e-08 6.56621e-08 0.660815 0.829335 0 0 0 0 0 0 0 0 0 0
0.0610839 9.95447e-08 3.33078e-08 6.62369e-08 0.665398 0.820927 0 0 0 0 0 0 0 0 0 0
0.0642193 9.9785e-08 3.22156e-08 6.75694e-08 0.677149 0.803388 0 0 0 0 0 0 0 0 0 0
0.0675157 1.00107e-07 3.11992e-08 6.89081e-08 0.688342 0.784253 0 0 0 0 0 0 0 0 0 0
0.0709813 1.00457e-07 3.13059e-08 6.91515e-08 0.688366 0.777506 0 0 0 0 0 0 0 0 0 0
0.0746248 1.00786e-07 3.20122e-08 6.87742e-08 0.682376 0.77891 0 0 0 0 0 0 0 0 0 0
0.0784553 1.01083e-07 3.28962e-08 6.81873e-08 0.674564 0.78371 0 0 0 0 0 0 0 0 0 0
0.0824824 1.01361e-07 3.38774e-08 6.7484e-08 0.665776 0.789385 0 0 0 0 0 0 0 0 0 0
0.0867162 1.01631e-07 3.4262e-08 6.73694e-08 0.662879 0.78831 0 0 0 0 0 0 0 0 0 0
0.0911674 1.01939e-07 3.43466e-08 6.75921e-08 0.663066 0.783374 0 0 0 0 0 0 0 0 0 0
0.095847 1.02227e-07 3.47478e-08 6.74795e-08 0.660093 0.781605 0 0 0 0 0 0 0 0 0 0
0.100767 1.02346e-07 3.61055e-08 6.62406e-08 0.647222 0.792288 0 0 0 0 0 0 0 0 0 0
0.105939 1.02386e-07 3.73887e-08 6.49977e-08 0.634828 0.806078 0 0 0 0 0 0 0 0 0 0
0.111377 1.02174e-07 3.95011e-08 6.26727e-08 0.613393 0.832339 0 0 0 0 0 0 0 0 0 0
0.117094 1.02103e-07 4.16858e-08 6.04173e-08 0.591728 0.863245 0 0 0 0 0 0 0 0 0 0
0.123105 1.02173e-07 4.31771e-08 5.89964e-08 0.577414 0.884938 0 0 0 0 0 0 0 0 0 0
0.129424 1.02293e-07 4.45028e-08 5.77907e-08 0.56495 0.904101 0 0 0 0 0 0 0 0 0 0
0.136067 1.024e-07 4.56098e-08 5.67906e-08 0.554593 0.919628 0 0 0 0 0 0 0 0 0 0
