# 0.000231776 2 84 : grain size, compostion index, size index
# Heating and cooling timescale: 5.80172e-05 2.19601e+08
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scales: 0.5 1 2 5 10
StochasticallyHeated: 0 0 0 0 0
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEm1 StEm1 EqEm2 StEm2 EqEm3 StEm3 EqEm4 StEm4 EqEm5 StEm5
0.05 3.43832e-07 1.2053e-07 2.23302e-07 0.649451 0.856625 0 0 0 0 0 0 0 0 0 0
0.0525665 3.44221e-07 1.18758e-07 2.25463e-07 0.654994 0.844426 0 0 0 0 0 0 0 0 0 0
0.0552647 3.44627e-07 1.17481e-07 2.27146e-07 0.659108 0.83431 0 0 0 0 0 0 0 0 0 0
0.0581015 3.45014e-07 1.17007e-07 2.28007e-07 0.660863 0.828124 0 0 0 0 0 0 0 0 0 0
0.0610839 3.45402e-07 1.15501e-07 2.29901e-07 0.665604 0.819619 0 0 0 0 0 0 0 0 0 0
0.0642193 3.45907e-07 1.11546e-07 2.34361e-07 0.677525 0.801849 0 0 0 0 0 0 0 0 0 0
0.0675157 3.46563e-07 1.07746e-07 2.38817e-07 0.689101 0.782445 0 0 0 0 0 0 0 0 0 0
0.0709813 3.47272e-07 1.07758e-07 2.39515e-07 0.689703 0.775588 0 0 0 0 0 0 0 0 0 0
0.0746248 3.47947e-07 1.09836e-07 2.38111e-07 0.684331 0.776991 0 0 0 0 0 0 0 0 0 0
0.0784553 3.4857e-07 1.12549e-07 2.36021e-07 0.677113 0.781844 0 0 0 0 0 0 0 0 0 0
0.0824824 3.49172e-07 1.15606e-07 2.33565e-07 0.668913 0.787619 0 0 0 0 0 0 0 0 0 0
0.0867162 3.49772e-07 1.16646e-07 2.33126e-07 0.666509 0.786564 0 0 0 0 0 0 0 0 0 0
0.0911674 3.50453e-07 1.16615e-07 2.33838e-07 0.667246 0.781585 0 0 0 0 0 0 0 0 0 0
0.095847 3.51116e-07 1.17672e-07 2.33444e-07 0.664864 0.779852 0 0 0 0 0 0 0 0 0 0
0.100767 3.51475e-07 1.2217e-07 2.29304e-07 0.652407 0.790853 0 0 0 0 0 0 0 0 0 0
0.105939 3.51668e-07 1.26523e-07 2.25145e-07 0.64022 0.804981 0 0 0 0 0 0 0 0 0 0
0.111377 3.51373e-07 1.33957e-07 2.17415e-07 0.61876 0.831903 0 0 0 0 0 0 0 0 0 0
0.117094 3.51237e-07 1.41496e-07 2.09742e-07 0.597151 0.86332 0 0 0 0 0 0 0 0 0 0
0.123105 3.51408e-07 1.46521e-07 2.04887e-07 0.583046 0.885342 0 0 0 0 0 0 0 0 0 0
0.129424 3.51689e-07 1.50907e-07 2.00783e-07 0.570909 0.904775 0 0 0 0 0 0 0 0 0 0
0.136067 3.5196e-07 1.54514e-07 1.97447e-07 0.560991 0.920524 0 0 0 0 0 0 0 0 0 0
0.143051 3.52061e-07 1.57337e-07 1.94725e-07 0.553099 0.932792 0 0 0 0 0 0 0 0 0 0
0.150394 3.51824e-07 1.58812e-07 1.93011e-07 0.548602 0.94067 0 0 0 0 0 0 0 0 0 0
0.158114 3.51509e-07 1.57996e-07 1.93514e-07 0.550522 0.941453 0 0 0 0 0 0 0 0 0 0
0.16623 3.51721e-07 1.53971e-07 1.9775e-07 0.562236 0.930921 0 0 0 0 0 0 0 0 0 0
0.174762 3.52769e-07 1.46731e-07 2.06038e-07 0.58406 0.90538 0 0 0 0 0 0 0 0 0 0
0.183733 3.54177e-07 1.37966e-07 2.16211e-07 0.610459 0.871094 0 0 0 0 0 0 0 0 0 0
0.193164 3.5579e-07 1.29095e-07 2.26695e-07 0.63716 0.835948 0 0 0 0 0 0 0 0 0 0
0.203079 3.57562e-07 1.21626e-07 2.35936e-07 0.659847 0.807052 0 0 0 0 0 0 0 0 0 0
0.213503 3.59558e-07 1.15458e-07 2.441e-07 0.678889 0.783743 0 0 0 0 0 0 0 0 0 0
0.224463 3.61998e-07 1.12038e-07 2.4996e-07 0.690502 0.767905 0 0 0 0 0 0 0 0 0 0
0.235984 3.64681e-07 1.10978e-07 2.53703e-07 0.695685 0.757439 0 0 0 0 0 0 0 0 0 0
0.248097 3.66896e-07 1.13105e-07 2.5379e-07 0.691723 0.753991 0 0 0 0 0 0 0 0 0 0
0.260832 3.67776e-07 1.16601e-07 2.51174e-07 0.682955 0.755532 0 0 0 0 0 0 0 0 0 0
0.274221 3.67752e-07 1.20086e-07 2.47666e-07 0.673459 0.7587 0 0 0 0 0 0 0 0 0 0
0.288297 3.67407e-07 1.24271e-07 2.43136e-07 0.661762 0.766955 0 0 0 0 0 0 0 0 0 0
0.303095 3.67471e-07 1.2728e-07 2.40192e-07 0.653634 0.773364 0 0 0 0 0 0 0 0 0 0
0.318653 3.67699e-07 1.29821e-07 2.37877e-07 0.646935 0.779041 0 0 0 0 0 0 0 0 0 0
0.335009 3.68129e-07 1.3197e-07 2.36159e-07 0.641512 0.783959 0 0 0 0 0 0 0 0 0 0
0.352205 3.68747e-07 1.33637e-07 2.3511e-07 0.637591 0.787402 0 0 0 0 0 0 0 0 0 0
0.370284 3.69482e-07 1.34922e-07 2.3456e-07 0.634836 0.789455 0 0 0 0 0 0 0 0 0 0
0.389291 3.70284e-07 1.35857e-07 2.34427e-07 0.6331 0.7901 0 0 0 0 0 0 0 0 0 0
0.409273 3.71121e-07 1.36699e-07 2.34422e-07 0.631659 0.790381 0 0 0 0 0 0 0 0 0 0
0.430281 3.71973e-07 1.375e-07 2.34473e-07 0.630349 0.790486 0 0 0 0 0 0 0 0 0 0
0.452368 3.7289e-07 1.3834e-07 2.3455e-07 0.629006 0.790771 0 0 0 0 0 0 0 0 0 0
0.475588 3.73851e-07 1.39175e-07 2.34675e-07 0.627724 0.790987 0 0 0 0 0 0 0 0 0 0
0.5 3.74879e-07 1.39966e-07 2.34914e-07 0.626638 0.790945 0 0 0 0 0 0 0 0 0 0
0.525665 3.75973e-07 1.40737e-07 2.35236e-07 0.625671 0.790738 0 0 0 0 0 0 0 0 0 0
0.552647 3.77098e-07 1.415e-07 2.35598e-07 0.624767 0.79039 0 0 0 0 0 0 0 0 0 0
0.581015 3.7831e-07 1.42085e-07 2.36224e-07 0.62442 0.789271 0 0 0 0 0 0 0 0 0 0
0.610839 3.7955e-07 1.42678e-07 2.36872e-07 0.624086 0.788087 0 0 0 0 0 0 0 0 0 0
0.642193 3.80822e-07 1.43278e-07 2.37544e-07 0.623767 0.786833 0 0 0 0 0 0 0 0 0 0
0.675157 3.82137e-07 1.4381e-07 2.38327e-07 0.623668 0.78525 0 0 0 0 0 0 0 0 0 0
0.709813 3.83463e-07 1.44278e-07 2.39185e-07 0.623751 0.783337 0 0 0 0 0 0 0 0 0 0
0.746248 3.84855e-07 1.4471e-07 2.40144e-07 0.623987 0.78125 0 0 0 0 0 0 0 0 0 0
0.784553 3.86231e-07 1.4513e-07 2.41101e-07 0.624241 0.779042 0 0 0 0 0 0 0 0 0 0
0.824824 3.87469e-07 1.45531e-07 2.41937e-07 0.624405 0.776603 0 0 0 0 0 0 0 0 0 0
0.867162 3.89479e-07 1.45863e-07 2.43616e-07 0.625492 0.774359 0 0 0 0 0 0 0 0 0 0
0.911674 3.89838e-07 1.46093e-07 2.43745e-07 0.625248 0.770754 0 0 0 0 0 0 0 0 0 0
0.95847 3.91949e-07 1.46307e-07 2.45642e-07 0.62672 0.768276 0 0 0 0 0 0 0 0 0 0
1.00767 3.94821e-07 1.4626e-07 2.48561e-07 0.629553 0.765692 0 0 0 0 0 0 0 0 0 0
1.05939 3.93251e-07 1.46115e-07 2.47136e-07 0.628444 0.759319 0 0 0 0 0 0 0 0 0 0
1.11377 3.94688e-07 1.45541e-07 2.49147e-07 0.63125 0.754152 0 0 0 0 0 0 0 0 0 0
1.17094 4.01031e-07 1.44687e-07 2.56344e-07 0.639213 0.753127 0 0 0 0 0 0 0 0 0 0
1.23105 4.01375e-07 1.43934e-07 2.57441e-07 0.641397 0.747921 0 0 0 0 0 0 0 0 0 0
1.29424 3.96277e-07 1.42988e-07 2.53289e-07 0.639172 0.737113 0 0 0 0 0 0 0 0 0 0
1.36067 3.98725e-07 1.41731e-07 2.56994e-07 0.644539 0.729002 0 0 0 0 0 0 0 0 0 0
1.43051 4.09975e-07 1.40527e-07 2.69447e-07 0.65723 0.726555 0 0 0 0 0 0 0 0 0 0
1.50394 4.15933e-07 1.39119e-07 2.76815e-07 0.665526 0.724136 0 0 0 0 0 0 0 0 0 0
1.58114 4.08999e-07 1.36355e-07 2.72644e-07 0.666612 0.712475 0 0 0 0 0 0 0 0 0 0
1.6623 3.97224e-07 1.33366e-07 2.63858e-07 0.664254 0.689578 0 0 0 0 0 0 0 0 0 0
1.74762 3.99722e-07 1.35877e-07 2.63845e-07 0.660071 0.685914 0 0 0 0 0 0 0 0 0 0
1.83733 4.15437e-07 1.34455e-07 2.80982e-07 0.676352 0.690592 0 0 0 0 0 0 0 0 0 0
1.93164 4.28097e-07 1.30062e-07 2.98035e-07 0.696185 0.700229 0 0 0 0 0 0 0 0 0 0
2.03079 4.33274e-07 1.30229e-07 3.03045e-07 0.699431 0.684225 0 0 0 0 0 0 0 0 0 0
2.13503 4.24996e-07 1.28934e-07 2.96061e-07 0.696622 0.666586 0 0 0 0 0 0 0 0 0 0
2.24463 4.16665e-07 1.25428e-07 2.91236e-07 0.698971 0.644187 0 0 0 0 0 0 0 0 0 0
2.35984 3.97193e-07 1.24253e-07 2.7294e-07 0.687172 0.604663 0 0 0 0 0 0 0 0 0 0
