# 0.000659502 2 94 : grain size, compostion index, size index
# Heating and cooling timescale: 7.64063e-06 5.83936e+13
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scales: 0.5 1 2 5 10
# StochasticallyHeated: 0 0 0 0 0
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEm1 StEm1 EqEm2 StEm2 EqEm3 StEm3 EqEm4 StEm4 EqEm5 StEm5
0.05 2.75991e-06 9.71188e-07 1.78872e-06 0.648109 0.855267 0 0 0 0 0 0 0 0 0 0
0.0525665 2.76133e-06 9.55901e-07 1.80542e-06 0.653825 0.842917 0 0 0 0 0 0 0 0 0 0
0.0552647 2.7628e-06 9.44506e-07 1.8183e-06 0.658135 0.83267 0 0 0 0 0 0 0 0 0 0
0.0581015 2.76423e-06 9.39631e-07 1.8246e-06 0.660075 0.826397 0 0 0 0 0 0 0 0 0 0
0.0610839 2.76566e-06 9.26707e-07 1.83895e-06 0.664924 0.817758 0 0 0 0 0 0 0 0 0 0
0.0642193 2.76743e-06 8.93958e-07 1.87347e-06 0.676972 0.799711 0 0 0 0 0 0 0 0 0 0
0.0675157 2.76964e-06 8.61759e-07 1.90788e-06 0.688855 0.779998 0 0 0 0 0 0 0 0 0 0
0.0709813 2.77202e-06 8.59576e-07 1.91244e-06 0.68991 0.773005 0 0 0 0 0 0 0 0 0 0
0.0746248 2.77431e-06 8.73849e-07 1.90047e-06 0.685022 0.774394 0 0 0 0 0 0 0 0 0 0
0.0784553 2.77648e-06 8.93262e-07 1.88322e-06 0.678275 0.77929 0 0 0 0 0 0 0 0 0 0
0.0824824 2.77864e-06 9.15356e-07 1.86329e-06 0.670574 0.785144 0 0 0 0 0 0 0 0 0 0
0.0867162 2.78084e-06 9.21479e-07 1.85936e-06 0.668633 0.784072 0 0 0 0 0 0 0 0 0 0
0.0911674 2.78331e-06 9.18726e-07 1.86458e-06 0.669916 0.779014 0 0 0 0 0 0 0 0 0 0
0.095847 2.78582e-06 9.244e-07 1.86142e-06 0.668177 0.77729 0 0 0 0 0 0 0 0 0 0
0.100767 2.78753e-06 9.58259e-07 1.82927e-06 0.656233 0.788582 0 0 0 0 0 0 0 0 0 0
0.105939 2.78872e-06 9.91808e-07 1.79691e-06 0.64435 0.803027 0 0 0 0 0 0 0 0 0 0
0.111377 2.78864e-06 1.05151e-06 1.73713e-06 0.622932 0.8306 0 0 0 0 0 0 0 0 0 0
0.117094 2.7885e-06 1.11215e-06 1.67636e-06 0.601168 0.862547 0 0 0 0 0 0 0 0 0 0
0.123105 2.78937e-06 1.1517e-06 1.63767e-06 0.587111 0.884916 0 0 0 0 0 0 0 0 0 0
0.129424 2.79061e-06 1.1856e-06 1.60501e-06 0.575146 0.904647 0 0 0 0 0 0 0 0 0 0
0.136067 2.7919e-06 1.21301e-06 1.57889e-06 0.565527 0.920642 0 0 0 0 0 0 0 0 0 0
0.143051 2.79275e-06 1.23439e-06 1.55836e-06 0.558003 0.933115 0 0 0 0 0 0 0 0 0 0
0.150394 2.79273e-06 1.24622e-06 1.54651e-06 0.553762 0.941151 0 0 0 0 0 0 0 0 0 0
0.158114 2.79259e-06 1.24126e-06 1.55134e-06 0.555519 0.942023 0 0 0 0 0 0 0 0 0 0
0.16623 2.79391e-06 1.21099e-06 1.58292e-06 0.566562 0.931406 0 0 0 0 0 0 0 0 0 0
0.174762 2.79757e-06 1.1532e-06 1.64437e-06 0.587785 0.905412 0 0 0 0 0 0 0 0 0 0
0.183733 2.80223e-06 1.08141e-06 1.72081e-06 0.614087 0.870347 0 0 0 0 0 0 0 0 0 0
0.193164 2.80745e-06 1.00747e-06 1.79998e-06 0.641143 0.834285 0 0 0 0 0 0 0 0 0 0
0.203079 2.8131e-06 9.43831e-07 1.86927e-06 0.664487 0.80452 0 0 0 0 0 0 0 0 0 0
0.213503 2.81929e-06 8.89754e-07 1.92953e-06 0.684404 0.78036 0 0 0 0 0 0 0 0 0 0
0.224463 2.8266e-06 8.55377e-07 1.97123e-06 0.697383 0.763738 0 0 0 0 0 0 0 0 0 0
0.235984 2.83488e-06 8.38286e-07 1.99659e-06 0.704296 0.752616 0 0 0 0 0 0 0 0 0 0
0.248097 2.84335e-06 8.47546e-07 1.99581e-06 0.70192 0.749031 0 0 0 0 0 0 0 0 0 0
0.260832 2.84933e-06 8.72221e-07 1.97711e-06 0.693885 0.751051 0 0 0 0 0 0 0 0 0 0
0.274221 2.85243e-06 8.99572e-07 1.95286e-06 0.68463 0.754965 0 0 0 0 0 0 0 0 0 0
0.288297 2.85304e-06 9.32851e-07 1.92018e-06 0.673032 0.764018 0 0 0 0 0 0 0 0 0 0
0.303095 2.85438e-06 9.55928e-07 1.89845e-06 0.665101 0.770964 0 0 0 0 0 0 0 0 0 0
