# 3.55e-08 3 0 : grain size, compostion index, size index
# Heating and cooling timescale: 8.76794e+06 0.020145
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scales: 0.5 1 2 5 10
StochasticallyHeated: 1 1 1 1 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEm1 StEm1 EqEm2 StEm2 EqEm3 StEm3 EqEm4 StEm4 EqEm5 StEm5
0.05 1.88971e-16 1.88967e-16 3.32506e-21 1.75956e-05 0.0002936 0 0 0 1.4013e-45 0 4.2039e-45 0 1.12104e-44 0 3.08286e-44
0.0525665 1.95394e-16 1.95391e-16 3.16678e-21 1.62072e-05 0.000263942 0 0 0 7.56701e-44 0 1.58347e-43 0 4.45613e-43 0 1.05658e-42
0.0552647 2.04943e-16 2.0494e-16 3.13662e-21 1.53048e-05 0.000236227 0 0 0 3.12069e-42 0 6.35209e-42 0 1.67119e-41 0 3.62011e-41
0.0581015 2.24607e-16 2.24603e-16 3.37326e-21 1.50185e-05 0.000209969 0 8.40779e-45 0 1.12698e-40 0 2.27103e-40 0 5.80554e-40 0 1.20376e-39
0.0610839 2.54407e-16 2.54404e-16 3.78837e-21 1.4891e-05 0.000185993 0 4.62428e-43 0 3.54756e-39 0 7.11876e-39 0 1.79741e-38 0 3.65389e-38
0.0642193 2.83045e-16 2.83041e-16 4.10088e-21 1.44884e-05 0.000165142 0 2.03623e-41 0 9.29535e-38 0 1.86189e-37 0 4.6759e-37 0 9.42235e-37
0.0675157 3.00477e-16 3.00473e-16 4.15844e-21 1.38394e-05 0.000147567 0 7.08419e-40 0 1.98266e-36 0 3.96817e-36 0 9.94175e-36 0 1.99546e-35
0.0709813 3.01446e-16 3.01442e-16 3.93521e-21 1.30544e-05 0.000133306 0 1.94648e-38 0 3.43401e-35 0 6.87043e-35 0 1.71941e-34 0 3.44485e-34
0.0746248 2.85521e-16 2.85518e-16 3.48493e-21 1.22055e-05 0.000122412 0 4.2572e-37 0 4.8598e-34 0 9.72133e-34 0 2.43163e-33 0 4.86756e-33
0.0784553 2.55601e-16 2.55598e-16 2.884e-21 1.12832e-05 0.000115038 0 7.48178e-36 0 5.66448e-33 0 1.133e-32 0 2.83329e-32 0 5.66921e-32
0.0824824 2.167e-16 2.16697e-16 2.20846e-21 1.01913e-05 0.00011105 0 1.06718e-34 0 5.48526e-32 0 1.09711e-31 0 2.74318e-31 0 5.48773e-31
0.0867162 1.98567e-16 1.98566e-16 1.741e-21 8.76782e-06 0.000102433 0 1.42061e-33 0 5.0681e-31 0 1.01365e-30 0 2.53434e-30 0 5.06938e-30
0.0911674 1.87411e-16 1.87409e-16 1.5377e-21 8.20498e-06 9.36982e-05 0 1.69414e-32 0 4.28385e-30 0 8.56784e-30 0 2.14206e-29 0 4.28447e-29
0.095847 1.62039e-16 1.62038e-16 1.28875e-21 7.95333e-06 9.01017e-05 0 1.62076e-31 0 2.96311e-29 0 5.92627e-29 0 1.48161e-28 0 2.96336e-28
0.100767 1.36978e-16 1.36977e-16 1.04113e-21 7.60071e-06 8.76511e-05 0 1.3363e-30 0 1.79993e-28 0 3.59989e-28 0 8.99989e-28 0 1.80003e-27
0.105939 1.11161e-16 1.1116e-16 8.01337e-22 7.20882e-06 8.64992e-05 0 9.381e-30 0 9.4772e-28 0 1.89545e-27 0 4.73867e-27 0 9.47752e-27
0.111377 9.34451e-17 9.34445e-17 6.14513e-22 6.57619e-06 8.26681e-05 0 6.08633e-29 0 4.69047e-27 0 9.38096e-27 0 2.34526e-26 0 4.69057e-26
