# 0.00592825 3 115 : grain size, compostion index, size index
# Heating and cooling timescale: 7.53675e-08 inf
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scales: 0.5 1 2 5 10
StochasticallyHeated: 0 0 0 0 0
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEm1 StEm1 EqEm2 StEm2 EqEm3 StEm3 EqEm4 StEm4 EqEm5 StEm5
0.05 0.000221356 9.37304e-05 0.000127626 0.576563 0.931572 0 0 0 0 0 0 0 0 0 0
0.0525665 0.000221377 9.29102e-05 0.000128467 0.580307 0.925741 0 0 0 0 0 0 0 0 0 0
0.0552647 0.000221399 9.1551e-05 0.000129848 0.586488 0.916821 0 0 0 0 0 0 0 0 0 0
0.0581015 0.000221423 8.94906e-05 0.000131932 0.595839 0.90295 0 0 0 0 0 0 0 0 0 0
0.0610839 0.00022145 8.74101e-05 0.00013404 0.605283 0.887396 0 0 0 0 0 0 0 0 0 0
0.0642193 0.000221479 8.595e-05 0.000135529 0.611927 0.874745 0 0 0 0 0 0 0 0 0 0
0.0675157 0.000221508 8.51176e-05 0.00013639 0.615735 0.865814 0 0 0 0 0 0 0 0 0 0
0.0709813 0.000221538 8.47968e-05 0.000136741 0.617236 0.860177 0 0 0 0 0 0 0 0 0 0
0.0746248 0.000221569 8.49018e-05 0.000136667 0.616815 0.857426 0 0 0 0 0 0 0 0 0 0
0.0784553 0.000221599 8.54893e-05 0.00013611 0.614216 0.858061 0 0 0 0 0 0 0 0 0 0
0.0824824 0.000221629 8.6762e-05 0.000134867 0.608526 0.86363 0 0 0 0 0 0 0 0 0 0
0.0867162 0.000221656 8.72927e-05 0.000134364 0.60618 0.866612 0 0 0 0 0 0 0 0 0 0
0.0911674 0.000221689 8.64956e-05 0.000135193 0.609833 0.860044 0 0 0 0 0 0 0 0 0 0
0.095847 0.000221724 8.63666e-05 0.000135357 0.610476 0.856722 0 0 0 0 0 0 0 0 0 0
0.100767 0.000221757 8.66077e-05 0.00013515 0.609449 0.856244 0 0 0 0 0 0 0 0 0 0
0.105939 0.00022179 8.74683e-05 0.000134321 0.605625 0.860185 0 0 0 0 0 0 0 0 0 0
0.111377 0.000221821 8.83611e-05 0.00013346 0.601657 0.865282 0 0 0 0 0 0 0 0 0 0
0.117094 0.000221854 8.89399e-05 0.000132914 0.599105 0.868475 0 0 0 0 0 0 0 0 0 0
0.123105 0.000221888 8.93308e-05 0.000132557 0.597406 0.870484 0 0 0 0 0 0 0 0 0 0
