# 0.00730728 3 117 : grain size, compostion index, size index
# This grain was stochastically heated: No
# Heating and cooling timescale: 4.99017e-08 inf
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scales:  0.5 1 2 5 10
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEm1 StEm1 EqEm2 StEm2 EqEm3 StEm3 EqEm4 StEm4 EqEm5 StEm5
0.05 0.000336214 0.000142395 0.000193819 0.576475 0.931542 0 0 0 0 0 0 0 0 0 0
0.0525665 0.000336242 0.000141148 0.000195094 0.580218 0.925707 0 0 0 0 0 0 0 0 0 0
0.0552647 0.00033627 0.000139082 0.000197188 0.586397 0.916781 0 0 0 0 0 0 0 0 0 0
0.0581015 0.000336303 0.000135951 0.000200352 0.595748 0.902902 0 0 0 0 0 0 0 0 0 0
0.0610839 0.000336339 0.000132789 0.00020355 0.605193 0.88734 0 0 0 0 0 0 0 0 0 0
0.0642193 0.000336375 0.000130568 0.000205807 0.611838 0.87468 0 0 0 0 0 0 0 0 0 0
0.0675157 0.000336413 0.000129301 0.000207112 0.615649 0.865743 0 0 0 0 0 0 0 0 0 0
0.0709813 0.000336452 0.00012881 0.000207642 0.617152 0.860102 0 0 0 0 0 0 0 0 0 0
0.0746248 0.000336492 0.000128966 0.000207526 0.616734 0.857347 0 0 0 0 0 0 0 0 0 0
0.0784553 0.000336532 0.000129854 0.000206678 0.61414 0.857982 0 0 0 0 0 0 0 0 0 0
0.0824824 0.000336571 0.000131784 0.000204788 0.608453 0.863551 0 0 0 0 0 0 0 0 0 0
0.0867162 0.000336607 0.000132587 0.00020402 0.606106 0.866534 0 0 0 0 0 0 0 0 0 0
0.0911674 0.00033665 0.000131373 0.000205277 0.609764 0.85996 0 0 0 0 0 0 0 0 0 0
0.095847 0.000336696 0.000131173 0.000205524 0.610413 0.856635 0 0 0 0 0 0 0 0 0 0
0.100767 0.000336741 0.000131534 0.000205207 0.609391 0.856155 0 0 0 0 0 0 0 0 0 0
0.105939 0.000336783 0.000132837 0.000203946 0.605571 0.860098 0 0 0 0 0 0 0 0 0 0
0.111377 0.000336824 0.00013419 0.000202634 0.601603 0.865196 0 0 0 0 0 0 0 0 0 0
0.117094 0.000336868 0.000135065 0.000201803 0.599055 0.86839 0 0 0 0 0 0 0 0 0 0
0.123105 0.000336913 0.000135655 0.000201258 0.597358 0.870399 0 0 0 0 0 0 0 0 0 0
0.129424 0.000336959 0.00013601 0.00020095 0.596362 0.871372 0 0 0 0 0 0 0 0 0 0
0.136067 0.000337009 0.000136102 0.000200907 0.596148 0.87112 0 0 0 0 0 0 0 0 0 0
0.143051 0.00033706 0.000135781 0.000201279 0.597162 0.868767 0 0 0 0 0 0 0 0 0 0
0.150394 0.000337107 0.000136235 0.000200873 0.595872 0.87001 0 0 0 0 0 0 0 0 0 0
0.158114 0.000337152 0.000137676 0.000199476 0.591649 0.876511 0 0 0 0 0 0 0 0 0 0
0.16623 0.000337202 0.000139317 0.000197885 0.586843 0.884408 0 0 0 0 0 0 0 0 0 0
0.174762 0.000337255 0.00014077 0.000196485 0.5826 0.891578 0 0 0 0 0 0 0 0 0 0
0.183733 0.000337312 0.000142057 0.000195255 0.578855 0.89799 0 0 0 0 0 0 0 0 0 0
0.193164 0.000337373 0.000143146 0.000194227 0.575704 0.903434 0 0 0 0 0 0 0 0 0 0
0.203079 0.000337436 0.000144073 0.000193363 0.573036 0.908063 0 0 0 0 0 0 0 0 0 0
0.213503 0.000337501 0.000144891 0.00019261 0.570696 0.912135 0 0 0 0 0 0 0 0 0 0
0.224463 0.000337568 0.000145573 0.000191995 0.56876 0.915509 0 0 0 0 0 0 0 0 0 0
0.235984 0.000337638 0.000146111 0.000191527 0.567257 0.918134 0 0 0 0 0 0 0 0 0 0
0.248097 0.00033771 0.000146523 0.000191187 0.566128 0.920112 0 0 0 0 0 0 0 0 0 0
0.260832 0.000337785 0.00014686 0.000190925 0.565226 0.921696 0 0 0 0 0 0 0 0 0 0
0.274221 0.000337862 0.000147148 0.000190713 0.564472 0.923022 0 0 0 0 0 0 0 0 0 0
0.288297 0.000337942 0.000147395 0.000190548 0.563847 0.924124 0 0 0 0 0 0 0 0 0 0
0.303095 0.000338025 0.000147606 0.000190419 0.563327 0.925043 0 0 0 0 0 0 0 0 0 0
0.318653 0.00033811 0.000147795 0.000190315 0.562878 0.925837 0 0 0 0 0 0 0 0 0 0
0.335009 0.000338198 0.000147962 0.000190235 0.562497 0.92651 0 0 0 0 0 0 0 0 0 0
0.352205 0.00033829 0.000148115 0.000190175 0.562165 0.927102 0 0 0 0 0 0 0 0 0 0
0.370284 0.000338383 0.000148255 0.000190128 0.561872 0.927622 0 0 0 0 0 0 0 0 0 0
0.389291 0.000338481 0.000148379 0.000190102 0.561632 0.928048 0 0 0 0 0 0 0 0 0 0
0.409273 0.000338581 0.000148492 0.000190089 0.561428 0.928411 0 0 0 0 0 0 0 0 0 0
0.430281 0.000338686 0.000148603 0.000190083 0.561236 0.928752 0 0 0 0 0 0 0 0 0 0
0.452368 0.000338793 0.0001487 0.000190093 0.561089 0.929012 0 0 0 0 0 0 0 0 0 0
0.475588 0.000338905 0.000148794 0.00019011 0.560955 0.929245 0 0 0 0 0 0 0 0 0 0
0.5 0.00033902 0.000148885 0.000190135 0.560837 0.929451 0 0 0 0 0 0 0 0 0 0
0.525665 0.000339139 0.000148974 0.000190165 0.560729 0.929634 0 0 0 0 0 0 0 0 0 0
0.552647 0.000339261 0.000149065 0.000190196 0.560618 0.929817 0 0 0 0 0 0 0 0 0 0
0.581015 0.00033939 0.000149142 0.000190248 0.560558 0.929912 0 0 0 0 0 0 0 0 0 0
0.610839 0.00033952 0.000149222 0.000190298 0.560491 0.930012 0 0 0 0 0 0 0 0 0 0
0.642193 0.000339656 0.000149306 0.00019035 0.560421 0.930116 0 0 0 0 0 0 0 0 0 0
0.675157 0.000339796 0.000149388 0.000190408 0.560361 0.930196 0 0 0 0 0 0 0 0 0 0
0.709813 0.000339941 0.000149468 0.000190472 0.56031 0.930254 0 0 0 0 0 0 0 0 0 0
0.746248 0.000340091 0.000149552 0.000190539 0.560259 0.930309 0 0 0 0 0 0 0 0 0 0
0.784553 0.000340246 0.00014964 0.000190606 0.560201 0.930367 0 0 0 0 0 0 0 0 0 0
0.824824 0.000340406 0.000149726 0.00019068 0.560155 0.930401 0 0 0 0 0 0 0 0 0 0
0.867162 0.000340572 0.000149812 0.000190759 0.560115 0.930418 0 0 0 0 0 0 0 0 0 0
0.911674 0.000340743 0.000149902 0.000190841 0.560072 0.930432 0 0 0 0 0 0 0 0 0 0
