# 1.12148e-07 3 11 : grain size, compostion index, size index
# Heating and cooling timescale: 277629 3.35534
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scales: 0.5 1 2 5 10
StochasticallyHeated: 1 1 1 1 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEm1 StEm1 EqEm2 StEm2 EqEm3 StEm3 EqEm4 StEm4 EqEm5 StEm5
0.05 5.9383e-15 5.93503e-15 3.26999e-18 0.000550661 0.00293762 0 0 0 0 0 0 0 0 0 0
0.0525665 6.14178e-15 6.13867e-15 3.11739e-18 0.000507571 0.00264036 0 0 0 0 0 0 0 0 0 0
0.0552647 6.44253e-15 6.43944e-15 3.08996e-18 0.000479619 0.00236286 0 0 0 0 0 0 0 0 0 0
0.0581015 7.06099e-15 7.05766e-15 3.32514e-18 0.000470917 0.00210012 0 0 0 0 0 0 0 0 0 0
0.0610839 8.00105e-15 7.99731e-15 3.73774e-18 0.000467155 0.00186007 0 0 0 0 0 0 0 0 0 0
0.0642193 8.91e-15 8.90595e-15 4.05167e-18 0.000454733 0.00165105 0 0 0 0 0 0 0 0 0 0
0.0675157 9.4711e-15 9.46698e-15 4.11548e-18 0.00043453 0.00147469 0 0 0 0 0 0 0 0 0 0
0.0709813 9.51523e-15 9.51133e-15 3.9014e-18 0.000410016 0.00133147 0 0 0 0 0 0 0 0 0 0
0.0746248 9.02429e-15 9.02083e-15 3.46038e-18 0.000383451 0.00122197 0 0 0 0 0 0 0 0 0 0
0.0784553 8.08645e-15 8.08358e-15 2.867e-18 0.000354544 0.00114777 0 0 0 0 0 0 0 0 0 0
0.0824824 6.8593e-15 6.85711e-15 2.19693e-18 0.000320284 0.00110757 0 0 0 0 0 0 0 0 0 0
0.0867162 6.28365e-15 6.28192e-15 1.73193e-18 0.000275625 0.00102163 0 0 0 0 0 0 0 0 0 0
0.0911674 5.93126e-15 5.92973e-15 1.53016e-18 0.000257982 0.000934395 0 0 0 0 0 0 0 0 0 0
0.095847 5.12986e-15 5.12858e-15 1.2829e-18 0.000250084 0.000898352 0 0 0 0 0 0 0 0 0 0
0.100767 4.33683e-15 4.33579e-15 1.03655e-18 0.000239012 0.00087386 0 0 0 0 0 0 0 0 0 0
0.105939 3.51912e-15 3.51832e-15 7.97799e-19 0.000226704 0.000862435 0 0 0 0 0 0 0 0 0 0
0.111377 2.95743e-15 2.95682e-15 6.11715e-19 0.00020684 0.000824349 0 0 0 0 0 0 0 0 0 0
0.117094 2.52684e-15 2.52636e-15 4.79851e-19 0.000189901 0.000778004 0 0 0 0 0 0 0 0 0 0
0.123105 2.17167e-15 2.17129e-15 3.81527e-19 0.000175684 0.000729836 0 0 0 0 0 0 0 0 0 0
0.129424 1.86596e-15 1.86565e-15 3.06825e-19 0.000164433 0.000682996 0 0 0 0 0 0 0 0 0 0
0.136067 1.59244e-15 1.59219e-15 2.50133e-19 0.000157075 0.000640051 0 0 0 0 0 0 0 0 0 0
0.143051 1.31152e-15 1.31132e-15 2.07966e-19 0.000158569 0.000606955 0 0 0 0 0 0 0 0 0 0
0.150394 9.33435e-16 9.33268e-16 1.66418e-19 0.000178285 0.000577813 0 0 0 0 0 0 0 0 0 0
0.158114 6.1533e-16 6.15203e-16 1.26763e-19 0.000206008 0.000528428 0 0 0 0 0 0 0 0 0 0
0.16623 4.02421e-16 4.02326e-16 9.52246e-20 0.000236629 0.000470093 0 0 0 0 0 0 0 0 0 0
0.174762 2.73416e-16 2.73345e-16 7.17845e-20 0.000262546 0.000414929 0 0 0 0 0 0 0 0 0 0
0.183733 1.82892e-16 1.82838e-16 5.43058e-20 0.000296928 0.000366091 0 0 0 0 0 0 0 0 0 0
0.193164 1.24653e-16 1.24612e-16 4.14136e-20 0.000332231 0.000323829 0 0 0 0 0 0 0 0 0 0
0.203079 8.67175e-17 8.66857e-17 3.18191e-20 0.000366928 0.000287311 0 0 0 0 0 0 0 0 0 0
0.213503 6.41008e-17 6.40763e-17 2.45525e-20 0.000383029 0.000255438 0 0 0 0 0 0 0 0 0 0
0.224463 5.3988e-17 5.3969e-17 1.90873e-20 0.000353547 0.000227749 0 0 0 0 0 0 0 0 0 0
0.235984 5.12283e-17 5.12133e-17 1.49958e-20 0.000292725 0.000203755 0 0 0 0 0 0 0 0 0 0
0.248097 5.08627e-17 5.08508e-17 1.18895e-20 0.000233756 0.000182795 0 0 0 0 0 0 0 0 0 0
0.260832 4.95482e-17 4.95387e-17 9.47818e-21 0.000191292 0.000164263 0 0 0 0 0 0 0 0 0 0
0.274221 4.79069e-17 4.78993e-17 7.58434e-21 0.000158314 0.000147771 0 0 0 0 0 0 0 0 0 0
0.288297 4.61526e-17 4.61465e-17 6.0941e-21 0.000132042 0.000133087 0 0 0 0 0 0 0 0 0 0
0.303095 4.43977e-17 4.43928e-17 4.90959e-21 0.000110582 0.000119948 0 0 0 0 0 0 0 0 0 0
0.318653 4.26309e-17 4.26269e-17 3.96216e-21 9.2941e-05 0.000108154 0 0 0 0 0 0 0 0 0 0
0.335009 4.0879e-17 4.08758e-17 3.20488e-21 7.83991e-05 9.75775e-05 0 0 0 0 0 0 0 0 0 0
0.352205 3.91696e-17 3.9167e-17 2.5965e-21 6.62885e-05 8.80718e-05 0 0 0 0 0 0 0 0 0 0
0.370284 3.74949e-17 3.74928e-17 2.10565e-21 5.61583e-05 7.95107e-05 0 0 0 0 0 0 0 0 0 0
0.389291 3.58697e-17 3.5868e-17 1.70989e-21 4.76695e-05 7.18036e-05 0 0 0 0 0 0 0 0 0 0
0.409273 3.42784e-17 3.4277e-17 1.39092e-21 4.05773e-05 6.48722e-05 0 0 0 0 0 0 0 0 0 0
0.430281 3.27317e-17 3.27305e-17 1.13175e-21 3.45766e-05 5.86136e-05 0 0 0 0 0 0 0 0 0 0
0.452368 3.12402e-17 3.12393e-17 9.21995e-22 2.95131e-05 5.29728e-05 0 0 0 0 0 0 0 0 0 0
0.475588 2.98036e-17 2.98029e-17 7.51399e-22 2.52117e-05 4.78785e-05 0 0 0 0 0 0 0 0 0 0
0.5 2.84322e-17 2.84316e-17 6.13029e-22 2.15611e-05 4.32866e-05 0 0 0 0 0 0 0 0 0 0
