# 1.38236e-07 3 13 : grain size, compostion index, size index
# Heating and cooling timescale: 148100 8.00573
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scales: 0.5 1 2 5 10
# StochasticallyHeated: 1 1 1 1 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEm1 StEm1 EqEm2 StEm2 EqEm3 StEm3 EqEm4 StEm4 EqEm5 StEm5
0.05 1.10988e-14 1.10874e-14 1.13952e-17 0.00102671 0.00447048 0 0 0 0 0 0 0 0 0 0
0.0525665 1.1481e-14 1.14701e-14 1.08698e-17 0.000946768 0.00401764 0 0 0 0 0 0 0 0 0 0
0.0552647 1.20438e-14 1.2033e-14 1.07788e-17 0.000894969 0.00359515 0 0 0 0 0 0 0 0 0 0
0.0581015 1.32003e-14 1.31887e-14 1.16033e-17 0.000879021 0.00319529 0 0 0 0 0 0 0 0 0 0
0.0610839 1.4961e-14 1.49479e-14 1.30498e-17 0.000872257 0.00282987 0 0 0 0 0 0 0 0 0 0
0.0642193 1.66692e-14 1.66551e-14 1.4157e-17 0.000849287 0.00251147 0 0 0 0 0 0 0 0 0 0
0.0675157 1.77322e-14 1.77178e-14 1.43941e-17 0.000811748 0.00224263 0 0 0 0 0 0 0 0 0 0
0.0709813 1.78298e-14 1.78161e-14 1.36594e-17 0.000766102 0.00202419 0 0 0 0 0 0 0 0 0 0
0.0746248 1.6923e-14 1.69109e-14 1.21267e-17 0.000716581 0.00185711 0 0 0 0 0 0 0 0 0 0
0.0784553 1.51732e-14 1.51632e-14 1.00544e-17 0.000662639 0.00174381 0 0 0 0 0 0 0 0 0 0
0.0824824 1.2875e-14 1.28673e-14 7.70783e-18 0.000598666 0.00168234 0 0 0 0 0 0 0 0 0 0
0.0867162 1.17928e-14 1.17867e-14 6.07659e-18 0.000515281 0.00155178 0 0 0 0 0 0 0 0 0 0
0.0911674 1.11323e-14 1.11269e-14 5.36969e-18 0.000482354 0.00141916 0 0 0 0 0 0 0 0 0 0
0.095847 9.63e-15 9.6255e-15 4.50307e-18 0.000467609 0.00136425 0 0 0 0 0 0 0 0 0 0
0.100767 8.14182e-15 8.13819e-15 3.63875e-18 0.000446921 0.00132699 0 0 0 0 0 0 0 0 0 0
0.105939 6.60648e-15 6.60368e-15 2.80064e-18 0.000423923 0.00130968 0 0 0 0 0 0 0 0 0 0
0.111377 5.5511e-15 5.54895e-15 2.14726e-18 0.000386816 0.00125193 0 0 0 0 0 0 0 0 0 0
0.117094 4.74214e-15 4.74045e-15 1.68428e-18 0.000355173 0.00118162 0 0 0 0 0 0 0 0 0 0
0.123105 4.07498e-15 4.07365e-15 1.33908e-18 0.000328611 0.00110852 0 0 0 0 0 0 0 0 0 0
0.129424 3.50088e-15 3.4998e-15 1.07684e-18 0.000307592 0.00103742 0 0 0 0 0 0 0 0 0 0
0.136067 2.98738e-15 2.9865e-15 8.77837e-19 0.000293849 0.000972233 0 0 0 0 0 0 0 0 0 0
0.143051 2.46022e-15 2.45949e-15 7.29836e-19 0.000296655 0.000921998 0 0 0 0 0 0 0 0 0 0
0.150394 1.75086e-15 1.75027e-15 5.84001e-19 0.000333552 0.000877777 0 0 0 0 0 0 0 0 0 0
0.158114 1.15403e-15 1.15358e-15 4.44812e-19 0.000385443 0.000802783 0 0 0 0 0 0 0 0 0 0
0.16623 7.54618e-16 7.54284e-16 3.3412e-19 0.000442768 0.000714171 0 0 0 0 0 0 0 0 0 0
0.174762 5.12641e-16 5.12389e-16 2.51859e-19 0.000491296 0.00063037 0 0 0 0 0 0 0 0 0 0
0.183733 3.42879e-16 3.42688e-16 1.90524e-19 0.000555659 0.000556178 0 0 0 0 0 0 0 0 0 0
0.193164 2.33676e-16 2.33531e-16 1.45286e-19 0.000621741 0.000491976 0 0 0 0 0 0 0 0 0 0
0.203079 1.62552e-16 1.6244e-16 1.11623e-19 0.000686693 0.000436498 0 0 0 0 0 0 0 0 0 0
0.213503 1.2015e-16 1.20064e-16 8.61291e-20 0.000716848 0.000388077 0 0 0 0 0 0 0 0 0 0
0.224463 1.01185e-16 1.01119e-16 6.69555e-20 0.000661711 0.000346012 0 0 0 0 0 0 0 0 0 0
