# 1.89175e-07 3 16 : grain size, compostion index, size index
# This grain was stochastically heated: Yes
# Heating and cooling timescale: 57645.8 24.915
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scales:  0.5 1 2 5 10
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEm1 StEm1 EqEm2 StEm2 EqEm3 StEm3 EqEm4 StEm4 EqEm5 StEm5
0.05 2.82927e-14 2.82191e-14 7.35815e-17 0.00260073 0.00840892 0 0 0 0 0 0 0 0 0 0
0.0525665 2.92786e-14 2.92083e-14 7.02947e-17 0.00240089 0.00755477 0 0 0 0 0 0 0 0 0 0
0.0552647 3.07183e-14 3.06485e-14 6.97849e-17 0.00227177 0.00675908 0 0 0 0 0 0 0 0 0 0
0.0581015 3.36692e-14 3.3594e-14 7.51906e-17 0.00223321 0.00600693 0 0 0 0 0 0 0 0 0 0
0.0610839 3.81798e-14 3.80951e-14 8.46717e-17 0.00221771 0.00531914 0 0 0 0 0 0 0 0 0 0
0.0642193 4.25938e-14 4.25018e-14 9.20366e-17 0.0021608 0.00471879 0 0 0 0 0 0 0 0 0 0
0.0675157 4.53957e-14 4.53019e-14 9.38124e-17 0.00206655 0.00421101 0 0 0 0 0 0 0 0 0 0
0.0709813 4.57437e-14 4.56544e-14 8.92627e-17 0.00195137 0.00379781 0 0 0 0 0 0 0 0 0 0
0.0746248 4.3506e-14 4.34266e-14 7.94421e-17 0.001826 0.00348132 0 0 0 0 0 0 0 0 0 0
0.0784553 3.90697e-14 3.90037e-14 6.59931e-17 0.00168911 0.00326626 0 0 0 0 0 0 0 0 0 0
0.0824824 3.31829e-14 3.31323e-14 5.06523e-17 0.00152646 0.00314913 0 0 0 0 0 0 0 0 0 0
0.0867162 3.03835e-14 3.03436e-14 3.99383e-17 0.00131447 0.00290452 0 0 0 0 0 0 0 0 0 0
0.0911674 2.86883e-14 2.8653e-14 3.53113e-17 0.00123086 0.00265572 0 0 0 0 0 0 0 0 0 0
0.095847 2.48304e-14 2.48008e-14 2.96316e-17 0.00119336 0.00255211 0 0 0 0 0 0 0 0 0 0
0.100767 2.09973e-14 2.09734e-14 2.39515e-17 0.00114069 0.00248204 0 0 0 0 0 0 0 0 0 0
0.105939 1.70367e-14 1.70183e-14 1.84357e-17 0.00108212 0.00244977 0 0 0 0 0 0 0 0 0 0
0.111377 1.43094e-14 1.42953e-14 1.41327e-17 0.000987647 0.00234212 0 0 0 0 0 0 0 0 0 0
0.117094 1.22193e-14 1.22082e-14 1.10839e-17 0.00090708 0.0022109 0 0 0 0 0 0 0 0 0 0
0.123105 1.04963e-14 1.04875e-14 8.81113e-18 0.000839448 0.00207439 0 0 0 0 0 0 0 0 0 0
0.129424 9.01457e-15 9.00749e-15 7.08477e-18 0.000785924 0.00194156 0 0 0 0 0 0 0 0 0 0
0.136067 7.69021e-15 7.68444e-15 5.77493e-18 0.000750945 0.00181973 0 0 0 0 0 0 0 0 0 0
0.143051 6.33213e-15 6.32733e-15 4.801e-18 0.000758196 0.00172588 0 0 0 0 0 0 0 0 0 0
0.150394 4.50565e-15 4.50181e-15 3.84129e-18 0.00085255 0.00164331 0 0 0 0 0 0 0 0 0 0
0.158114 2.96884e-15 2.96591e-15 2.92526e-18 0.000985321 0.00150304 0 0 0 0 0 0 0 0 0 0
0.16623 1.94064e-15 1.93845e-15 2.19691e-18 0.00113205 0.00133718 0 0 0 0 0 0 0 0 0 0
0.174762 1.31794e-15 1.31629e-15 1.65576e-18 0.00125632 0.0011803 0 0 0 0 0 0 0 0 0 0
0.183733 8.813e-16 8.80048e-16 1.25236e-18 0.00142103 0.0010414 0 0 0 0 0 0 0 0 0 0
0.193164 6.00513e-16 5.99558e-16 9.54892e-19 0.00159013 0.000921197 0 0 0 0 0 0 0 0 0 0
0.203079 4.1768e-16 4.16947e-16 7.33574e-19 0.00175631 0.000817331 0 0 0 0 0 0 0 0 0 0
0.213503 3.08682e-16 3.08116e-16 5.65983e-19 0.00183355 0.000726674 0 0 0 0 0 0 0 0 0 0
0.224463 2.59893e-16 2.59453e-16 4.3996e-19 0.00169285 0.000647918 0 0 0 0 0 0 0 0 0 0
0.235984 2.46504e-16 2.46158e-16 3.45625e-19 0.00140211 0.00057967 0 0 0 0 0 0 0 0 0 0
0.248097 2.44652e-16 2.44378e-16 2.74014e-19 0.00112002 0.000520051 0 0 0 0 0 0 0 0 0 0
0.260832 2.38257e-16 2.38039e-16 2.18431e-19 0.000916786 0.000467332 0 0 0 0 0 0 0 0 0 0
0.274221 2.30308e-16 2.30134e-16 1.74779e-19 0.00075889 0.000420418 0 0 0 0 0 0 0 0 0 0
0.288297 2.2183e-16 2.2169e-16 1.40431e-19 0.000633058 0.000378648 0 0 0 0 0 0 0 0 0 0
0.303095 2.13357e-16 2.13244e-16 1.13132e-19 0.00053025 0.000341267 0 0 0 0 0 0 0 0 0 0
0.318653 2.04836e-16 2.04744e-16 9.12981e-20 0.000445714 0.000307716 0 0 0 0 0 0 0 0 0 0
0.335009 1.96393e-16 1.9632e-16 7.38469e-20 0.000376015 0.000277626 0 0 0 0 0 0 0 0 0 0
0.352205 1.8816e-16 1.881e-16 5.98274e-20 0.00031796 0.000250583 0 0 0 0 0 0 0 0 0 0
0.370284 1.80098e-16 1.80049e-16 4.85166e-20 0.00026939 0.000226227 0 0 0 0 0 0 0 0 0 0
0.389291 1.72278e-16 1.72238e-16 3.93974e-20 0.000228685 0.0002043 0 0 0 0 0 0 0 0 0 0
0.409273 1.64622e-16 1.6459e-16 3.20475e-20 0.000194673 0.000184579 0 0 0 0 0 0 0 0 0 0
0.430281 1.57184e-16 1.57158e-16 2.60757e-20 0.000165893 0.000166772 0 0 0 0 0 0 0 0 0 0
0.452368 1.50014e-16 1.49992e-16 2.12427e-20 0.000141605 0.000150724 0 0 0 0 0 0 0 0 0 0
0.475588 1.43108e-16 1.4309e-16 1.73119e-20 0.000120972 0.00013623 0 0 0 0 0 0 0 0 0 0
0.5 1.36517e-16 1.36503e-16 1.4124e-20 0.00010346 0.000123164 0 0 0 0 0 0 0 0 0 0
0.525665 1.30223e-16 1.30211e-16 1.15243e-20 8.84969e-05 0.000111353 0 0 0 0 0 0 0 0 0 0
0.552647 1.24224e-16 1.24215e-16 9.40067e-21 7.5675e-05 0.000100667 0 0 0 0 0 0 0 0 0 0
0.581015 1.18431e-16 1.18423e-16 7.68298e-21 6.48732e-05 9.10459e-05 0 0 0 0 0 0 0 0 0 0
0.610839 1.12923e-16 1.12917e-16 6.27996e-21 5.56125e-05 8.23483e-05 0 0 0 0 0 0 0 0 0 0
0.642193 1.07683e-16 1.07678e-16 5.1313e-21 4.76518e-05 7.44742e-05 0 0 0 0 0 0 0 0 0 0
0.675157 1.02703e-16 1.02699e-16 4.19357e-21 4.0832e-05 6.73544e-05 0 0 0 0 0 0 0 0 0 0
0.709813 9.7979e-17 9.79755e-17 3.43057e-21 3.50133e-05 6.09312e-05 0 0 0 0 0 0 0 0 0 0
0.746248 9.34917e-17 9.34889e-17 2.80614e-21 3.00148e-05 5.51188e-05 0 0 0 0 0 0 0 0 0 0
0.784553 8.92218e-17 8.92195e-17 2.29465e-21 2.57185e-05 4.98564e-05 0 0 0 0 0 0 0 0 0 0
0.824824 8.5117e-17 8.51151e-17 1.87712e-21 2.20534e-05 4.50999e-05 0 0 0 0 0 0 0 0 0 0
0.867162 8.11903e-17 8.11887e-17 1.53685e-21 1.8929e-05 4.08065e-05 0 0 0 0 0 0 0 0 0 0
0.911674 7.74429e-17 7.74416e-17 1.25797e-21 1.62439e-05 3.69191e-05 0 0 0 0 0 0 0 0 0 0
0.95847 7.38474e-17 7.38464e-17 1.02959e-21 1.39421e-05 3.34005e-05 0 0 0 0 0 0 0 0 0 0
1.00767 7.04335e-17 7.04326e-17 8.42874e-22 1.19669e-05 3.02195e-05 0 0 0 0 0 0 0 0 0 0
1.05939 6.72072e-17 6.72065e-17 6.90083e-22 1.0268e-05 2.73424e-05 0 0 0 0 0 0 0 0 0 0
1.11377 6.41369e-17 6.41363e-17 5.64833e-22 8.80669e-06 2.47371e-05 0 0 0 0 0 0 0 0 0 0
1.17094 6.12022e-17 6.12018e-17 4.62128e-22 7.55084e-06 2.23778e-05 0 0 0 0 0 0 0 0 0 0
1.23105 5.84096e-17 5.84093e-17 3.78287e-22 6.47645e-06 2.02464e-05 0 0 0 0 0 0 0 1.4013e-45 0 4.2039e-45
1.29424 5.58906e-17 5.58903e-17 3.0954e-22 5.53832e-06 1.83164e-05 0 0 0 1.4013e-45 0 4.2039e-45 0 2.66247e-44 0 1.079e-43
1.36067 5.35258e-17 5.35256e-17 2.53385e-22 4.73388e-06 1.65713e-05 0 4.2039e-45 0 2.10195e-44 0 9.24857e-44 0 5.94151e-43 0 2.40463e-42
1.43051 5.12745e-17 5.12743e-17 2.07261e-22 4.04219e-06 1.499e-05 0 8.54792e-44 0 4.06377e-43 0 1.77264e-42 0 1.13603e-41 0 4.58813e-41
1.50394 4.91314e-17 4.91313e-17 1.69654e-22 3.45307e-06 1.35622e-05 0 1.5134e-42 0 6.89018e-42 0 2.95296e-41 0 1.87855e-40 0 7.57356e-40
1.58114 4.7079e-17 4.70788e-17 1.3883e-22 2.94889e-06 1.22694e-05 0 2.36175e-41 0 1.0277e-40 0 4.30371e-40 0 2.71058e-39 0 1.08971e-38
1.6623 4.51114e-17 4.51113e-17 1.13512e-22 2.51626e-06 1.10975e-05 0 3.35866e-40 0 1.37079e-39 0 5.5565e-39 0 3.44384e-38 0 1.37756e-37
1.74762 4.32582e-17 4.32581e-17 9.2833e-23 2.14602e-06 1.00383e-05 0 4.49585e-39 0 1.67552e-38 0 6.46446e-38 0 3.89716e-37 0 1.54446e-36
1.83733 4.15656e-17 4.15655e-17 7.59041e-23 1.82613e-06 9.07986e-06 0 5.82568e-38 0 1.93175e-37 0 6.92866e-37 0 3.98546e-36 0 1.553e-35
1.93164 3.99836e-17 3.99836e-17 6.20357e-23 1.55153e-06 8.21193e-06 0 7.36512e-37 0 2.14975e-36 0 6.99937e-36 0 3.74054e-35 0 1.41594e-34
2.03079 3.84896e-17 3.84895e-17 5.06935e-23 1.31707e-06 7.42661e-06 0 8.96705e-36 0 2.3305e-35 0 6.80034e-35 0 3.28148e-34 0 1.18671e-33
2.13503 3.70738e-17 3.70738e-17 4.14266e-23 1.11741e-06 6.71671e-06 0 1.02701e-34 0 2.43953e-34 0 6.41268e-34 0 2.73909e-33 0 9.28628e-33
2.24463 3.57548e-17 3.57548e-17 3.38321e-23 9.46223e-07 6.07373e-06 0 1.08397e-33 0 2.41982e-33 0 5.84051e-33 0 2.20248e-32 0 6.8916e-32
2.35984 3.44947e-17 3.44947e-17 2.76159e-23 8.00585e-07 5.49161e-06 0 1.03917e-32 0 2.22888e-32 0 5.05519e-32 0 1.70722e-31 0 4.89791e-31
2.48097 3.33032e-17 3.33032e-17 2.25203e-23 6.76219e-07 4.9642e-06 0 8.99425e-32 0 1.88165e-31 0 4.0914e-31 0 1.26633e-30 0 3.34579e-30
2.60832 3.22012e-17 3.22012e-17 1.83704e-23 5.70487e-07 4.48799e-06 0 7.02294e-31 0 1.44677e-30 0 3.06033e-30 0 8.8872e-30 0 2.18936e-29
2.74221 3.11549e-17 3.11549e-17 1.49777e-23 4.80751e-07 4.05693e-06 0 4.9494e-30 0 1.00987e-29 0 2.09856e-29 0 5.8294e-29 0 1.35951e-28
