# 3.54285e-07 3 22 : grain size, compostion index, size index
# Heating and cooling timescale: 8668.22 185.41
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scales: 0.5 1 2 5 10
StochasticallyHeated: 1 1 1 1 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEm1 StEm1 EqEm2 StEm2 EqEm3 StEm3 EqEm4 StEm4 EqEm5 StEm5
0.05 1.80108e-13 1.77236e-13 2.87199e-15 0.0159459 0.0302842 0 0 0 0 0 0 0 0 0 0
0.0525665 1.86734e-13 1.83968e-13 2.76651e-15 0.0148152 0.0271627 0 0 0 0 0 0 0 0 0 0
0.0552647 1.96045e-13 1.93281e-13 2.76358e-15 0.0140967 0.0242775 0 0 0 0 0 0 0 0 0 0
0.0581015 2.14859e-13 2.11868e-13 2.99138e-15 0.0139225 0.0215702 0 0 0 0 0 0 0 0 0 0
0.0610839 2.44106e-13 2.40717e-13 3.38893e-15 0.013883 0.0190909 0 0 0 0 0 0 0 0 0 0
0.0642193 2.73912e-13 2.70192e-13 3.71959e-15 0.0135795 0.0169069 0 0 0 0 0 0 0 0 0 0
0.0675157 2.94684e-13 2.90843e-13 3.84096e-15 0.0130341 0.0150409 0 0 0 0 0 0 0 0 0 0
0.0709813 3.00375e-13 2.96666e-13 3.70869e-15 0.0123469 0.0135085 0 0 0 0 0 0 0 0 0 0
0.0746248 2.89012e-13 2.85664e-13 3.34813e-15 0.0115847 0.012324 0 0 0 0 0 0 0 0 0 0
0.0784553 2.62067e-13 2.59253e-13 2.81446e-15 0.0107394 0.0115081 0 0 0 0 0 0 0 0 0 0
0.0824824 2.23997e-13 2.21819e-13 2.17809e-15 0.00972371 0.0110514 0 0 0 0 0 0 0 0 0 0
0.0867162 2.04864e-13 2.03143e-13 1.72052e-15 0.00839838 0.0101836 0 0 0 0 0 0 0 0 0 0
0.0911674 1.93772e-13 1.92245e-13 1.52668e-15 0.00787874 0.00929827 0 0 0 0 0 0 0 0 0 0
0.095847 1.68339e-13 1.67052e-13 1.28678e-15 0.00764398 0.00891634 0 0 0 0 0 0 0 0 0 0
0.100767 1.42598e-13 1.41555e-13 1.04263e-15 0.00731168 0.00866135 0 0 0 0 0 0 0 0 0 0
0.105939 1.15729e-13 1.14926e-13 8.03294e-16 0.00694116 0.00854755 0 0 0 0 0 0 0 0 0 0
0.111377 9.70213e-14 9.64058e-14 6.15587e-16 0.00634487 0.00817657 0 0 0 0 0 0 0 0 0 0
0.117094 8.26896e-14 8.2207e-14 4.82581e-16 0.00583606 0.00772269 0 0 0 0 0 0 0 0 0 0
0.123105 7.08979e-14 7.05144e-14 3.83452e-16 0.00540851 0.00724953 0 0 0 0 0 0 0 0 0 0
0.129424 6.07862e-14 6.0478e-14 3.08188e-16 0.00507004 0.00678845 0 0 0 0 0 0 0 0 0 0
0.136067 5.17833e-14 5.15322e-14 2.51116e-16 0.00484937 0.00636517 0 0 0 0 0 0 0 0 0 0
0.143051 4.26073e-14 4.23986e-14 2.08724e-16 0.00489877 0.00603949 0 0 0 0 0 0 0 0 0 0
