# 4.367e-07 3 24 : grain size, compostion index, size index
# Heating and cooling timescale: 4589.89 351.869
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scales: 0.5 1 2 5 10
# StochasticallyHeated: 1 1 1 1 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEm1 StEm1 EqEm2 StEm2 EqEm3 StEm3 EqEm4 StEm4 EqEm5 StEm5
0.05 3.29549e-13 3.20224e-13 9.32463e-15 0.0282952 0.046958 0 0 0 0 0 0 0 0 0 0
0.0525665 3.42011e-13 3.32976e-13 9.03486e-15 0.0264169 0.0420735 0 0 0 0 0 0 0 0 0 0
0.0552647 3.59164e-13 3.50098e-13 9.06558e-15 0.0252408 0.0375803 0 0 0 0 0 0 0 0 0 0
0.0581015 3.93489e-13 3.83646e-13 9.84273e-15 0.025014 0.0333875 0 0 0 0 0 0 0 0 0 0
0.0610839 4.47322e-13 4.36131e-13 1.11911e-14 0.0250181 0.0295483 0 0 0 0 0 0 0 0 0 0
0.0642193 5.03514e-13 4.91156e-13 1.23579e-14 0.0245433 0.0261456 0 0 0 0 0 0 0 0 0 0
0.0675157 5.44887e-13 5.32014e-13 1.28727e-14 0.0236245 0.023216 0 0 0 0 0 0 0 0 0 0
0.0709813 5.59798e-13 5.47238e-13 1.25602e-14 0.022437 0.0207922 0 0 0 0 0 0 0 0 0 0
0.0746248 5.43267e-13 5.31804e-13 1.14626e-14 0.0210994 0.0189044 0 0 0 0 0 0 0 0 0 0
0.0784553 4.96446e-13 4.86717e-13 9.72863e-15 0.0195966 0.0175896 0 0 0 0 0 0 0 0 0 0
0.0824824 4.26714e-13 4.1913e-13 7.58402e-15 0.0177731 0.0168373 0 0 0 0 0 0 0 0 0 0
0.0867162 3.90172e-13 3.84168e-13 6.00401e-15 0.0153881 0.0154993 0 0 0 0 0 0 0 0 0 0
0.0911674 3.69676e-13 3.64331e-13 5.34453e-15 0.0144573 0.0141349 0 0 0 0 0 0 0 0 0 0
0.095847 3.22225e-13 3.17702e-13 4.52238e-15 0.0140349 0.0135301 0 0 0 0 0 0 0 0 0 0
0.100767 2.73445e-13 2.69772e-13 3.6731e-15 0.0134327 0.0131285 0 0 0 0 0 0 0 0 0 0
0.105939 2.22068e-13 2.19234e-13 2.83349e-15 0.0127596 0.0129508 0 0 0 0 0 0 0 0 0 0
0.111377 1.85969e-13 1.83798e-13 2.17165e-15 0.0116775 0.012391 0 0 0 0 0 0 0 0 0 0
0.117094 1.58304e-13 1.56602e-13 1.70235e-15 0.0107537 0.0117059 0 0 0 0 0 0 0 0 0 0
0.123105 1.35564e-13 1.34211e-13 1.35248e-15 0.00997671 0.0109914 0 0 0 0 0 0 0 0 0 0
0.129424 1.16098e-13 1.15011e-13 1.08683e-15 0.00936137 0.0102948 0 0 0 0 0 0 0 0 0 0
0.136067 9.88111e-14 9.79257e-14 8.85433e-16 0.00896086 0.00965507 0 0 0 0 0 0 0 0 0 0
0.143051 8.12688e-14 8.05329e-14 7.35919e-16 0.00905537 0.00916333 0 0 0 0 0 0 0 0 0 0
0.150394 5.77907e-14 5.72022e-14 5.88456e-16 0.0101825 0.00873345 0 0 0 0 0 0 0 0 0 0
0.158114 3.80047e-14 3.75572e-14 4.47515e-16 0.0117753 0.00799263 0 0 0 0 0 0 0 0 0 0
0.16623 2.47876e-14 2.4452e-14 3.35571e-16 0.0135379 0.00711199 0 0 0 0 0 0 0 0 0 0
0.174762 1.67985e-14 1.65459e-14 2.52553e-16 0.0150343 0.00627813 0 0 0 0 0 0 0 0 0 0
0.183733 1.12198e-14 1.1029e-14 1.90787e-16 0.0170045 0.00553981 0 0 0 0 0 0 0 0 0 0
0.193164 7.64027e-15 7.49495e-15 1.4532e-16 0.0190203 0.00490095 0 0 0 0 0 0 0 0 0 0
0.203079 5.31276e-15 5.20121e-15 1.11543e-16 0.0209954 0.0043489 0 0 0 0 0 0 0 0 0 0
0.213503 3.92268e-15 3.83668e-15 8.59978e-17 0.0219232 0.00386703 0 0 0 0 0 0 0 0 0 0
0.224463 3.29266e-15 3.22585e-15 6.68093e-17 0.0202904 0.00344837 0 0 0 0 0 0 0 0 0 0
0.235984 3.10914e-15 3.05669e-15 5.24589e-17 0.0168725 0.0030855 0 0 0 0 0 0 0 0 0 0
0.248097 3.07292e-15 3.03135e-15 4.15735e-17 0.013529 0.00276846 0 0 0 0 0 0 0 0 0 0
0.260832 2.98315e-15 2.95002e-15 3.31296e-17 0.0111056 0.00248807 0 0 0 0 0 0 0 0 0 0
0.274221 2.87628e-15 2.84978e-15 2.65015e-17 0.00921381 0.00223849 0 0 0 0 0 0 0 0 0 0
0.288297 2.76459e-15 2.7433e-15 2.12885e-17 0.00770044 0.00201626 0 0 0 0 0 0 0 0 0 0
0.303095 2.65431e-15 2.63716e-15 1.71467e-17 0.00645995 0.00181734 0 0 0 0 0 0 0 0 0 0
0.318653 2.54451e-15 2.53067e-15 1.3835e-17 0.00543719 0.00163877 0 0 0 0 0 0 0 0 0 0
0.335009 2.43655e-15 2.42536e-15 1.11888e-17 0.00459206 0.00147862 0 0 0 0 0 0 0 0 0 0
0.352205 2.3319e-15 2.32283e-15 9.06342e-18 0.00388672 0.00133466 0 0 0 0 0 0 0 0 0 0
0.370284 2.2299e-15 2.22255e-15 7.34907e-18 0.0032957 0.00120499 0 0 0 0 0 0 0 0 0 0
0.389291 2.13136e-15 2.12539e-15 5.96711e-18 0.00279967 0.00108824 0 0 0 0 0 0 0 0 0 0
0.409273 2.03526e-15 2.0304e-15 4.85346e-18 0.00238469 0.000983237 0 0 0 0 0 0 0 0 0 0
0.430281 1.94213e-15 1.93818e-15 3.94873e-18 0.0020332 0.000888414 0 0 0 0 0 0 0 0 0 0
0.452368 1.85256e-15 1.84935e-15 3.21662e-18 0.00173631 0.000802944 0 0 0 0 0 0 0 0 0 0
0.475588 1.76648e-15 1.76386e-15 2.62125e-18 0.00148389 0.000725753 0 0 0 0 0 0 0 0 0 0
0.5 1.68445e-15 1.68232e-15 2.13842e-18 0.0012695 0.000656166 0 0 0 0 0 0 0 0 0 0
0.525665 1.60623e-15 1.60448e-15 1.74474e-18 0.00108623 0.000593255 0 0 0 0 0 0 0 0 0 0
0.552647 1.53177e-15 1.53035e-15 1.42316e-18 0.000929091 0.000536333 0 0 0 0 0 0 0 0 0 0
0.581015 1.45994e-15 1.45878e-15 1.16307e-18 0.000796655 0.000485084 0 0 0 0 0 0 0 0 0 0
0.610839 1.39172e-15 1.39077e-15 9.50641e-19 0.000683067 0.000438752 0 0 0 0 0 0 0 0 0 0
0.642193 1.32687e-15 1.32609e-15 7.76735e-19 0.000585391 0.000396806 0 0 0 0 0 0 0 0 0 0
0.675157 1.26526e-15 1.26463e-15 6.3477e-19 0.00050169 0.000358875 0 0 0 0 0 0 0 0 0 0
0.709813 1.20687e-15 1.20635e-15 5.19264e-19 0.000430257 0.000324655 0 0 0 0 0 0 0 0 0 0
0.746248 1.15143e-15 1.15101e-15 4.24737e-19 0.000368877 0.000293689 0 0 0 0 0 0 0 0 0 0
0.784553 1.0987e-15 1.09835e-15 3.4731e-19 0.00031611 0.000265652 0 0 0 0 0 0 0 0 0 0
0.824824 1.04804e-15 1.04775e-15 2.84109e-19 0.000271087 0.00024031 0 0 0 0 0 0 0 0 0 0
0.867162 9.99589e-16 9.99357e-16 2.32604e-19 0.000232699 0.000217435 0 0 0 0 0 0 0 0 0 0
0.911674 9.53366e-16 9.53176e-16 1.90393e-19 0.000199706 0.000196723 0 0 0 0 0 0 0 0 0 0
0.95847 9.0903e-16 9.08874e-16 1.55824e-19 0.000171418 0.000177976 0 0 0 0 0 0 0 0 0 0
1.00767 8.66945e-16 8.66817e-16 1.27564e-19 0.000147142 0.000161026 0 0 0 0 0 0 0 0 0 0
1.05939 8.27186e-16 8.27081e-16 1.04439e-19 0.000126258 0.000145697 0 0 0 0 0 0 0 0 0 0
1.11377 7.89351e-16 7.89266e-16 8.54824e-20 0.000108295 0.000131815 0 0 0 0 0 0 0 0 0 0
1.17094 7.53194e-16 7.53124e-16 6.99383e-20 9.28557e-05 0.000119243 0 0 0 0 0 0 0 0 0 0
1.23105 7.18794e-16 7.18737e-16 5.72492e-20 7.96461e-05 0.000107887 0 0 0 0 0 0 0 0 0 0
1.29424 6.87769e-16 6.87722e-16 4.68448e-20 6.81112e-05 9.76023e-05 0 0 0 0 0 0 0 0 0 0
1.36067 6.58648e-16 6.58609e-16 3.83462e-20 5.82195e-05 8.83038e-05 0 0 0 0 0 0 0 0 0 0
1.43051 6.30926e-16 6.30894e-16 3.13658e-20 4.9714e-05 7.98776e-05 0 0 0 0 0 0 0 0 0 0
