# 1.88795e-06 3 38 : grain size, compostion index, size index
# This grain was stochastically heated: No
# Heating and cooling timescale: 50.4531 28899.3
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scales:  0.5 1 2 5 10
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEm1 StEm1 EqEm2 StEm2 EqEm3 StEm3 EqEm4 StEm4 EqEm5 StEm5
0.05 1.66081e-11 1.13866e-11 5.22155e-12 0.314397 0.701921 0 0 0 0 0 0 0 0 0 0
0.0525665 1.70329e-11 1.16968e-11 5.33619e-12 0.313286 0.67853 0 0 0 0 0 0 0 0 0 0
0.0552647 1.75936e-11 1.20151e-11 5.57849e-12 0.317075 0.651742 0 0 0 0 0 0 0 0 0 0
0.0581015 1.86386e-11 1.25442e-11 6.09438e-12 0.326977 0.622578 0 0 0 0 0 0 0 0 0 0
0.0610839 2.02277e-11 1.34243e-11 6.80333e-12 0.336338 0.595418 0 0 0 0 0 0 0 0 0 0
0.0642193 2.1985e-11 1.44977e-11 7.48729e-12 0.340564 0.571545 0 0 0 0 0 0 0 0 0 0
0.0675157 2.36563e-11 1.5584e-11 8.07227e-12 0.341231 0.548883 0 0 0 0 0 0 0 0 0 0
0.0709813 2.51061e-11 1.65592e-11 8.54686e-12 0.34043 0.525008 0 0 0 0 0 0 0 0 0 0
0.0746248 2.62237e-11 1.73189e-11 8.90478e-12 0.33957 0.497815 0 0 0 0 0 0 0 0 0 0
0.0784553 2.68664e-11 1.77686e-11 9.09786e-12 0.338633 0.46649 0 0 0 0 0 0 0 0 0 0
0.0824824 2.6877e-11 1.78601e-11 9.01697e-12 0.33549 0.433137 0 0 0 0 0 0 0 0 0 0
0.0867162 2.63788e-11 1.77926e-11 8.58627e-12 0.325498 0.394547 0 0 0 0 0 0 0 0 0 0
0.0911674 2.69497e-11 1.80872e-11 8.86256e-12 0.328855 0.355365 0 0 0 0 0 0 0 0 0 0
0.095847 2.75619e-11 1.82823e-11 9.27962e-12 0.336683 0.322909 0 0 0 0 0 0 0 0 0 0
0.100767 2.7735e-11 1.82947e-11 9.44033e-12 0.340376 0.296088 0 0 0 0 0 0 0 0 0 0
0.105939 2.71626e-11 1.79179e-11 9.24466e-12 0.340346 0.27789 0 0 0 0 0 0 0 0 0 0
0.111377 2.57202e-11 1.71563e-11 8.56395e-12 0.332966 0.260039 0 0 0 0 0 0 0 0 0 0
0.117094 2.39747e-11 1.61591e-11 7.81556e-12 0.325992 0.241967 0 0 0 0 0 0 0 0 0 0
0.123105 2.19763e-11 1.49492e-11 7.02717e-12 0.319761 0.224328 0 0 0 0 0 0 0 0 0 0
0.129424 1.98245e-11 1.35802e-11 6.24431e-12 0.314979 0.207666 0 0 0 0 0 0 0 0 0 0
0.136067 1.76301e-11 1.21098e-11 5.5203e-12 0.313118 0.192705 0 0 0 0 0 0 0 0 0 0
0.143051 1.54145e-11 1.04743e-11 4.9402e-12 0.320491 0.181494 0 0 0 0 0 0 0 0 0 0
0.150394 1.20143e-11 7.78665e-12 4.22763e-12 0.351884 0.172654 0 0 0 0 0 0 0 0 0 0
0.158114 8.34475e-12 5.02977e-12 3.31497e-12 0.397252 0.15594 0 0 0 0 0 0 0 0 0 0
0.16623 5.60753e-12 3.11417e-12 2.49336e-12 0.444645 0.135967 0 0 0 0 0 0 0 0 0 0
0.174762 3.85507e-12 1.99479e-12 1.86029e-12 0.482556 0.118092 0 0 0 0 0 0 0 0 0 0
0.183733 2.65366e-12 1.26503e-12 1.38862e-12 0.523286 0.103063 0 0 0 0 0 0 0 0 0 0
0.193164 1.86787e-12 8.23427e-13 1.04445e-12 0.559163 0.0905911 0 0 0 0 0 0 0 0 0 0
0.203079 1.34293e-12 5.50719e-13 7.92215e-13 0.589913 0.0801102 0 0 0 0 0 0 0 0 0 0
0.213503 9.97381e-13 3.93313e-13 6.04068e-13 0.605654 0.0711245 0 0 0 0 0 0 0 0 0 0
0.224463 7.86358e-13 3.21622e-13 4.64736e-13 0.590998 0.0634072 0 0 0 0 0 0 0 0 0 0
0.235984 6.59654e-13 2.97686e-13 3.61969e-13 0.548725 0.0567597 0 0 0 0 0 0 0 0 0 0
