# 5.9642e-06 3 49 : grain size, compostion index, size index
# Heating and cooling timescale: 1.97636 566499
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scales: 0.5 1 2 5 10
# StochasticallyHeated: 0 0 0 0 0
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEm1 StEm1 EqEm2 StEm2 EqEm3 StEm3 EqEm4 StEm4 EqEm5 StEm5
0.05 2.29305e-10 1.13497e-10 1.15808e-10 0.50504 0.897642 0 0 0 0 0 0 0 0 0 0
0.0525665 2.3184e-10 1.1462e-10 1.1722e-10 0.505608 0.889595 0 0 0 0 0 0 0 0 0 0
0.0552647 2.35151e-10 1.15217e-10 1.19933e-10 0.510028 0.878696 0 0 0 0 0 0 0 0 0 0
0.0581015 2.40577e-10 1.15929e-10 1.24649e-10 0.518122 0.863387 0 0 0 0 0 0 0 0 0 0
0.0610839 2.48045e-10 1.18023e-10 1.30022e-10 0.524187 0.846762 0 0 0 0 0 0 0 0 0 0
0.0642193 2.56059e-10 1.21557e-10 1.34502e-10 0.525276 0.83294 0 0 0 0 0 0 0 0 0 0
0.0675157 2.63859e-10 1.2593e-10 1.37929e-10 0.522738 0.822488 0 0 0 0 0 0 0 0 0 0
0.0709813 2.71101e-10 1.30662e-10 1.4044e-10 0.518034 0.814769 0 0 0 0 0 0 0 0 0 0
0.0746248 2.77469e-10 1.35363e-10 1.42106e-10 0.51215 0.809159 0 0 0 0 0 0 0 0 0 0
0.0784553 2.82499e-10 1.39826e-10 1.42673e-10 0.50504 0.805891 0 0 0 0 0 0 0 0 0 0
0.0824824 2.85729e-10 1.44143e-10 1.41587e-10 0.495527 0.806118 0 0 0 0 0 0 0 0 0 0
0.0867162 2.86767e-10 1.4656e-10 1.40207e-10 0.488923 0.803456 0 0 0 0 0 0 0 0 0 0
0.0911674 2.91186e-10 1.48587e-10 1.42598e-10 0.489716 0.792557 0 0 0 0 0 0 0 0 0 0
0.095847 2.96187e-10 1.51405e-10 1.44782e-10 0.488818 0.783982 0 0 0 0 0 0 0 0 0 0
0.100767 3.00128e-10 1.54278e-10 1.4585e-10 0.485958 0.77727 0 0 0 0 0 0 0 0 0 0
0.105939 3.03258e-10 1.57576e-10 1.45682e-10 0.480389 0.773066 0 0 0 0 0 0 0 0 0 0
0.111377 3.05762e-10 1.60579e-10 1.45183e-10 0.474824 0.768585 0 0 0 0 0 0 0 0 0 0
0.117094 3.09051e-10 1.63339e-10 1.45712e-10 0.471483 0.762081 0 0 0 0 0 0 0 0 0 0
0.123105 3.13626e-10 1.66479e-10 1.47147e-10 0.469181 0.755203 0 0 0 0 0 0 0 0 0 0
0.129424 3.1936e-10 1.70089e-10 1.49271e-10 0.467406 0.747537 0 0 0 0 0 0 0 0 0 0
0.136067 3.25361e-10 1.73519e-10 1.51843e-10 0.46669 0.736483 0 0 0 0 0 0 0 0 0 0
0.143051 3.30967e-10 1.76182e-10 1.54785e-10 0.467676 0.718133 0 0 0 0 0 0 0 0 0 0
0.150394 3.41121e-10 1.7798e-10 1.6314e-10 0.478249 0.687082 0 0 0 0 0 0 0 0 0 0
0.158114 3.66866e-10 1.70721e-10 1.96146e-10 0.534652 0.638749 0 0 0 0 0 0 0 0 0 0
0.16623 4.18009e-10 1.52025e-10 2.65984e-10 0.636312 0.625801 0 0 0 0 0 0 0 0 0 0
0.174762 4.81248e-10 1.40536e-10 3.40712e-10 0.707976 0.646763 0 0 0 0 0 0 0 0 0 0
0.183733 4.79142e-10 1.09135e-10 3.70007e-10 0.772228 0.613912 0 0 0 0 0 0 0 0 0 0
0.193164 4.10744e-10 6.23282e-11 3.48415e-10 0.848255 0.54337 0 0 0 0 0 0 0 0 0 0
0.203079 3.83345e-10 3.94139e-11 3.43931e-10 0.897184 0.508806 0 0 0 0 0 0 0 0 0 0
0.213503 3.78622e-10 3.13034e-11 3.47319e-10 0.917323 0.513752 0 0 0 0 0 0 0 0 0 0
0.224463 3.61099e-10 2.94968e-11 3.31602e-10 0.918314 0.544516 0 0 0 0 0 0 0 0 0 0
0.235984 3.12279e-10 2.8536e-11 2.83743e-10 0.90862 0.574409 0 0 0 0 0 0 0 0 0 0
0.248097 2.51785e-10 2.60333e-11 2.25752e-10 0.896605 0.577633 0 0 0 0 0 0 0 0 0 0
0.260832 2.00259e-10 2.22657e-11 1.77993e-10 0.888816 0.548398 0 0 0 0 0 0 0 0 0 0
0.274221 1.62246e-10 1.88861e-11 1.4336e-10 0.883596 0.497723 0 0 0 0 0 0 0 0 0 0
0.288297 1.34563e-10 1.62937e-11 1.1827e-10 0.878914 0.440564 0 0 0 0 0 0 0 0 0 0
0.303095 1.13209e-10 1.43501e-11 9.88591e-11 0.873243 0.386256 0 0 0 0 0 0 0 0 0 0
0.318653 9.5786e-11 1.28405e-11 8.29455e-11 0.865946 0.338223 0 0 0 0 0 0 0 0 0 0
0.335009 8.11527e-11 1.16254e-11 6.95273e-11 0.856746 0.297115 0 0 0 0 0 0 0 0 0 0
0.352205 6.86481e-11 1.06079e-11 5.80402e-11 0.845474 0.262175 0 0 0 0 0 0 0 0 0 0
0.370284 5.79286e-11 9.72438e-12 4.82042e-11 0.832132 0.232367 0 0 0 0 0 0 0 0 0 0
0.389291 4.88075e-11 8.94511e-12 3.98624e-11 0.816727 0.20681 0 0 0 0 0 0 0 0 0 0
0.409273 4.10941e-11 8.2438e-12 3.28503e-11 0.799392 0.18477 0 0 0 0 0 0 0 0 0 0
0.430281 3.45709e-11 7.6069e-12 2.6964e-11 0.779962 0.165535 0 0 0 0 0 0 0 0 0 0
0.452368 2.91202e-11 7.0308e-12 2.20894e-11 0.75856 0.14867 0 0 0 0 0 0 0 0 0 0
0.475588 2.45618e-11 6.50654e-12 1.80553e-11 0.735095 0.133769 0 0 0 0 0 0 0 0 0 0
0.5 2.07761e-11 6.03187e-12 1.47442e-11 0.709673 0.120567 0 0 0 0 0 0 0 0 0 0
0.525665 1.7625e-11 5.60058e-12 1.20244e-11 0.682237 0.108784 0 0 0 0 0 0 0 0 0 0
0.552647 1.50015e-11 5.20842e-12 9.79311e-12 0.652808 0.0982259 0 0 0 0 0 0 0 0 0 0
0.581015 1.28366e-11 4.85002e-12 7.98661e-12 0.622174 0.0887889 0 0 0 0 0 0 0 0 0 0
0.610839 1.10345e-11 4.52379e-12 6.51075e-12 0.590034 0.0803007 0 0 0 0 0 0 0 0 0 0
0.642193 9.52999e-12 4.22605e-12 5.30394e-12 0.556553 0.0726422 0 0 0 0 0 0 0 0 0 0
0.675157 8.27554e-12 3.95445e-12 4.32108e-12 0.522152 0.0657325 0 0 0 0 0 0 0 0 0 0
0.709813 7.23057e-12 3.7068e-12 3.52377e-12 0.487343 0.0595061 0 0 0 0 0 0 0 0 0 0
0.746248 6.35327e-12 3.47995e-12 2.87333e-12 0.452259 0.0538744 0 0 0 0 0 0 0 0 0 0
0.784553 5.6138e-12 3.27143e-12 2.34236e-12 0.417251 0.0487749 0 0 0 0 0 0 0 0 0 0
0.824824 4.98864e-12 3.07812e-12 1.91052e-12 0.382974 0.0441632 0 0 0 0 0 0 0 0 0 0
0.867162 4.45908e-12 2.89923e-12 1.55985e-12 0.349814 0.0399971 0 0 0 0 0 0 0 0 0 0
