# 4.82889e-05 3 69 : grain size, compostion index, size index
# Heating and cooling timescale: 0.00300012 3.49198e+07
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scales: 0.5 1 2 5 10
StochasticallyHeated: 0 0 0 0 0
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEm1 StEm1 EqEm2 StEm2 EqEm3 StEm3 EqEm4 StEm4 EqEm5 StEm5
0.05 1.52541e-08 6.49541e-09 8.75873e-09 0.574187 0.93135 0 0 0 0 0 0 0 0 0 0
0.0525665 1.52941e-08 6.46168e-09 8.83243e-09 0.577505 0.925672 0 0 0 0 0 0 0 0 0 0
0.0552647 1.53397e-08 6.38947e-09 8.95022e-09 0.583468 0.917084 0 0 0 0 0 0 0 0 0 0
0.0581015 1.54018e-08 6.27544e-09 9.12633e-09 0.592551 0.90385 0 0 0 0 0 0 0 0 0 0
0.0610839 1.54815e-08 6.1749e-09 9.30658e-09 0.601143 0.889067 0 0 0 0 0 0 0 0 0 0
0.0642193 1.55681e-08 6.12842e-09 9.43968e-09 0.606347 0.87705 0 0 0 0 0 0 0 0 0 0
0.0675157 1.56558e-08 6.13161e-09 9.52419e-09 0.608349 0.868553 0 0 0 0 0 0 0 0 0 0
0.0709813 1.57424e-08 6.17403e-09 9.56837e-09 0.607809 0.863151 0 0 0 0 0 0 0 0 0 0
0.0746248 1.58253e-08 6.24753e-09 9.57782e-09 0.60522 0.860436 0 0 0 0 0 0 0 0 0 0
0.0784553 1.58988e-08 6.35255e-09 9.5463e-09 0.60044 0.860843 0 0 0 0 0 0 0 0 0 0
0.0824824 1.59544e-08 6.49816e-09 9.45619e-09 0.592703 0.865783 0 0 0 0 0 0 0 0 0 0
0.0867162 1.59933e-08 6.57024e-09 9.4231e-09 0.589189 0.868344 0 0 0 0 0 0 0 0 0 0
0.0911674 1.60665e-08 6.56598e-09 9.50048e-09 0.591324 0.862016 0 0 0 0 0 0 0 0 0 0
0.095847 1.61391e-08 6.61714e-09 9.52193e-09 0.589992 0.858607 0 0 0 0 0 0 0 0 0 0
0.100767 1.6196e-08 6.6855e-09 9.5105e-09 0.587213 0.857774 0 0 0 0 0 0 0 0 0 0
0.105939 1.62345e-08 6.78846e-09 9.446e-09 0.581849 0.860966 0 0 0 0 0 0 0 0 0 0
0.111377 1.62683e-08 6.88829e-09 9.37998e-09 0.576581 0.865263 0 0 0 0 0 0 0 0 0 0
0.117094 1.63078e-08 6.96777e-09 9.34003e-09 0.572734 0.867781 0 0 0 0 0 0 0 0 0 0
0.123105 1.63511e-08 7.03551e-09 9.31557e-09 0.569722 0.869172 0 0 0 0 0 0 0 0 0 0
0.129424 1.63974e-08 7.09367e-09 9.3037e-09 0.56739 0.869565 0 0 0 0 0 0 0 0 0 0
0.136067 1.64463e-08 7.1406e-09 9.3057e-09 0.565824 0.86877 0 0 0 0 0 0 0 0 0 0
0.143051 1.64959e-08 7.16761e-09 9.32831e-09 0.565492 0.865928 0 0 0 0 0 0 0 0 0 0
0.150394 1.65345e-08 7.22601e-09 9.30853e-09 0.562975 0.866334 0 0 0 0 0 0 0 0 0 0
0.158114 1.6578e-08 7.33605e-09 9.24196e-09 0.557483 0.871725 0 0 0 0 0 0 0 0 0 0
0.16623 1.6635e-08 7.4661e-09 9.16888e-09 0.551181 0.878501 0 0 0 0 0 0 0 0 0 0
0.174762 1.67094e-08 7.59407e-09 9.11529e-09 0.54552 0.884546 0 0 0 0 0 0 0 0 0 0
0.183733 1.67669e-08 7.68895e-09 9.07795e-09 0.541421 0.88811 0 0 0 0 0 0 0 0 0 0
0.193164 1.69621e-08 7.65027e-09 9.31186e-09 0.548979 0.886195 0 0 0 0 0 0 0 0 0 0
0.203079 1.65175e-08 7.30986e-09 9.20763e-09 0.557448 0.861935 0 0 0 0 0 0 0 0 0 0
0.213503 1.78331e-08 6.75717e-09 1.10759e-08 0.621087 0.857831 0 0 0 0 0 0 0 0 0 0
0.224463 1.69972e-08 6.44664e-09 1.05505e-08 0.620722 0.83687 0 0 0 0 0 0 0 0 0 0
