# 5.95219e-05 3 71 : grain size, compostion index, size index
# Heating and cooling timescale: 0.00164007 7.92253e+07
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scales: 0.5 1 2 5 10
# StochasticallyHeated: 0 0 0 0 0
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEm1 StEm1 EqEm2 StEm2 EqEm3 StEm3 EqEm4 StEm4 EqEm5 StEm5
0.05 2.30924e-08 9.8005e-09 1.32919e-08 0.575595 0.931798 0 0 0 0 0 0 0 0 0 0
0.0525665 2.31446e-08 9.74372e-09 1.34009e-08 0.579007 0.926135 0 0 0 0 0 0 0 0 0 0
0.0552647 2.32039e-08 9.62895e-09 1.3575e-08 0.585029 0.917548 0 0 0 0 0 0 0 0 0 0
0.0581015 2.32835e-08 9.44909e-09 1.38344e-08 0.594172 0.904289 0 0 0 0 0 0 0 0 0 0
0.0610839 2.33849e-08 9.28582e-09 1.40991e-08 0.602914 0.889465 0 0 0 0 0 0 0 0 0 0
0.0642193 2.3495e-08 9.20162e-09 1.42934e-08 0.608358 0.877415 0 0 0 0 0 0 0 0 0 0
0.0675157 2.36067e-08 9.19121e-09 1.44155e-08 0.610652 0.868903 0 0 0 0 0 0 0 0 0 0
0.0709813 2.37175e-08 9.23959e-09 1.44779e-08 0.610432 0.863504 0 0 0 0 0 0 0 0 0 0
0.0746248 2.38243e-08 9.33522e-09 1.44891e-08 0.608164 0.860814 0 0 0 0 0 0 0 0 0 0
0.0784553 2.392e-08 9.47977e-09 1.44402e-08 0.603689 0.861275 0 0 0 0 0 0 0 0 0 0
0.0824824 2.39939e-08 9.68815e-09 1.43058e-08 0.596225 0.866316 0 0 0 0 0 0 0 0 0 0
0.0867162 2.40468e-08 9.78954e-09 1.42573e-08 0.592896 0.868964 0 0 0 0 0 0 0 0 0 0
0.0911674 2.41426e-08 9.77222e-09 1.43704e-08 0.59523 0.862659 0 0 0 0 0 0 0 0 0 0
0.095847 2.42387e-08 9.83816e-09 1.44006e-08 0.594114 0.859307 0 0 0 0 0 0 0 0 0 0
0.100767 2.43153e-08 9.93231e-09 1.4383e-08 0.59152 0.858565 0 0 0 0 0 0 0 0 0 0
0.105939 2.43681e-08 1.00805e-08 1.42875e-08 0.586322 0.86189 0 0 0 0 0 0 0 0 0 0
0.111377 2.44144e-08 1.02241e-08 1.41903e-08 0.581228 0.866326 0 0 0 0 0 0 0 0 0 0
0.117094 2.44679e-08 1.03364e-08 1.41315e-08 0.577554 0.868973 0 0 0 0 0 0 0 0 0 0
0.123105 2.45261e-08 1.04305e-08 1.40955e-08 0.574717 0.870492 0 0 0 0 0 0 0 0 0 0
0.129424 2.45882e-08 1.05099e-08 1.40783e-08 0.572563 0.871015 0 0 0 0 0 0 0 0 0 0
0.136067 2.46535e-08 1.05723e-08 1.40812e-08 0.571165 0.870352 0 0 0 0 0 0 0 0 0 0
0.143051 2.47197e-08 1.06051e-08 1.41147e-08 0.570988 0.867644 0 0 0 0 0 0 0 0 0 0
0.150394 2.47701e-08 1.06849e-08 1.40852e-08 0.568637 0.868216 0 0 0 0 0 0 0 0 0 0
0.158114 2.48252e-08 1.08394e-08 1.39858e-08 0.563371 0.873788 0 0 0 0 0 0 0 0 0 0
0.16623 2.48991e-08 1.10212e-08 1.38779e-08 0.557365 0.880749 0 0 0 0 0 0 0 0 0 0
0.174762 2.49927e-08 1.12003e-08 1.37924e-08 0.551858 0.88706 0 0 0 0 0 0 0 0 0 0
0.183733 2.50353e-08 1.13631e-08 1.36722e-08 0.546115 0.891795 0 0 0 0 0 0 0 0 0 0
