# 0.000111472 3 77 : grain size, compostion index, size index
# This grain was stochastically heated: No
# Heating and cooling timescale: 0.000301739 3.39812e+09
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scales:  0.5 1 2 5 10
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEm1 StEm1 EqEm2 StEm2 EqEm3 StEm3 EqEm4 StEm4 EqEm5 StEm5
0.05 8.01981e-08 3.38515e-08 4.63466e-08 0.577901 0.932428 0 0 0 0 0 0 0 0 0 0
0.0525665 8.03154e-08 3.36119e-08 4.67035e-08 0.581501 0.926766 0 0 0 0 0 0 0 0 0 0
0.0552647 8.04458e-08 3.31733e-08 4.72726e-08 0.587632 0.91814 0 0 0 0 0 0 0 0 0 0
0.0581015 8.06147e-08 3.24962e-08 4.81185e-08 0.596895 0.904765 0 0 0 0 0 0 0 0 0 0
0.0610839 8.08249e-08 3.18486e-08 4.89764e-08 0.605956 0.889787 0 0 0 0 0 0 0 0 0 0
0.0642193 8.10522e-08 3.14544e-08 4.95979e-08 0.611925 0.877614 0 0 0 0 0 0 0 0 0 0
0.0675157 8.12843e-08 3.13049e-08 4.99793e-08 0.614871 0.869028 0 0 0 0 0 0 0 0 0 0
0.0709813 8.15164e-08 3.13534e-08 5.0163e-08 0.615373 0.863606 0 0 0 0 0 0 0 0 0 0
0.0746248 8.17439e-08 3.15646e-08 5.01792e-08 0.613859 0.860945 0 0 0 0 0 0 0 0 0 0
0.0784553 8.19537e-08 3.1952e-08 5.00017e-08 0.610121 0.86151 0 0 0 0 0 0 0 0 0 0
0.0824824 8.21251e-08 3.25764e-08 4.95487e-08 0.603332 0.866763 0 0 0 0 0 0 0 0 0 0
0.0867162 8.22542e-08 3.28665e-08 4.93878e-08 0.600428 0.86958 0 0 0 0 0 0 0 0 0 0
0.0911674 8.24682e-08 3.27184e-08 4.97498e-08 0.60326 0.863274 0 0 0 0 0 0 0 0 0 0
0.095847 8.26886e-08 3.28495e-08 4.98391e-08 0.602733 0.860008 0 0 0 0 0 0 0 0 0 0
0.100767 8.2872e-08 3.30953e-08 4.97767e-08 0.600646 0.859429 0 0 0 0 0 0 0 0 0 0
0.105939 8.30075e-08 3.35439e-08 4.94636e-08 0.595893 0.863026 0 0 0 0 0 0 0 0 0 0
0.111377 8.31271e-08 3.39812e-08 4.91459e-08 0.591214 0.867747 0 0 0 0 0 0 0 0 0 0
0.117094 8.32603e-08 3.43068e-08 4.89535e-08 0.587957 0.870651 0 0 0 0 0 0 0 0 0 0
0.123105 8.34031e-08 3.45672e-08 4.88359e-08 0.58554 0.872418 0 0 0 0 0 0 0 0 0 0
0.129424 8.35543e-08 3.47745e-08 4.87798e-08 0.583809 0.873184 0 0 0 0 0 0 0 0 0 0
0.136067 8.37121e-08 3.49222e-08 4.87899e-08 0.582829 0.872763 0 0 0 0 0 0 0 0 0 0
0.143051 8.38724e-08 3.49715e-08 4.89009e-08 0.583039 0.870297 0 0 0 0 0 0 0 0 0 0
0.150394 8.39912e-08 3.51864e-08 4.88048e-08 0.58107 0.871195 0 0 0 0 0 0 0 0 0 0
0.158114 8.4112e-08 3.56392e-08 4.84728e-08 0.576288 0.877145 0 0 0 0 0 0 0 0 0 0
0.16623 8.42712e-08 3.61639e-08 4.81073e-08 0.570863 0.884475 0 0 0 0 0 0 0 0 0 0
0.174762 8.44634e-08 3.66672e-08 4.77963e-08 0.565881 0.891124 0 0 0 0 0 0 0 0 0 0
0.183733 8.46784e-08 3.71473e-08 4.75311e-08 0.561313 0.897045 0 0 0 0 0 0 0 0 0 0
0.193164 8.49083e-08 3.75838e-08 4.73245e-08 0.55736 0.901924 0 0 0 0 0 0 0 0 0 0
0.203079 8.52182e-08 3.78638e-08 4.73544e-08 0.555684 0.905088 0 0 0 0 0 0 0 0 0 0
0.213503 8.58661e-08 3.77384e-08 4.81277e-08 0.560497 0.905277 0 0 0 0 0 0 0 0 0 0
0.224463 8.53902e-08 3.7379e-08 4.80113e-08 0.562257 0.901675 0 0 0 0 0 0 0 0 0 0
0.235984 8.5552e-08 3.73558e-08 4.81962e-08 0.563355 0.900886 0 0 0 0 0 0 0 0 0 0
0.248097 8.66568e-08 3.75497e-08 4.91071e-08 0.566685 0.903311 0 0 0 0 0 0 0 0 0 0
0.260832 8.62798e-08 3.77007e-08 4.85791e-08 0.563042 0.901577 0 0 0 0 0 0 0 0 0 0
0.274221 8.6064e-08 3.76015e-08 4.84625e-08 0.563098 0.898651 0 0 0 0 0 0 0 0 0 0
0.288297 8.86298e-08 3.76014e-08 5.10284e-08 0.575747 0.901758 0 0 0 0 0 0 0 0 0 0
0.303095 8.59621e-08 3.7606e-08 4.83561e-08 0.562528 0.894091 0 0 0 0 0 0 0 0 0 0
0.318653 8.70552e-08 3.76219e-08 4.94333e-08 0.567839 0.893336 0 0 0 0 0 0 0 0 0 0
0.335009 9.04316e-08 3.73619e-08 5.30697e-08 0.586849 0.896898 0 0 0 0 0 0 0 0 0 0
0.352205 8.84974e-08 3.73513e-08 5.11461e-08 0.577939 0.888014 0 0 0 0 0 0 0 0 0 0
0.370284 8.56418e-08 3.69691e-08 4.86728e-08 0.568329 0.875904 0 0 0 0 0 0 0 0 0 0
0.389291 8.86059e-08 3.70388e-08 5.15672e-08 0.581983 0.878755 0 0 0 0 0 0 0 0 0 0
