# 0.000257326 3 85 : grain size, compostion index, size index
# This grain was stochastically heated: No
# Heating and cooling timescale: 4.10761e-05 6.72785e+13
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scales:  0.5 1 2 5 10
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEm1 StEm1 EqEm2 StEm2 EqEm3 StEm3 EqEm4 StEm4 EqEm5 StEm5
0.05 4.23137e-07 1.78348e-07 2.44789e-07 0.578511 0.932444 0 0 0 0 0 0 0 0 0 0
0.0525665 4.23482e-07 1.76922e-07 2.46561e-07 0.582222 0.926739 0 0 0 0 0 0 0 0 0 0
0.0552647 4.2386e-07 1.74457e-07 2.49403e-07 0.588409 0.918023 0 0 0 0 0 0 0 0 0 0
0.0581015 4.24327e-07 1.7069e-07 2.53637e-07 0.59774 0.90448 0 0 0 0 0 0 0 0 0 0
0.0610839 4.24893e-07 1.66972e-07 2.57921e-07 0.607025 0.8893 0 0 0 0 0 0 0 0 0 0
0.0642193 4.255e-07 1.6451e-07 2.6099e-07 0.613372 0.876962 0 0 0 0 0 0 0 0 0 0
0.0675157 4.26123e-07 1.6329e-07 2.62833e-07 0.6168 0.868262 0 0 0 0 0 0 0 0 0 0
0.0709813 4.2675e-07 1.63081e-07 2.63669e-07 0.617853 0.86278 0 0 0 0 0 0 0 0 0 0
0.0746248 4.27375e-07 1.63713e-07 2.63662e-07 0.616933 0.860111 0 0 0 0 0 0 0 0 0 0
0.0784553 4.27967e-07 1.65279e-07 2.62688e-07 0.613804 0.860734 0 0 0 0 0 0 0 0 0 0
0.0824824 4.28479e-07 1.68139e-07 2.6034e-07 0.607592 0.866147 0 0 0 0 0 0 0 0 0 0
0.0867162 4.28889e-07 1.69405e-07 2.59483e-07 0.605013 0.86907 0 0 0 0 0 0 0 0 0 0
0.0911674 4.29506e-07 1.68248e-07 2.61258e-07 0.608276 0.862697 0 0 0 0 0 0 0 0 0 0
0.095847 4.30152e-07 1.68485e-07 2.61667e-07 0.608313 0.85945 0 0 0 0 0 0 0 0 0 0
0.100767 4.30721e-07 1.6939e-07 2.61331e-07 0.60673 0.858958 0 0 0 0 0 0 0 0 0 0
0.105939 4.31178e-07 1.7143e-07 2.59747e-07 0.602414 0.862742 0 0 0 0 0 0 0 0 0 0
0.111377 4.31587e-07 1.73458e-07 2.58129e-07 0.598093 0.867664 0 0 0 0 0 0 0 0 0 0
0.117094 4.32031e-07 1.74888e-07 2.57143e-07 0.595195 0.870736 0 0 0 0 0 0 0 0 0 0
0.123105 4.32501e-07 1.75967e-07 2.56534e-07 0.593141 0.872656 0 0 0 0 0 0 0 0 0 0
0.129424 4.32993e-07 1.76759e-07 2.56234e-07 0.591775 0.873565 0 0 0 0 0 0 0 0 0 0
0.136067 4.33507e-07 1.77232e-07 2.56275e-07 0.591166 0.873275 0 0 0 0 0 0 0 0 0 0
0.143051 4.34032e-07 1.77198e-07 2.56834e-07 0.59174 0.870928 0 0 0 0 0 0 0 0 0 0
0.150394 4.34434e-07 1.78078e-07 2.56356e-07 0.590092 0.872037 0 0 0 0 0 0 0 0 0 0
0.158114 4.34821e-07 1.80169e-07 2.54652e-07 0.585648 0.878265 0 0 0 0 0 0 0 0 0 0
0.16623 4.35302e-07 1.82556e-07 2.52746e-07 0.580623 0.885873 0 0 0 0 0 0 0 0 0 0
0.174762 4.35874e-07 1.84767e-07 2.51108e-07 0.576101 0.892778 0 0 0 0 0 0 0 0 0 0
0.183733 4.36505e-07 1.86814e-07 2.49691e-07 0.572023 0.898943 0 0 0 0 0 0 0 0 0 0
0.193164 4.37183e-07 1.88652e-07 2.48531e-07 0.568483 0.904162 0 0 0 0 0 0 0 0 0 0
0.203079 4.37901e-07 1.90319e-07 2.47582e-07 0.565384 0.908581 0 0 0 0 0 0 0 0 0 0
0.213503 4.38629e-07 1.91859e-07 2.4677e-07 0.562594 0.912405 0 0 0 0 0 0 0 0 0 0
0.224463 4.39522e-07 1.9319e-07 2.46332e-07 0.560453 0.915491 0 0 0 0 0 0 0 0 0 0
0.235984 4.40052e-07 1.94374e-07 2.45679e-07 0.558294 0.917737 0 0 0 0 0 0 0 0 0 0
0.248097 4.41049e-07 1.95463e-07 2.45586e-07 0.556823 0.919558 0 0 0 0 0 0 0 0 0 0
0.260832 4.41969e-07 1.96445e-07 2.45524e-07 0.555522 0.920907 0 0 0 0 0 0 0 0 0 0
0.274221 4.42747e-07 1.97365e-07 2.45382e-07 0.554226 0.921896 0 0 0 0 0 0 0 0 0 0
0.288297 4.43242e-07 1.98226e-07 2.45016e-07 0.552782 0.922536 0 0 0 0 0 0 0 0 0 0
0.303095 4.44162e-07 1.99027e-07 2.45134e-07 0.551903 0.923034 0 0 0 0 0 0 0 0 0 0
0.318653 4.46325e-07 1.99798e-07 2.46528e-07 0.552349 0.923779 0 0 0 0 0 0 0 0 0 0
0.335009 4.46459e-07 2.00516e-07 2.45943e-07 0.550874 0.923642 0 0 0 0 0 0 0 0 0 0
0.352205 4.46864e-07 2.01185e-07 2.45679e-07 0.549784 0.923438 0 0 0 0 0 0 0 0 0 0
0.370284 4.49917e-07 2.01865e-07 2.48052e-07 0.551328 0.923891 0 0 0 0 0 0 0 0 0 0
0.389291 4.47934e-07 2.02367e-07 2.45567e-07 0.548222 0.922462 0 0 0 0 0 0 0 0 0 0
0.409273 4.52863e-07 2.02906e-07 2.49957e-07 0.551948 0.923181 0 0 0 0 0 0 0 0 0 0
0.430281 4.50072e-07 2.03387e-07 2.46685e-07 0.548101 0.921228 0 0 0 0 0 0 0 0 0 0
0.452368 4.54668e-07 2.03731e-07 2.50937e-07 0.551913 0.921305 0 0 0 0 0 0 0 0 0 0
0.475588 4.5482e-07 2.03885e-07 2.50934e-07 0.551722 0.919731 0 0 0 0 0 0 0 0 0 0
0.5 4.52804e-07 2.04256e-07 2.48547e-07 0.548908 0.917464 0 0 0 0 0 0 0 0 0 0
0.525665 4.61876e-07 2.0435e-07 2.57526e-07 0.557565 0.918474 0 0 0 0 0 0 0 0 0 0
0.552647 4.56081e-07 2.04492e-07 2.51589e-07 0.551632 0.914258 0 0 0 0 0 0 0 0 0 0
0.581015 4.55867e-07 2.04122e-07 2.51745e-07 0.552234 0.911349 0 0 0 0 0 0 0 0 0 0
0.610839 4.68197e-07 2.03929e-07 2.64268e-07 0.564438 0.912712 0 0 0 0 0 0 0 0 0 0
0.642193 4.63824e-07 2.03847e-07 2.59977e-07 0.560508 0.908655 0 0 0 0 0 0 0 0 0 0
0.675157 4.55566e-07 2.03569e-07 2.51997e-07 0.553152 0.903125 0 0 0 0 0 0 0 0 0 0
