# 0.000317185 3 87 : grain size, compostion index, size index
# Heating and cooling timescale: 2.58718e-05 2.9676e+15
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scales: 0.5 1 2 5 10
# StochasticallyHeated: 0 0 0 0 0
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEm1 StEm1 EqEm2 StEm2 EqEm3 StEm3 EqEm4 StEm4 EqEm5 StEm5
0.05 6.41655e-07 2.70488e-07 3.71167e-07 0.578453 0.932388 0 0 0 0 0 0 0 0 0 0
0.0525665 6.42106e-07 2.68287e-07 3.73819e-07 0.582176 0.92667 0 0 0 0 0 0 0 0 0 0
0.0552647 6.42602e-07 2.64514e-07 3.78088e-07 0.588371 0.917932 0 0 0 0 0 0 0 0 0 0
0.0581015 6.43205e-07 2.58755e-07 3.8445e-07 0.597709 0.904351 0 0 0 0 0 0 0 0 0 0
0.0610839 6.43931e-07 2.53048e-07 3.90883e-07 0.607026 0.889127 0 0 0 0 0 0 0 0 0 0
0.0642193 6.44712e-07 2.49225e-07 3.95487e-07 0.613433 0.876752 0 0 0 0 0 0 0 0 0 0
0.0675157 6.45509e-07 2.47273e-07 3.98237e-07 0.616934 0.868026 0 0 0 0 0 0 0 0 0 0
0.0709813 6.46317e-07 2.46846e-07 3.99471e-07 0.618073 0.862529 0 0 0 0 0 0 0 0 0 0
0.0746248 6.47121e-07 2.47687e-07 3.99434e-07 0.617248 0.859854 0 0 0 0 0 0 0 0 0 0
0.0784553 6.47889e-07 2.49944e-07 3.97945e-07 0.614218 0.860484 0 0 0 0 0 0 0 0 0 0
0.0824824 6.4856e-07 2.54169e-07 3.94391e-07 0.608103 0.865924 0 0 0 0 0 0 0 0 0 0
0.0867162 6.49104e-07 2.56023e-07 3.93081e-07 0.605575 0.868861 0 0 0 0 0 0 0 0 0 0
0.0911674 6.49905e-07 2.54173e-07 3.95732e-07 0.608908 0.86247 0 0 0 0 0 0 0 0 0 0
0.095847 6.50749e-07 2.54412e-07 3.96338e-07 0.609048 0.859219 0 0 0 0 0 0 0 0 0 0
0.100767 6.51501e-07 2.55677e-07 3.95824e-07 0.607557 0.858736 0 0 0 0 0 0 0 0 0 0
0.105939 6.52114e-07 2.58679e-07 3.93435e-07 0.603322 0.86255 0 0 0 0 0 0 0 0 0 0
0.111377 6.52669e-07 2.61678e-07 3.90991e-07 0.599065 0.867503 0 0 0 0 0 0 0 0 0 0
0.117094 6.53266e-07 2.6377e-07 3.89496e-07 0.596228 0.8706 0 0 0 0 0 0 0 0 0 0
0.123105 6.53895e-07 2.65327e-07 3.88569e-07 0.594237 0.87254 0 0 0 0 0 0 0 0 0 0
0.129424 6.54555e-07 2.66447e-07 3.88108e-07 0.592934 0.873468 0 0 0 0 0 0 0 0 0 0
0.136067 6.55244e-07 2.67083e-07 3.88161e-07 0.592392 0.873195 0 0 0 0 0 0 0 0 0 0
0.143051 6.55946e-07 2.66949e-07 3.88998e-07 0.593033 0.870859 0 0 0 0 0 0 0 0 0 0
0.150394 6.56494e-07 2.68216e-07 3.88278e-07 0.591442 0.871997 0 0 0 0 0 0 0 0 0 0
0.158114 6.57018e-07 2.71317e-07 3.85701e-07 0.587048 0.878272 0 0 0 0 0 0 0 0 0 0
0.16623 6.57658e-07 2.74849e-07 3.82809e-07 0.582079 0.885924 0 0 0 0 0 0 0 0 0 0
0.174762 6.58417e-07 2.78099e-07 3.80318e-07 0.577625 0.892871 0 0 0 0 0 0 0 0 0 0
