# 1.70392e-07 0 15 : grain size, compostion index, size index
# This grain was stochastically heated: Yes
# Heating and cooling timescale: 164086 80.8693
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 2.06325e-14 2.05561e-14 7.64372e-17 0.0037047 0.00641664 0 0
0.0525665 2.38964e-14 2.38143e-14 8.20844e-17 0.00343501 0.00571449 0 0
0.0552647 2.75841e-14 2.74961e-14 8.80698e-17 0.00319277 0.00508682 0 0
0.0581015 3.27239e-14 3.26308e-14 9.30389e-17 0.00284315 0.00452508 0 0
0.0610839 4.59011e-14 4.5802e-14 9.91423e-17 0.00215991 0.00398421 0 0
0.0642193 5.79955e-14 5.78847e-14 1.1082e-16 0.00191084 0.00344591 0 0
0.0675157 6.93702e-14 6.92393e-14 1.30949e-16 0.00188768 0.00290255 0 0
0.0709813 7.96885e-14 7.95521e-14 1.36396e-16 0.00171161 0.00242914 0 2.13245e-314
0.0746248 7.44434e-14 7.43232e-14 1.20203e-16 0.00161469 0.00209025 0 1.4485e-299
0.0784553 5.84983e-14 5.84045e-14 9.38581e-17 0.00160446 0.00186471 0 1.52616e-285
0.0824824 4.64255e-14 4.63593e-14 6.61983e-17 0.0014259 0.00173916 0 3.2904e-272
0.0867162 3.88863e-14 3.88353e-14 5.09915e-17 0.0013113 0.00166658 0 1.63899e-259
0.0911674 3.39292e-14 3.38864e-14 4.28006e-17 0.00126147 0.00161525 0 2.00625e-247
0.095847 3.03605e-14 3.03265e-14 3.40154e-17 0.00112038 0.00170041 0 6.37315e-236
0.100767 2.66455e-14 2.66223e-14 2.32112e-17 0.000871113 0.00198378 0 5.37758e-225
0.105939 2.32271e-14 2.3211e-14 1.60762e-17 0.000692129 0.0021424 0 1.30024e-214
0.111377 1.99296e-14 1.99198e-14 9.81939e-18 0.000492703 0.00245268 0 9.48864e-205
0.117094 1.68901e-14 1.68839e-14 6.113e-18 0.000361929 0.00225093 0 2.22209e-195
0.123105 1.41967e-14 1.41928e-14 3.97929e-18 0.000280296 0.00193199 0 1.77162e-186
0.129424 1.19414e-14 1.19389e-14 2.55779e-18 0.000214194 0.00162502 0 5.11241e-178
0.136067 1.08291e-14 1.08275e-14 1.65621e-18 0.00015294 0.00137504 0 6.04732e-170
0.143051 9.82832e-15 9.82723e-15 1.0874e-18 0.000110639 0.00117308 0 2.85362e-162
