# 5.98828e-08 0 5 : grain size, compostion index, size index
# This grain was stochastically heated: Yes
# Heating and cooling timescale: 4.04601e+06 3.20382
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 9.11547e-16 9.11398e-16 1.49472e-19 0.000163976 0.000784179 0 1.12623e-127
0.0525665 1.05569e-15 1.05553e-15 1.60267e-19 0.000151813 0.000698515 0 9.60301e-122
0.0552647 1.21824e-15 1.21807e-15 1.71698e-19 0.000140939 0.000621997 0 4.19858e-116
0.0581015 1.43196e-15 1.43178e-15 1.81126e-19 0.000126488 0.000553563 0 9.93912e-111
0.0610839 1.98831e-15 1.98812e-15 1.92579e-19 9.68555e-05 0.000487525 0 1.52374e-105
0.0642193 2.51281e-15 2.51259e-15 2.14556e-19 8.53849e-05 0.000421658 0 1.20026e-100
0.0675157 3.00572e-15 3.00546e-15 2.52128e-19 8.38828e-05 0.000355283 0 5.1946e-96
0.0709813 3.45337e-15 3.45311e-15 2.60265e-19 7.53654e-05 0.000297832 0 1.28719e-91
0.0746248 3.22636e-15 3.22613e-15 2.27259e-19 7.04382e-05 0.000256882 0 1.58561e-87
0.0784553 2.53533e-15 2.53516e-15 1.76287e-19 6.9532e-05 0.000229642 0 1.02869e-83
0.0824824 2.01244e-15 2.01232e-15 1.24006e-19 6.162e-05 0.000214667 0 4.31881e-80
0.0867162 1.68581e-15 1.68572e-15 9.55621e-20 5.66861e-05 0.000206124 0 1.25264e-76
0.0911674 1.47098e-15 1.4709e-15 8.01666e-20 5.44987e-05 0.000200151 0 2.52938e-73
0.095847 1.31644e-15 1.31638e-15 6.36123e-20 4.83214e-05 0.000211025 0 3.5699e-70
0.100767 1.15564e-15 1.15559e-15 4.3407e-20 3.75611e-05 0.000246132 0 3.43214e-67
0.105939 1.00755e-15 1.00752e-15 3.00755e-20 2.98502e-05 0.000265542 0 2.31625e-64
0.111377 8.64673e-16 8.64655e-16 1.83975e-20 2.12768e-05 0.000303911 0 1.10603e-61
0.117094 7.32891e-16 7.32879e-16 1.14708e-20 1.56515e-05 0.000278323 0 3.81027e-59
0.123105 6.16073e-16 6.16065e-16 7.47443e-21 1.21324e-05 0.000238783 0 9.65549e-57
0.129424 5.18233e-16 5.18228e-16 4.80823e-21 9.27812e-06 0.000200823 0 1.84254e-54
0.136067 4.6999e-16 4.69987e-16 3.11519e-21 6.62821e-06 0.000169913 0 2.89241e-52
0.143051 4.26572e-16 4.2657e-16 2.04616e-21 4.79675e-06 0.000144941 0 3.51295e-50
0.150394 4.02949e-16 4.02947e-16 1.39398e-21 3.45944e-06 0.000123727 0 3.47611e-48
0.158114 3.98275e-16 3.98274e-16 1.05422e-21 2.64696e-06 0.000105952 0 2.85112e-46
0.16623 4.14098e-16 4.14097e-16 9.73775e-22 2.35156e-06 9.10834e-05 0 1.97084e-44
0.174762 4.53678e-16 4.53677e-16 1.17327e-21 2.58613e-06 7.83173e-05 0 1.16257e-42
0.183733 5.24182e-16 5.2418e-16 1.67534e-21 3.19611e-06 6.67028e-05 0 5.91743e-41
0.193164 6.48845e-16 6.48842e-16 2.66117e-21 4.10139e-06 5.55065e-05 0 2.66599e-39
0.203079 8.4987e-16 8.49866e-16 4.06135e-21 4.77879e-06 4.4511e-05 0 1.05987e-37
0.213503 1.04697e-15 1.04696e-15 4.9835e-21 4.75993e-06 3.42333e-05 0 3.33398e-36
0.224463 1.00543e-15 1.00543e-15 4.13995e-21 4.11758e-06 2.53457e-05 0 6.936e-35
0.235984 7.76934e-16 7.76932e-16 2.80811e-21 3.61434e-06 1.80895e-05 0 9.92969e-34
0.248097 5.86806e-16 5.86804e-16 1.81747e-21 3.09723e-06 1.38567e-05 0 1.19734e-32
0.260832 4.69644e-16 4.69643e-16 1.24812e-21 2.65758e-06 1.44184e-05 0 1.32794e-31
0.274221 3.99491e-16 3.9949e-16 9.00219e-22 2.25341e-06 1.92793e-05 0 1.36808e-30
0.288297 3.55705e-16 3.55705e-16 6.70967e-22 1.8863e-06 2.58662e-05 0 1.29793e-29
0.303095 3.22251e-16 3.22251e-16 5.17038e-22 1.60446e-06 2.90022e-05 0 1.10912e-28
0.318653 2.81594e-16 2.81594e-16 4.02598e-22 1.42971e-06 3.02608e-05 0 8.14093e-28
0.335009 2.47396e-16 2.47396e-16 3.17106e-22 1.28177e-06 2.9758e-05 0 5.38035e-27
0.352205 2.15909e-16 2.15909e-16 2.5285e-22 1.17109e-06 2.82363e-05 0 3.18045e-26
