# 1.38236e-07 1 13 : grain size, compostion index, size index
# This grain was stochastically heated: Yes
# Heating and cooling timescale: 290842 22.4544
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 1.10919e-14 1.10697e-14 2.21167e-17 0.00199395 0.00420552 0 0
0.0525665 1.28469e-14 1.28232e-14 2.37369e-17 0.00184768 0.00374558 0 0
0.0552647 1.48284e-14 1.48029e-14 2.54538e-17 0.00171656 0.00333455 0 0
0.0581015 1.75267e-14 1.74998e-14 2.6876e-17 0.00153343 0.00296681 0 1.29311e-312
0.0610839 2.44854e-14 2.44568e-14 2.86157e-17 0.00116868 0.00261245 0 1.041e-297
0.0642193 3.09406e-14 3.09086e-14 3.19471e-17 0.00103253 0.00225945 0 1.42811e-283
0.0675157 3.70093e-14 3.69716e-14 3.7671e-17 0.00101788 0.00190336 0 3.79143e-270
0.0709813 4.25175e-14 4.24784e-14 3.91019e-17 0.000919666 0.00159391 0 2.13601e-257
0.0746248 3.97206e-14 3.96863e-14 3.43342e-17 0.000864394 0.0013728 0 2.32774e-245
0.0784553 3.12129e-14 3.11862e-14 2.67377e-17 0.000856624 0.00122568 0 5.44319e-234
0.0824824 2.47733e-14 2.47545e-14 1.88365e-17 0.000760355 0.00114419 0 3.50719e-223
0.0867162 2.07514e-14 2.07369e-14 1.4511e-17 0.000699281 0.00109731 0 6.92896e-213
0.0911674 1.81065e-14 1.80943e-14 1.2177e-17 0.000672524 0.00106432 0 4.40263e-203
0.095847 1.6203e-14 1.61934e-14 9.67131e-18 0.000596882 0.00112113 0 9.37748e-194
0.100767 1.42221e-14 1.42155e-14 6.59912e-18 0.000464006 0.00130789 0 6.76684e-185
0.105939 1.23986e-14 1.2394e-14 4.57114e-18 0.000368682 0.00141193 0 1.76361e-176
0.111377 1.06394e-14 1.06366e-14 2.79363e-18 0.000262574 0.00161628 0 1.72873e-168
0.117094 9.01743e-15 9.01569e-15 1.74018e-18 0.00019298 0.00148212 0 6.70334e-161
0.123105 7.58005e-15 7.57892e-15 1.13321e-18 0.000149499 0.00127191 0 1.07969e-153
0.129424 6.37641e-15 6.37568e-15 7.28626e-19 0.000114269 0.00106978 0 7.60496e-147
0.136067 5.78326e-15 5.78278e-15 4.71903e-19 8.15981e-05 0.00090518 0 2.62829e-140
0.143051 5.24979e-15 5.24948e-15 3.09882e-19 5.90274e-05 0.000772197 0 4.29928e-134
0.150394 4.96023e-15 4.96001e-15 2.1106e-19 4.25504e-05 0.000659223 0 3.59073e-128
0.158114 4.90422e-15 4.90406e-15 1.59572e-19 3.25378e-05 0.000564552 0 1.594e-122
0.16623 5.10086e-15 5.10071e-15 1.47344e-19 2.88862e-05 0.000485363 0 3.90819e-117
0.174762 5.59026e-15 5.59008e-15 1.77455e-19 3.17436e-05 0.000417365 0 5.47085e-112
0.183733 6.46064e-15 6.46039e-15 2.53302e-19 3.92069e-05 0.000355493 0 4.50908e-107
0.193164 7.99777e-15 7.99736e-15 4.02324e-19 5.03045e-05 0.000295838 0 2.28689e-102
0.203079 1.04747e-14 1.04741e-14 6.14343e-19 5.86499e-05 0.000237233 0 7.24333e-98
0.213503 1.29037e-14 1.2903e-14 7.54677e-19 5.84853e-05 0.000182452 0 1.30708e-93
0.224463 1.23971e-14 1.23965e-14 6.27464e-19 5.06136e-05 0.000135093 0 1.14191e-89
0.235984 9.59068e-15 9.59026e-15 4.25618e-19 4.43783e-05 9.64296e-05 0 5.10456e-86
0.248097 7.25623e-15 7.25596e-15 2.75395e-19 3.79529e-05 7.38466e-05 0 1.44994e-82
0.260832 5.81935e-15 5.81916e-15 1.89074e-19 3.24906e-05 7.67735e-05 0 2.89704e-79
0.274221 4.96052e-15 4.96038e-15 1.36344e-19 2.74859e-05 0.0001026 0 4.16569e-76
0.288297 4.42567e-15 4.42557e-15 1.01608e-19 2.29587e-05 0.000137685 0 4.32702e-73
0.303095 4.01839e-15 4.01831e-15 7.82899e-20 1.94829e-05 0.000154417 0 3.21501e-70
0.318653 3.52266e-15 3.5226e-15 6.09564e-20 1.73041e-05 0.000161152 0 1.6494e-67
0.335009 3.10464e-15 3.10459e-15 4.80091e-20 1.54637e-05 0.000158498 0 6.1852e-65
0.352205 2.71948e-15 2.71944e-15 3.82788e-20 1.40758e-05 0.000150408 0 1.70258e-62
0.370284 2.36643e-15 2.3664e-15 3.07909e-20 1.30115e-05 0.000140623 0 3.49038e-60
0.389291 2.04503e-15 2.045e-15 2.49584e-20 1.22044e-05 0.000131112 0 5.40379e-58
0.409273 1.75524e-15 1.75522e-15 2.02913e-20 1.15604e-05 0.000121877 0 6.40474e-56
0.430281 1.49539e-15 1.49538e-15 1.65133e-20 1.10428e-05 0.000113102 0 5.88364e-54
0.452368 1.26412e-15 1.26411e-15 1.34367e-20 1.06293e-05 0.000104037 1.79822e-298 4.23952e-52
0.475588 1.0601e-15 1.06008e-15 1.09407e-20 1.03205e-05 9.53541e-05 5.00729e-284 2.42401e-50
0.5 8.82065e-16 8.82056e-16 8.93178e-21 1.0126e-05 8.70236e-05 2.67093e-270 1.1125e-48
0.525665 7.27638e-16 7.2763e-16 7.29961e-21 1.00319e-05 7.91466e-05 2.95516e-257 4.14076e-47
0.552647 5.94938e-16 5.94932e-16 5.96791e-21 1.00311e-05 7.19709e-05 7.31744e-245 1.26342e-45
0.581015 4.8225e-16 4.82245e-16 4.90295e-21 1.01668e-05 6.53021e-05 4.36238e-233 3.19802e-44
0.610839 3.87496e-16 3.87492e-16 4.0292e-21 1.0398e-05 5.92613e-05 6.7083e-222 6.80395e-43
0.642193 3.08465e-16 3.08462e-16 3.31061e-21 1.07325e-05 5.37813e-05 2.8398e-211 1.23597e-41
0.675157 2.43239e-16 2.43237e-16 2.7233e-21 1.1196e-05 4.88313e-05 3.5227e-201 1.95771e-40
0.709813 1.90181e-16 1.90178e-16 2.24398e-21 1.17992e-05 4.43914e-05 1.36022e-191 2.77914e-39
0.746248 1.47279e-16 1.47277e-16 1.84934e-21 1.25568e-05 4.04245e-05 1.72844e-182 3.63413e-38
0.784553 1.12839e-16 1.12838e-16 1.52364e-21 1.35028e-05 3.68219e-05 7.61695e-174 4.46648e-37
0.824824 8.52751e-17 8.52739e-17 1.25502e-21 1.47173e-05 3.35888e-05 1.22162e-165 5.169e-36
0.867162 6.28011e-17 6.28001e-17 1.03414e-21 1.64669e-05 3.06797e-05 7.39651e-158 5.50023e-35
0.911674 4.28736e-17 4.28727e-17 8.51678e-22 1.98649e-05 2.8048e-05 1.68438e-150 5.02351e-34
0.95847 2.796e-17 2.79593e-17 7.00829e-22 2.50654e-05 2.56893e-05 1.55371e-143 3.99194e-33
1.00767 2.11466e-17 2.1146e-17 5.76742e-22 2.72735e-05 2.35476e-05 7.34891e-137 3.31633e-32
1.05939 1.62074e-17 1.62069e-17 4.74425e-22 2.92721e-05 2.16048e-05 1.6208e-130 2.5053e-31
1.11377 1.14699e-17 1.14695e-17 3.90139e-22 3.40141e-05 1.98363e-05 1.57739e-124 1.56725e-30
1.17094 8.53344e-18 8.53312e-18 3.20689e-22 3.75802e-05 1.81852e-05 7.99573e-119 9.26083e-30
1.23105 6.80987e-18 6.8096e-18 2.63723e-22 3.87266e-05 1.66737e-05 2.22909e-113 5.29066e-29
1.29424 5.49737e-18 5.49715e-18 2.16946e-22 3.94635e-05 1.52833e-05 3.32995e-108 2.76659e-28
1.36067 4.41644e-18 4.41627e-18 1.78361e-22 4.03858e-05 1.40167e-05 2.70501e-103 1.30816e-27
1.43051 3.51515e-18 3.51501e-18 1.46572e-22 4.16971e-05 1.28628e-05 1.22517e-98 5.59179e-27
1.50394 2.76901e-18 2.76889e-18 1.20492e-22 4.35144e-05 1.17962e-05 3.17879e-94 2.16767e-26
1.58114 2.15546e-18 2.15536e-18 9.90535e-23 4.59548e-05 1.08018e-05 4.8448e-90 7.63994e-26
1.6623 1.6575e-18 1.65741e-18 8.14382e-23 4.91332e-05 9.87947e-06 4.44777e-86 2.45711e-25
1.74762 1.26032e-18 1.26025e-18 6.69627e-23 5.31315e-05 9.04838e-06 2.52213e-82 7.24546e-25
1.83733 9.48242e-19 9.48187e-19 5.50543e-23 5.80593e-05 8.2887e-06 9.04501e-79 1.96739e-24
1.93164 7.06562e-19 7.06517e-19 4.52464e-23 6.40374e-05 7.59122e-06 2.09874e-75 4.9408e-24
2.03079 5.22971e-19 5.22933e-19 3.71772e-23 7.10885e-05 6.944e-06 3.22655e-72 1.15488e-23
2.13503 3.87295e-19 3.87264e-19 3.05709e-23 7.89344e-05 6.35198e-06 3.3767e-69 2.53888e-23
2.24463 2.89028e-19 2.89003e-19 2.5127e-23 8.69364e-05 5.81245e-06 2.4686e-66 5.30301e-23
2.35984 2.20177e-19 2.20156e-19 2.06448e-23 9.37645e-05 5.31514e-06 1.30017e-63 1.06918e-22
2.48097 1.74362e-19 1.74345e-19 1.69591e-23 9.72639e-05 4.85575e-06 5.11035e-61 2.12496e-22
2.60832 1.46576e-19 1.46562e-19 1.39431e-23 9.51259e-05 4.43199e-06 1.55562e-58 4.2625e-22
2.74221 1.32894e-19 1.32883e-19 1.14596e-23 8.62313e-05 4.0462e-06 3.78404e-56 8.79039e-22
2.88297 1.31885e-19 1.31875e-19 9.4112e-24 7.13594e-05 3.69725e-06 7.57482e-54 1.89607e-21
3.03095 1.49139e-19 1.49131e-19 7.73027e-24 5.18327e-05 3.38025e-06 1.31724e-51 4.46359e-21
3.18653 2.86697e-19 2.86691e-19 6.35066e-24 2.21511e-05 3.08609e-06 3.00827e-49 1.71477e-20
3.35009 1.0066e-18 1.00659e-18 5.21554e-24 5.18135e-06 2.81572e-06 9.81661e-47 1.15747e-19
3.52205 2.11487e-19 2.11483e-19 4.28128e-24 2.02436e-05 2.5697e-06 1.51769e-45 4.50695e-20
3.70284 2.11863e-19 2.11859e-19 3.5159e-24 1.65952e-05 2.34471e-06 8.95983e-44 8.08251e-20
3.89291 2.41743e-19 2.4174e-19 2.88629e-24 1.19395e-05 2.13719e-06 4.8776e-42 1.59773e-19
4.09273 2.87576e-19 2.87573e-19 2.3691e-24 8.2382e-06 1.94104e-06 2.26437e-40 3.19231e-19
4.30281 3.52447e-19 3.52445e-19 1.9442e-24 5.51629e-06 1.76387e-06 8.94599e-39 6.38175e-19
4.52368 4.47972e-19 4.47971e-19 1.59598e-24 3.56268e-06 1.60263e-06 3.05617e-37 1.28704e-18
4.75588 6.05146e-19 6.05144e-19 1.30963e-24 2.16415e-06 1.45485e-06 9.33427e-36 2.68758e-18
5 9.69823e-19 9.69822e-19 1.07434e-24 1.10777e-06 1.31343e-06 2.86932e-34 6.49616e-18
5.25665 3.40599e-18 3.40599e-18 8.81519e-25 2.58814e-07 1.18653e-06 1.65295e-32 3.36177e-17
5.52648 2.82571e-18 2.82571e-18 7.23265e-25 2.55958e-07 1.07308e-06 1.93837e-31 4.02034e-17
5.81015 5.11866e-18 5.11866e-18 5.9304e-25 1.15858e-07 9.69287e-07 4.30824e-30 1.02819e-16
6.10839 1.8065e-17 1.8065e-17 4.86134e-25 2.69103e-08 8.72278e-07 1.63056e-28 5.02334e-16
6.42193 1.18593e-17 1.18593e-17 3.98497e-25 3.36021e-08 7.93015e-07 1.00998e-27 4.48076e-16
6.75157 9.73853e-18 9.73853e-18 3.26704e-25 3.35476e-08 7.07894e-07 6.92772e-27 4.91171e-16
7.09813 1.13981e-17 1.13981e-17 2.67695e-25 2.3486e-08 6.34182e-07 6.0321e-26 7.5458e-16
7.46248 2.81404e-17 2.81404e-17 2.19278e-25 7.79228e-09 5.66047e-07 9.9229e-25 2.40641e-15
7.84553 3.5968e-17 3.5968e-17 1.79684e-25 4.99565e-09 5.00347e-07 7.60998e-24 3.91267e-15
8.24824 1.61151e-17 1.61151e-17 1.4719e-25 9.13368e-09 4.38356e-07 1.85161e-23 2.19757e-15
8.67162 1.29818e-17 1.29818e-17 1.20492e-25 9.28158e-09 3.85495e-07 7.36758e-23 2.18827e-15
9.11674 3.53192e-18 3.53192e-18 9.86362e-26 2.79271e-08 3.38755e-07 9.04669e-23 7.26065e-16
9.5847 2.00474e-18 2.00474e-18 8.07118e-26 4.02605e-08 2.957e-07 2.12703e-22 4.96127e-16
10.0767 1.49912e-18 1.49912e-18 6.60156e-26 4.40362e-08 2.55912e-07 6.07207e-22 4.41079e-16
10.5939 1.43022e-18 1.43022e-18 5.39552e-26 3.77251e-08 2.178e-07 2.04637e-21 4.94312e-16
11.1377 4.42968e-18 4.42968e-18 4.40643e-26 9.94751e-09 1.82759e-07 2.07954e-20 1.77764e-15
11.7094 2.39949e-18 2.39949e-18 3.63223e-26 1.51375e-08 1.5136e-07 3.44524e-20 1.10558e-15
12.3105 2.35562e-18 2.35562e-18 2.95338e-26 1.25375e-08 1.17556e-07 9.67629e-20 1.23275e-15
12.9424 1.96203e-18 1.96203e-18 2.41158e-26 1.22912e-08 8.55628e-08 2.16377e-19 1.15407e-15
13.6067 1.55601e-18 1.55601e-18 1.96923e-26 1.26556e-08 5.95175e-08 4.33686e-19 1.01837e-15
14.3051 1.21196e-18 1.21196e-18 1.60674e-26 1.32573e-08 3.59563e-08 8.06007e-19 8.74021e-16
15.0394 9.9691e-19 9.9691e-19 1.3102e-26 1.31426e-08 1.64762e-08 1.49778e-18 7.84778e-16
15.8114 1.006e-18 1.006e-18 1.06836e-26 1.06199e-08 -4.18404e-09 3.24147e-18 8.56674e-16
16.623 1.34681e-18 1.34681e-18 8.71003e-27 6.46714e-09 -2.59681e-08 8.85775e-18 1.2299e-15
17.4762 1.15651e-18 1.15651e-18 7.0973e-27 6.13682e-09 -4.28762e-08 1.48115e-17 1.12311e-15
18.3733 7.81502e-19 7.81502e-19 5.78007e-27 7.3961e-09 -6.34191e-08 1.8637e-17 8.00603e-16
19.3164 6.59856e-19 6.59856e-19 4.71336e-27 7.14302e-09 -8.10431e-08 2.80801e-17 7.07621e-16
