# 4.85817e-08 1 3 : grain size, compostion index, size index
# This grain was stochastically heated: Yes
# Heating and cooling timescale: 6.90802e+06 0.395218
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 4.8716e-16 4.87118e-16 4.26905e-20 8.76313e-05 0.000515878 0 8.30709e-70
0.0525665 5.64186e-16 5.6414e-16 4.577e-20 8.11257e-05 0.000459529 0 3.26893e-67
0.0552647 6.5104e-16 6.50991e-16 4.90305e-20 7.53111e-05 0.000409198 0 9.57226e-65
0.0581015 7.64934e-16 7.64882e-16 5.17186e-20 6.76119e-05 0.000364186 0 2.16235e-62
0.0610839 1.06164e-15 1.06158e-15 5.49822e-20 5.179e-05 0.000320745 0 4.43213e-60
0.0642193 1.34169e-15 1.34163e-15 6.12464e-20 4.56486e-05 0.000277412 0 6.43758e-58
0.0675157 1.60488e-15 1.60481e-15 7.19512e-20 4.48328e-05 0.000233749 0 6.9734e-56
0.0709813 1.84391e-15 1.84384e-15 7.42409e-20 4.02628e-05 0.000195967 0 5.78515e-54
0.0746248 1.72271e-15 1.72264e-15 6.4798e-20 3.76141e-05 0.000169042 0 3.14705e-52
0.0784553 1.35374e-15 1.35369e-15 5.02498e-20 3.71194e-05 0.000151131 0 1.17365e-50
0.0824824 1.07454e-15 1.0745e-15 3.5344e-20 3.28923e-05 0.000141291 0 3.64078e-49
0.0867162 9.00144e-16 9.00117e-16 2.7238e-20 3.02596e-05 0.00013568 0 9.91086e-48
0.0911674 7.85433e-16 7.8541e-16 2.28493e-20 2.90914e-05 0.00013176 0 2.3586e-46
0.095847 7.02916e-16 7.02898e-16 1.81298e-20 2.57923e-05 0.000138927 0 4.87444e-45
0.100767 6.17057e-16 6.17044e-16 1.23713e-20 2.00489e-05 0.000162037 0 8.43844e-44
0.105939 5.37989e-16 5.3798e-16 8.572e-21 1.59334e-05 0.000174804 0 1.24907e-42
0.111377 4.61704e-16 4.61698e-16 5.24399e-21 1.13579e-05 0.000200059 0 1.57971e-41
0.117094 3.91343e-16 3.9134e-16 3.26987e-21 8.35551e-06 0.000183196 0 1.72874e-40
0.123105 3.28976e-16 3.28974e-16 2.13077e-21 6.47697e-06 0.000157167 0 1.66635e-39
0.129424 2.76748e-16 2.76747e-16 1.37076e-21 4.95308e-06 0.00013218 0 1.46626e-38
0.136067 2.51011e-16 2.5101e-16 8.88119e-22 3.53817e-06 0.000111835 0 1.34404e-37
0.143051 2.27862e-16 2.27862e-16 5.83358e-22 2.56014e-06 9.53982e-05 0 1.31282e-36
0.150394 2.15297e-16 2.15296e-16 3.97429e-22 1.84596e-06 8.1435e-05 0 1.5344e-35
0.158114 2.12868e-16 2.12868e-16 3.00569e-22 1.412e-06 6.9735e-05 0 2.08202e-34
0.16623 2.21404e-16 2.21404e-16 2.77642e-22 1.254e-06 5.99489e-05 0 2.97654e-33
0.174762 2.42646e-16 2.42646e-16 3.34533e-22 1.37868e-06 5.15463e-05 0 4.16818e-32
0.183733 2.80422e-16 2.80421e-16 4.77701e-22 1.70351e-06 4.39017e-05 0 5.53802e-31
0.193164 3.47138e-16 3.47137e-16 7.58801e-22 2.18588e-06 3.65325e-05 0 7.02306e-30
0.203079 4.54647e-16 4.54646e-16 1.15799e-21 2.54701e-06 2.92956e-05 0 8.39451e-29
0.213503 5.60075e-16 5.60073e-16 1.42079e-21 2.5368e-06 2.25313e-05 0 8.43564e-28
0.224463 5.3809e-16 5.38089e-16 1.18022e-21 2.19336e-06 1.66816e-05 0 5.93602e-27
0.235984 4.1628e-16 4.16279e-16 8.00534e-22 1.92307e-06 1.19057e-05 0 3.03471e-26
0.248097 3.14957e-16 3.14956e-16 5.18137e-22 1.64511e-06 9.12012e-06 0 1.37562e-25
0.260832 2.5259e-16 2.52589e-16 3.5583e-22 1.40873e-06 9.49042e-06 0 6.02064e-25
0.274221 2.15313e-16 2.15313e-16 2.5665e-22 1.19199e-06 1.26905e-05 0 2.56268e-24
0.288297 1.92099e-16 1.92098e-16 1.91293e-22 9.95806e-07 1.70259e-05 0 1.04915e-23
0.303095 1.74407e-16 1.74407e-16 1.47409e-22 8.45201e-07 1.90897e-05 0 4.03309e-23
0.318653 1.52866e-16 1.52866e-16 1.14783e-22 7.50871e-07 1.99179e-05 0 1.38648e-22
0.335009 1.34718e-16 1.34717e-16 9.04091e-23 6.71101e-07 1.95867e-05 0 4.45586e-22
0.352205 1.17994e-16 1.17994e-16 7.20894e-23 6.10959e-07 1.8585e-05 0 1.32796e-21
0.370284 1.02663e-16 1.02663e-16 5.79904e-23 5.64862e-07 1.73748e-05 0 3.68061e-21
0.389291 8.87042e-17 8.87041e-17 4.70077e-23 5.29938e-07 1.61988e-05 0 9.51443e-21
0.409273 7.61156e-17 7.61155e-17 3.82188e-23 5.02115e-07 1.50571e-05 0 2.30095e-20
0.430281 6.48239e-17 6.48239e-17 3.11039e-23 4.79821e-07 1.39725e-05 0 5.21764e-20
0.452368 5.47681e-17 5.4768e-17 2.53098e-23 4.62127e-07 1.28522e-05 1.17851e-300 1.1119e-19
0.475588 4.58881e-17 4.5888e-17 2.06087e-23 4.49108e-07 1.17793e-05 3.59551e-286 2.23184e-19
0.5 3.81257e-17 3.81257e-17 1.6825e-23 4.41302e-07 1.075e-05 2.09062e-272 4.22956e-19
0.525665 3.1369e-17 3.1369e-17 1.37506e-23 4.38351e-07 9.77688e-06 2.50781e-259 7.57531e-19
0.552647 2.55195e-17 2.55195e-17 1.12423e-23 4.40538e-07 8.89036e-06 6.68885e-247 1.28312e-18
0.581015 2.04602e-17 2.04602e-17 9.23629e-24 4.51427e-07 8.06653e-06 4.25338e-235 2.05302e-18
0.610839 1.59767e-17 1.59767e-17 7.59043e-24 4.75094e-07 7.32029e-06 6.82944e-224 3.07272e-18
0.642193 1.15827e-17 1.15827e-17 6.23678e-24 5.38456e-07 6.64331e-06 2.81905e-213 4.10864e-18
0.675157 7.09644e-18 7.09644e-18 5.13042e-24 7.22957e-07 6.03183e-06 2.89938e-203 4.4758e-18
0.709813 4.89667e-18 4.89667e-18 4.22747e-24 8.63335e-07 5.48336e-06 1.05099e-193 5.30295e-18
0.746248 3.82817e-18 3.82816e-18 3.48405e-24 9.10109e-07 4.99334e-06 1.42982e-184 6.88588e-18
0.784553 2.52226e-18 2.52225e-18 2.87047e-24 1.13806e-06 4.54834e-06 5.73015e-176 7.30064e-18
0.824824 1.43852e-18 1.43851e-18 2.36442e-24 1.64365e-06 4.14891e-06 7.31435e-168 6.50124e-18
0.867162 1.0323e-18 1.0323e-18 1.9483e-24 1.88734e-06 3.7896e-06 4.53917e-160 7.07833e-18
0.911674 8.39007e-19 8.39005e-19 1.60457e-24 1.91246e-06 3.46449e-06 1.29128e-152 8.49315e-18
0.95847 7.0649e-19 7.06489e-19 1.32038e-24 1.86892e-06 3.17308e-06 1.60997e-145 1.02871e-17
1.00767 5.9891e-19 5.98909e-19 1.0866e-24 1.81429e-06 2.90859e-06 8.91508e-139 1.22375e-17
1.05939 5.06117e-19 5.06116e-19 8.93832e-25 1.76606e-06 2.66857e-06 2.25958e-132 1.41744e-17
1.11377 4.2465e-19 4.2465e-19 7.35041e-25 1.73093e-06 2.45016e-06 2.71189e-126 1.59402e-17
1.17094 3.53128e-19 3.53127e-19 6.04194e-25 1.71098e-06 2.24628e-06 1.59513e-120 1.73929e-17
1.23105 2.90928e-19 2.90928e-19 4.96869e-25 1.70787e-06 2.05953e-06 4.75748e-115 1.84261e-17
1.29424 2.37184e-19 2.37184e-19 4.0874e-25 1.7233e-06 1.8877e-06 7.42485e-110 1.89501e-17
1.36067 1.91223e-19 1.91222e-19 3.36046e-25 1.75735e-06 1.73135e-06 6.25103e-105 1.89252e-17
1.43051 1.52415e-19 1.52414e-19 2.76152e-25 1.81185e-06 1.58871e-06 2.92354e-100 1.83655e-17
1.50394 1.20137e-19 1.20137e-19 2.27016e-25 1.88964e-06 1.45705e-06 7.8147e-96 1.73387e-17
1.58114 9.35475e-20 9.35473e-20 1.86626e-25 1.99498e-06 1.33429e-06 1.22493e-91 1.59217e-17
1.6623 7.19501e-20 7.19499e-20 1.53437e-25 2.13255e-06 1.22028e-06 1.15484e-87 1.42304e-17
1.74762 5.47187e-20 5.47185e-20 1.26164e-25 2.30568e-06 1.11748e-06 6.71622e-84 1.24022e-17
1.83733 4.11776e-20 4.11775e-20 1.03728e-25 2.51904e-06 1.02389e-06 2.4673e-80 1.05552e-17
1.93164 3.06916e-20 3.06915e-20 8.52489e-26 2.7776e-06 9.37519e-07 5.85816e-77 8.78692e-18
2.03079 2.27269e-20 2.27269e-20 7.00457e-26 3.08206e-06 8.57836e-07 9.20699e-74 7.18176e-18
2.13503 1.6843e-20 1.6843e-20 5.75988e-26 3.41975e-06 7.84556e-07 9.8426e-71 5.8092e-18
2.24463 1.25842e-20 1.25841e-20 4.73421e-26 3.76204e-06 7.18076e-07 7.34621e-68 4.68727e-18
2.35984 9.60436e-21 9.60432e-21 3.88971e-26 4.04994e-06 6.56527e-07 3.9491e-65 3.82474e-18
2.48097 7.62814e-21 7.6281e-21 3.19529e-26 4.18883e-06 5.99646e-07 1.58452e-62 3.21707e-18
2.60832 6.44152e-21 6.44149e-21 2.62705e-26 4.07831e-06 5.47439e-07 4.92732e-60 2.85121e-18
2.74221 5.88227e-21 5.88225e-21 2.15913e-26 3.67058e-06 4.99535e-07 1.22664e-57 2.70945e-18
2.88297 5.91336e-21 5.91334e-21 1.77318e-26 2.99861e-06 4.5652e-07 2.52544e-55 2.81162e-18
3.03095 6.89796e-21 6.89794e-21 1.45648e-26 2.11147e-06 4.17435e-07 4.59616e-53 3.35971e-18
3.18653 1.4889e-20 1.48889e-20 1.19655e-26 8.03647e-07 3.81536e-07 1.19487e-50 7.37487e-18
3.35009 5.72036e-20 5.72036e-20 9.82676e-27 1.71786e-07 3.47823e-07 4.32286e-48 2.86176e-17
3.52205 9.88819e-21 9.88818e-21 8.06647e-27 8.15768e-07 3.16837e-07 5.56764e-47 4.96377e-18
3.70284 9.47868e-21 9.47867e-21 6.6244e-27 6.98874e-07 2.89239e-07 3.18267e-45 4.74508e-18
