# 1.2451e-07 2 12 : grain size, compostion index, size index
# This grain was stochastically heated: Yes
# Heating and cooling timescale: 388059 3.84669
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 8.1253e-15 8.11343e-15 1.1872e-17 0.00146112 0.00340671 0 0
0.0525665 9.41091e-15 9.39817e-15 1.2739e-17 0.00135364 0.00303421 0 0
0.0552647 1.0862e-14 1.08483e-14 1.36576e-17 0.00125737 0.00270137 0 0
0.0581015 1.23273e-14 1.23129e-14 1.44178e-17 0.00116958 0.00240362 0 1.14095e-309
0.0610839 1.39775e-14 1.39622e-14 1.53463e-17 0.00109792 0.00211659 0 5.27194e-295
0.0642193 1.63356e-14 1.63185e-14 1.71249e-17 0.00104832 0.0018306 0 4.81176e-281
0.0675157 1.99356e-14 1.99154e-14 2.01775e-17 0.00101213 0.00154216 0 9.52692e-268
0.0709813 2.22047e-14 2.21838e-14 2.09172e-17 0.000942016 0.00129174 0 3.86149e-255
0.0746248 2.11914e-14 2.1173e-14 1.83427e-17 0.000865572 0.00111291 0 3.23636e-243
0.0784553 1.81192e-14 1.8105e-14 1.42709e-17 0.000787608 0.000993943 0 6.2849e-232
0.0824824 1.45732e-14 1.45631e-14 1.00498e-17 0.000689612 0.000928155 0 3.17276e-221
0.0867162 1.27287e-14 1.2721e-14 7.74253e-18 0.000608272 0.000890392 0 5.11621e-211
0.0911674 1.12183e-14 1.12118e-14 6.49667e-18 0.000579114 0.000863851 0 2.60054e-201
0.095847 8.81182e-15 8.80666e-15 5.15867e-18 0.000585426 0.000910158 0 3.89342e-192
0.100767 6.07595e-15 6.07243e-15 3.51994e-18 0.000579323 0.00106173 0 1.78609e-183
0.105939 3.98419e-15 3.98175e-15 2.43835e-18 0.000612006 0.00114604 0 2.86212e-175
0.111377 2.41089e-15 2.4094e-15 1.4905e-18 0.000618235 0.00131185 0 1.63271e-167
0.117094 1.84343e-15 1.84251e-15 9.28648e-19 0.00050376 0.0012026 0 4.7573e-160
0.123105 1.44362e-15 1.44301e-15 6.04824e-19 0.000418964 0.00103198 0 5.99707e-153
0.129424 1.2109e-15 1.21051e-15 3.88931e-19 0.000321191 0.00086796 0 3.56763e-146
0.136067 1.14667e-15 1.14641e-15 2.51915e-19 0.000219694 0.000734403 0 1.09886e-139
0.143051 1.18906e-15 1.18889e-15 1.65434e-19 0.00013913 0.0006265 0 1.76561e-133
0.150394 1.37157e-15 1.37146e-15 1.12683e-19 8.21556e-05 0.000534833 0 1.55881e-127
0.158114 1.66442e-15 1.66433e-15 8.51998e-20 5.1189e-05 0.000458018 0 7.40257e-122
0.16623 2.08431e-15 2.08424e-15 7.86775e-20 3.77474e-05 0.000393766 0 1.91654e-116
0.174762 2.72792e-15 2.72782e-15 9.47648e-20 3.47388e-05 0.000338595 0 2.82662e-111
0.183733 3.66174e-15 3.6616e-15 1.3528e-19 3.69443e-05 0.000288396 0 2.40075e-106
0.193164 5.08287e-15 5.08265e-15 2.14872e-19 4.22738e-05 0.000239997 0 1.21784e-101
0.203079 6.72002e-15 6.71969e-15 3.28066e-19 4.88192e-05 0.000192455 0 3.49108e-97
0.213503 7.2609e-15 7.2605e-15 4.029e-19 5.5489e-05 0.000148014 0 4.97908e-93
0.224463 5.57995e-15 5.57962e-15 3.34919e-19 6.00219e-05 0.000109592 0 3.15161e-89
0.235984 3.80366e-15 3.80343e-15 2.27178e-19 5.97262e-05 7.8225e-05 0 1.1309e-85
0.248097 2.69923e-15 2.69908e-15 1.47004e-19 5.44615e-05 5.99089e-05 0 2.76457e-82
0.260832 2.13275e-15 2.13265e-15 1.00933e-19 4.7325e-05 6.22959e-05 0 5.04423e-79
0.274221 1.75961e-15 1.75954e-15 7.27874e-20 4.13655e-05 8.32629e-05 0 6.60927e-76
0.288297 1.52063e-15 1.52057e-15 5.42451e-20 3.56728e-05 0.000111729 0 6.41809e-73
0.303095 1.33738e-15 1.33734e-15 4.17974e-20 3.12531e-05 0.000125301 0 4.63365e-70
0.318653 1.18061e-15 1.18058e-15 3.25441e-20 2.75655e-05 0.000130759 0 2.53831e-67
0.335009 1.05852e-15 1.0585e-15 2.5632e-20 2.42149e-05 0.000128601 0 1.10152e-64
0.352205 9.64195e-16 9.64175e-16 2.04372e-20 2.11962e-05 0.000122034 0 3.86864e-62
0.370284 8.85387e-16 8.8537e-16 1.64396e-20 1.85677e-05 0.000114094 0 1.09873e-59
0.389291 8.11251e-16 8.11238e-16 1.33257e-20 1.64261e-05 0.000106375 0 2.48899e-57
0.409273 7.40393e-16 7.40382e-16 1.08339e-20 1.46326e-05 9.88819e-05 0 4.46039e-55
0.430281 6.72545e-16 6.72536e-16 8.81682e-21 1.31096e-05 9.17618e-05 0 6.29391e-53
0.452368 6.14176e-16 6.14169e-16 7.17426e-21 1.16811e-05 8.44065e-05 0 7.06659e-51
0.475588 5.61339e-16 5.61333e-16 5.84154e-21 1.04064e-05 7.73617e-05 0 6.31078e-49
0.5 5.16619e-16 5.16615e-16 4.76897e-21 9.23111e-06 7.06029e-05 0 4.54019e-47
0.525665 4.78016e-16 4.78012e-16 3.89751e-21 8.15352e-06 6.4212e-05 0 2.64852e-45
0.552647 4.41594e-16 4.4159e-16 3.18648e-21 7.21588e-06 5.83901e-05 0 1.25503e-43
0.581015 4.11338e-16 4.11335e-16 2.61787e-21 6.36429e-06 5.29796e-05 0 4.92295e-42
0.610839 3.82472e-16 3.8247e-16 2.15135e-21 5.62486e-06 4.80787e-05 0 1.59675e-40
0.642193 3.54902e-16 3.549e-16 1.76767e-21 4.98073e-06 4.36327e-05 0 4.31877e-39
0.675157 3.29375e-16 3.29373e-16 1.45409e-21 4.41468e-06 3.96167e-05 0 9.84573e-38
0.709813 3.05783e-16 3.05782e-16 1.19816e-21 3.91833e-06 3.60145e-05 0 1.90767e-36
0.746248 2.83622e-16 2.83621e-16 9.87451e-22 3.48158e-06 3.27962e-05 0 3.16217e-35
0.784553 2.62579e-16 2.62579e-16 8.13542e-22 3.09827e-06 2.98735e-05 0 4.51351e-34
0.824824 2.42915e-16 2.42914e-16 6.70117e-22 2.75865e-06 2.72504e-05 0 5.5932e-33
0.867162 2.24522e-16 2.24522e-16 5.52177e-22 2.45934e-06 2.48902e-05 0 6.05777e-32
0.911674 2.07246e-16 2.07246e-16 4.54754e-22 2.19427e-06 2.27552e-05 3.00518e-309 5.76884e-31
0.95847 1.91244e-16 1.91244e-16 3.74209e-22 1.95671e-06 2.08415e-05 2.38625e-294 4.86536e-30
1.00767 1.76288e-16 1.76288e-16 3.07952e-22 1.74687e-06 1.91039e-05 3.48818e-280 3.65254e-29
1.05939 1.62671e-16 1.62671e-16 2.5332e-22 1.55725e-06 1.75278e-05 1.02171e-266 2.45966e-28
1.11377 1.49878e-16 1.49877e-16 2.08316e-22 1.38991e-06 1.6093e-05 6.46942e-254 1.48984e-27
1.17094 1.38524e-16 1.38524e-16 1.71232e-22 1.23612e-06 1.47535e-05 9.58743e-242 8.19619e-27
1.23105 1.28058e-16 1.28058e-16 1.40816e-22 1.09963e-06 1.35272e-05 3.56e-230 4.10311e-26
1.29424 1.18353e-16 1.18353e-16 1.15839e-22 9.78756e-07 1.23992e-05 3.54175e-219 1.87685e-25
1.36067 1.0938e-16 1.0938e-16 9.52367e-23 8.70692e-07 1.13716e-05 1.007e-208 7.88034e-25
1.43051 1.011e-16 1.011e-16 7.82628e-23 7.74113e-07 1.04354e-05 8.7001e-199 3.05022e-24
1.50394 9.35822e-17 9.35821e-17 6.4337e-23 6.87492e-07 9.57012e-06 2.42407e-189 1.09416e-23
1.58114 8.67197e-17 8.67196e-17 5.28902e-23 6.09898e-07 8.76335e-06 2.30113e-180 3.64993e-23
1.6623 8.03721e-17 8.03721e-17 4.34843e-23 5.41037e-07 8.01509e-06 7.83745e-172 1.13522e-22
1.74762 7.43982e-17 7.43981e-17 3.57551e-23 4.80591e-07 7.34083e-06 1.00552e-163 3.29879e-22
1.83733 6.88829e-17 6.88829e-17 2.93965e-23 4.26761e-07 6.72449e-06 5.10335e-156 8.99811e-22
1.93164 6.37735e-17 6.37734e-17 2.41596e-23 3.78834e-07 6.15868e-06 1.07192e-148 2.31051e-21
2.03079 5.90908e-17 5.90908e-17 1.9851e-23 3.3594e-07 5.63353e-06 9.73594e-142 5.60646e-21
2.13503 5.47321e-17 5.47321e-17 1.63235e-23 2.98244e-07 5.15327e-06 3.97936e-135 1.28771e-20
2.24463 5.06647e-17 5.06647e-17 1.34167e-23 2.64814e-07 4.71558e-06 7.60722e-129 2.80652e-20
2.35984 4.6937e-17 4.6937e-17 1.10234e-23 2.34855e-07 4.31209e-06 7.06897e-123 5.82741e-20
2.48097 4.34983e-17 4.34983e-17 9.05541e-24 2.08178e-07 3.93951e-06 3.30619e-117 1.15509e-19
2.60832 4.02897e-17 4.02896e-17 7.44504e-24 1.84788e-07 3.59563e-06 8.04087e-112 2.18898e-19
2.74221 3.72703e-17 3.72703e-17 6.11896e-24 1.64178e-07 3.28265e-06 1.04915e-106 3.97209e-19
2.88297 3.44795e-17 3.44795e-17 5.02518e-24 1.45744e-07 2.99947e-06 7.5801e-102 6.92591e-19
3.03095 3.18675e-17 3.18675e-17 4.12764e-24 1.29525e-07 2.74237e-06 3.11827e-97 1.16165e-18
3.18653 2.94622e-17 2.94622e-17 3.39099e-24 1.15096e-07 2.50375e-06 7.51648e-93 1.88026e-18
3.35009 2.72365e-17 2.72365e-17 2.78488e-24 1.02248e-07 2.28429e-06 1.08937e-88 2.94149e-18
3.52205 2.51698e-17 2.51698e-17 2.28602e-24 9.08238e-08 2.08458e-06 9.72824e-85 4.45432e-18
3.70284 2.32607e-17 2.32607e-17 1.87734e-24 8.07086e-08 1.90219e-06 5.48311e-81 6.54296e-18
3.89291 2.151e-17 2.151e-17 1.54116e-24 7.16485e-08 1.73378e-06 1.99609e-77 9.34361e-18
4.09273 1.98947e-17 1.98947e-17 1.265e-24 6.35847e-08 1.57476e-06 4.79268e-74 1.29861e-17
4.30281 1.83842e-17 1.83842e-17 1.03812e-24 5.64679e-08 1.43114e-06 7.73706e-71 1.75721e-17
4.52368 1.69832e-17 1.69832e-17 8.52186e-25 5.01782e-08 1.30011e-06 8.56715e-68 2.31953e-17
4.75588 1.56872e-17 1.56872e-17 6.99285e-25 4.45768e-08 1.18024e-06 6.62866e-65 2.99126e-17
5 1.45103e-17 1.45103e-17 5.73652e-25 3.95341e-08 1.06533e-06 3.65258e-62 3.77886e-17
5.25665 1.33858e-17 1.33858e-17 4.70696e-25 3.51638e-08 9.62646e-07 1.45153e-59 4.66276e-17
5.52648 1.23338e-17 1.23338e-17 3.86193e-25 3.13117e-08 8.70752e-07 4.23244e-57 5.63385e-17
5.81015 1.13691e-17 1.13691e-17 3.16659e-25 2.78525e-08 7.86557e-07 9.20812e-55 6.6829e-17
6.10839 1.04897e-17 1.04897e-17 2.59575e-25 2.47456e-08 7.07926e-07 1.51696e-52 7.79393e-17
6.42193 9.65336e-18 9.65336e-18 2.12781e-25 2.20421e-08 6.43346e-07 1.91176e-50 8.91296e-17
6.75157 8.91633e-18 8.91633e-18 1.74446e-25 1.95648e-08 5.74483e-07 1.8786e-48 1.00653e-16
7.09813 8.2269e-18 8.2269e-18 1.42938e-25 1.73744e-08 5.14108e-07 1.45056e-46 1.11801e-16
7.46248 7.59862e-18 7.59862e-18 1.17085e-25 1.54087e-08 4.58437e-07 8.92251e-45 1.2249e-16
7.84553 7.03196e-18 7.03196e-18 9.59433e-26 1.36439e-08 4.05764e-07 4.42553e-43 1.32578e-16
8.24824 6.49933e-18 6.49933e-18 7.85934e-26 1.20925e-08 3.56431e-07 1.78297e-41 1.41398e-16
8.67162 6.00592e-18 6.00592e-18 6.43377e-26 1.07124e-08 3.13521e-07 5.90079e-40 1.48849e-16
9.11674 5.56084e-18 5.56084e-18 5.26677e-26 9.47117e-09 2.74891e-07 1.62304e-38 1.55079e-16
9.5847 5.16537e-18 5.16537e-18 4.30967e-26 8.34337e-09 2.39988e-07 3.74927e-37 1.60196e-16
10.0767 4.81679e-18 4.81679e-18 3.52496e-26 7.31808e-09 2.08303e-07 7.34163e-36 1.6427e-16
10.5939 4.50939e-18 4.50939e-18 2.88098e-26 6.38883e-09 1.76543e-07 1.22885e-34 1.67302e-16
11.1377 4.25287e-18 4.25287e-18 2.35285e-26 5.53238e-09 1.47632e-07 1.77809e-33 1.69893e-16
11.7094 3.98189e-18 3.98189e-18 1.93946e-26 4.8707e-09 1.22999e-07 2.20818e-32 1.69597e-16
12.3105 3.79745e-18 3.79745e-18 1.57698e-26 4.15274e-09 9.56082e-08 2.43221e-31 1.7083e-16
12.9424 3.63024e-18 3.63024e-18 1.28768e-26 3.5471e-09 7.00085e-08 2.35404e-30 1.70938e-16
13.6067 3.49662e-18 3.49662e-18 1.05149e-26 3.00715e-09 4.74079e-08 2.0254e-29 1.70858e-16
14.3051 3.4061e-18 3.4061e-18 8.57929e-27 2.5188e-09 3.17659e-08 1.56444e-28 1.71293e-16
15.0394 3.36e-18 3.36e-18 6.99588e-27 2.08211e-09 1.17371e-08 1.09263e-27 1.72538e-16
15.8114 3.36794e-18 3.36794e-18 5.70459e-27 1.69379e-09 -4.13874e-09 6.96172e-27 1.75262e-16
16.623 3.42882e-18 3.42882e-18 4.65078e-27 1.35638e-09 -1.94094e-08 4.0663e-26 1.79515e-16
17.4762 3.54977e-18 3.54977e-18 3.78965e-27 1.06758e-09 -3.47615e-08 2.19079e-25 1.85684e-16
18.3733 3.74785e-18 3.74785e-18 3.08632e-27 8.23491e-10 -4.95319e-08 1.09711e-24 1.94578e-16
19.3164 4.02838e-18 4.02838e-18 2.51674e-27 6.24752e-10 -6.4203e-08 5.12093e-24 2.06264e-16
20.3079 4.4044e-18 4.4044e-18 2.05359e-27 4.66258e-10 -8.04513e-08 2.23571e-23 2.21066e-16
21.3503 4.90674e-18 4.90674e-18 1.67746e-27 3.41869e-10 -9.35976e-08 9.18249e-23 2.40023e-16
22.4463 5.56573e-18 5.56573e-18 1.37466e-27 2.46986e-10 -1.01111e-07 3.55927e-22 2.63876e-16
23.5984 6.4056e-18 6.4056e-18 1.13324e-27 1.76915e-10 -1.12696e-07 1.30227e-21 2.92793e-16
24.8097 7.43373e-18 7.43373e-18 9.42299e-28 1.2676e-10 -1.24699e-07 4.48566e-21 3.25948e-16
26.0832 8.64005e-18 8.64005e-18 7.93671e-28 9.18595e-11 -1.31172e-07 1.44955e-20 3.61678e-16
27.4221 9.93741e-18 9.93741e-18 6.77723e-28 6.81992e-11 -1.39458e-07 4.35615e-20 3.95343e-16
28.8297 1.11311e-17 1.11311e-17 5.8847e-28 5.28673e-11 -1.39452e-07 1.20172e-19 4.19055e-16
30.3095 1.20838e-17 1.20838e-17 5.17274e-28 4.28071e-11 -1.43299e-07 3.03732e-19 4.28759e-16
31.8653 1.23617e-17 1.23617e-17 4.54485e-28 3.67654e-11 -1.45777e-07 6.85742e-19 4.11827e-16
33.5009 1.21183e-17 1.21183e-17 3.98634e-28 3.28953e-11 -1.3982e-07 1.41001e-18 3.77708e-16
35.2206 1.1121e-17 1.1121e-17 3.41387e-28 3.06975e-11 -1.35148e-07 2.58591e-18 3.23223e-16
37.0284 9.84279e-18 9.84279e-18 2.88767e-28 2.93379e-11 -1.18686e-07 4.36803e-18 2.65943e-16
38.9291 8.43999e-18 8.43999e-18 2.39888e-28 2.84228e-11 -1.15061e-07 6.84222e-18 2.11397e-16
40.9273 7.10958e-18 7.10958e-18 1.9736e-28 2.77598e-11 -9.88535e-08 1.00996e-17 1.64653e-16
43.0282 5.94788e-18 5.94788e-18 1.6101e-28 2.70701e-11 -9.29056e-08 1.42307e-17 1.27071e-16
45.2368 4.95766e-18 4.95766e-18 1.30913e-28 2.64062e-11 -6.38783e-08 1.92389e-17 9.75017e-17
47.5588 4.15841e-18 4.15841e-18 1.06178e-28 2.55332e-11 -6.23123e-08 2.5253e-17 7.51475e-17
50 3.48789e-18 3.48789e-18 8.61302e-29 2.46941e-11 -2.71562e-08 3.20351e-17 5.78238e-17
52.5665 2.94808e-18 2.94808e-18 6.98263e-29 2.36854e-11 1.15395e-08 3.96463e-17 4.47758e-17
55.2648 2.50606e-18 2.50606e-18 5.66198e-29 2.25931e-11 5.39291e-08 4.78478e-17 3.48306e-17
58.1015 2.14341e-18 2.14341e-18 4.59745e-29 2.14492e-11 5.93302e-08 5.64218e-17 2.72355e-17
61.0839 1.84286e-18 1.84286e-18 3.73455e-29 2.0265e-11 7.54822e-08 6.50412e-17 2.1393e-17
64.2193 1.59174e-18 1.59174e-18 3.03485e-29 1.90663e-11 9.78376e-08 7.33506e-17 1.68722e-17
67.5157 1.38196e-18 1.38196e-18 2.46818e-29 1.78601e-11 9.9456e-08 8.10779e-17 1.3371e-17
70.9813 1.20505e-18 1.20505e-18 2.00928e-29 1.66738e-11 1.1482e-07 8.7876e-17 1.06405e-17
74.6248 1.05482e-18 1.05482e-18 1.63616e-29 1.55113e-11 1.01153e-07 9.3452e-17 8.49968e-18
78.4553 9.26504e-19 9.26504e-19 1.33262e-29 1.43833e-11 9.00792e-08 9.75854e-17 6.81358e-18
82.4824 8.16673e-19 8.16673e-19 1.08636e-29 1.33023e-11 7.4786e-08 1.00174e-16 5.48225e-18
86.7162 7.22563e-19 7.22563e-19 8.8597e-30 1.22615e-11 8.52047e-08 1.01214e-16 4.42876e-18
91.1674 6.41239e-19 6.41239e-19 7.22607e-30 1.12689e-11 4.93648e-08 1.00683e-16 3.58973e-18
95.847 5.70662e-19 5.70662e-19 5.89432e-30 1.03289e-11 5.0638e-08 9.86741e-17 2.91887e-18
100.767 5.09501e-19 5.09501e-19 4.81234e-30 9.4452e-12 9.3082e-08 9.54032e-17 2.38199e-18
105.939 4.57646e-19 4.57646e-19 3.92862e-30 8.58441e-12 8.61032e-08 9.13305e-17 1.95638e-18
111.377 4.12957e-19 4.12957e-19 3.20676e-30 7.76537e-12 7.68794e-08 8.6515e-17 1.61479e-18
117.094 3.76134e-19 3.76134e-19 2.61865e-30 6.96201e-12 3.4181e-08 8.15456e-17 1.34583e-18
123.105 3.46939e-19 3.46939e-19 2.14015e-30 6.16866e-12 2.17743e-08 7.67855e-17 1.13623e-18
129.424 3.23344e-19 3.23344e-19 1.75062e-30 5.4141e-12 -3.76172e-08 7.21224e-17 9.69517e-19
136.067 3.00982e-19 3.00982e-19 1.43313e-30 4.76153e-12 3.39009e-08 6.68396e-17 8.26398e-19
143.051 2.73014e-19 2.73014e-19 1.17493e-30 4.30353e-12 -3.43078e-08 5.96712e-17 6.86515e-19
150.394 2.42724e-19 2.42724e-19 9.6296e-31 3.9673e-12 -2.7307e-08 5.16476e-17 5.59009e-19
158.114 2.12556e-19 2.12556e-19 7.88075e-31 3.7076e-12 -2.07869e-08 4.35818e-17 4.48349e-19
166.23 1.85867e-19 1.85867e-19 6.44536e-31 3.46773e-12 -1.71299e-07 3.63675e-17 3.59042e-19
174.763 1.6277e-19 1.6277e-19 5.27359e-31 3.23991e-12 -5.08587e-08 3.01156e-17 2.87906e-19
183.733 1.44154e-19 1.44154e-19 4.31274e-31 2.99177e-12 -1.35157e-07 2.50039e-17 2.33422e-19
193.164 1.27901e-19 1.27901e-19 3.52613e-31 2.75693e-12 -1.51613e-07 2.06298e-17 1.89541e-19
203.079 1.13916e-19 1.13916e-19 2.8836e-31 2.53134e-12 -1.55047e-07 1.69562e-17 1.54445e-19
213.503 1.02157e-19 1.02157e-19 2.35908e-31 2.30928e-12 -9.47913e-08 1.39321e-17 1.26659e-19
224.463 9.15603e-20 9.15603e-20 1.92958e-31 2.10744e-12 7.72986e-08 1.13639e-17 1.03764e-19
235.984 8.20087e-20 8.20087e-20 1.57794e-31 1.92412e-12 3.09588e-07 9.20447e-18 8.49071e-20
248.097 7.3416e-20 7.3416e-20 1.29109e-31 1.7586e-12 -2.84222e-07 7.40731e-18 6.94005e-20
260.832 6.61175e-20 6.61175e-20 1.05645e-31 1.59783e-12 1.08859e-07 5.96334e-18 5.70297e-20
274.221 5.95495e-20 5.95495e-20 8.64249e-32 1.45131e-12 2.09912e-07 4.77614e-18 4.68359e-20
288.297 5.3571e-20 5.3571e-20 7.06925e-32 1.3196e-12 6.98569e-07 3.80203e-18 3.83909e-20
303.095 4.82069e-20 4.82069e-20 5.78627e-32 1.2003e-12 -1.31479e-07 3.01356e-18 3.14535e-20
