# 2.58886e-07 2 19 : grain size, compostion index, size index
# This grain was stochastically heated: Yes
# Heating and cooling timescale: 43042.3 10.9274
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 7.06129e-14 6.97251e-14 8.87788e-16 0.0125726 0.015058 0 0
0.0525665 8.17433e-14 8.0788e-14 9.55261e-16 0.0116861 0.0134085 0 0
0.0552647 9.43457e-14 9.33189e-14 1.02681e-15 0.0108835 0.0119321 0 0
0.0581015 1.07046e-13 1.05959e-13 1.08653e-15 0.0101502 0.010609 0 0
0.0610839 1.21381e-13 1.2022e-13 1.16087e-15 0.00956386 0.00933848 0 0
0.0642193 1.42135e-13 1.40832e-13 1.30306e-15 0.00916771 0.00807821 0 0
0.0675157 1.74623e-13 1.73072e-13 1.55088e-15 0.00888129 0.00680369 0 0
0.0709813 1.97417e-13 1.95781e-13 1.63628e-15 0.00828844 0.00568176 0 0
0.0746248 1.91629e-13 1.90166e-13 1.46267e-15 0.00763282 0.00487239 0 0
0.0784553 1.6588e-13 1.64725e-13 1.15474e-15 0.0069613 0.00433251 0 0
0.0824824 1.34066e-13 1.33247e-13 8.18862e-16 0.0061079 0.00402666 0 0
0.0867162 1.17036e-13 1.16405e-13 6.30833e-16 0.00539007 0.0038463 0 0
0.0911674 1.03385e-13 1.02855e-13 5.30136e-16 0.00512779 0.00371667 0 0
0.095847 8.16198e-14 8.11973e-14 4.22507e-16 0.00517652 0.00390243 0 0
0.100767 5.64081e-14 5.61196e-14 2.88482e-16 0.0051142 0.00455248 0 0
0.105939 3.70293e-14 3.68295e-14 1.99759e-16 0.00539462 0.00492278 0 0
0.111377 2.23965e-14 2.22748e-14 1.2178e-16 0.00543747 0.00563641 0 0
0.117094 1.69752e-14 1.68996e-14 7.56457e-17 0.00445624 0.00518858 0 7.36109e-316
0.123105 1.32162e-14 1.3167e-14 4.91712e-17 0.00372052 0.00445594 0 3.73171e-301
0.129424 1.10343e-14 1.10027e-14 3.15692e-17 0.00286101 0.00374841 0 3.79475e-287
0.136067 1.04098e-14 1.03893e-14 2.04244e-17 0.00196205 0.00317215 0 8.87941e-274
0.143051 1.07611e-14 1.07477e-14 1.34015e-17 0.00124537 0.00270663 0 5.00986e-261
0.150394 1.23816e-14 1.23725e-14 9.12089e-18 0.000736648 0.00231113 0 7.45497e-249
0.158114 1.49983e-14 1.49914e-14 6.88983e-18 0.000459374 0.00197964 0 2.96946e-237
0.16623 1.87555e-14 1.87492e-14 6.35491e-18 0.000338829 0.00170233 0 3.31961e-226
0.174762 2.45171e-14 2.45095e-14 7.64312e-18 0.000311746 0.00146416 0 1.1242e-215
0.183733 3.28796e-14 3.28687e-14 1.08972e-17 0.000331428 0.00124738 0 1.20273e-205
0.193164 4.56329e-14 4.56156e-14 1.7303e-17 0.000379178 0.00103823 0 4.34383e-196
0.203079 6.04302e-14 6.04037e-14 2.64637e-17 0.000437922 0.000832568 0 5.15847e-187
0.213503 6.55222e-14 6.54896e-14 3.26211e-17 0.000497864 0.000640276 0 1.8211e-178
