# 2.58365e-06 2 41 : grain size, compostion index, size index
# This grain was stochastically heated: No
# Heating and cooling timescale: 38.8939 11928.4
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 3.84305e-11 1.77988e-11 2.06318e-11 0.536859 0.744649 0 0
0.0525665 4.01433e-11 1.89075e-11 2.12358e-11 0.529 0.724008 0 0
0.0552647 4.19573e-11 2.01579e-11 2.17995e-11 0.519563 0.705705 0 0
0.0581015 4.34825e-11 2.13849e-11 2.20977e-11 0.508196 0.690351 0 0
0.0610839 4.49933e-11 2.23532e-11 2.26401e-11 0.503189 0.672897 0 0
0.0642193 4.77483e-11 2.35091e-11 2.42392e-11 0.507645 0.650207 0 0
0.0675157 5.22139e-11 2.56651e-11 2.65488e-11 0.508462 0.629836 0 0
0.0709813 5.66935e-11 2.85187e-11 2.81748e-11 0.496967 0.618036 0 0
0.0746248 5.96589e-11 3.07219e-11 2.89369e-11 0.48504 0.607428 0 0
0.0784553 6.09577e-11 3.1909e-11 2.90487e-11 0.476538 0.594485 0 0
0.0824824 6.1212e-11 3.25165e-11 2.86955e-11 0.468788 0.579881 0 0
0.0867162 6.22218e-11 3.3321e-11 2.89008e-11 0.46448 0.563488 0 0
0.0911674 6.39457e-11 3.41315e-11 2.98142e-11 0.466242 0.543642 0 0
0.095847 6.512e-11 3.44289e-11 3.06911e-11 0.4713 0.518871 0 0
0.100767 6.46702e-11 3.42204e-11 3.04498e-11 0.470848 0.49143 0 0
0.105939 6.53362e-11 3.34273e-11 3.1909e-11 0.488381 0.459458 0 0
0.111377 6.45318e-11 3.20465e-11 3.24853e-11 0.5034 0.443862 0 0
0.117094 6.14393e-11 3.09942e-11 3.04451e-11 0.495531 0.456358 0 0
0.123105 5.51573e-11 2.68348e-11 2.83225e-11 0.513485 0.439416 0 0
0.129424 4.60577e-11 2.25473e-11 2.35103e-11 0.510455 0.41258 0 0
0.136067 3.51328e-11 1.85082e-11 1.66246e-11 0.473192 0.3694 0 0
0.143051 2.68349e-11 1.55604e-11 1.12745e-11 0.420144 0.314741 0 0
0.150394 2.22828e-11 1.46058e-11 7.677e-12 0.344526 0.263631 0 0
0.158114 2.07432e-11 1.51805e-11 5.56265e-12 0.268168 0.223282 0 0
0.16623 2.13782e-11 1.66881e-11 4.69013e-12 0.219388 0.192776 0 0
0.174762 2.37794e-11 1.89421e-11 4.83727e-12 0.203423 0.168452 0 0
0.183733 2.75873e-11 2.19055e-11 5.68177e-12 0.205956 0.147126 0 0
0.193164 3.381e-11 2.6344e-11 7.46594e-12 0.220821 0.126999 0 0
0.203079 4.2964e-11 3.24816e-11 1.04823e-11 0.24398 0.105587 0 0
0.213503 5.3721e-11 3.89896e-11 1.47314e-11 0.27422 0.0823079 0 0
0.224463 6.08741e-11 4.25685e-11 1.83056e-11 0.300712 0.0618617 0 0
0.235984 5.75759e-11 3.98445e-11 1.77313e-11 0.307965 0.0473046 0 0
0.248097 4.66704e-11 3.30612e-11 1.36092e-11 0.291602 0.037401 0 0
0.260832 3.74207e-11 2.76496e-11 9.77103e-12 0.261113 0.0323628 0 0
0.274221 3.07665e-11 2.36806e-11 7.08588e-12 0.230312 0.032039 0 0
0.288297 2.60277e-11 2.08065e-11 5.22126e-12 0.200604 0.0379019 0 0
0.303095 2.22822e-11 1.83025e-11 3.97973e-12 0.178606 0.0426738 0 0
0.318653 1.90571e-11 1.59939e-11 3.0632e-12 0.160738 0.046122 0 0
0.335009 1.64202e-11 1.4037e-11 2.38318e-12 0.145137 0.0471505 0 0
0.352205 1.43353e-11 1.24574e-11 1.87795e-12 0.131002 0.0460466 0 0
0.370284 1.26417e-11 1.11474e-11 1.49424e-12 0.118199 0.0439408 0 0
0.389291 1.11844e-11 9.98498e-12 1.19945e-12 0.107243 0.0416071 0 0
0.409273 9.88987e-12 8.92351e-12 9.66365e-13 0.0977126 0.0391713 0 0
0.430281 8.72775e-12 7.94801e-12 7.79741e-13 0.0893404 0.0367498 0 0
0.452368 7.74675e-12 7.11745e-12 6.29301e-13 0.0812342 0.0340803 0 0
0.475588 6.89466e-12 6.38618e-12 5.0848e-13 0.0737498 0.0314415 0 0
0.5 6.1881e-12 5.77592e-12 4.12178e-13 0.0666082 0.0288382 0 0
0.525665 5.59219e-12 5.25754e-12 3.34644e-13 0.0598414 0.0263311 0 0
0.552647 5.0568e-12 4.78487e-12 2.71929e-13 0.0537749 0.0240284 0 0
0.581015 4.61974e-12 4.39755e-12 2.22192e-13 0.0480962 0.0218526 0 0
0.610839 4.22079e-12 4.03911e-12 1.81681e-13 0.0430443 0.0198744 0 0
0.642193 3.8548e-12 3.70621e-12 1.48586e-13 0.0385458 0.0180734 0 0
0.675157 3.52695e-12 3.40524e-12 1.21709e-13 0.0345081 0.0164379 0 0
0.709813 3.23296e-12 3.13306e-12 9.99004e-14 0.0309006 0.0149649 0 0
0.746248 2.96439e-12 2.88235e-12 8.20387e-14 0.0276748 0.0136465 0 0
0.784553 2.71606e-12 2.64869e-12 6.73676e-14 0.0248034 0.0124464 0 0
0.824824 2.48887e-12 2.43354e-12 5.53215e-14 0.0222276 0.0113683 0 0
0.867162 2.28062e-12 2.23516e-12 4.54575e-14 0.0199321 0.0103968 0 0
0.911674 2.08858e-12 2.05124e-12 3.73402e-14 0.0178783 0.00951678 1.39286e-302 0
0.95847 1.91314e-12 1.88248e-12 3.06525e-14 0.0160221 0.00872816 8.14672e-288 0
1.00767 1.7517e-12 1.72653e-12 2.51695e-14 0.0143686 0.00801076 8.90542e-274 0
1.05939 1.60604e-12 1.58537e-12 2.06621e-14 0.0128653 0.00735993 1.97828e-260 0
1.11377 1.47114e-12 1.45418e-12 1.69594e-14 0.0115281 0.00676609 9.63123e-248 0
1.17094 1.35192e-12 1.338e-12 1.39162e-14 0.0102937 0.0062108 1.11133e-235 0
1.23105 1.24316e-12 1.23173e-12 1.14262e-14 0.00919125 0.00570138 3.25278e-224 0
1.29424 1.14343e-12 1.13404e-12 9.38598e-15 0.00820863 0.00523135 2.58109e-213 0
1.36067 1.05198e-12 1.04428e-12 7.70647e-15 0.00732566 0.00480274 5.91827e-203 0
1.43051 9.6822e-13 9.61895e-13 6.32525e-15 0.00653287 0.00441187 4.16707e-193 0
1.50394 8.92589e-13 8.87395e-13 5.19404e-15 0.00581907 0.00405003 9.55662e-184 0
1.58114 8.23988e-13 8.19723e-13 4.26562e-15 0.0051768 0.00371185 7.53855e-175 0
1.6623 7.61022e-13 7.57518e-13 3.5038e-15 0.00460408 0.0033974 2.15318e-166 0
1.74762 7.02231e-13 6.99352e-13 2.8786e-15 0.00409922 0.00311378 2.33686e-158 0
1.83733 6.48245e-13 6.4588e-13 2.36488e-15 0.00364813 0.00285433 1.01155e-150 0
1.93164 5.98495e-13 5.96553e-13 1.94223e-15 0.00324518 0.00261584 1.82628e-143 0
