# 1.69707e-05 2 59 : grain size, compostion index, size index
# This grain was stochastically heated: No
# Heating and cooling timescale: 0.112132 537876
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 1.93179e-09 6.89949e-10 1.24184e-09 0.642844 0.854625 0 0
0.0525665 1.94862e-09 6.90963e-10 1.25766e-09 0.64541 0.842627 0 0
0.0552647 1.9664e-09 6.95549e-10 1.27085e-09 0.646284 0.832616 0 0
0.0581015 1.98245e-09 7.0397e-10 1.27848e-09 0.644898 0.826301 0 0
0.0610839 1.99856e-09 7.04536e-10 1.29402e-09 0.647478 0.817863 0 0
0.0642193 2.02352e-09 6.93654e-10 1.32986e-09 0.657204 0.800996 0 0
0.0675157 2.06017e-09 6.9141e-10 1.36876e-09 0.664392 0.78298 0 0
0.0709813 2.09965e-09 7.16525e-10 1.38313e-09 0.658741 0.776684 0 0
0.0746248 2.13337e-09 7.52154e-10 1.38122e-09 0.647434 0.777887 0 0
0.0784553 2.15864e-09 7.8688e-10 1.37176e-09 0.635475 0.781971 0 0
0.0824824 2.17478e-09 8.18111e-10 1.35667e-09 0.623819 0.786217 0 0
0.0867162 2.19016e-09 8.34632e-10 1.35553e-09 0.618918 0.78396 0 0
0.0911674 2.2103e-09 8.46256e-10 1.36404e-09 0.61713 0.778328 0 0
0.095847 2.2251e-09 8.61479e-10 1.36362e-09 0.612836 0.775302 0 0
0.100767 2.21992e-09 8.88787e-10 1.33113e-09 0.599631 0.782756 0 0
0.105939 2.2122e-09 9.13586e-10 1.29861e-09 0.587023 0.793386 0 0
0.111377 2.19023e-09 9.54726e-10 1.23551e-09 0.564098 0.815019 0 0
0.117094 2.19182e-09 1.0111e-09 1.18073e-09 0.538696 0.842586 0 0
0.123105 2.20057e-09 1.05454e-09 1.14603e-09 0.520787 0.861778 0 0
0.129424 2.2198e-09 1.09715e-09 1.12265e-09 0.505744 0.880032 0 0
0.136067 2.21377e-09 1.13007e-09 1.0837e-09 0.489527 0.888846 0 0
0.143051 2.22513e-09 1.1363e-09 1.08882e-09 0.489331 0.897191 0 0
0.150394 2.14704e-09 1.11924e-09 1.0278e-09 0.478704 0.903571 0 0
0.158114 2.06846e-09 1.0998e-09 9.68663e-10 0.4683 0.90476 0 0
0.16623 2.04665e-09 1.07679e-09 9.69855e-10 0.473874 0.890689 0 0
0.174762 2.0995e-09 1.05471e-09 1.04479e-09 0.497639 0.862282 0 0
0.183733 2.17403e-09 1.03337e-09 1.14066e-09 0.524677 0.82601 0 0
0.193164 2.27587e-09 1.02244e-09 1.25342e-09 0.550745 0.791709 0 0
0.203079 2.39777e-09 1.0229e-09 1.37488e-09 0.573398 0.767506 0 0
0.213503 2.51612e-09 1.03205e-09 1.48407e-09 0.589826 0.750618 0 0
0.224463 2.60409e-09 1.04049e-09 1.5636e-09 0.60044 0.736734 0 0
0.235984 2.62748e-09 1.02588e-09 1.6016e-09 0.609556 0.722279 0 0
0.248097 2.6047e-09 1.02016e-09 1.58454e-09 0.608338 0.70995 0 0
0.260832 2.56306e-09 1.0241e-09 1.53896e-09 0.600438 0.699618 0 0
0.274221 2.53627e-09 1.04026e-09 1.49601e-09 0.589846 0.693224 0 0
0.288297 2.52922e-09 1.07854e-09 1.45068e-09 0.573569 0.693269 0 0
0.303095 2.53055e-09 1.11059e-09 1.41996e-09 0.561127 0.690717 0 0
0.318653 2.53292e-09 1.13741e-09 1.39552e-09 0.550951 0.686013 0 0
0.335009 2.54211e-09 1.1631e-09 1.379e-09 0.542464 0.680731 0 0
0.352205 2.55977e-09 1.18968e-09 1.37009e-09 0.535238 0.67525 0 0
0.370284 2.58281e-09 1.21778e-09 1.36503e-09 0.528505 0.669253 0 0
0.389291 2.60384e-09 1.24398e-09 1.35985e-09 0.52225 0.660902 0 0
0.409273 2.61806e-09 1.26595e-09 1.35212e-09 0.516458 0.648814 0 0
0.430281 2.6256e-09 1.28182e-09 1.34378e-09 0.5118 0.631871 0 0
0.452368 2.64068e-09 1.2933e-09 1.34738e-09 0.51024 0.610209 0 0
0.475588 2.68232e-09 1.30501e-09 1.37731e-09 0.513476 0.586176 0 0
0.5 2.76067e-09 1.3166e-09 1.44407e-09 0.523086 0.567176 0 0
0.525665 2.86362e-09 1.33291e-09 1.53071e-09 0.534537 0.557978 0 0
0.552647 2.96899e-09 1.35599e-09 1.613e-09 0.543283 0.552976 0 0
0.581015 3.04808e-09 1.3798e-09 1.66829e-09 0.547324 0.542328 0 0
0.610839 3.06383e-09 1.35135e-09 1.71248e-09 0.558933 0.512356 0 0
0.642193 3.0117e-09 1.2554e-09 1.7563e-09 0.583158 0.46781 0 0
0.675157 2.98795e-09 1.1721e-09 1.81584e-09 0.607722 0.42465 0 0
0.709813 3.02555e-09 1.13503e-09 1.89053e-09 0.624853 0.387727 0 0
0.746248 3.1078e-09 1.13568e-09 1.97212e-09 0.634571 0.358648 0 0
0.784553 3.20232e-09 1.15692e-09 2.04539e-09 0.638723 0.339497 0 0
0.824824 3.215e-09 1.17421e-09 2.04079e-09 0.634772 0.328359 0 0
0.867162 3.06829e-09 1.15239e-09 1.91591e-09 0.62442 0.314881 0 0
0.911674 2.85097e-09 1.10613e-09 1.74484e-09 0.612016 0.289478 0 0
0.95847 2.67223e-09 1.07265e-09 1.59958e-09 0.598594 0.254394 0 0
1.00767 2.53785e-09 1.05359e-09 1.48426e-09 0.584848 0.217516 2.19579e-297 0
1.05939 2.42393e-09 1.04389e-09 1.38004e-09 0.56934 0.18428 1.02303e-282 0
1.11377 2.30576e-09 1.03204e-09 1.27372e-09 0.552407 0.155544 9.02739e-269 0
1.17094 2.17439e-09 1.01471e-09 1.15968e-09 0.533335 0.131614 1.63082e-255 0
1.23105 2.02531e-09 9.87455e-10 1.03786e-09 0.512444 0.111704 6.48471e-243 0
1.29424 1.86196e-09 9.49738e-10 9.12221e-10 0.489925 0.0950337 6.09851e-231 0
1.36067 1.69095e-09 9.03576e-10 7.87371e-10 0.465639 0.0813575 1.4558e-219 0
1.43051 1.51955e-09 8.5117e-10 6.68384e-10 0.439855 0.0703581 9.43633e-209 0
1.50394 1.35445e-09 7.94884e-10 5.59568e-10 0.413132 0.0617572 1.77136e-198 0
1.58114 1.1999e-09 7.36656e-10 4.63247e-10 0.38607 0.0549872 1.02356e-188 0
1.6623 1.05845e-09 6.78176e-10 3.80274e-10 0.359274 0.0495635 1.92982e-179 0
1.74762 9.31492e-10 6.21185e-10 3.10307e-10 0.333129 0.0453577 1.25547e-170 0
1.83733 8.18705e-10 5.66611e-10 2.52094e-10 0.307918 0.0422079 2.97022e-162 0
1.93164 7.19053e-10 5.14911e-10 2.04142e-10 0.283904 0.03977 2.68574e-154 0
2.03079 6.31424e-10 4.66445e-10 1.64979e-10 0.261281 0.0378004 9.73121e-147 0
2.13503 5.54902e-10 4.21556e-10 1.33346e-10 0.240306 0.0360829 1.4785e-139 0
2.24463 4.88001e-10 3.80286e-10 1.07715e-10 0.220727 0.0345645 9.82985e-133 0
2.35984 4.29503e-10 3.4251e-10 8.69927e-11 0.202543 0.0332243 2.97836e-126 0
2.48097 3.78423e-10 3.08138e-10 7.02848e-11 0.185731 0.0318948 4.27514e-120 0
2.60832 3.34046e-10 2.77158e-10 5.68877e-11 0.170299 0.0303825 3.01763e-114 0
2.74221 2.95295e-10 2.49224e-10 4.60704e-11 0.156015 0.0288519 1.08432e-108 0
2.88297 2.6137e-10 2.24056e-10 3.73143e-11 0.142764 0.0274668 2.04998e-103 0
3.03095 2.31743e-10 2.01484e-10 3.02593e-11 0.130573 0.0260778 2.10506e-98 0
3.18653 2.05824e-10 1.81258e-10 2.45662e-11 0.119355 0.0246349 1.20978e-93 0
3.35009 1.83077e-10 1.63122e-10 1.99554e-11 0.109 0.0231965 4.00311e-89 0
3.52205 1.63075e-10 1.46859e-10 1.62163e-11 0.0994405 0.0218145 7.83506e-85 0
3.70284 1.45513e-10 1.32318e-10 1.31954e-11 0.090682 0.020468 9.30985e-81 0
3.89291 1.30022e-10 1.19281e-10 1.07415e-11 0.0826125 0.0191556 6.88038e-77 0
4.09273 1.16378e-10 1.07629e-10 8.74899e-12 0.0751773 0.0177728 3.23815e-73 0
4.30281 1.04307e-10 9.71777e-11 7.12959e-12 0.0683518 0.0164698 9.91871e-70 0
4.52368 9.3627e-11 8.78115e-11 5.81554e-12 0.0621139 0.0152361 2.01969e-66 0
4.75588 8.41391e-11 7.93946e-11 4.74446e-12 0.0563883 0.0140616 2.78844e-63 0
5 7.57277e-11 7.18562e-11 3.87149e-12 0.0511239 0.012862 2.66146e-60 0
5.25665 6.82328e-11 6.50713e-11 3.16153e-12 0.0463344 0.0117359 1.78746e-57 0
5.52648 6.15337e-11 5.89509e-11 2.58274e-12 0.0419729 0.0107127 8.59127e-55 0
5.81015 5.55428e-11 5.34334e-11 2.10937e-12 0.0379774 0.0097672 3.00461e-52 0
6.10839 5.0191e-11 4.84681e-11 1.72291e-12 0.034327 0.00885381 7.76656e-50 0
