# 6.6484e-08 2 6 : grain size, compostion index, size index
# This grain was stochastically heated: Yes
# Heating and cooling timescale: 2.55064e+06 0.859697
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 1.24671e-15 1.24643e-15 2.796e-19 0.00022427 0.000966917 0 2.16274e-115
0.0525665 1.44387e-15 1.44357e-15 2.99811e-19 0.000207644 0.00086128 0 1.24811e-110
0.0552647 1.66622e-15 1.66589e-15 3.2121e-19 0.000192779 0.000766923 0 4.20705e-106
0.0581015 1.89074e-15 1.8904e-15 3.38866e-19 0.000179224 0.000682533 0 8.39175e-102
0.0610839 2.14336e-15 2.143e-15 3.60322e-19 0.000168111 0.000601104 0 1.03187e-97
0.0642193 2.50328e-15 2.50288e-15 4.01489e-19 0.000160385 0.00051989 0 8.26083e-94
0.0675157 3.04946e-15 3.04899e-15 4.71886e-19 0.000154744 0.000438046 0 4.45903e-90
0.0709813 3.38485e-15 3.38436e-15 4.87259e-19 0.000143953 0.000367189 0 1.44855e-86
0.0746248 3.21887e-15 3.21844e-15 4.25593e-19 0.000132218 0.00031668 0 2.71816e-83
0.0784553 2.74575e-15 2.74542e-15 3.30201e-19 0.000120259 0.000283081 0 3.14534e-80
0.0824824 2.20681e-15 2.20657e-15 2.32291e-19 0.000105261 0.0002646 0 2.40188e-77
0.0867162 1.92798e-15 1.9278e-15 1.79005e-19 9.28456e-05 0.000254055 0 1.42112e-74
0.0911674 1.69848e-15 1.69833e-15 1.50169e-19 8.84133e-05 0.000246679 0 6.14664e-72
0.095847 1.33289e-15 1.33277e-15 1.19164e-19 8.94028e-05 0.000260069 0 1.74419e-69
0.100767 9.1876e-16 9.18679e-16 8.1313e-20 8.8503e-05 0.000303339 0 3.25133e-67
0.105939 6.02401e-16 6.02345e-16 5.63387e-20 9.35236e-05 0.000327272 0 4.37374e-65
0.111377 3.64597e-16 3.64563e-16 3.44611e-20 9.45184e-05 0.000374565 0 4.17735e-63
0.117094 2.79297e-16 2.79276e-16 2.14854e-20 7.69265e-05 0.000343053 0 3.93516e-61
0.123105 2.18985e-16 2.18971e-16 1.39995e-20 6.39292e-05 0.000294322 0 2.99339e-59
0.129424 1.83855e-16 1.83846e-16 9.0055e-21 4.89816e-05 0.000247533 0 1.94637e-57
0.136067 1.74229e-16 1.74223e-16 5.83443e-21 3.34872e-05 0.000209435 0 1.15313e-55
0.143051 1.80779e-16 1.80775e-16 3.8322e-21 2.11982e-05 0.000178655 0 6.10272e-54
0.150394 2.08631e-16 2.08629e-16 2.6107e-21 1.25135e-05 0.000152507 0 2.96041e-52
0.158114 2.53266e-16 2.53264e-16 1.97436e-21 7.79561e-06 0.000130598 0 1.25687e-50
0.16623 3.17251e-16 3.17249e-16 1.82368e-21 5.74838e-06 0.000112271 0 4.62331e-49
0.174762 4.15317e-16 4.15315e-16 2.19723e-21 5.2905e-06 9.65358e-05 0 1.50542e-47
0.183733 5.57593e-16 5.5759e-16 3.13743e-21 5.62673e-06 8.22197e-05 0 4.29462e-46
0.193164 7.74011e-16 7.74006e-16 4.98357e-21 6.43863e-06 6.8419e-05 0 1.09209e-44
0.203079 1.02294e-15 1.02294e-15 7.60592e-21 7.43533e-06 5.48656e-05 0 2.30777e-43
0.213503 1.10445e-15 1.10444e-15 9.33344e-21 8.45072e-06 4.2197e-05 0 3.55907e-42
0.224463 8.4829e-16 8.48283e-16 7.75393e-21 9.14066e-06 3.1242e-05 0 3.67597e-41
