# 4.82889e-05 2 69 : grain size, compostion index, size index
# This grain was stochastically heated: No
# Heating and cooling timescale: 0.0114462 1.99345e+06
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 1.52982e-08 5.35712e-09 9.94111e-09 0.649821 0.858353 0 0
0.0525665 1.53567e-08 5.30742e-09 1.00492e-08 0.65439 0.846443 0 0
0.0552647 1.5418e-08 5.28191e-09 1.01361e-08 0.65742 0.83656 0 0
0.0581015 1.54748e-08 5.29039e-09 1.01844e-08 0.658129 0.830484 0 0
0.0610839 1.55315e-08 5.24669e-09 1.02848e-08 0.66219 0.8222 0 0
0.0642193 1.56125e-08 5.09908e-09 1.05134e-08 0.673398 0.805062 0 0
0.0675157 1.57261e-08 4.9784e-09 1.07477e-08 0.68343 0.786449 0 0
0.0709813 1.585e-08 5.04476e-09 1.08052e-08 0.681718 0.779917 0 0
0.0746248 1.59634e-08 5.20515e-09 1.07582e-08 0.673932 0.7813 0 0
0.0784553 1.60606e-08 5.38821e-09 1.06724e-08 0.664509 0.785944 0 0
0.0824824 1.61419e-08 5.57968e-09 1.05623e-08 0.654337 0.791303 0 0
0.0867162 1.62171e-08 5.66925e-09 1.05478e-08 0.650415 0.790041 0 0
0.0911674 1.6305e-08 5.7144e-09 1.05906e-08 0.649531 0.785081 0 0
0.095847 1.63805e-08 5.80591e-09 1.05746e-08 0.645559 0.78311 0 0
0.100767 1.63895e-08 6.02824e-09 1.03613e-08 0.632189 0.792908 0 0
0.105939 1.63766e-08 6.22928e-09 1.01473e-08 0.619622 0.805789 0 0
0.111377 1.62877e-08 6.54602e-09 9.74163e-09 0.598099 0.830458 0 0
0.117094 1.62724e-08 6.90538e-09 9.36702e-09 0.575638 0.860203 0 0
0.123105 1.62962e-08 7.1643e-09 9.13193e-09 0.560371 0.881147 0 0
0.129424 1.63339e-08 7.40328e-09 8.93065e-09 0.546754 0.899704 0 0
0.136067 1.63622e-08 7.60692e-09 8.75525e-09 0.535091 0.914721 0 0
0.143051 1.63464e-08 7.75889e-09 8.58748e-09 0.525345 0.926316 0 0
0.150394 1.62348e-08 7.80531e-09 8.4295e-09 0.519224 0.933456 0 0
0.158114 1.60832e-08 7.7181e-09 8.36512e-09 0.520115 0.93348 0 0
