# 0.00592825 3 115 : grain size, compostion index, size index
# This grain was stochastically heated: No
# Heating and cooling timescale: 1.04597e-06 inf
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 0.000221361 7.82749e-05 0.000143086 0.646392 0.853825 0 0
0.0525665 0.000221383 7.70009e-05 0.000144382 0.652183 0.841322 0 0
0.0552647 0.000221407 7.60364e-05 0.000145371 0.656577 0.83094 0 0
0.0581015 0.000221426 7.55938e-05 0.000145832 0.658604 0.824569 0 0
0.0610839 0.000221437 7.45101e-05 0.000146927 0.663516 0.815791 0 0
0.0642193 0.000221461 7.18323e-05 0.000149628 0.675643 0.797482 0 0
0.0675157 0.000221488 6.91698e-05 0.000152318 0.687704 0.777483 0 0
0.0709813 0.000221517 6.88955e-05 0.000152622 0.688984 0.770354 0 0
0.0746248 0.000221553 6.99415e-05 0.000151612 0.684313 0.771706 0 0
0.0784553 0.000221591 7.14046e-05 0.000150187 0.677765 0.776615 0 0
0.0824824 0.00022163 7.30735e-05 0.000148556 0.67029 0.782502 0 0
0.0867162 0.000221666 7.34618e-05 0.000148204 0.668593 0.781374 0 0
0.0911674 0.000221706 7.31176e-05 0.000148588 0.670205 0.776217 0 0
0.095847 0.000221746 7.34221e-05 0.000148324 0.66889 0.774467 0 0
0.100767 0.00022178 7.60012e-05 0.000145779 0.657313 0.785951 0 0
0.105939 0.00022181 7.85976e-05 0.000143212 0.645653 0.800628 0 0
0.111377 0.00022183 8.33374e-05 0.000138492 0.624318 0.828689 0 0
0.117094 0.000221846 8.82345e-05 0.000133612 0.602272 0.861063 0 0
0.123105 0.000221871 9.13915e-05 0.00013048 0.588088 0.883727 0 0
0.129424 0.000221901 9.40685e-05 0.000127833 0.576079 0.903725 0 0
0.136067 0.000221931 9.62051e-05 0.000125726 0.566509 0.91995 0 0
0.143051 0.000221959 9.78624e-05 0.000124097 0.559097 0.932611 0 0
0.150394 0.00022198 9.8807e-05 0.000123173 0.554883 0.940773 0 0
0.158114 0.000222 9.84824e-05 0.000123518 0.556386 0.941659 0 0
0.16623 0.000222034 9.61644e-05 0.00012587 0.566894 0.930831 0 0
0.174762 0.00022209 9.15633e-05 0.000130526 0.587719 0.904264 0 0
0.183733 0.000222153 8.57524e-05 0.000136401 0.613995 0.868376 0 0
0.193164 0.000222223 7.97082e-05 0.000142515 0.641315 0.831439 0 0
0.203079 0.000222295 7.44513e-05 0.000147844 0.665079 0.800908 0 0
0.213503 0.000222373 6.9936e-05 0.000152437 0.685501 0.776056 0 0
0.224463 0.000222462 6.69199e-05 0.000155542 0.699185 0.758852 0 0
0.235984 0.000222561 6.52009e-05 0.00015736 0.707043 0.747252 0 0
0.248097 0.000222665 6.54701e-05 0.000157195 0.705971 0.743465 0 0
0.260832 0.00022276 6.70266e-05 0.000155733 0.699108 0.745612 0 0
0.274221 0.000222841 6.89255e-05 0.000153916 0.690697 0.749847 0 0
0.288297 0.000222897 7.14582e-05 0.000151438 0.679411 0.759351 0 0
0.303095 0.000222951 7.31951e-05 0.000149756 0.671699 0.766585 0 0
0.318653 0.000223008 7.46094e-05 0.000148398 0.66544 0.772943 0 0
0.335009 0.000223068 7.57282e-05 0.00014734 0.660515 0.778401 0 0
0.352205 0.000223135 7.64931e-05 0.000146642 0.657189 0.782245 0 0
0.370284 0.000223208 7.69812e-05 0.000146226 0.655114 0.784611 0 0
0.389291 0.000223286 7.72285e-05 0.000146057 0.654127 0.78551 0 0
0.409273 0.000223366 7.74049e-05 0.000145961 0.653462 0.786041 0 0
0.430281 0.000223449 7.7549e-05 0.0001459 0.652946 0.786411 0 0
0.452368 0.000223536 7.76946e-05 0.000145841 0.652429 0.786966 0 0
0.475588 0.000223626 7.78213e-05 0.000145805 0.652003 0.787465 0 0
0.5 0.000223721 7.78955e-05 0.000145825 0.651818 0.787699 0 0
0.525665 0.000223821 7.7935e-05 0.000145886 0.651797 0.787767 0 0
0.552647 0.000223924 7.79557e-05 0.000145968 0.651865 0.787716 0 0
0.581015 0.000224034 7.7841e-05 0.000146193 0.652549 0.786857 0 0
0.610839 0.00022415 7.772e-05 0.00014643 0.653268 0.785959 0 0
0.642193 0.000224269 7.75923e-05 0.000146677 0.654022 0.78502 0 0
0.675157 0.000224393 7.74123e-05 0.000146981 0.655015 0.783761 0 0
0.709813 0.000224524 7.71844e-05 0.00014734 0.656231 0.782203 0 0
0.746248 0.000224659 7.69337e-05 0.000147725 0.657554 0.78049 0 0
0.784553 0.0002248 7.66747e-05 0.000148125 0.65892 0.778736 0 0
0.824824 0.000224946 7.64099e-05 0.000148536 0.660318 0.776933 0 0
0.867162 0.000225095 7.61386e-05 0.000148957 0.661749 0.775084 0 0
0.911674 0.000225251 7.58667e-05 0.000149384 0.66319 0.773229 0 0
0.95847 0.000225411 7.56077e-05 0.000149804 0.664579 0.771426 0 0
1.00767 0.000225576 7.5347e-05 0.000150229 0.66598 0.769614 0 0
1.05939 0.000225745 7.51092e-05 0.000150636 0.667283 0.767912 0 0
1.11377 0.000225919 7.4864e-05 0.000151055 0.668625 0.766173 0 0
1.17094 0.000226099 7.46383e-05 0.000151461 0.669887 0.764539 0 0
1.23105 0.000226284 7.44138e-05 0.00015187 0.671148 0.762911 0 0
1.29424 0.000226477 7.4165e-05 0.000152312 0.672527 0.761154 0 0
1.36067 0.000226674 7.3926e-05 0.000152748 0.673866 0.759445 0 0
1.43051 0.000226876 7.37028e-05 0.000153173 0.675141 0.757817 0 0
1.50394 0.000227083 7.34897e-05 0.000153594 0.676376 0.756238 0 0
1.58114 0.000227298 7.32673e-05 0.000154031 0.67766 0.754614 0 0
1.6623 0.000227522 7.30238e-05 0.000154498 0.679047 0.75289 0 0
1.74762 0.000227749 7.27768e-05 0.000154972 0.680452 0.751145 0 0
1.83733 0.000227983 7.25401e-05 0.000155442 0.681817 0.749455 0 0
1.93164 0.000228222 7.23044e-05 0.000155917 0.683184 0.747774 0 0
2.03079 0.000228468 7.20679e-05 0.0001564 0.68456 0.746096 0 0
2.13503 0.000228721 7.1817e-05 0.000156904 0.686006 0.744343 0 0
2.24463 0.000228978 7.15697e-05 0.000157408 0.687438 0.742625 0 0
2.35984 0.000229241 7.1331e-05 0.00015791 0.688839 0.740946 0 0
2.48097 0.000229511 7.10961e-05 0.000158415 0.690229 0.7393 0 0
2.60832 0.000229788 7.08298e-05 0.000158958 0.69176 0.737515 0 0
2.74221 0.00023007 7.05542e-05 0.000159516 0.693336 0.735699 0 0
2.88297 0.000230355 7.03016e-05 0.000160053 0.694812 0.734001 0 0
3.03095 0.000230646 7.00437e-05 0.000160602 0.696315 0.732299 0 0
3.18653 0.00023094 6.97784e-05 0.000161161 0.69785 0.730572 0 0
3.35009 0.000231239 6.95105e-05 0.000161729 0.6994 0.728848 0 0
3.52205 0.000231535 6.92473e-05 0.000162288 0.700921 0.727152 0 0
3.70284 0.000231848 6.89863e-05 0.000162862 0.702451 0.7255 0 0
3.89291 0.000232162 6.87336e-05 0.000163428 0.703941 0.723894 0 0
4.09273 0.00023249 6.8461e-05 0.000164029 0.705531 0.722239 0 0
4.30281 0.000232832 6.81853e-05 0.000164646 0.707148 0.720605 3.3354e-286 0
4.52368 0.000233119 6.79071e-05 0.000165212 0.708702 0.718927 5.35493e-272 0
4.75588 0.00023347 6.76274e-05 0.000165843 0.710338 0.717317 1.71935e-258 0
5 0.000233747 6.73434e-05 0.000166404 0.711897 0.71565 1.19429e-245 0
5.25665 0.000234178 6.70286e-05 0.00016715 0.713771 0.714034 1.93337e-233 0
5.52648 0.00023443 6.67076e-05 0.000167723 0.715448 0.712259 7.83144e-222 0
5.81015 0.000234745 6.64008e-05 0.000168344 0.717137 0.710626 8.5001e-211 0
6.10839 0.000235208 6.60938e-05 0.000169114 0.718999 0.709141 2.63446e-200 0
6.42193 0.000235556 6.58054e-05 0.000169751 0.720638 0.707638 2.4806e-190 0
6.75157 0.000235871 6.54967e-05 0.000170375 0.72232 0.706072 7.51245e-181 0
7.09813 0.000236204 6.51964e-05 0.000171007 0.723982 0.704556 7.74211e-172 0
7.46248 0.000236505 6.4916e-05 0.000171589 0.72552 0.70311 2.86088e-163 0
7.84553 0.000236873 6.46391e-05 0.000172234 0.727115 0.701749 3.98605e-155 0
8.24824 0.000237294 6.4336e-05 0.000172958 0.728876 0.700363 2.19424e-147 0
8.67162 0.00023775 6.40538e-05 0.000173696 0.730583 0.699149 4.9992e-140 0
9.11674 0.000238114 6.37934e-05 0.000174321 0.732089 0.697912 4.91989e-133 0
9.5847 0.000238357 6.35716e-05 0.000174786 0.733293 0.696738 2.18034e-126 0
10.0767 0.000238546 6.3364e-05 0.000175182 0.734374 0.695595 4.52072e-120 0
10.5939 0.000238877 6.31578e-05 0.00017572 0.735606 0.694615 4.55191e-114 0
11.1377 0.000239376 6.3002e-05 0.000176374 0.736807 0.694116 2.30695e-108 0
11.7094 0.000239749 6.24854e-05 0.000177263 0.739371 0.691204 6.04564e-103 0
12.3105 0.000240084 6.24385e-05 0.000177645 0.73993 0.69137 8.57279e-98 0
12.9424 0.000240587 6.21621e-05 0.000178425 0.741623 0.690497 6.70348e-93 0
13.6067 0.000240942 6.18942e-05 0.000179048 0.743116 0.689551 2.98722e-88 0
14.3051 0.000241253 6.1656e-05 0.000179597 0.744435 0.688667 7.7985e-84 0
15.0394 0.000241676 6.14377e-05 0.000180238 0.745785 0.687932 1.22432e-79 0
15.8114 0.000242023 6.12472e-05 0.000180776 0.746937 0.687239 1.18494e-75 0
16.623 0.000242394 6.10347e-05 0.000181359 0.7482 0.686558 7.23422e-72 0
17.4762 0.000242736 6.0799e-05 0.000181937 0.749526 0.685848 2.84887e-68 0
18.3733 0.000243039 6.05487e-05 0.000182491 0.750869 0.685136 7.39523e-65 0
19.3164 0.000243293 6.02181e-05 0.000183074 0.752487 0.684207 1.28978e-61 0
20.3079 0.000243415 5.96692e-05 0.000183745 0.754866 0.682717 1.53753e-58 0
21.3503 0.000243403 5.90214e-05 0.000184381 0.757516 0.680777 1.27833e-55 0
22.4463 0.000243304 5.82029e-05 0.000185101 0.760782 0.678027 7.53474e-53 0
23.5984 0.000243232 5.71225e-05 0.00018611 0.765153 0.67389 3.19538e-50 0
24.8097 0.000243358 5.56604e-05 0.000187697 0.771281 0.667677 9.8832e-48 0
26.0832 0.000243855 5.40281e-05 0.000189827 0.778442 0.65928 2.27056e-45 0
27.4221 0.000244672 5.23305e-05 0.000192342 0.78612 0.649643 3.93763e-43 0
28.8297 0.00024587 5.07511e-05 0.000195119 0.793586 0.639136 5.24273e-41 0
30.3095 0.000247297 4.92506e-05 0.000198047 0.800844 0.628591 5.42632e-39 0
31.8653 0.00024889 4.80365e-05 0.000200853 0.806997 0.618988 4.43941e-37 0
33.5009 0.000250588 4.68465e-05 0.000203742 0.813054 0.609705 2.88964e-35 0
35.2206 0.000252236 4.60268e-05 0.000206209 0.817525 0.60223 1.52485e-33 0
37.0284 0.000253837 4.51465e-05 0.000208691 0.822144 0.594985 6.53279e-32 0
38.9291 0.000255256 4.43938e-05 0.000210862 0.826081 0.588839 2.30503e-30 0
40.9273 0.000256453 4.35677e-05 0.000212885 0.830114 0.582909 6.7323e-29 0
43.0282 0.000257417 4.28204e-05 0.000214596 0.833653 0.577693 1.64836e-27 0
45.2368 0.000258126 4.19672e-05 0.000216159 0.837416 0.572338 3.39794e-26 0
47.5588 0.000258741 4.14043e-05 0.000217336 0.839978 0.567866 6.00305e-25 0
50 0.000259081 4.06639e-05 0.000218417 0.843046 0.562957 9.05855e-24 0
52.5665 0.000259519 4.02006e-05 0.000219318 0.845096 0.558536 1.18955e-22 0
55.2648 0.000259753 3.96938e-05 0.000220059 0.847186 0.554236 1.35834e-21 0
58.1015 0.000260021 3.93422e-05 0.000220679 0.848696 0.549732 1.36482e-20 0
61.0839 0.000260265 3.89844e-05 0.000221281 0.850213 0.545098 1.20951e-19 0
64.2193 0.000260512 3.86579e-05 0.000221854 0.851608 0.54084 9.52149e-19 0
67.5157 0.000260755 3.85186e-05 0.000222236 0.85228 0.53608 6.72421e-18 0
70.9813 0.000260952 3.83182e-05 0.000222634 0.85316 0.5306 4.25652e-17 0
74.6248 0.000261391 3.81733e-05 0.000223218 0.853961 0.525926 2.4352e-16 0
78.4553 0.000261837 3.82601e-05 0.000223577 0.853878 0.521408 1.27141e-15 0
82.4824 0.000261997 3.83911e-05 0.000223606 0.853467 0.51517 6.05652e-15 0
86.7162 0.00026239 3.84746e-05 0.000223915 0.853368 0.508283 2.6381e-14 0
91.1674 0.000263341 3.87178e-05 0.000224624 0.852975 0.502919 1.06094e-13 0
95.847 0.000264249 3.92017e-05 0.000225047 0.851649 0.498299 3.96333e-13 0
100.767 0.000264545 3.97548e-05 0.00022479 0.849724 0.491532 1.37447e-12 0
105.939 0.000264833 4.03434e-05 0.000224489 0.847665 0.482177 4.43736e-12 0
111.377 0.000265966 4.10938e-05 0.000224872 0.845493 0.472782 1.34245e-11 0
117.094 0.000268108 4.21435e-05 0.000225965 0.842812 0.465968 3.83023e-11 0
123.105 0.000270381 4.33293e-05 0.000227052 0.839747 0.46111 1.02954e-10 0
129.424 0.000271643 4.37824e-05 0.00022786 0.838824 0.454151 2.56358e-10 0
136.067 0.000271585 4.31534e-05 0.000228432 0.841106 0.441516 5.88607e-10 0
143.051 0.0002705 4.05817e-05 0.000229918 0.849975 0.420873 1.22224e-09 0
150.394 0.000270187 3.75016e-05 0.000232685 0.861201 0.396936 2.37023e-09 0
158.114 0.000271102 3.48578e-05 0.000236244 0.871422 0.375012 4.40484e-09 0
166.23 0.000272876 3.27507e-05 0.000240125 0.879979 0.358129 7.90219e-09 0
174.763 0.000274064 3.10886e-05 0.000242975 0.886565 0.345652 1.37087e-08 0
183.733 0.000273596 3.01646e-05 0.000243431 0.889748 0.334573 2.3317e-08 0
193.164 0.000270899 2.92293e-05 0.00024167 0.892103 0.319744 3.80682e-08 0
203.079 0.000266623 2.82545e-05 0.000238368 0.894028 0.297002 5.97085e-08 0
213.503 0.000262244 2.73586e-05 0.000234886 0.895675 0.264182 9.05047e-08 0
224.463 0.000259089 2.6392e-05 0.000232697 0.898135 0.221761 1.3209e-07 0
235.984 0.000258142 2.54995e-05 0.000232642 0.901219 0.172987 1.86924e-07 0
248.097 0.000259693 2.47965e-05 0.000234896 0.904516 0.122251 2.58146e-07 0
260.832 0.000263376 2.44873e-05 0.000238888 0.907025 0.0736213 3.51568e-07 0
274.221 0.000268195 2.44204e-05 0.000243775 0.908946 0.0291049 4.70211e-07 0
288.297 0.000272989 2.45234e-05 0.000248466 0.910167 -0.0104373 6.16692e-07 0
303.095 0.000276462 2.47487e-05 0.000251713 0.91048 -0.0449141 7.92544e-07 0
318.653 0.00027743 2.50719e-05 0.000252358 0.909628 -0.0748885 9.98192e-07 0
335.009 0.000274733 2.53054e-05 0.000249428 0.907891 -0.101175 1.22429e-06 0
352.206 0.000267563 2.53566e-05 0.000242207 0.905232 -0.124382 1.45874e-06 0
370.284 0.000255725 2.52291e-05 0.000230496 0.901343 -0.144954 1.69062e-06 0
389.291 0.000239525 2.48142e-05 0.000214711 0.896403 -0.163475 1.89926e-06 0
409.273 0.000219817 2.40999e-05 0.000195717 0.890364 -0.180296 2.06799e-06 0
430.282 0.000197908 2.31802e-05 0.000174728 0.882874 -0.195539 2.19085e-06 0
452.368 0.000175138 2.20725e-05 0.000153065 0.873971 -0.209503 2.25949e-06 0
475.588 0.000152713 2.0838e-05 0.000131875 0.863548 -0.222362 2.2738e-06 0
500 0.000131586 1.95511e-05 0.000112035 0.85142 -0.234219 2.2399e-06 0
525.665 0.000112501 1.8348e-05 9.41529e-05 0.836908 -0.244965 2.17559e-06 0
552.648 9.56013e-05 1.71869e-05 7.84144e-05 0.820223 -0.254872 2.08072e-06 0
581.015 8.09442e-05 1.60944e-05 6.48498e-05 0.801167 -0.263998 1.96391e-06 0
610.838 6.84527e-05 1.50854e-05 5.33673e-05 0.779623 -0.272381 1.83293e-06 0
642.193 5.79304e-05 1.41644e-05 4.37661e-05 0.755494 -0.280068 1.69403e-06 0
675.157 4.91165e-05 1.33275e-05 3.5789e-05 0.728655 -0.287114 1.55194e-06 0
709.813 4.179e-05 1.25843e-05 2.92057e-05 0.698868 -0.293494 1.41219e-06 0
746.247 3.57673e-05 1.19495e-05 2.38178e-05 0.66591 -0.299133 1.27978e-06 0
784.553 3.07787e-05 1.13716e-05 1.94071e-05 0.630536 -0.304239 1.15173e-06 0
824.824 2.6645e-05 1.08432e-05 1.58018e-05 0.593048 -0.308852 1.02965e-06 0
867.162 2.32199e-05 1.03578e-05 1.28621e-05 0.553926 -0.313005 9.14683e-07 0
911.674 2.03853e-05 9.91008e-06 1.04752e-05 0.513861 -0.316722 8.07674e-07 0
958.471 1.80233e-05 9.49383e-06 8.52947e-06 0.473247 -0.320047 7.08979e-07 0
1007.67 1.60529e-05 9.10867e-06 6.94424e-06 0.432585 -0.322981 6.19081e-07 0
1059.39 1.44239e-05 8.76792e-06 5.65599e-06 0.392126 -0.325414 5.38931e-07 0
1113.77 1.30544e-05 8.44558e-06 4.6088e-06 0.353047 -0.327532 4.66683e-07 0
1170.94 1.18941e-05 8.13887e-06 3.75525e-06 0.315723 -0.329364 4.02053e-07 0
1231.05 1.09109e-05 7.85112e-06 3.05975e-06 0.280432 -0.330884 3.44904e-07 0
1294.24 1.008e-05 7.58498e-06 2.495e-06 0.24752 -0.332058 2.9487e-07 0
1360.67 9.36392e-06 7.32925e-06 2.03467e-06 0.217289 -0.332998 2.5098e-07 0
1430.51 8.74129e-06 7.08207e-06 1.65922e-06 0.189814 -0.333733 2.12696e-07 0
1503.94 8.19688e-06 6.84365e-06 1.35323e-06 0.165091 -0.33427 1.79534e-07 0
1581.14 7.73002e-06 6.62561e-06 1.10442e-06 0.142874 -0.33445 1.51247e-07 0
1662.3 7.31439e-06 6.41313e-06 9.0126e-07 0.123217 -0.334465 1.26936e-07 0
1747.63 6.9411e-06 6.20571e-06 7.35395e-07 0.105948 -0.334331 1.06146e-07 0
1837.33 6.6035e-06 6.00318e-06 6.00317e-07 0.090909 -0.33406 8.84561e-08 0
1931.64 6.29549e-06 5.80526e-06 4.90236e-07 0.077871 -0.333665 7.34722e-08 0
2030.79 6.02558e-06 5.62535e-06 4.00221e-07 0.0664204 -0.332883 6.09826e-08 0
2135.03 5.80515e-06 5.47858e-06 3.26565e-07 0.0562544 -0.331319 5.07401e-08 0
2244.63 5.59826e-06 5.33161e-06 2.66649e-07 0.0476306 -0.329582 4.20836e-08 0
2359.84 5.40162e-06 5.18391e-06 2.17712e-07 0.0403049 -0.327678 3.47929e-08 0
2480.97 5.21284e-06 5.03512e-06 1.77719e-07 0.0340925 -0.325616 2.8674e-08 0
2608.32 5.03006e-06 4.88499e-06 1.45074e-07 0.0288414 -0.323406 2.35567e-08 0
2742.21 4.85188e-06 4.73339e-06 1.18495e-07 0.0244224 -0.321057 1.92918e-08 0
2882.96 4.6769e-06 4.58014e-06 9.67649e-08 0.02069 -0.318582 1.57491e-08 0
3030.95 4.50431e-06 4.42531e-06 7.90022e-08 0.0175392 -0.315997 1.28165e-08 0
3186.53 4.3337e-06 4.26918e-06 6.45217e-08 0.0148884 -0.313317 1.03977e-08 0
3350.09 4.16477e-06 4.11206e-06 5.27082e-08 0.0126557 -0.31056 8.4096e-09 0
3522.05 3.9974e-06 3.95435e-06 4.30484e-08 0.0107691 -0.307744 6.78125e-09 0
3702.84 3.83173e-06 3.79658e-06 3.51513e-08 0.00917374 -0.304888 5.45224e-09 0
3892.91 3.66824e-06 3.63952e-06 2.87222e-08 0.00782994 -0.302013 4.37159e-09 0
4092.73 3.50717e-06 3.48371e-06 2.34668e-08 0.00669109 -0.299138 3.49577e-09 0
4302.81 3.34894e-06 3.32977e-06 1.9169e-08 0.00572389 -0.296277 2.78835e-09 0
4523.68 3.19405e-06 3.17839e-06 1.56585e-08 0.0049024 -0.29345 2.21881e-09 0
4755.88 3.04311e-06 3.03031e-06 1.27982e-08 0.00420565 -0.290674 1.76181e-09 0
5000 2.89636e-06 2.8859e-06 1.04583e-08 0.00361084 -0.287958 1.39609e-09 0
