# 6.63501e-07 3 28 : grain size, compostion index, size index
# This grain was stochastically heated: Yes
# Heating and cooling timescale: 2563.82 265.431
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 1.0198e-12 8.73979e-13 1.45821e-13 0.142989 0.113336 0 0
0.0525665 1.1613e-12 1.00304e-12 1.58265e-13 0.136282 0.101516 0 0
0.0552647 1.32179e-12 1.15045e-12 1.71342e-13 0.129629 0.0907622 0 0
0.0581015 1.6157e-12 1.43367e-12 1.82033e-13 0.112665 0.0808955 0 0
0.0610839 2.17877e-12 1.98308e-12 1.95689e-13 0.0898163 0.0714716 0 0
0.0642193 2.64248e-12 2.41958e-12 2.22901e-13 0.0843528 0.0623494 0 0
0.0675157 3.20378e-12 2.93104e-12 2.72738e-13 0.08513 0.0530891 0 0
0.0709813 3.73666e-12 3.42571e-12 3.10945e-13 0.0832148 0.044078 0 0
0.0746248 3.71172e-12 3.39964e-12 3.1208e-13 0.0840796 0.0368712 0 0
0.0784553 3.22296e-12 2.94477e-12 2.78198e-13 0.0863175 0.0318185 0 0
0.0824824 2.67939e-12 2.46202e-12 2.17364e-13 0.0811245 0.028602 0 0
0.0867162 2.31521e-12 2.142e-12 1.73215e-13 0.074816 0.0264645 0 0
0.0911674 2.06178e-12 1.91245e-12 1.49325e-13 0.0724255 0.0247643 0 0
0.095847 1.76667e-12 1.64253e-12 1.24136e-13 0.0702658 0.0251334 0 0
0.100767 1.38843e-12 1.30123e-12 8.7197e-14 0.0628027 0.0289371 0 0
0.105939 1.06706e-12 1.00593e-12 6.11306e-14 0.0572887 0.0314974 0 0
0.111377 7.95568e-13 7.58538e-13 3.703e-14 0.0465454 0.035682 0 0
0.117094 6.32987e-13 6.10407e-13 2.25804e-14 0.0356728 0.0338033 0 0
0.123105 5.11049e-13 4.9655e-13 1.44993e-14 0.0283716 0.0291482 0 0
0.129424 4.23026e-13 4.13813e-13 9.2129e-15 0.0217786 0.0245155 0 0
0.136067 3.83325e-13 3.77409e-13 5.91538e-15 0.0154318 0.0207536 0 0
0.143051 3.58063e-13 3.54203e-13 3.85995e-15 0.0107801 0.0177252 0 0
0.150394 3.57788e-13 3.55176e-13 2.61244e-15 0.00730165 0.015155 0 0
0.158114 3.78846e-13 3.76886e-13 1.95997e-15 0.00517351 0.0130005 0 0
0.16623 4.23006e-13 4.21214e-13 1.79196e-15 0.00423626 0.011198 0 0
0.174762 5.00079e-13 4.97948e-13 2.13082e-15 0.00426097 0.0096482 0 0
0.183733 6.19765e-13 6.16759e-13 3.00645e-15 0.00485095 0.00823465 0 0
0.193164 8.13859e-13 8.09107e-13 4.75196e-15 0.00583881 0.00686491 0 0
0.203079 1.07859e-12 1.07125e-12 7.33977e-15 0.00680499 0.00550744 0 0
0.213503 1.25873e-12 1.24944e-12 9.28855e-15 0.00737929 0.00423435 0 0
0.224463 1.09717e-12 1.08923e-12 7.93762e-15 0.00723463 0.00314164 0 0
0.235984 8.02579e-13 7.97169e-13 5.40973e-15 0.00674044 0.00225257 0 0
