# 4.3758e-08 3 2 : grain size, compostion index, size index
# This grain was stochastically heated: Yes
# Heating and cooling timescale: 1.07093e+07 0.527671
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 3.56095e-16 3.56072e-16 2.28093e-20 6.4054e-05 0.000418448 0 1.26402e-59
0.0525665 4.12395e-16 4.1237e-16 2.44539e-20 5.92973e-05 0.000372744 0 1.48771e-57
0.0552647 4.75876e-16 4.7585e-16 2.61952e-20 5.50462e-05 0.000331921 0 1.38266e-55
0.0581015 5.58851e-16 5.58824e-16 2.76305e-20 4.94417e-05 0.000295412 0 1.04845e-53
0.0610839 7.7412e-16 7.74091e-16 2.93728e-20 3.79435e-05 0.000260175 0 7.60147e-52
0.0642193 9.77742e-16 9.77709e-16 3.27172e-20 3.3462e-05 0.000225026 0 4.11622e-50
0.0675157 1.16969e-15 1.16965e-15 3.84316e-20 3.28563e-05 0.00018961 0 1.7467e-48
0.0709813 1.34356e-15 1.34352e-15 3.96482e-20 2.95099e-05 0.000158967 0 5.94431e-47
0.0746248 1.25539e-15 1.25536e-15 3.46e-20 2.75611e-05 0.000137131 0 1.38707e-45
0.0784553 9.87127e-16 9.871e-16 2.68289e-20 2.71788e-05 0.000122607 0 2.31581e-44
0.0824824 7.83619e-16 7.836e-16 1.88699e-20 2.40805e-05 0.000114627 0 3.34686e-43
0.0867162 6.56667e-16 6.56652e-16 1.45424e-20 2.21457e-05 0.000110079 0 4.41459e-42
0.0911674 5.73029e-16 5.73016e-16 1.21992e-20 2.1289e-05 0.000106902 0 5.29239e-41
0.095847 5.12293e-16 5.12284e-16 9.67926e-21 1.8894e-05 0.00011272 0 5.75152e-40
0.100767 4.49003e-16 4.48996e-16 6.6049e-21 1.47102e-05 0.000131469 0 5.5729e-39
0.105939 3.90903e-16 3.90899e-16 4.57654e-21 1.17076e-05 0.000141825 0 5.18178e-38
