# 2.58365e-06 3 41 : grain size, compostion index, size index
# This grain was stochastically heated: No
# Heating and cooling timescale: 38.9288 11972.4
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 3.84305e-11 1.77988e-11 2.06318e-11 0.536859 0.744649 0 0
0.0525665 4.01433e-11 1.89075e-11 2.12358e-11 0.529 0.724008 0 0
0.0552647 4.19573e-11 2.01579e-11 2.17995e-11 0.519563 0.705705 0 0
0.0581015 4.37937e-11 2.1696e-11 2.20977e-11 0.504586 0.690351 0 0
0.0610839 4.59788e-11 2.33386e-11 2.26401e-11 0.492404 0.672897 0 0
0.0642193 4.90276e-11 2.47885e-11 2.42392e-11 0.494398 0.650207 0 0
0.0675157 5.37618e-11 2.7213e-11 2.65488e-11 0.493822 0.629836 0 0
0.0709813 5.84788e-11 3.03041e-11 2.81748e-11 0.481794 0.618036 0 0
0.0746248 6.12976e-11 3.23606e-11 2.89369e-11 0.472073 0.607428 0 0
0.0784553 6.21897e-11 3.3141e-11 2.90487e-11 0.467098 0.594485 0 0
0.0824824 6.21383e-11 3.34429e-11 2.86955e-11 0.4618 0.579881 0 0
0.0867162 6.29541e-11 3.40533e-11 2.89008e-11 0.459077 0.563488 0 0
0.0911674 6.45484e-11 3.47342e-11 2.98142e-11 0.461889 0.543642 0 0
0.095847 6.56315e-11 3.49405e-11 3.06911e-11 0.467627 0.518871 0 0
0.100767 6.50906e-11 3.46408e-11 3.04498e-11 0.467807 0.49143 0 0
0.105939 6.56771e-11 3.37681e-11 3.1909e-11 0.485846 0.459458 0 0
0.111377 6.48002e-11 3.23148e-11 3.24853e-11 0.501315 0.443862 0 0
0.117094 6.16393e-11 3.11942e-11 3.04451e-11 0.493924 0.456358 0 0
0.123105 5.53198e-11 2.69974e-11 2.83225e-11 0.511977 0.439416 0 0
0.129424 4.61946e-11 2.26843e-11 2.35103e-11 0.508941 0.41258 0 0
0.136067 3.52709e-11 1.86463e-11 1.66246e-11 0.47134 0.3694 0 0
0.143051 2.69692e-11 1.56946e-11 1.12745e-11 0.418052 0.314741 0 0
0.150394 2.24104e-11 1.47334e-11 7.677e-12 0.342565 0.263631 0 0
0.158114 2.0864e-11 1.53014e-11 5.56265e-12 0.266615 0.223282 0 0
0.16623 2.14974e-11 1.68073e-11 4.69013e-12 0.218171 0.192776 0 0
0.174762 2.39053e-11 1.90681e-11 4.83727e-12 0.202351 0.168452 0 0
0.183733 2.77327e-11 2.2051e-11 5.68177e-12 0.204876 0.147126 0 0
0.193164 3.39955e-11 2.65296e-11 7.46594e-12 0.219615 0.126999 0 0
0.203079 4.32215e-11 3.27392e-11 1.04823e-11 0.242526 0.105587 0 0
0.213503 5.40457e-11 3.93143e-11 1.47314e-11 0.272573 0.0823079 0 0
0.224463 6.11494e-11 4.28439e-11 1.83056e-11 0.299358 0.0618617 0 0
0.235984 5.77393e-11 4.0008e-11 1.77313e-11 0.307093 0.0473046 0 0
0.248097 4.67731e-11 3.31639e-11 1.36092e-11 0.290961 0.037401 0 0
0.260832 3.74949e-11 2.77239e-11 9.77103e-12 0.260596 0.0323628 0 0
0.274221 3.0829e-11 2.37431e-11 7.08588e-12 0.229845 0.032039 0 0
0.288297 2.60857e-11 2.08645e-11 5.22126e-12 0.200158 0.0379019 0 0
0.303095 2.23391e-11 1.83594e-11 3.97973e-12 0.17815 0.0426738 0 0
0.318653 1.91073e-11 1.60441e-11 3.0632e-12 0.160315 0.046122 0 0
0.335009 1.64649e-11 1.40818e-11 2.38318e-12 0.144743 0.0471505 0 0
0.352205 1.43733e-11 1.24954e-11 1.87795e-12 0.130655 0.0460466 0 0
0.370284 1.26725e-11 1.11783e-11 1.49424e-12 0.117911 0.0439408 0 0
0.389291 1.12086e-11 1.00091e-11 1.19945e-12 0.107011 0.0416071 0 0
0.409273 9.90808e-12 8.94171e-12 9.66365e-13 0.097533 0.0391713 0 0
0.430281 8.74077e-12 7.96103e-12 7.79741e-13 0.0892073 0.0367498 0 0
0.452368 7.7549e-12 7.1256e-12 6.29301e-13 0.0811488 0.0340803 0 0
0.475588 6.89851e-12 6.39003e-12 5.0848e-13 0.0737087 0.0314415 0 0
0.5 6.18798e-12 5.7758e-12 4.12178e-13 0.0666094 0.0288382 0 0
0.525665 5.58855e-12 5.25391e-12 3.34644e-13 0.0598803 0.0263311 0 0
0.552647 5.05035e-12 4.77842e-12 2.71929e-13 0.0538436 0.0240284 0 0
0.581015 4.61079e-12 4.3886e-12 2.22192e-13 0.0481896 0.0218526 0 0
0.610839 4.20997e-12 4.02829e-12 1.81681e-13 0.0431549 0.0198744 0 0
0.642193 3.84268e-12 3.69409e-12 1.48586e-13 0.0386674 0.0180734 0 0
0.675157 3.51394e-12 3.39223e-12 1.21709e-13 0.0346359 0.0164379 0 0
0.709813 3.21942e-12 3.11952e-12 9.99004e-14 0.0310306 0.0149649 0 0
0.746248 2.95064e-12 2.8686e-12 8.20387e-14 0.0278037 0.0136465 0 0
0.784553 2.7024e-12 2.63503e-12 6.73676e-14 0.0249288 0.0124464 0 0
0.824824 2.47548e-12 2.42016e-12 5.53215e-14 0.0223478 0.0113683 0 0
0.867162 2.26766e-12 2.22221e-12 4.54575e-14 0.020046 0.0103968 0 0
0.911674 2.07617e-12 2.03883e-12 3.73402e-14 0.0179851 0.00951678 4.8456e-302 0
0.95847 1.90134e-12 1.87068e-12 3.06525e-14 0.0161215 0.00872816 2.6654e-287 0
1.00767 1.74051e-12 1.71534e-12 2.51695e-14 0.014461 0.00801076 2.74836e-273 0
1.05939 1.59547e-12 1.57481e-12 2.06621e-14 0.0129505 0.00735993 5.77555e-260 0
1.11377 1.46131e-12 1.44435e-12 1.69594e-14 0.0116056 0.00676609 2.6674e-247 0
1.17094 1.34279e-12 1.32888e-12 1.39162e-14 0.0103637 0.0062108 2.92737e-235 0
1.23105 1.23467e-12 1.22324e-12 1.14262e-14 0.00925444 0.00570138 8.16913e-224 0
1.29424 1.13556e-12 1.12617e-12 9.38598e-15 0.00826554 0.00523135 6.19482e-213 0
1.36067 1.0447e-12 1.03699e-12 7.70647e-15 0.00737673 0.00480274 1.36049e-202 0
1.43051 9.61484e-13 9.55159e-13 6.32525e-15 0.00657863 0.00441187 9.19433e-193 0
1.50394 8.86352e-13 8.81158e-13 5.19404e-15 0.00586002 0.00405003 2.02793e-183 0
1.58114 8.18208e-13 8.13942e-13 4.26562e-15 0.00521337 0.00371185 1.54143e-174 0
1.6623 7.55664e-13 7.52161e-13 3.5038e-15 0.00463672 0.0033974 4.25002e-166 0
1.74762 6.97272e-13 6.94394e-13 2.8786e-15 0.00412837 0.00311378 4.46033e-158 0
1.83733 6.43655e-13 6.4129e-13 2.36488e-15 0.00367414 0.00285433 1.87007e-150 0
1.93164 5.94248e-13 5.92305e-13 1.94223e-15 0.00326838 0.00261584 3.2753e-143 0
